"Open","High","Low","Close","Volume","Date","Emiten"
700,750,700,740,3991500,"2007-01-02","JIHD"
720,740,720,720,2233000,"2007-01-03","JIHD"
700,710,700,700,254500,"2007-01-04","JIHD"
730,730,700,730,1378000,"2007-01-05","JIHD"
740,760,720,740,8676000,"2007-01-08","JIHD"
710,730,700,710,1662500,"2007-01-09","JIHD"
700,700,660,670,6629000,"2007-01-10","JIHD"
690,690,650,650,5457000,"2007-01-11","JIHD"
640,660,630,640,4325000,"2007-01-12","JIHD"
680,690,660,680,1429500,"2007-01-15","JIHD"
680,690,680,680,541500,"2007-01-16","JIHD"
680,680,670,680,1261000,"2007-01-17","JIHD"
680,690,680,680,1291500,"2007-01-18","JIHD"
680,680,670,680,500500,"2007-01-19","JIHD"
680,680,680,680,395000,"2007-01-22","JIHD"
690,700,690,690,1012000,"2007-01-23","JIHD"
690,690,690,690,647000,"2007-01-24","JIHD"
680,680,670,670,1537500,"2007-01-25","JIHD"
670,670,650,670,2192000,"2007-01-26","JIHD"
670,670,650,670,350000,"2007-01-29","JIHD"
660,670,660,660,897500,"2007-01-30","JIHD"
650,660,640,650,2985500,"2007-01-31","JIHD"
680,680,640,680,8241500,"2007-02-01","JIHD"
680,690,680,680,2671000,"2007-02-02","JIHD"
660,670,660,660,219000,"2007-02-05","JIHD"
660,660,660,660,352500,"2007-02-06","JIHD"
670,690,670,670,1243000,"2007-02-07","JIHD"
670,680,660,670,1153500,"2007-02-08","JIHD"
670,680,670,670,545000,"2007-02-09","JIHD"
670,670,670,670,970500,"2007-02-12","JIHD"
660,670,660,660,176500,"2007-02-13","JIHD"
650,660,640,650,939500,"2007-02-14","JIHD"
660,660,660,660,472000,"2007-02-15","JIHD"
660,660,660,660,75000,"2007-02-16","JIHD"
650,650,650,650,1e+05,"2007-02-19","JIHD"
640,650,640,640,91000,"2007-02-20","JIHD"
650,660,650,650,198500,"2007-02-21","JIHD"
650,650,650,650,188500,"2007-02-22","JIHD"
650,650,650,650,125000,"2007-02-23","JIHD"
640,640,640,640,21000,"2007-02-26","JIHD"
640,640,640,640,663000,"2007-02-27","JIHD"
630,630,600,630,1312000,"2007-02-28","JIHD"
630,630,630,630,1854500,"2007-03-01","JIHD"
640,640,620,640,2546500,"2007-03-02","JIHD"
630,630,590,590,821500,"2007-03-05","JIHD"
610,610,590,610,1286000,"2007-03-06","JIHD"
630,630,610,630,1555500,"2007-03-07","JIHD"
630,660,630,640,2495000,"2007-03-08","JIHD"
640,640,630,640,3997000,"2007-03-09","JIHD"
630,640,630,630,1761000,"2007-03-12","JIHD"
640,640,630,640,1329000,"2007-03-13","JIHD"
620,620,620,620,1130000,"2007-03-14","JIHD"
620,630,620,620,564000,"2007-03-15","JIHD"
630,630,630,630,500,"2007-03-16","JIHD"
630,640,630,630,862000,"2007-03-20","JIHD"
660,660,630,660,758000,"2007-03-21","JIHD"
680,680,660,680,4513500,"2007-03-22","JIHD"
650,670,650,650,228500,"2007-03-23","JIHD"
650,650,650,650,1279000,"2007-03-26","JIHD"
670,680,650,670,2217000,"2007-03-27","JIHD"
670,670,660,670,1384500,"2007-03-28","JIHD"
680,690,670,680,2277000,"2007-03-29","JIHD"
690,700,670,690,2294500,"2007-03-30","JIHD"
720,720,690,720,7242500,"2007-04-02","JIHD"
740,740,720,740,9690000,"2007-04-03","JIHD"
740,750,730,740,12549500,"2007-04-04","JIHD"
760,760,740,760,4480000,"2007-04-05","JIHD"
760,770,760,760,2766500,"2007-04-09","JIHD"
770,770,760,770,3111500,"2007-04-10","JIHD"
780,780,770,780,2877500,"2007-04-11","JIHD"
800,800,770,800,2717000,"2007-04-12","JIHD"
800,800,780,800,2398500,"2007-04-13","JIHD"
800,800,780,800,2211500,"2007-04-16","JIHD"
770,790,770,770,706000,"2007-04-17","JIHD"
790,820,780,790,6444500,"2007-04-18","JIHD"
770,790,770,770,2699500,"2007-04-19","JIHD"
780,800,780,790,897500,"2007-04-20","JIHD"
800,800,800,800,2014000,"2007-04-23","JIHD"
790,800,790,790,614500,"2007-04-24","JIHD"
780,790,780,780,140000,"2007-04-25","JIHD"
790,790,780,790,260000,"2007-04-26","JIHD"
780,790,780,780,226000,"2007-04-27","JIHD"
790,790,780,790,549000,"2007-04-30","JIHD"
780,780,780,780,132500,"2007-05-01","JIHD"
770,780,770,770,380000,"2007-05-02","JIHD"
770,780,770,770,81000,"2007-05-03","JIHD"
790,810,770,790,2957500,"2007-05-04","JIHD"
800,900,800,870,14108000,"2007-05-07","JIHD"
890,890,810,840,4435000,"2007-05-08","JIHD"
840,850,830,840,897000,"2007-05-09","JIHD"
880,900,840,880,6552000,"2007-05-10","JIHD"
850,860,840,850,1238000,"2007-05-11","JIHD"
850,870,820,850,2770500,"2007-05-14","JIHD"
840,850,810,840,772000,"2007-05-15","JIHD"
810,830,810,810,175500,"2007-05-16","JIHD"
830,830,800,830,825000,"2007-05-21","JIHD"
830,830,810,830,692000,"2007-05-22","JIHD"
830,860,830,830,5117500,"2007-05-23","JIHD"
820,850,820,820,1292500,"2007-05-24","JIHD"
840,840,810,840,311500,"2007-05-25","JIHD"
820,820,820,820,12500,"2007-05-28","JIHD"
840,840,830,840,817500,"2007-05-29","JIHD"
840,840,820,820,427000,"2007-05-30","JIHD"
810,830,810,830,1636000,"2007-05-31","JIHD"
820,840,820,820,1605000,"2007-06-04","JIHD"
820,840,820,820,1952500,"2007-06-05","JIHD"
830,870,820,830,6622000,"2007-06-06","JIHD"
830,850,820,830,3115000,"2007-06-07","JIHD"
820,830,810,820,715500,"2007-06-08","JIHD"
810,860,810,810,8439000,"2007-06-11","JIHD"
820,820,800,820,2815500,"2007-06-12","JIHD"
810,810,800,810,3123500,"2007-06-13","JIHD"
810,830,810,810,4543500,"2007-06-14","JIHD"
800,820,800,800,1127500,"2007-06-15","JIHD"
810,830,800,810,10684000,"2007-06-18","JIHD"
820,820,810,820,12500,"2007-06-19","JIHD"
820,820,800,820,570500,"2007-06-20","JIHD"
810,810,800,810,3673000,"2007-06-21","JIHD"
790,800,790,790,4619500,"2007-06-22","JIHD"
800,810,790,800,2628500,"2007-06-25","JIHD"
810,820,800,810,9385500,"2007-06-26","JIHD"
820,830,800,820,6353000,"2007-06-27","JIHD"
800,820,800,800,6473000,"2007-06-28","JIHD"
800,820,800,810,3055000,"2007-06-29","JIHD"
820,830,820,820,2638500,"2007-07-02","JIHD"
820,820,820,820,705000,"2007-07-03","JIHD"
820,820,810,820,2769000,"2007-07-04","JIHD"
820,820,810,820,3210000,"2007-07-05","JIHD"
840,850,820,840,4502000,"2007-07-06","JIHD"
840,850,840,840,5538000,"2007-07-09","JIHD"
830,830,830,830,1600000,"2007-07-10","JIHD"
830,930,830,930,20401000,"2007-07-11","JIHD"
930,1200,910,1140,57187500,"2007-07-12","JIHD"
1150,1220,1090,1150,39354500,"2007-07-13","JIHD"
1130,1150,1120,1130,2758000,"2007-07-16","JIHD"
1130,1160,1130,1140,2454500,"2007-07-17","JIHD"
1130,1170,1130,1130,3569500,"2007-07-18","JIHD"
1110,1150,1110,1110,4538000,"2007-07-19","JIHD"
1110,1140,1080,1110,2282500,"2007-07-20","JIHD"
1120,1120,1110,1120,437500,"2007-07-23","JIHD"
1110,1120,1100,1120,844000,"2007-07-24","JIHD"
1120,1140,1100,1140,413000,"2007-07-25","JIHD"
1130,1130,1090,1100,2813500,"2007-07-26","JIHD"
1100,1100,1070,1090,2905500,"2007-07-27","JIHD"
1080,1100,1020,1100,2595000,"2007-07-30","JIHD"
1100,1150,1100,1110,5834500,"2007-07-31","JIHD"
1080,1110,1020,1080,4896000,"2007-08-01","JIHD"
1090,1100,1070,1090,3784500,"2007-08-02","JIHD"
1100,1120,1090,1100,5705500,"2007-08-03","JIHD"
1090,1120,1070,1090,7621500,"2007-08-06","JIHD"
1090,1110,1090,1090,1803000,"2007-08-07","JIHD"
1140,1140,1100,1140,435500,"2007-08-08","JIHD"
1140,1140,1100,1140,1143500,"2007-08-09","JIHD"
1090,1110,1070,1090,12513500,"2007-08-10","JIHD"
1100,1110,1100,1100,657500,"2007-08-13","JIHD"
1090,1100,1090,1090,4132500,"2007-08-14","JIHD"
1090,1090,1000,1030,17994000,"2007-08-15","JIHD"
990,990,880,890,2295000,"2007-08-16","JIHD"
920,930,900,920,2640000,"2007-08-20","JIHD"
900,930,900,900,1343000,"2007-08-21","JIHD"
950,950,910,950,1368000,"2007-08-22","JIHD"
950,1040,950,1010,8457500,"2007-08-23","JIHD"
990,1080,980,1040,786000,"2007-08-24","JIHD"
1030,1080,1000,1030,931000,"2007-08-27","JIHD"
1020,1030,990,1020,71000,"2007-08-28","JIHD"
1020,1020,990,1020,525500,"2007-08-29","JIHD"
1010,1020,1000,1010,230500,"2007-08-30","JIHD"
1050,1060,1000,1050,12258500,"2007-08-31","JIHD"
1020,1050,1010,1020,159500,"2007-09-03","JIHD"
1050,1060,1010,1050,183500,"2007-09-04","JIHD"
1050,1050,1050,1050,3,"2007-09-05","JIHD"
1050,1050,1000,1050,73000,"2007-09-06","JIHD"
1040,1040,1040,1040,12500,"2007-09-07","JIHD"
1030,1040,1020,1040,633000,"2007-09-10","JIHD"
1030,1040,1020,1030,110000,"2007-09-11","JIHD"
1040,1040,1040,1040,57500,"2007-09-12","JIHD"
1030,1050,1030,1050,323000,"2007-09-13","JIHD"
1030,1050,1030,1030,3895000,"2007-09-14","JIHD"
