"Open","High","Low","Close","Volume","Date","Emiten"
202,206,202,202,1247500,"2007-01-02","JRPT"
206,206,204,206,1312500,"2007-01-03","JRPT"
220,220,208,220,6717500,"2007-01-04","JRPT"
220,220,216,220,2312500,"2007-01-05","JRPT"
212,216,212,212,450000,"2007-01-08","JRPT"
210,214,210,210,750000,"2007-01-09","JRPT"
210,210,210,210,0,"2007-01-10","JRPT"
196,198,192,196,1605000,"2007-01-11","JRPT"
196,196,180,196,555000,"2007-01-12","JRPT"
196,196,196,196,0,"2007-01-15","JRPT"
196,196,196,196,312500,"2007-01-16","JRPT"
202,202,200,202,292500,"2007-01-17","JRPT"
202,202,202,202,9e+05,"2007-01-18","JRPT"
202,202,200,202,675000,"2007-01-19","JRPT"
202,202,200,202,125000,"2007-01-22","JRPT"
202,202,202,202,35000,"2007-01-23","JRPT"
202,202,198,202,3735000,"2007-01-24","JRPT"
202,202,202,202,0,"2007-01-25","JRPT"
202,202,202,202,0,"2007-01-26","JRPT"
200,202,200,200,650000,"2007-01-29","JRPT"
202,202,200,202,1050000,"2007-01-30","JRPT"
200,202,200,200,735000,"2007-01-31","JRPT"
208,210,200,208,5057500,"2007-02-01","JRPT"
212,210,214,212,3e+05,"2007-02-02","JRPT"
206,206,206,206,50000,"2007-02-05","JRPT"
206,206,206,206,0,"2007-02-06","JRPT"
214,216,206,214,825000,"2007-02-07","JRPT"
220,220,214,220,662500,"2007-02-08","JRPT"
220,222,218,220,6712500,"2007-02-09","JRPT"
220,220,220,220,0,"2007-02-12","JRPT"
220,220,220,220,25000,"2007-02-13","JRPT"
226,226,220,226,547500,"2007-02-14","JRPT"
226,226,226,226,0,"2007-02-15","JRPT"
226,226,226,226,0,"2007-02-16","JRPT"
226,226,226,226,0,"2007-02-19","JRPT"
226,226,226,226,0,"2007-02-20","JRPT"
224,224,220,224,162500,"2007-02-21","JRPT"
220,222,220,220,3395000,"2007-02-22","JRPT"
224,224,220,224,3e+05,"2007-02-23","JRPT"
220,220,220,220,937500,"2007-02-26","JRPT"
220,220,220,220,765000,"2007-02-27","JRPT"
220,220,220,220,30000,"2007-02-28","JRPT"
218,218,214,218,272500,"2007-03-01","JRPT"
218,218,218,218,0,"2007-03-02","JRPT"
218,218,200,218,4462500,"2007-03-05","JRPT"
218,218,218,218,1275000,"2007-03-06","JRPT"
220,220,200,220,380000,"2007-03-07","JRPT"
220,220,220,220,0,"2007-03-08","JRPT"
210,214,202,210,170000,"2007-03-09","JRPT"
212,212,206,212,85000,"2007-03-12","JRPT"
212,214,210,212,350000,"2007-03-13","JRPT"
212,212,210,212,80000,"2007-03-14","JRPT"
212,212,200,212,62500,"2007-03-15","JRPT"
216,216,210,216,15000,"2007-03-16","JRPT"
216,216,212,216,85000,"2007-03-20","JRPT"
216,216,216,216,55000,"2007-03-21","JRPT"
216,216,212,216,162500,"2007-03-22","JRPT"
218,218,218,218,150000,"2007-03-23","JRPT"
218,220,218,218,285000,"2007-03-26","JRPT"
218,218,218,218,630000,"2007-03-27","JRPT"
218,218,218,218,1520000,"2007-03-28","JRPT"
