"Open","High","Low","Close","Volume","Date","Emiten"
157,158,157,157,50000,"2007-01-02","KAEF"
164,176,161,164,26625500,"2007-01-03","KAEF"
167,170,155,156,2018500,"2007-01-04","KAEF"
156,172,156,170,10987000,"2007-01-05","KAEF"
170,178,168,170,7759500,"2007-01-08","KAEF"
169,171,165,169,2949500,"2007-01-09","KAEF"
167,171,161,161,2038000,"2007-01-10","KAEF"
161,165,160,161,2135500,"2007-01-11","KAEF"
154,159,153,154,1727000,"2007-01-12","KAEF"
161,164,159,161,1425000,"2007-01-15","KAEF"
164,165,156,164,3847500,"2007-01-16","KAEF"
164,165,164,164,263000,"2007-01-17","KAEF"
162,164,161,162,767500,"2007-01-18","KAEF"
162,163,160,162,489500,"2007-01-19","KAEF"
165,165,160,165,1390000,"2007-01-22","KAEF"
165,165,160,165,1689000,"2007-01-23","KAEF"
164,167,163,164,2533000,"2007-01-24","KAEF"
165,165,164,164,2028500,"2007-01-25","KAEF"
163,164,162,163,1589000,"2007-01-26","KAEF"
163,163,163,163,3,"2007-01-29","KAEF"
160,163,160,160,611500,"2007-01-30","KAEF"
160,160,160,160,1e+06,"2007-01-31","KAEF"
155,164,155,164,134500,"2007-02-01","KAEF"
160,164,163,160,170000,"2007-02-02","KAEF"
160,160,160,160,3,"2007-02-05","KAEF"
165,172,163,165,3256000,"2007-02-06","KAEF"
165,169,165,165,922000,"2007-02-07","KAEF"
165,166,165,165,973500,"2007-02-08","KAEF"
168,168,165,168,27000,"2007-02-09","KAEF"
162,165,162,162,200500,"2007-02-12","KAEF"
165,165,162,165,960000,"2007-02-13","KAEF"
165,167,165,165,1343000,"2007-02-14","KAEF"
167,167,165,167,552500,"2007-02-15","KAEF"
165,165,165,165,1070000,"2007-02-16","KAEF"
165,165,165,165,8e+05,"2007-02-19","KAEF"
168,170,165,168,2647500,"2007-02-20","KAEF"
168,170,168,168,839000,"2007-02-21","KAEF"
169,173,169,169,2043500,"2007-02-22","KAEF"
170,170,166,170,26500,"2007-02-23","KAEF"
168,168,166,168,12500,"2007-02-26","KAEF"
166,167,165,166,1272500,"2007-02-27","KAEF"
161,164,160,161,353500,"2007-02-28","KAEF"
163,163,163,163,218000,"2007-03-01","KAEF"
163,163,163,163,250000,"2007-03-02","KAEF"
162,164,162,162,2908500,"2007-03-05","KAEF"
163,163,162,163,1205500,"2007-03-06","KAEF"
164,164,162,164,408000,"2007-03-07","KAEF"
165,165,163,165,240000,"2007-03-08","KAEF"
164,167,164,164,603000,"2007-03-09","KAEF"
167,168,166,167,132000,"2007-03-12","KAEF"
168,170,165,168,291500,"2007-03-13","KAEF"
166,167,163,166,223500,"2007-03-14","KAEF"
166,169,165,166,408500,"2007-03-15","KAEF"
167,167,164,167,25500,"2007-03-16","KAEF"
167,167,167,167,10000,"2007-03-20","KAEF"
