"Open","High","Low","Close","Volume","Date","Emiten"
140,140,140,140,0,"2007-01-02","KDSI"
140,140,140,140,0,"2007-01-03","KDSI"
140,140,140,140,0,"2007-01-04","KDSI"
140,140,140,140,0,"2007-01-05","KDSI"
140,140,140,140,0,"2007-01-08","KDSI"
140,140,140,140,0,"2007-01-09","KDSI"
125,125,125,125,50000,"2007-01-10","KDSI"
125,125,125,125,2,"2007-01-11","KDSI"
115,115,115,115,50000,"2007-01-12","KDSI"
116,117,116,116,50000,"2007-01-15","KDSI"
130,130,130,130,25000,"2007-01-16","KDSI"
130,130,130,130,0,"2007-01-17","KDSI"
130,130,130,130,0,"2007-01-18","KDSI"
130,130,130,130,0,"2007-01-19","KDSI"
115,115,115,115,25000,"2007-01-22","KDSI"
115,115,115,115,1,"2007-01-23","KDSI"
115,115,115,115,1,"2007-01-24","KDSI"
118,118,118,118,25000,"2007-01-25","KDSI"
118,118,118,118,1,"2007-01-26","KDSI"
118,118,118,118,1,"2007-01-29","KDSI"
118,118,118,118,1,"2007-01-30","KDSI"
120,120,120,120,15000,"2007-01-31","KDSI"
120,120,120,120,1,"2007-02-01","KDSI"
120,120,120,120,1,"2007-02-02","KDSI"
120,120,120,120,1,"2007-02-05","KDSI"
120,120,120,120,1,"2007-02-06","KDSI"
120,120,120,120,1,"2007-02-07","KDSI"
120,120,120,120,1,"2007-02-08","KDSI"
135,135,135,135,12500,"2007-02-09","KDSI"
135,135,135,135,14500,"2007-02-12","KDSI"
140,180,140,179,260000,"2007-02-13","KDSI"
185,190,150,150,166500,"2007-02-14","KDSI"
150,150,150,150,2,"2007-02-15","KDSI"
150,150,150,150,150000,"2007-02-16","KDSI"
135,140,135,135,50000,"2007-02-19","KDSI"
135,135,135,135,1,"2007-02-20","KDSI"
135,135,135,135,1,"2007-02-21","KDSI"
145,150,145,145,132500,"2007-02-22","KDSI"
145,145,145,145,2,"2007-02-23","KDSI"
145,145,145,145,150000,"2007-02-26","KDSI"
135,135,135,135,25000,"2007-02-27","KDSI"
135,135,135,135,0,"2007-02-28","KDSI"
155,155,147,155,640000,"2007-03-01","KDSI"
