"Open","High","Low","Close","Volume","Date","Emiten"
360,374,318,320,223185300,"2022-11-10","KETR"
320,324,298,298,12903500,"2022-11-11","KETR"
278,310,278,294,48558500,"2022-11-14","KETR"
294,310,284,294,13446300,"2022-11-15","KETR"
294,296,278,282,9752600,"2022-11-16","KETR"
266,286,266,268,9371400,"2022-11-17","KETR"
268,274,250,250,11214800,"2022-11-18","KETR"
236,254,234,234,16567800,"2022-11-21","KETR"
222,248,222,234,6076800,"2022-11-22","KETR"
234,238,226,228,4063200,"2022-11-23","KETR"
228,234,220,226,5946900,"2022-11-24","KETR"
228,228,220,222,3506500,"2022-11-25","KETR"
210,232,210,230,3757300,"2022-11-28","KETR"
230,232,226,226,2310200,"2022-11-29","KETR"
228,272,226,244,33031000,"2022-11-30","KETR"
242,254,234,244,6773600,"2022-12-01","KETR"
244,264,244,256,7912100,"2022-12-02","KETR"
258,260,246,246,3854000,"2022-12-05","KETR"
246,256,238,238,3959100,"2022-12-06","KETR"
240,240,234,234,1276600,"2022-12-07","KETR"
234,238,230,232,1879500,"2022-12-08","KETR"
234,236,226,226,3056700,"2022-12-09","KETR"
226,240,226,236,1233500,"2022-12-12","KETR"
238,244,230,234,1425000,"2022-12-13","KETR"
240,240,228,228,955900,"2022-12-14","KETR"
228,236,228,230,1165300,"2022-12-15","KETR"
230,236,230,234,1218100,"2022-12-16","KETR"
234,238,230,234,1080800,"2022-12-19","KETR"
234,236,230,234,1698600,"2022-12-20","KETR"
234,234,228,234,1004300,"2022-12-21","KETR"
234,238,230,230,1805300,"2022-12-22","KETR"
230,234,230,232,1219500,"2022-12-23","KETR"
232,282,232,250,29772400,"2022-12-26","KETR"
250,262,242,262,10626600,"2022-12-27","KETR"
264,300,264,290,61661100,"2022-12-28","KETR"
290,294,282,288,11742500,"2022-12-29","KETR"
290,292,272,276,10234000,"2022-12-30","KETR"
280,308,276,308,31875500,"2023-01-02","KETR"
310,326,288,300,23543900,"2023-01-03","KETR"
300,300,280,280,11912600,"2023-01-04","KETR"
280,284,262,262,14014400,"2023-01-05","KETR"
256,258,244,244,5316700,"2023-01-06","KETR"
238,254,230,240,12497600,"2023-01-09","KETR"
242,246,236,236,2589300,"2023-01-10","KETR"
238,242,228,228,4984400,"2023-01-11","KETR"
228,234,222,230,2347900,"2023-01-12","KETR"
234,234,224,224,2532200,"2023-01-13","KETR"
226,240,224,240,4399700,"2023-01-16","KETR"
242,242,230,236,1621000,"2023-01-17","KETR"
236,236,228,230,1430100,"2023-01-18","KETR"
230,236,226,228,1520200,"2023-01-19","KETR"
226,232,226,228,1517900,"2023-01-20","KETR"
232,256,230,244,7175200,"2023-01-24","KETR"
246,254,238,242,3162300,"2023-01-25","KETR"
242,250,240,248,2004500,"2023-01-26","KETR"
248,250,232,234,3450600,"2023-01-27","KETR"
234,238,228,230,1087900,"2023-01-30","KETR"
232,238,228,230,1733300,"2023-01-31","KETR"
232,238,230,234,940100,"2023-02-01","KETR"
234,242,234,238,1412400,"2023-02-02","KETR"
240,240,236,236,1021700,"2023-02-03","KETR"
236,238,230,232,720700,"2023-02-06","KETR"
232,236,226,228,1575400,"2023-02-07","KETR"
228,232,226,228,688600,"2023-02-08","KETR"
228,230,226,226,844400,"2023-02-09","KETR"
228,232,220,224,2832400,"2023-02-10","KETR"
224,228,224,228,357800,"2023-02-13","KETR"
228,228,224,224,595400,"2023-02-14","KETR"
224,238,224,228,2124900,"2023-02-15","KETR"
230,232,226,228,395400,"2023-02-16","KETR"
226,230,224,228,334100,"2023-02-17","KETR"
228,230,224,224,722800,"2023-02-20","KETR"
224,226,222,222,819800,"2023-02-21","KETR"
222,224,212,218,1154600,"2023-02-22","KETR"
204,220,204,204,2838400,"2023-02-23","KETR"
202,202,190,190,6524000,"2023-02-24","KETR"
