"Open","High","Low","Close","Volume","Date","Emiten"
114,138,104,127,1016123800,"2022-08-08","KKES"
129,130,119,119,26335300,"2022-08-09","KKES"
111,132,111,116,188268700,"2022-08-10","KKES"
116,126,114,119,97710100,"2022-08-11","KKES"
120,121,116,119,23246100,"2022-08-12","KKES"
119,125,119,122,55738600,"2022-08-15","KKES"
123,132,122,127,140855700,"2022-08-16","KKES"
129,138,123,129,193797400,"2022-08-18","KKES"
130,131,127,129,42085300,"2022-08-19","KKES"
131,149,129,137,487254100,"2022-08-22","KKES"
138,153,131,152,385736400,"2022-08-23","KKES"
154,161,142,143,372980100,"2022-08-24","KKES"
144,152,143,152,127010200,"2022-08-25","KKES"
154,157,148,152,115220500,"2022-08-26","KKES"
153,157,148,154,80108700,"2022-08-29","KKES"
155,164,152,161,167565700,"2022-08-30","KKES"
161,175,156,170,224419800,"2022-08-31","KKES"
169,172,167,170,77429100,"2022-09-01","KKES"
169,172,167,168,32457400,"2022-09-02","KKES"
167,171,163,171,64238700,"2022-09-05","KKES"
171,172,168,168,41826300,"2022-09-06","KKES"
168,171,157,170,91853600,"2022-09-07","KKES"
170,183,168,175,222287800,"2022-09-08","KKES"
175,180,171,178,78680100,"2022-09-09","KKES"
178,181,166,178,87617600,"2022-09-12","KKES"
178,180,172,172,45011200,"2022-09-13","KKES"
169,174,165,168,24878100,"2022-09-14","KKES"
168,171,163,166,43658000,"2022-09-15","KKES"
166,202,166,183,634066900,"2022-09-16","KKES"
183,210,182,189,515989700,"2022-09-19","KKES"
190,191,177,181,145932000,"2022-09-20","KKES"
182,191,180,180,80062700,"2022-09-21","KKES"
180,183,176,178,27661800,"2022-09-22","KKES"
180,185,175,177,25204800,"2022-09-23","KKES"
179,179,165,165,33357100,"2022-09-26","KKES"
165,167,158,165,55088300,"2022-09-27","KKES"
166,172,165,170,44549900,"2022-09-28","KKES"
173,173,159,159,28190100,"2022-09-29","KKES"
159,159,148,150,30710500,"2022-09-30","KKES"
150,155,140,155,16212600,"2022-10-03","KKES"
155,163,152,156,53965800,"2022-10-04","KKES"
156,160,156,159,12754600,"2022-10-05","KKES"
161,164,158,164,17983800,"2022-10-06","KKES"
166,174,161,165,75104300,"2022-10-07","KKES"
165,172,162,170,33825000,"2022-10-10","KKES"
171,180,170,178,134849600,"2022-10-11","KKES"
178,179,166,171,74880200,"2022-10-12","KKES"
171,172,162,168,17360700,"2022-10-13","KKES"
172,172,164,164,7913700,"2022-10-14","KKES"
164,171,153,169,43641000,"2022-10-17","KKES"
171,171,162,168,19942000,"2022-10-18","KKES"
169,182,164,174,202052300,"2022-10-19","KKES"
174,175,170,173,29733800,"2022-10-20","KKES"
173,176,171,173,10859400,"2022-10-21","KKES"
173,178,172,174,52416000,"2022-10-24","KKES"
174,176,171,174,17704800,"2022-10-25","KKES"
174,176,171,173,10858200,"2022-10-26","KKES"
173,174,161,164,31461500,"2022-10-27","KKES"
164,164,153,153,27670000,"2022-10-28","KKES"
153,154,143,146,27714700,"2022-10-31","KKES"
146,151,136,144,21887200,"2022-11-01","KKES"
144,146,139,139,8578700,"2022-11-02","KKES"
133,142,133,135,13469000,"2022-11-03","KKES"
135,140,131,136,15711900,"2022-11-04","KKES"
137,144,132,142,34464200,"2022-11-07","KKES"
143,144,135,135,8364100,"2022-11-08","KKES"
135,140,133,136,10359600,"2022-11-09","KKES"
139,139,133,133,4314300,"2022-11-10","KKES"
132,136,132,133,5373600,"2022-11-11","KKES"
133,138,126,135,15759700,"2022-11-14","KKES"
135,142,133,137,33946700,"2022-11-15","KKES"
138,138,132,135,5775500,"2022-11-16","KKES"
135,135,132,133,2277000,"2022-11-17","KKES"
136,136,132,134,8139200,"2022-11-18","KKES"
135,135,131,135,4891400,"2022-11-21","KKES"
135,135,132,133,4603200,"2022-11-22","KKES"
133,133,129,130,6473200,"2022-11-23","KKES"
130,130,123,127,8139400,"2022-11-24","KKES"
122,132,122,129,12457300,"2022-11-25","KKES"
129,134,128,131,11477100,"2022-11-28","KKES"
132,133,128,132,9937700,"2022-11-29","KKES"
132,136,129,133,16242800,"2022-11-30","KKES"
134,135,130,131,6799300,"2022-12-01","KKES"
