"Open","High","Low","Close","Volume","Adjusted","Date","Emiten"
248,250,240,248,136985000,194.940887,"2007-01-02","KLBF"
250,258,248,250,267147500,196.512985,"2007-01-03","KLBF"
250,254,248,250,140422500,196.512985,"2007-01-04","KLBF"
250,250,248,250,32807500,196.512985,"2007-01-05","KLBF"
252,254,246,252,143290000,198.085083,"2007-01-08","KLBF"
254,258,248,254,500982500,199.657166,"2007-01-09","KLBF"
252,252,240,242,292192500,190.224564,"2007-01-10","KLBF"
246,250,238,246,238527500,193.368729,"2007-01-11","KLBF"
250,252,240,250,237810000,196.512985,"2007-01-12","KLBF"
252,256,250,252,60087500,198.085083,"2007-01-15","KLBF"
254,256,252,254,107647500,199.657166,"2007-01-16","KLBF"
262,264,254,262,537325000,205.945618,"2007-01-17","KLBF"
268,268,262,268,294940000,210.66188,"2007-01-18","KLBF"
268,270,264,268,209892500,210.66188,"2007-01-19","KLBF"
266,268,264,266,82342500,209.089767,"2007-01-22","KLBF"
274,276,266,274,341115000,215.378235,"2007-01-23","KLBF"
276,276,272,276,104357500,216.950363,"2007-01-24","KLBF"
274,276,270,272,158672500,213.806122,"2007-01-25","KLBF"
270,270,266,270,112360000,212.233963,"2007-01-26","KLBF"
264,272,262,264,97632500,207.517715,"2007-01-29","KLBF"
260,268,258,260,114280000,204.373474,"2007-01-30","KLBF"
260,262,254,260,88662500,204.373474,"2007-01-31","KLBF"
264,264,258,264,93410000,207.517715,"2007-02-01","KLBF"
272,272,264,272,89465000,213.806122,"2007-02-02","KLBF"
268,274,266,268,73540000,210.66188,"2007-02-05","KLBF"
264,270,264,264,12695000,207.517715,"2007-02-06","KLBF"
266,268,264,266,33505000,209.089767,"2007-02-07","KLBF"
264,268,264,264,56872500,207.517715,"2007-02-08","KLBF"
264,266,262,264,52557500,207.517715,"2007-02-09","KLBF"
260,264,258,260,167312500,204.373474,"2007-02-12","KLBF"
250,260,250,250,139012500,196.512985,"2007-02-13","KLBF"
252,258,250,252,64085000,198.085083,"2007-02-14","KLBF"
256,260,254,256,48960000,201.229279,"2007-02-15","KLBF"
252,258,252,252,61662500,198.085083,"2007-02-16","KLBF"
252,256,252,252,6275000,198.085083,"2007-02-19","KLBF"
254,254,250,254,19507500,199.657166,"2007-02-20","KLBF"
252,256,248,252,124207500,198.085083,"2007-02-21","KLBF"
248,254,246,248,154317500,194.940887,"2007-02-22","KLBF"
246,248,246,246,97840000,193.368729,"2007-02-23","KLBF"
246,248,244,246,49782500,193.368729,"2007-02-26","KLBF"
246,248,244,246,66935000,193.368729,"2007-02-27","KLBF"
232,246,230,244,120895000,191.796677,"2007-02-28","KLBF"
246,248,242,246,39065000,193.368729,"2007-03-01","KLBF"
244,248,242,244,59715000,191.796677,"2007-03-02","KLBF"
236,242,232,236,193515000,185.508224,"2007-03-05","KLBF"
236,242,236,236,96125000,185.508224,"2007-03-06","KLBF"
238,240,236,238,58742500,187.080368,"2007-03-07","KLBF"
240,240,236,240,48825000,188.652435,"2007-03-08","KLBF"
238,240,236,238,18382500,187.080368,"2007-03-09","KLBF"
240,240,236,240,76630000,188.652435,"2007-03-12","KLBF"
242,244,238,242,68445000,190.224564,"2007-03-13","KLBF"
236,240,234,236,86135000,185.508224,"2007-03-14","KLBF"
236,240,236,236,53307500,185.508224,"2007-03-15","KLBF"
236,238,234,236,27732500,185.508224,"2007-03-16","KLBF"
236,238,236,236,130462500,185.508224,"2007-03-20","KLBF"
242,242,238,242,174195000,190.224564,"2007-03-21","KLBF"
246,250,242,246,355967500,193.368729,"2007-03-22","KLBF"
252,252,246,252,199345000,198.085083,"2007-03-23","KLBF"
