"Open","High","Low","Close","Volume","Date","Emiten"
374,374,374,374,11000,"2020-09-07","KMDS"
466,466,466,466,23600,"2020-09-08","KMDS"
580,580,530,580,1389300,"2020-09-09","KMDS"
700,725,540,600,4928900,"2020-09-10","KMDS"
580,600,560,600,1511600,"2020-09-11","KMDS"
600,600,560,600,1602200,"2020-09-14","KMDS"
560,585,560,560,458500,"2020-09-15","KMDS"
560,560,525,525,466900,"2020-09-16","KMDS"
498,580,490,530,287000,"2020-09-17","KMDS"
540,580,494,510,153900,"2020-09-18","KMDS"
560,560,478,500,145400,"2020-09-21","KMDS"
550,550,472,500,68700,"2020-09-22","KMDS"
550,550,520,520,7800,"2020-09-23","KMDS"
570,570,484,525,298200,"2020-09-24","KMDS"
570,570,490,540,193400,"2020-09-25","KMDS"
590,590,520,520,11600,"2020-09-28","KMDS"
550,600,505,565,202900,"2020-09-29","KMDS"
605,605,530,565,45900,"2020-09-30","KMDS"
615,615,540,560,32300,"2020-10-01","KMDS"
600,600,545,565,1900,"2020-10-02","KMDS"
595,595,545,565,26800,"2020-10-05","KMDS"
590,590,565,580,7400,"2020-10-06","KMDS"
590,590,580,580,1800,"2020-10-07","KMDS"
600,600,560,560,20000,"2020-10-08","KMDS"
580,580,540,580,131800,"2020-10-09","KMDS"
585,585,550,580,33700,"2020-10-12","KMDS"
595,595,560,580,115100,"2020-10-13","KMDS"
590,590,550,580,13500,"2020-10-14","KMDS"
595,595,550,575,27400,"2020-10-15","KMDS"
625,625,570,580,43800,"2020-10-16","KMDS"
630,630,550,585,58300,"2020-10-19","KMDS"
595,595,580,585,11600,"2020-10-20","KMDS"
635,635,560,570,6000,"2020-10-21","KMDS"
595,595,545,590,47300,"2020-10-22","KMDS"
590,590,565,575,7400,"2020-10-23","KMDS"
590,590,570,570,4800,"2020-10-26","KMDS"
580,580,580,580,300,"2020-10-27","KMDS"
630,630,545,575,22500,"2020-11-02","KMDS"
625,625,555,585,37400,"2020-11-03","KMDS"
635,635,565,575,21700,"2020-11-04","KMDS"
