"Open","High","Low","Close","Volume","Date","Emiten"
135,142,84,84,554147700,"2023-10-06","KOCI"
60,86,60,68,129297000,"2023-10-09","KOCI"
69,78,69,77,101527200,"2023-10-10","KOCI"
78,78,70,72,37749700,"2023-10-11","KOCI"
72,74,68,69,24588700,"2023-10-12","KOCI"
61,71,61,67,16164200,"2023-10-13","KOCI"
67,73,66,69,35695300,"2023-10-16","KOCI"
69,70,66,67,18816000,"2023-10-17","KOCI"
65,68,64,66,17682300,"2023-10-18","KOCI"
75,75,65,66,20144700,"2023-10-19","KOCI"
66,66,62,63,12589100,"2023-10-20","KOCI"
66,66,58,59,23468200,"2023-10-23","KOCI"
59,64,58,61,12042600,"2023-10-24","KOCI"
69,69,59,60,71983000,"2023-10-25","KOCI"
50,61,50,58,7843300,"2023-10-26","KOCI"
58,59,55,55,13012100,"2023-10-27","KOCI"
55,57,54,54,10886800,"2023-10-30","KOCI"
54,62,52,53,44296300,"2023-10-31","KOCI"
53,53,50,51,14852700,"2023-11-01","KOCI"
52,52,50,50,30110800,"2023-11-02","KOCI"
50,52,50,50,11477600,"2023-11-03","KOCI"
51,51,50,50,7622900,"2023-11-06","KOCI"
50,54,50,50,11017800,"2023-11-07","KOCI"
50,51,50,50,7277200,"2023-11-08","KOCI"
50,51,50,50,2627700,"2023-11-09","KOCI"
50,50,50,50,1623900,"2023-11-10","KOCI"
50,51,50,50,4126300,"2023-11-13","KOCI"
50,51,50,51,5578300,"2023-11-14","KOCI"
51,51,50,50,1403600,"2023-11-15","KOCI"
50,63,50,57,26519300,"2023-11-16","KOCI"
58,58,50,51,28669800,"2023-11-17","KOCI"
51,52,50,51,6725900,"2023-11-20","KOCI"
51,56,50,52,17185100,"2023-11-21","KOCI"
53,53,50,51,4526500,"2023-11-22","KOCI"
50,52,50,51,1277400,"2023-11-23","KOCI"
52,52,50,51,3309800,"2023-11-24","KOCI"
52,53,50,50,4171600,"2023-11-27","KOCI"
51,52,50,51,2295100,"2023-11-28","KOCI"
51,51,50,50,4634200,"2023-11-29","KOCI"
51,51,50,50,3782000,"2023-11-30","KOCI"
50,51,50,50,1411400,"2023-12-01","KOCI"
