"Open","High","Low","Close","Volume","Date","Emiten"
172,172,135,170,883830600,"2023-10-11","KOKA"
170,174,141,142,225949400,"2023-10-12","KOKA"
142,155,140,144,112370500,"2023-10-13","KOKA"
134,147,101,107,242089200,"2023-10-16","KOKA"
107,129,106,112,418033400,"2023-10-17","KOKA"
112,119,106,114,173254100,"2023-10-18","KOKA"
113,118,98,107,80414600,"2023-10-19","KOKA"
107,110,99,102,145521200,"2023-10-20","KOKA"
71,107,71,97,138190300,"2023-10-23","KOKA"
98,105,96,98,121650600,"2023-10-24","KOKA"
98,103,93,95,119540600,"2023-10-25","KOKA"
96,99,87,89,123727000,"2023-10-26","KOKA"
89,93,77,81,137063200,"2023-10-27","KOKA"
81,93,63,88,235226600,"2023-10-30","KOKA"
89,92,81,83,92651300,"2023-10-31","KOKA"
85,99,79,81,273609000,"2023-11-01","KOKA"
81,93,75,79,283930100,"2023-11-02","KOKA"
80,83,72,73,189042100,"2023-11-03","KOKA"
74,75,65,69,147146800,"2023-11-06","KOKA"
60,70,60,65,34443000,"2023-11-07","KOKA"
65,68,63,64,23428800,"2023-11-08","KOKA"
64,67,60,62,156331200,"2023-11-09","KOKA"
50,65,50,61,62226200,"2023-11-10","KOKA"
61,64,60,61,60364200,"2023-11-13","KOKA"
61,63,59,61,74980000,"2023-11-14","KOKA"
61,63,59,61,54090200,"2023-11-15","KOKA"
60,62,59,60,51024600,"2023-11-16","KOKA"
60,61,58,59,41454600,"2023-11-17","KOKA"
57,60,56,57,42786200,"2023-11-20","KOKA"
57,60,54,57,54487400,"2023-11-21","KOKA"
57,58,54,56,33511300,"2023-11-22","KOKA"
56,57,52,54,32998000,"2023-11-23","KOKA"
53,55,53,54,24813300,"2023-11-24","KOKA"
54,57,53,54,73075100,"2023-11-27","KOKA"
54,57,52,54,28266400,"2023-11-28","KOKA"
53,55,51,52,76228400,"2023-11-29","KOKA"
52,53,50,51,108635600,"2023-11-30","KOKA"
51,51,50,50,16817200,"2023-12-01","KOKA"
50,51,50,51,13554000,"2023-12-04","KOKA"
51,52,50,51,19776100,"2023-12-05","KOKA"
51,51,50,50,12549900,"2023-12-06","KOKA"
51,51,50,50,12186000,"2023-12-07","KOKA"
50,51,50,51,10109800,"2023-12-08","KOKA"
50,51,50,50,11397800,"2023-12-11","KOKA"
50,50,50,50,661900,"2023-12-12","KOKA"
50,50,50,50,885800,"2023-12-13","KOKA"
50,50,50,50,332400,"2023-12-14","KOKA"
50,51,50,50,12768500,"2023-12-15","KOKA"
50,51,50,50,3960200,"2023-12-18","KOKA"
50,50,50,50,163500,"2023-12-19","KOKA"
50,50,50,50,281200,"2023-12-20","KOKA"
50,50,50,50,2456300,"2023-12-21","KOKA"
50,50,50,50,1271000,"2023-12-22","KOKA"
50,50,50,50,296300,"2023-12-27","KOKA"
50,50,50,50,1218400,"2023-12-28","KOKA"
50,50,50,50,401000,"2023-12-29","KOKA"
50,50,50,50,609100,"2024-01-02","KOKA"
50,50,50,50,1231300,"2024-01-03","KOKA"
50,50,50,50,298400,"2024-01-04","KOKA"
50,67,50,67,341111500,"2024-01-05","KOKA"
74,74,55,65,177653700,"2024-01-08","KOKA"
65,74,59,67,142943300,"2024-01-09","KOKA"
68,70,65,67,30635400,"2024-01-10","KOKA"
68,68,63,66,25703700,"2024-01-11","KOKA"
66,71,66,70,46202900,"2024-01-12","KOKA"
70,70,70,70,0,"2024-01-15","KOKA"
84,85,76,80,75810800,"2024-01-16","KOKA"
80,84,77,83,65553200,"2024-01-17","KOKA"
84,89,63,67,211923400,"2024-01-18","KOKA"
60,74,60,65,96233200,"2024-01-19","KOKA"
66,69,62,65,34501900,"2024-01-22","KOKA"
63,76,63,74,83536800,"2024-01-23","KOKA"
76,76,72,74,37889500,"2024-01-24","KOKA"
