"Open","High","Low","Close","Volume","Date","Emiten"
585,585,585,585,207300,"2018-08-23","LAND"
585,585,585,585,0,"2018-08-24","LAND"
910,910,900,910,45051100,"2018-08-27","LAND"
980,995,825,890,33981900,"2018-08-28","LAND"
900,925,855,925,32203700,"2018-08-29","LAND"
930,1155,930,1155,26665100,"2018-08-30","LAND"
1170,1435,1120,1315,39588900,"2018-08-31","LAND"
1350,1420,1250,1285,9879300,"2018-09-03","LAND"
1285,1340,1250,1300,14780300,"2018-09-04","LAND"
1290,1300,1020,1240,15416400,"2018-09-05","LAND"
1240,1295,1160,1240,9609900,"2018-09-06","LAND"
1220,1260,1210,1215,4549000,"2018-09-07","LAND"
1215,1285,1180,1210,20793300,"2018-09-10","LAND"
1210,1210,1210,1210,0,"2018-09-11","LAND"
1210,1240,1165,1170,4237900,"2018-09-12","LAND"
1170,1190,1110,1140,5190900,"2018-09-13","LAND"
1140,1160,1100,1140,4886700,"2018-09-14","LAND"
1140,1140,1080,1120,1360800,"2018-09-17","LAND"
1120,1220,1115,1170,6242000,"2018-09-18","LAND"
1175,1205,1140,1165,4910400,"2018-09-19","LAND"
1165,1195,1155,1155,3115300,"2018-09-20","LAND"
1150,1440,1130,1440,59700800,"2018-09-21","LAND"
1465,1485,1250,1270,38009500,"2018-09-24","LAND"
1270,1330,1270,1275,5730900,"2018-09-25","LAND"
1275,1300,1200,1215,3153100,"2018-09-26","LAND"
1260,1310,1215,1270,8857500,"2018-09-27","LAND"
1270,1315,1220,1220,5489700,"2018-09-28","LAND"
1220,1295,1220,1235,15240500,"2018-10-01","LAND"
1235,1275,1230,1235,4039000,"2018-10-02","LAND"
1245,1260,1240,1255,3115900,"2018-10-03","LAND"
1260,1280,1230,1240,1014000,"2018-10-04","LAND"
1230,1240,1190,1200,684000,"2018-10-05","LAND"
1200,1245,1115,1120,7391800,"2018-10-08","LAND"
1120,1165,1120,1135,557800,"2018-10-09","LAND"
1130,1185,1100,1120,777800,"2018-10-10","LAND"
1100,1100,1000,1050,1481600,"2018-10-11","LAND"
1050,1080,1035,1060,297700,"2018-10-12","LAND"
1060,1100,1000,1050,998900,"2018-10-15","LAND"
1050,1215,1030,1185,1829600,"2018-10-16","LAND"
1185,1250,1155,1225,1496500,"2018-10-17","LAND"
1235,1305,1220,1230,1262300,"2018-10-18","LAND"
1245,1285,1240,1255,463000,"2018-10-19","LAND"
1285,1285,1200,1255,518900,"2018-10-22","LAND"
1255,1255,1235,1255,2193900,"2018-10-23","LAND"
1250,1275,1230,1230,2454900,"2018-10-24","LAND"
1225,1260,1185,1220,360500,"2018-10-25","LAND"
1220,1245,1200,1230,626200,"2018-10-26","LAND"
1250,1250,1210,1230,234000,"2018-10-29","LAND"
1230,1230,1180,1230,279700,"2018-10-30","LAND"
1225,1270,1180,1225,2908100,"2018-10-31","LAND"
1255,1260,1180,1230,78300,"2018-11-01","LAND"
1215,1215,1175,1200,133400,"2018-11-02","LAND"
1190,1215,1080,1150,161300,"2018-11-05","LAND"
1150,1195,1100,1140,153900,"2018-11-06","LAND"
1105,1185,1100,1110,125600,"2018-11-07","LAND"
1115,1135,1040,1085,535200,"2018-11-08","LAND"
1085,1125,1020,1020,1308300,"2018-11-09","LAND"
1020,1050,1000,1000,276200,"2018-11-12","LAND"
1010,1075,990,1055,3502900,"2018-11-13","LAND"
1060,1070,1000,1040,2012200,"2018-11-14","LAND"
1020,1055,1005,1015,1678500,"2018-11-15","LAND"
1020,1040,980,980,1333300,"2018-11-16","LAND"
975,1020,975,990,555500,"2018-11-19","LAND"
990,990,990,990,0,"2018-11-20","LAND"
980,980,950,960,50600,"2018-11-21","LAND"
960,970,850,970,214500,"2018-11-22","LAND"
990,1000,950,950,521600,"2018-11-23","LAND"
940,960,845,870,756900,"2018-11-26","LAND"
870,945,865,885,85900,"2018-11-27","LAND"
890,1095,885,1000,11206200,"2018-11-28","LAND"
1010,1105,1010,1025,5467100,"2018-11-29","LAND"
1030,1070,940,990,161200,"2018-11-30","LAND"
990,1025,980,980,3357800,"2018-12-03","LAND"
980,1020,940,990,3744200,"2018-12-04","LAND"
970,990,950,965,181600,"2018-12-05","LAND"
965,990,940,990,419700,"2018-12-06","LAND"
990,990,930,970,227000,"2018-12-07","LAND"
970,970,930,935,142700,"2018-12-10","LAND"
935,935,920,920,53800,"2018-12-11","LAND"
935,950,890,900,480100,"2018-12-12","LAND"
910,915,890,910,231600,"2018-12-13","LAND"
915,915,880,880,40500,"2018-12-14","LAND"
870,890,855,890,300200,"2018-12-17","LAND"
895,895,860,880,45800,"2018-12-18","LAND"
880,915,840,840,1e+05,"2018-12-19","LAND"
840,900,840,900,1096400,"2018-12-20","LAND"
910,985,865,910,1452300,"2018-12-21","LAND"
910,910,910,910,0,"2018-12-24","LAND"
910,910,910,910,0,"2018-12-25","LAND"
900,910,895,900,29200,"2018-12-26","LAND"
870,1040,870,990,2299400,"2018-12-27","LAND"
990,1000,880,880,193200,"2018-12-28","LAND"
880,880,880,880,0,"2018-12-31","LAND"
880,880,880,880,0,"2019-01-01","LAND"
890,980,890,895,313500,"2019-01-02","LAND"
895,970,880,905,164000,"2019-01-03","LAND"
895,955,890,955,67300,"2019-01-04","LAND"
950,950,900,900,58700,"2019-01-07","LAND"
900,930,900,910,39900,"2019-01-08","LAND"
950,950,895,895,66000,"2019-01-09","LAND"
895,925,880,905,142700,"2019-01-10","LAND"
905,905,870,870,75600,"2019-01-11","LAND"
900,900,850,895,38100,"2019-01-14","LAND"
890,915,855,855,77500,"2019-01-15","LAND"
850,950,800,920,650200,"2019-01-16","LAND"
925,950,895,930,344800,"2019-01-17","LAND"
900,950,880,940,475700,"2019-01-18","LAND"
940,940,900,905,150500,"2019-01-21","LAND"
890,915,885,915,71300,"2019-01-22","LAND"
915,915,905,910,48300,"2019-01-23","LAND"
890,940,850,910,870900,"2019-01-24","LAND"
940,950,920,945,392900,"2019-01-25","LAND"
945,1145,930,1145,5984000,"2019-01-28","LAND"
1150,1210,1120,1140,6367400,"2019-01-29","LAND"
1140,1160,1135,1150,6375100,"2019-01-30","LAND"
1150,1155,1125,1125,5039300,"2019-01-31","LAND"
1160,1160,1115,1125,5323800,"2019-02-01","LAND"
1160,1200,1130,1140,6126500,"2019-02-04","LAND"
1140,1140,1140,1140,0,"2019-02-05","LAND"
1140,1260,1140,1260,6280100,"2019-02-06","LAND"
1270,1325,1260,1325,9155300,"2019-02-07","LAND"
1325,1350,1310,1325,3956400,"2019-02-08","LAND"
1325,1335,1280,1300,4086900,"2019-02-11","LAND"
1300,1305,1270,1280,3731700,"2019-02-12","LAND"
1285,1350,1280,1300,4443400,"2019-02-13","LAND"
1300,1340,1285,1290,3477900,"2019-02-14","LAND"
1310,1350,1270,1345,3205600,"2019-02-15","LAND"
1345,1345,1245,1245,2745000,"2019-02-18","LAND"
1230,1280,1230,1240,4941000,"2019-02-19","LAND"
1240,1280,1235,1235,3671500,"2019-02-20","LAND"
1235,1300,1230,1230,1333100,"2019-02-21","LAND"
1250,1270,1235,1235,2387100,"2019-02-22","LAND"
1280,1280,1230,1240,1772800,"2019-02-25","LAND"
1230,1245,1210,1240,1831600,"2019-02-26","LAND"
1275,1275,1220,1235,778300,"2019-02-27","LAND"
1230,1230,1205,1225,64000,"2019-02-28","LAND"
1225,1225,1170,1180,192300,"2019-03-01","LAND"
1180,1180,1000,1150,518300,"2019-03-04","LAND"
1150,1250,1100,1200,60100,"2019-03-05","LAND"
1195,1200,1180,1180,10500,"2019-03-06","LAND"
1180,1180,1180,1180,0,"2019-03-07","LAND"
1180,1200,1165,1195,1149100,"2019-03-08","LAND"
1190,1190,1050,1160,48300,"2019-03-11","LAND"
1170,1170,1065,1150,15800,"2019-03-12","LAND"
1100,1250,1050,1165,411400,"2019-03-13","LAND"
1050,1150,1050,1075,30300,"2019-03-14","LAND"
1020,1090,1005,1005,57800,"2019-03-15","LAND"
1050,1120,1000,1080,526600,"2019-03-18","LAND"
1050,1200,1050,1200,46000,"2019-03-19","LAND"
1180,1180,1180,1180,1000,"2019-03-20","LAND"
1140,1140,1075,1075,16800,"2019-03-21","LAND"
1070,1085,1010,1025,66800,"2019-03-22","LAND"
1010,1075,990,1065,65400,"2019-03-25","LAND"
1005,1050,1000,1025,273100,"2019-03-26","LAND"
1000,1095,995,1000,64000,"2019-03-27","LAND"
1005,1070,950,1040,1717900,"2019-03-28","LAND"
1035,1035,955,985,134300,"2019-03-29","LAND"
1000,1200,995,1120,3740700,"2019-04-01","LAND"
1130,1140,1045,1045,1633200,"2019-04-02","LAND"
1045,1045,1045,1045,0,"2019-04-03","LAND"
1100,1100,990,1000,445800,"2019-04-04","LAND"
1040,1040,995,1035,1000,"2019-04-05","LAND"
1020,1020,1005,1005,20400,"2019-04-08","LAND"
1000,1045,1000,1010,34200,"2019-04-09","LAND"
1040,1150,950,1110,2581400,"2019-04-10","LAND"
1010,1045,975,1000,113800,"2019-04-11","LAND"
960,1000,960,995,304800,"2019-04-12","LAND"
980,1030,965,1000,81200,"2019-04-15","LAND"
975,1010,975,1000,3158300,"2019-04-16","LAND"
1000,1000,1000,1000,0,"2019-04-17","LAND"
1000,1010,995,1000,1151500,"2019-04-18","LAND"
1000,1000,1000,1000,0,"2019-04-19","LAND"
1000,1000,950,990,151300,"2019-04-22","LAND"
955,980,950,955,12800,"2019-04-23","LAND"
