"Open","High","Low","Close","Volume","Date","Emiten"
220,220,220,220,20,"2007-01-02","LION"
220,220,220,220,20,"2007-01-03","LION"
220,220,220,220,20,"2007-01-04","LION"
220,220,220,220,20,"2007-01-05","LION"
220,220,220,220,20,"2007-01-08","LION"
240,240,240,240,5000,"2007-01-09","LION"
240,240,240,240,20,"2007-01-10","LION"
240,240,240,240,0,"2007-01-11","LION"
195,205,195,205,10000,"2007-01-12","LION"
205,205,205,205,0,"2007-01-15","LION"
205,205,205,205,0,"2007-01-16","LION"
205,205,205,205,0,"2007-01-17","LION"
205,205,205,205,0,"2007-01-18","LION"
205,205,205,205,0,"2007-01-19","LION"
205,205,205,205,0,"2007-01-22","LION"
205,205,205,205,0,"2007-01-23","LION"
205,205,205,205,0,"2007-01-24","LION"
205,205,205,205,0,"2007-01-25","LION"
205,205,205,205,0,"2007-01-26","LION"
205,205,205,205,0,"2007-01-29","LION"
205,205,205,205,0,"2007-01-30","LION"
205,205,205,205,0,"2007-01-31","LION"
205,205,205,205,30,"2007-02-01","LION"
205,205,205,205,0,"2007-02-02","LION"
205,205,205,205,0,"2007-02-05","LION"
205,205,205,205,0,"2007-02-06","LION"
205,205,205,205,0,"2007-02-07","LION"
205,205,205,205,0,"2007-02-08","LION"
205,205,205,205,0,"2007-02-09","LION"
205,205,205,205,0,"2007-02-12","LION"
205,205,205,205,0,"2007-02-13","LION"
205,205,205,205,0,"2007-02-14","LION"
205,205,205,205,0,"2007-02-15","LION"
205,205,205,205,0,"2007-02-16","LION"
205,205,205,205,0,"2007-02-19","LION"
205,205,205,205,0,"2007-02-20","LION"
205,205,205,205,0,"2007-02-21","LION"
205,205,205,205,0,"2007-02-22","LION"
205,205,205,205,0,"2007-02-23","LION"
205,205,205,205,0,"2007-02-26","LION"
205,205,205,205,0,"2007-02-27","LION"
205,205,205,205,0,"2007-02-28","LION"
200,200,200,200,15000,"2007-03-01","LION"
200,200,200,200,0,"2007-03-02","LION"
200,200,200,200,0,"2007-03-05","LION"
200,200,200,200,0,"2007-03-06","LION"
200,200,200,200,0,"2007-03-07","LION"
200,200,200,200,0,"2007-03-08","LION"
200,200,200,200,0,"2007-03-09","LION"
200,200,200,200,0,"2007-03-12","LION"
200,200,200,200,0,"2007-03-13","LION"
200,200,200,200,0,"2007-03-14","LION"
200,200,200,200,0,"2007-03-15","LION"
200,200,200,200,0,"2007-03-16","LION"
200,200,200,200,0,"2007-03-20","LION"
200,200,200,200,0,"2007-03-21","LION"
200,200,200,200,0,"2007-03-22","LION"
200,200,200,200,0,"2007-03-23","LION"
200,200,200,200,0,"2007-03-26","LION"
200,200,200,200,0,"2007-03-27","LION"
200,200,200,200,0,"2007-03-28","LION"
200,200,200,200,0,"2007-03-29","LION"
200,200,200,200,0,"2007-03-30","LION"
200,200,200,200,0,"2007-04-02","LION"
200,200,200,200,0,"2007-04-03","LION"
200,200,200,200,0,"2007-04-04","LION"
200,200,200,200,0,"2007-04-05","LION"
200,200,200,200,0,"2007-04-09","LION"
200,200,200,200,0,"2007-04-10","LION"
200,200,200,200,0,"2007-04-11","LION"
200,200,200,200,0,"2007-04-12","LION"
200,200,200,200,0,"2007-04-13","LION"
200,200,200,200,0,"2007-04-16","LION"
200,200,200,200,10,"2007-04-17","LION"
195,195,195,195,25000,"2007-04-18","LION"
186,190,186,186,40,"2007-04-19","LION"
186,186,186,186,0,"2007-04-20","LION"
190,190,190,190,40000,"2007-04-23","LION"
190,190,190,190,30,"2007-04-24","LION"
190,190,190,190,30,"2007-04-25","LION"
190,190,190,190,30,"2007-04-26","LION"
190,190,190,190,20,"2007-04-27","LION"
190,190,190,190,20,"2007-04-30","LION"
190,190,190,190,20,"2007-05-01","LION"
190,190,190,190,20,"2007-05-02","LION"
190,190,190,190,20,"2007-05-03","LION"
175,200,175,200,105000,"2007-05-04","LION"
200,200,200,200,0,"2007-05-07","LION"
190,200,190,200,20000,"2007-05-08","LION"
220,220,220,220,10000,"2007-05-09","LION"
220,220,220,220,0,"2007-05-10","LION"
220,220,220,220,0,"2007-05-11","LION"
220,220,220,220,0,"2007-05-14","LION"
220,220,220,220,0,"2007-05-15","LION"
240,240,235,240,40,"2007-05-16","LION"
200,250,200,250,110000,"2007-05-21","LION"
250,250,250,250,0,"2007-05-22","LION"
250,250,250,250,0,"2007-05-23","LION"
250,250,250,250,0,"2007-05-24","LION"
250,250,250,250,0,"2007-05-25","LION"
250,250,250,250,0,"2007-05-28","LION"
250,250,250,250,0,"2007-05-29","LION"
250,250,250,250,0,"2007-05-30","LION"
250,250,250,250,0,"2007-05-31","LION"
250,250,250,250,20,"2007-06-04","LION"
250,250,250,250,20,"2007-06-05","LION"
250,250,250,250,0,"2007-06-06","LION"
250,250,250,250,20,"2007-06-07","LION"
250,250,250,250,0,"2007-06-08","LION"
250,250,250,250,0,"2007-06-11","LION"
250,250,250,250,0,"2007-06-12","LION"
250,250,250,250,0,"2007-06-13","LION"
250,250,250,250,0,"2007-06-14","LION"
250,250,250,250,0,"2007-06-15","LION"
250,250,250,250,20,"2007-06-18","LION"
250,250,250,250,0,"2007-06-19","LION"
250,250,250,250,0,"2007-06-20","LION"
200,200,200,200,10000,"2007-06-21","LION"
200,200,200,200,120000,"2007-06-22","LION"
200,200,200,200,0,"2007-06-25","LION"
200,200,200,200,180000,"2007-06-26","LION"
200,200,200,200,750000,"2007-06-27","LION"
200,200,200,200,250000,"2007-06-28","LION"
200,200,200,200,20,"2007-06-29","LION"
200,200,200,200,1455000,"2007-07-02","LION"
200,200,200,200,760000,"2007-07-03","LION"
200,200,200,200,20,"2007-07-04","LION"
200,200,200,200,10,"2007-07-05","LION"
200,200,200,200,10,"2007-07-06","LION"
200,200,200,200,50000,"2007-07-09","LION"
200,200,200,200,150000,"2007-07-10","LION"
200,200,200,200,105000,"2007-07-11","LION"
200,200,200,200,10,"2007-07-12","LION"
200,200,200,200,20,"2007-07-13","LION"
200,200,200,200,40,"2007-07-16","LION"
210,210,200,210,40,"2007-07-17","LION"
210,210,210,210,10,"2007-07-18","LION"
210,210,210,210,10,"2007-07-19","LION"
210,210,210,210,10,"2007-07-20","LION"
210,210,210,210,0,"2007-07-23","LION"
210,210,210,210,0,"2007-07-24","LION"
210,210,210,210,0,"2007-07-25","LION"
210,210,210,210,0,"2007-07-26","LION"
210,210,210,210,0,"2007-07-27","LION"
210,210,210,210,0,"2007-07-30","LION"
205,205,205,205,1e+05,"2007-07-31","LION"
205,205,190,190,895000,"2007-08-01","LION"
200,200,190,200,40,"2007-08-02","LION"
200,200,200,200,0,"2007-08-03","LION"
210,210,210,210,0,"2007-08-06","LION"
200,200,200,200,0,"2007-08-07","LION"
200,200,200,200,0,"2007-08-08","LION"
200,200,200,200,10,"2007-08-09","LION"
195,195,195,195,95000,"2007-08-10","LION"
195,195,195,195,0,"2007-08-13","LION"
195,195,195,195,20,"2007-08-14","LION"
195,195,195,195,110000,"2007-08-15","LION"
185,185,185,185,1e+05,"2007-08-16","LION"
185,185,185,185,30,"2007-08-20","LION"
186,187,186,186,40,"2007-08-21","LION"
185,185,185,185,25000,"2007-08-22","LION"
185,185,185,185,30,"2007-08-23","LION"
185,185,185,185,30,"2007-08-24","LION"
185,185,185,185,30,"2007-08-27","LION"
185,185,185,185,30,"2007-08-28","LION"
185,185,185,185,30,"2007-08-29","LION"
186,186,186,186,80000,"2007-08-30","LION"
186,186,186,186,30,"2007-08-31","LION"
186,186,186,186,30,"2007-09-03","LION"
186,186,186,186,0,"2007-09-04","LION"
186,186,186,186,0,"2007-09-05","LION"
186,186,186,186,20,"2007-09-06","LION"
186,186,186,186,20,"2007-09-07","LION"
190,190,190,190,50000,"2007-09-10","LION"
190,190,190,190,30,"2007-09-11","LION"
190,190,190,190,40,"2007-09-12","LION"
190,190,190,190,30,"2007-09-13","LION"
190,190,190,190,30,"2007-09-14","LION"
190,190,190,190,40,"2007-09-17","LION"
190,190,190,190,30,"2007-09-18","LION"
190,190,190,190,40,"2007-09-19","LION"
190,190,190,190,30,"2007-09-20","LION"
190,190,190,190,30,"2007-09-21","LION"
190,190,190,190,0,"2007-09-24","LION"
193,193,193,193,5000,"2007-09-25","LION"
195,195,195,195,30,"2007-09-26","LION"
195,195,195,195,415000,"2007-09-27","LION"
195,195,195,195,0,"2007-09-28","LION"
195,195,195,195,30,"2007-10-01","LION"
195,195,195,195,0,"2007-10-02","LION"
195,195,195,195,10,"2007-10-03","LION"
195,195,195,195,0,"2007-10-04","LION"
195,195,195,195,20,"2007-10-05","LION"
195,195,195,195,10,"2007-10-08","LION"
195,195,195,195,10,"2007-10-09","LION"
195,195,195,195,30,"2007-10-10","LION"
195,195,195,195,0,"2007-10-11","LION"
195,195,195,195,30,"2007-10-17","LION"
195,195,195,195,30,"2007-10-18","LION"
195,195,195,195,30,"2007-10-19","LION"
195,195,195,195,0,"2007-10-22","LION"
195,195,195,195,10,"2007-10-23","LION"
195,195,195,195,10,"2007-10-24","LION"
195,195,195,195,30,"2007-10-25","LION"
195,195,195,195,10,"2007-10-26","LION"
195,195,195,195,20,"2007-10-29","LION"
195,195,195,195,20,"2007-10-30","LION"
195,195,195,195,10,"2007-10-31","LION"
195,195,195,195,2e+05,"2007-11-01","LION"
195,195,195,195,10,"2007-11-02","LION"
195,195,195,195,0,"2007-11-05","LION"
195,195,195,195,0,"2007-11-06","LION"
195,195,195,195,20,"2007-11-07","LION"
195,195,195,195,10,"2007-11-08","LION"
195,195,195,195,0,"2007-11-09","LION"
195,195,195,195,0,"2007-11-12","LION"
195,195,195,195,0,"2007-11-13","LION"
195,195,195,195,20,"2007-11-14","LION"
195,195,195,195,0,"2007-11-15","LION"
195,195,195,195,0,"2007-11-16","LION"
195,195,195,195,30,"2007-11-19","LION"
195,195,195,195,30,"2007-11-20","LION"
195,195,195,195,0,"2007-11-21","LION"
195,195,195,195,10,"2007-11-22","LION"
195,195,195,195,10,"2007-11-23","LION"
195,195,195,195,50000,"2007-11-26","LION"
195,195,195,195,30,"2007-11-27","LION"
195,195,195,195,0,"2007-11-28","LION"
195,195,195,195,0,"2007-11-29","LION"
195,195,195,195,0,"2007-11-30","LION"
195,195,195,195,0,"2007-12-03","LION"
195,195,195,195,0,"2007-12-04","LION"
195,195,195,195,30,"2007-12-05","LION"
195,195,195,195,0,"2007-12-06","LION"
