"Open","High","Low","Close","Volume","Date","Emiten"
159,159,159,159,82100000,"2023-07-25","MAHA"
197,214,174,214,1455700700,"2023-07-26","MAHA"
244,264,204,214,1923689900,"2023-07-27","MAHA"
212,234,195,228,1044256600,"2023-07-28","MAHA"
230,278,228,274,1089315900,"2023-07-31","MAHA"
280,298,266,276,811834400,"2023-08-01","MAHA"
280,280,252,274,201588500,"2023-08-02","MAHA"
274,306,274,294,826650600,"2023-08-03","MAHA"
298,300,274,282,395550500,"2023-08-04","MAHA"
282,286,270,274,207535000,"2023-08-07","MAHA"
274,278,250,252,410684900,"2023-08-08","MAHA"
240,260,238,248,256373200,"2023-08-09","MAHA"
250,266,250,266,167272000,"2023-08-10","MAHA"
268,274,264,264,154208000,"2023-08-11","MAHA"
264,266,250,252,125829900,"2023-08-14","MAHA"
256,260,252,254,58370500,"2023-08-15","MAHA"
254,256,248,250,74045100,"2023-08-16","MAHA"
250,252,234,238,152407100,"2023-08-18","MAHA"
238,242,230,238,112073400,"2023-08-21","MAHA"
238,258,234,244,276390500,"2023-08-22","MAHA"
248,260,240,250,201186300,"2023-08-23","MAHA"
252,260,250,252,103886300,"2023-08-24","MAHA"
252,256,236,242,153552600,"2023-08-25","MAHA"
242,246,236,238,59769500,"2023-08-28","MAHA"
240,240,234,236,46529700,"2023-08-29","MAHA"
236,244,234,236,49773500,"2023-08-30","MAHA"
238,240,236,236,24635300,"2023-08-31","MAHA"
236,240,234,234,26819100,"2023-09-01","MAHA"
234,250,234,244,102277400,"2023-09-04","MAHA"
244,248,238,240,24165300,"2023-09-05","MAHA"
240,244,236,238,38743300,"2023-09-06","MAHA"
238,240,232,236,39219700,"2023-09-07","MAHA"
236,236,226,228,59567100,"2023-09-08","MAHA"
230,234,214,220,83466500,"2023-09-11","MAHA"
202,240,202,238,125822000,"2023-09-12","MAHA"
238,240,230,230,42491900,"2023-09-13","MAHA"
230,232,222,224,42489400,"2023-09-14","MAHA"
224,228,222,224,17506700,"2023-09-15","MAHA"
224,226,220,220,21557800,"2023-09-18","MAHA"
220,228,216,220,34345200,"2023-09-19","MAHA"
220,224,216,218,13973600,"2023-09-20","MAHA"
218,220,210,214,37669400,"2023-09-21","MAHA"
214,218,204,206,63854500,"2023-09-22","MAHA"
200,216,200,212,86395800,"2023-09-25","MAHA"
212,218,190,190,119912300,"2023-09-26","MAHA"
193,202,190,200,43643700,"2023-09-27","MAHA"
200,204,197,199,27135500,"2023-09-29","MAHA"
200,206,196,196,28249500,"2023-10-02","MAHA"
196,200,192,192,45608400,"2023-10-03","MAHA"
192,194,175,178,82737000,"2023-10-04","MAHA"
170,187,170,180,25582800,"2023-10-05","MAHA"
