"Open","High","Low","Close","Volume","Date","Emiten"
226,315,226,315,14250000,"2018-07-05","MAPA"
336,393,305,315,20956000,"2018-07-06","MAPA"
312,339,252,311,4229000,"2018-07-09","MAPA"
305,305,288,300,1017000,"2018-07-10","MAPA"
304,315,292,315,329000,"2018-07-11","MAPA"
310,315,302,302,653000,"2018-07-12","MAPA"
302,326,290,300,848000,"2018-07-13","MAPA"
300,305,295,304,25000,"2018-07-16","MAPA"
298,300,260,298,168000,"2018-07-17","MAPA"
298,300,285,287,41000,"2018-07-18","MAPA"
287,287,280,287,570000,"2018-07-19","MAPA"
287,297,286,289,275000,"2018-07-20","MAPA"
289,289,285,289,123000,"2018-07-23","MAPA"
295,299,294,298,126000,"2018-07-24","MAPA"
298,304,288,304,135000,"2018-07-25","MAPA"
304,304,303,303,105000,"2018-07-26","MAPA"
303,312,303,305,181000,"2018-07-27","MAPA"
305,308,305,308,84000,"2018-07-30","MAPA"
308,318,308,318,229000,"2018-07-31","MAPA"
318,330,318,320,317000,"2018-08-01","MAPA"
330,330,320,323,169000,"2018-08-02","MAPA"
323,348,323,340,242000,"2018-08-03","MAPA"
341,345,341,341,86000,"2018-08-06","MAPA"
341,345,341,344,110000,"2018-08-07","MAPA"
344,355,344,355,367000,"2018-08-08","MAPA"
355,373,355,373,146000,"2018-08-09","MAPA"
380,462,380,442,1061000,"2018-08-10","MAPA"
440,440,381,416,446000,"2018-08-13","MAPA"
416,429,370,370,1005000,"2018-08-14","MAPA"
380,381,340,367,796000,"2018-08-15","MAPA"
355,355,330,335,313000,"2018-08-16","MAPA"
335,335,335,335,0,"2018-08-17","MAPA"
335,370,335,365,303000,"2018-08-20","MAPA"
365,387,360,366,81000,"2018-08-21","MAPA"
366,366,366,366,0,"2018-08-22","MAPA"
366,370,366,367,179000,"2018-08-23","MAPA"
368,417,368,398,403000,"2018-08-24","MAPA"
410,432,410,425,675000,"2018-08-27","MAPA"
420,441,420,440,211000,"2018-08-28","MAPA"
450,464,449,462,352000,"2018-08-29","MAPA"
463,485,463,476,942000,"2018-08-30","MAPA"
476,476,458,467,256000,"2018-08-31","MAPA"
456,460,420,460,346000,"2018-09-03","MAPA"
447,447,440,445,13000,"2018-09-04","MAPA"
442,442,396,398,170000,"2018-09-05","MAPA"
398,398,398,398,0,"2018-09-06","MAPA"
401,404,400,404,54000,"2018-09-07","MAPA"
404,404,404,404,12000,"2018-09-10","MAPA"
404,404,404,404,0,"2018-09-11","MAPA"
404,420,404,410,22000,"2018-09-12","MAPA"
418,418,418,418,11000,"2018-09-13","MAPA"
418,421,418,418,31000,"2018-09-14","MAPA"
418,418,418,418,2000,"2018-09-17","MAPA"
418,418,417,418,63000,"2018-09-18","MAPA"
418,418,418,418,20000,"2018-09-19","MAPA"
418,418,417,418,17000,"2018-09-20","MAPA"
385,390,360,380,512000,"2018-09-21","MAPA"
380,420,337,380,103000,"2018-09-24","MAPA"
380,380,380,380,0,"2018-09-25","MAPA"
379,380,378,379,26000,"2018-09-26","MAPA"
379,379,351,351,11000,"2018-09-27","MAPA"
351,351,350,350,98000,"2018-09-28","MAPA"
350,376,350,376,31000,"2018-10-01","MAPA"
376,395,375,389,118000,"2018-10-02","MAPA"
387,398,360,360,92000,"2018-10-03","MAPA"
361,384,360,381,17000,"2018-10-04","MAPA"
375,440,375,435,24000,"2018-10-05","MAPA"
435,435,435,435,0,"2018-10-08","MAPA"
435,435,435,435,0,"2018-10-09","MAPA"
435,435,435,435,0,"2018-10-10","MAPA"
390,390,390,390,19000,"2018-10-11","MAPA"
390,390,390,390,0,"2018-10-12","MAPA"
353,389,352,388,28000,"2018-10-15","MAPA"
369,399,368,395,309000,"2018-10-16","MAPA"
395,395,395,395,0,"2018-10-17","MAPA"
392,393,392,393,6000,"2018-10-18","MAPA"
380,389,379,379,6000,"2018-10-19","MAPA"
369,369,351,368,55000,"2018-10-22","MAPA"
350,366,349,360,119000,"2018-10-23","MAPA"
366,383,346,364,67000,"2018-10-24","MAPA"
370,380,357,358,27000,"2018-10-25","MAPA"
