"Open","High","Low","Close","Volume","Date","Emiten"
93.1999969482422,93.1999969482422,82,88.8000030517578,162060000,"2017-07-13","MARK"
88.4000015258789,90.4000015258789,83.5999984741211,88.8000030517578,49557000,"2017-07-14","MARK"
88.8000030517578,89.1999969482422,84,84,6644000,"2017-07-17","MARK"
84.8000030517578,88,80,82,30602000,"2017-07-18","MARK"
81.5999984741211,85.1999969482422,80.8000030517578,82.4000015258789,14051000,"2017-07-19","MARK"
82.4000015258789,82.4000015258789,80.4000015258789,80.4000015258789,4853000,"2017-07-20","MARK"
80,81.1999969482422,79.5999984741211,80.4000015258789,9018500,"2017-07-21","MARK"
81.1999969482422,95.1999969482422,81.1999969482422,89.5999984741211,118399500,"2017-07-24","MARK"
89.5999984741211,100,89.5999984741211,99.5999984741211,190536500,"2017-07-25","MARK"
99.5999984741211,100,96.8000030517578,98.8000030517578,12958000,"2017-07-26","MARK"
99.5999984741211,103,97.5999984741211,99.1999969482422,85376000,"2017-07-27","MARK"
99.1999969482422,101,96.8000030517578,97.1999969482422,23864500,"2017-07-28","MARK"
96,96.8000030517578,93.5999984741211,96,16982000,"2017-07-31","MARK"
96,98,96,96.4000015258789,18571500,"2017-08-01","MARK"
96,96.4000015258789,95.1999969482422,96,1642500,"2017-08-02","MARK"
95.1999969482422,96,93.1999969482422,93.5999984741211,2371500,"2017-08-03","MARK"
92.8000030517578,94.4000015258789,90,93.5999984741211,10550000,"2017-08-04","MARK"
93.5999984741211,94,91.1999969482422,91.1999969482422,1312500,"2017-08-07","MARK"
92,92,84,84,3411500,"2017-08-08","MARK"
86,98,86,96.4000015258789,150205500,"2017-08-09","MARK"
96.8000030517578,98,95.1999969482422,95.5999984741211,3.9e+07,"2017-08-10","MARK"
94.8000030517578,94.8000030517578,93.1999969482422,94.8000030517578,4642500,"2017-08-11","MARK"
95.1999969482422,95.1999969482422,94,94,442000,"2017-08-14","MARK"
94,94.8000030517578,94,94.4000015258789,528500,"2017-08-15","MARK"
94.4000015258789,96.8000030517578,93.5999984741211,94.8000030517578,16533000,"2017-08-16","MARK"
94.8000030517578,94.8000030517578,94.8000030517578,94.8000030517578,0,"2017-08-17","MARK"
94.8000030517578,98.8000030517578,94.8000030517578,98,35851500,"2017-08-18","MARK"
98,99.5999984741211,97.1999969482422,97.1999969482422,29298000,"2017-08-21","MARK"
96.4000015258789,96.4000015258789,96,96.4000015258789,2316500,"2017-08-22","MARK"
96,113,95.1999969482422,104,121962000,"2017-08-23","MARK"
104,105,103,103,15136500,"2017-08-24","MARK"
104,109,101,106,46264000,"2017-08-25","MARK"
106,106,103,106,16760500,"2017-08-28","MARK"
105,105,104,105,6401500,"2017-08-29","MARK"
104,112,104,111,39077500,"2017-08-30","MARK"
111,114,109,111,14946000,"2017-08-31","MARK"
111,111,111,111,0,"2017-09-01","MARK"
112,113,110,112,11744500,"2017-09-04","MARK"
113,120,113,118,42905500,"2017-09-05","MARK"
118,131,117,131,63594000,"2017-09-06","MARK"
131,145,129,144,11212500,"2017-09-07","MARK"
145,160,140,140,13166000,"2017-09-08","MARK"
140,142,131,136,4429000,"2017-09-11","MARK"
139,166,137,162,139217500,"2017-09-12","MARK"
164,165,154,157,13497500,"2017-09-13","MARK"
157,162,155,156,5492000,"2017-09-14","MARK"
156,157,150,150,16446000,"2017-09-15","MARK"
155,165,155,157,13842000,"2017-09-18","MARK"
158,165,157,157,19707500,"2017-09-19","MARK"
158,162,154,156,24383500,"2017-09-20","MARK"
156,156,156,156,0,"2017-09-21","MARK"
156,161,152,152,20977500,"2017-09-22","MARK"
151,159,151,152,26222500,"2017-09-25","MARK"
152,154,140,146,2710000,"2017-09-26","MARK"
150,152,136,150,17667000,"2017-09-27","MARK"
152,160,148,158,14413000,"2017-09-28","MARK"
158,160,155,155,13784000,"2017-09-29","MARK"
155,193,155,193,113698000,"2017-10-02","MARK"
193,194,178,185,21879000,"2017-10-03","MARK"
185,219,175,207,65846000,"2017-10-04","MARK"
208,214,203,204,29657000,"2017-10-05","MARK"
204,210,196,199,19688500,"2017-10-06","MARK"
200,201,196,200,18580500,"2017-10-09","MARK"
201,215,198,200,21993500,"2017-10-10","MARK"
201,201,194,195,20296500,"2017-10-11","MARK"
196,199,195,197,16293000,"2017-10-12","MARK"
196,202,196,201,11910500,"2017-10-13","MARK"
201,207,199,201,16972000,"2017-10-16","MARK"
201,207,200,201,14296000,"2017-10-17","MARK"
201,201,196,197,21179000,"2017-10-18","MARK"
198,221,196,198,87549000,"2017-10-19","MARK"
199,201,196,200,17493000,"2017-10-20","MARK"
