"Open","High","Low","Close","Volume","Date","Emiten"
805,955,805,885,1303667800,"2023-04-18","MBMA"
880,900,825,825,253021200,"2023-04-26","MBMA"
800,845,795,820,444561200,"2023-04-27","MBMA"
820,845,805,830,135630400,"2023-04-28","MBMA"
830,845,790,805,190368700,"2023-05-02","MBMA"
805,810,785,795,124398600,"2023-05-03","MBMA"
800,815,790,805,54296800,"2023-05-04","MBMA"
810,815,750,790,247231100,"2023-05-05","MBMA"
790,795,770,795,83839400,"2023-05-08","MBMA"
795,800,775,790,90885100,"2023-05-09","MBMA"
780,790,770,780,48534400,"2023-05-10","MBMA"
785,785,755,770,73137200,"2023-05-11","MBMA"
765,775,755,775,43372400,"2023-05-12","MBMA"
780,795,765,795,31261700,"2023-05-15","MBMA"
795,800,770,775,45221200,"2023-05-16","MBMA"
775,795,765,790,23687600,"2023-05-17","MBMA"
790,795,760,765,43839000,"2023-05-19","MBMA"
765,770,735,750,83998700,"2023-05-22","MBMA"
755,775,745,775,46158700,"2023-05-23","MBMA"
770,770,760,760,21404100,"2023-05-24","MBMA"
760,775,750,775,15851600,"2023-05-25","MBMA"
770,775,765,775,19262800,"2023-05-26","MBMA"
775,780,755,765,30377700,"2023-05-29","MBMA"
765,770,755,760,10049800,"2023-05-30","MBMA"
755,760,750,755,14607800,"2023-05-31","MBMA"
755,790,755,790,33654900,"2023-06-05","MBMA"
795,795,770,780,33176900,"2023-06-06","MBMA"
795,795,765,780,19271900,"2023-06-07","MBMA"
780,795,770,780,34705100,"2023-06-08","MBMA"
790,790,770,780,27605600,"2023-06-09","MBMA"
780,785,765,770,24996000,"2023-06-12","MBMA"
770,770,750,765,32044500,"2023-06-13","MBMA"
765,790,760,790,45966900,"2023-06-14","MBMA"
790,820,780,815,77061800,"2023-06-15","MBMA"
820,820,800,815,52324200,"2023-06-16","MBMA"
815,825,805,815,39489500,"2023-06-19","MBMA"
815,825,805,815,17797800,"2023-06-20","MBMA"
815,825,805,820,27043200,"2023-06-21","MBMA"
820,825,810,820,17734100,"2023-06-22","MBMA"
820,840,815,830,39551200,"2023-06-23","MBMA"
830,835,815,815,16683000,"2023-06-26","MBMA"
815,815,765,810,83902200,"2023-06-27","MBMA"
800,810,790,805,8625300,"2023-07-03","MBMA"
805,805,790,790,28752600,"2023-07-04","MBMA"
790,805,785,800,18918400,"2023-07-05","MBMA"
800,810,780,795,49201500,"2023-07-06","MBMA"
790,795,775,785,22733300,"2023-07-07","MBMA"
785,790,770,775,25692300,"2023-07-10","MBMA"
775,775,765,770,27653400,"2023-07-11","MBMA"
770,770,755,755,32405400,"2023-07-12","MBMA"
760,770,750,765,45468100,"2023-07-13","MBMA"
765,765,755,755,31148600,"2023-07-14","MBMA"
770,770,750,755,22926400,"2023-07-17","MBMA"
755,755,740,755,27451800,"2023-07-18","MBMA"
715,760,715,755,26444200,"2023-07-20","MBMA"
755,760,745,755,20506000,"2023-07-21","MBMA"
755,755,745,750,22217900,"2023-07-24","MBMA"
750,755,740,745,22190700,"2023-07-25","MBMA"
745,745,725,735,48536400,"2023-07-26","MBMA"
735,735,715,725,31664600,"2023-07-27","MBMA"
725,740,720,740,23313800,"2023-07-28","MBMA"
745,750,735,745,22303700,"2023-07-31","MBMA"
750,750,740,745,10357900,"2023-08-01","MBMA"
750,750,715,720,42558800,"2023-08-02","MBMA"
720,740,715,730,14149200,"2023-08-03","MBMA"
730,740,730,740,5813200,"2023-08-04","MBMA"
740,740,730,740,8068500,"2023-08-07","MBMA"
740,745,730,745,22768200,"2023-08-08","MBMA"
745,745,735,740,11139600,"2023-08-09","MBMA"
735,740,725,730,12768600,"2023-08-10","MBMA"
730,735,725,730,4004000,"2023-08-11","MBMA"
730,730,720,720,9103100,"2023-08-14","MBMA"
725,730,715,725,13740200,"2023-08-15","MBMA"
725,730,715,720,10057500,"2023-08-16","MBMA"
720,725,715,725,7002400,"2023-08-18","MBMA"
720,725,715,715,12600000,"2023-08-21","MBMA"
720,725,715,720,15991700,"2023-08-22","MBMA"
720,800,715,785,165609300,"2023-08-23","MBMA"
785,805,765,765,97574200,"2023-08-24","MBMA"
750,765,735,735,55541800,"2023-08-25","MBMA"
740,780,735,780,118520400,"2023-08-28","MBMA"
780,790,755,755,68102600,"2023-08-29","MBMA"
760,810,755,805,188575100,"2023-08-30","MBMA"
805,835,785,810,290271200,"2023-08-31","MBMA"
815,820,800,810,97918000,"2023-09-01","MBMA"
815,890,810,860,301778300,"2023-09-04","MBMA"
860,870,845,850,135110200,"2023-09-05","MBMA"
855,900,850,890,275883200,"2023-09-06","MBMA"
890,895,860,860,152177300,"2023-09-07","MBMA"
855,870,835,835,108062100,"2023-09-08","MBMA"
840,855,830,840,77754300,"2023-09-11","MBMA"
845,855,830,845,67119200,"2023-09-12","MBMA"
840,850,830,840,79284400,"2023-09-13","MBMA"
