"Open","High","Low","Close","Volume","Date","Emiten"
1500,1690,1325,1565,66018000,"2021-09-07","MCOL"
1560,1675,1505,1650,21391900,"2021-09-08","MCOL"
1630,1700,1600,1660,9372900,"2021-09-09","MCOL"
1660,1670,1630,1670,5210900,"2021-09-10","MCOL"
1655,1665,1640,1640,2409700,"2021-09-13","MCOL"
1650,1650,1610,1615,1961500,"2021-09-14","MCOL"
1615,1620,1600,1610,1328500,"2021-09-15","MCOL"
1600,1610,1550,1560,1436500,"2021-09-16","MCOL"
1565,1575,1540,1575,1570900,"2021-09-17","MCOL"
1565,1585,1545,1585,753100,"2021-09-20","MCOL"
1570,1595,1550,1590,1070200,"2021-09-21","MCOL"
1580,1605,1580,1595,1536100,"2021-09-22","MCOL"
1595,1630,1580,1630,3102500,"2021-09-23","MCOL"
1630,1635,1615,1630,1641400,"2021-09-24","MCOL"
1630,1645,1615,1625,826700,"2021-09-27","MCOL"
1620,1665,1610,1665,2475900,"2021-09-28","MCOL"
1670,1670,1635,1640,778100,"2021-09-29","MCOL"
1670,1675,1630,1670,2198600,"2021-09-30","MCOL"
1670,1695,1665,1695,2290200,"2021-10-01","MCOL"
1695,1750,1695,1740,8484100,"2021-10-04","MCOL"
1750,1780,1750,1765,5246200,"2021-10-05","MCOL"
1785,1785,1705,1740,3732700,"2021-10-06","MCOL"
1740,1780,1680,1750,3796500,"2021-10-07","MCOL"
1765,1765,1750,1760,407800,"2021-10-08","MCOL"
1760,1800,1730,1775,6206000,"2021-10-11","MCOL"
1800,1800,1760,1765,1220100,"2021-10-12","MCOL"
1765,1775,1740,1750,624700,"2021-10-13","MCOL"
1740,1800,1740,1780,1821100,"2021-10-14","MCOL"
1800,1800,1765,1785,348400,"2021-10-15","MCOL"
1785,1785,1770,1775,124600,"2021-10-18","MCOL"
1765,1790,1750,1780,1021300,"2021-10-19","MCOL"
1770,1795,1760,1780,1398400,"2021-10-21","MCOL"
1770,1810,1765,1810,3055700,"2021-10-22","MCOL"
1810,1830,1800,1830,2044300,"2021-10-25","MCOL"
1835,2280,1830,2280,13850600,"2021-10-26","MCOL"
2350,2850,2300,2850,11466900,"2021-10-27","MCOL"
2800,3070,2660,2820,10752700,"2021-10-28","MCOL"
2810,2840,2670,2800,1415700,"2021-10-29","MCOL"
2850,2860,2750,2830,521900,"2021-11-01","MCOL"
2830,2840,2750,2800,386500,"2021-11-02","MCOL"
2800,2830,2700,2730,890800,"2021-11-03","MCOL"
2730,2800,2720,2760,191200,"2021-11-04","MCOL"
2730,2810,2730,2750,126500,"2021-11-05","MCOL"
2750,2810,2750,2810,803600,"2021-11-08","MCOL"
2820,2980,2810,2970,1560700,"2021-11-09","MCOL"
2970,3040,2790,2800,3619300,"2021-11-10","MCOL"
2800,2900,2800,2820,185900,"2021-11-11","MCOL"
2850,2850,2820,2840,378900,"2021-11-12","MCOL"
2850,2950,2800,2910,2157600,"2021-11-15","MCOL"
2910,3040,2910,3030,1112200,"2021-11-16","MCOL"
3030,3580,3030,3340,5984800,"2021-11-17","MCOL"
3340,3440,3250,3390,2681300,"2021-11-18","MCOL"
3400,3450,3350,3430,1016400,"2021-11-19","MCOL"
3430,3740,3400,3690,3183100,"2021-11-22","MCOL"
3690,3750,3560,3600,1724800,"2021-11-23","MCOL"
3610,3680,3490,3590,2310000,"2021-11-24","MCOL"
3520,3600,3400,3500,2465600,"2021-11-25","MCOL"
3350,3480,3260,3440,2555000,"2021-11-26","MCOL"
3440,3440,3340,3410,448200,"2021-11-29","MCOL"
3380,3420,3350,3400,645500,"2021-11-30","MCOL"
3400,3400,3350,3400,705900,"2021-12-01","MCOL"
3400,3400,3360,3400,567200,"2021-12-02","MCOL"
3380,3400,3360,3400,263000,"2021-12-03","MCOL"
3360,3400,3360,3370,161200,"2021-12-06","MCOL"
3320,3430,3320,3430,677400,"2021-12-07","MCOL"
3460,3460,3340,3360,744100,"2021-12-08","MCOL"
3360,3420,3350,3390,289600,"2021-12-09","MCOL"
3400,3400,3350,3360,250900,"2021-12-10","MCOL"
3360,3450,3350,3370,827400,"2021-12-13","MCOL"
3390,3400,3350,3400,407500,"2021-12-14","MCOL"
3400,3400,3380,3390,470200,"2021-12-15","MCOL"
3390,3800,3370,3720,5413300,"2021-12-16","MCOL"
3720,3780,3500,3570,1922000,"2021-12-17","MCOL"
3570,3630,3560,3590,208200,"2021-12-20","MCOL"
3600,3660,3570,3600,492400,"2021-12-21","MCOL"
3600,3670,3600,3640,86900,"2021-12-22","MCOL"
3640,3670,3600,3620,430300,"2021-12-23","MCOL"
3650,3700,3600,3620,458400,"2021-12-24","MCOL"
3620,3720,3610,3670,631000,"2021-12-27","MCOL"
3670,3690,3620,3670,272600,"2021-12-28","MCOL"
3670,3710,3560,3690,524800,"2021-12-29","MCOL"
3700,3720,3670,3700,321200,"2021-12-30","MCOL"
3670,3690,3510,3530,1262800,"2022-01-03","MCOL"
3570,3570,3400,3490,1914400,"2022-01-04","MCOL"
3490,3630,3450,3480,926500,"2022-01-05","MCOL"
3500,3500,3350,3400,1045000,"2022-01-06","MCOL"
3450,3490,3360,3400,820600,"2022-01-07","MCOL"
3400,3500,3400,3500,259000,"2022-01-10","MCOL"
3500,3590,3430,3430,559200,"2022-01-11","MCOL"
3430,3500,3420,3450,671200,"2022-01-12","MCOL"
3450,3480,3390,3440,540000,"2022-01-13","MCOL"
3490,3490,3400,3440,590700,"2022-01-14","MCOL"
3440,3520,3410,3410,697800,"2022-01-17","MCOL"
3490,3520,3410,3440,1478700,"2022-01-18","MCOL"
3430,3510,3410,3470,1201200,"2022-01-19","MCOL"
3440,3600,3410,3570,2604800,"2022-01-20","MCOL"
3570,3590,3460,3500,1286200,"2022-01-21","MCOL"
3510,3550,3480,3550,210000,"2022-01-24","MCOL"
3570,3600,3500,3500,198900,"2022-01-25","MCOL"
3500,3750,3480,3590,1237000,"2022-01-26","MCOL"
3590,3600,3490,3600,1040800,"2022-01-27","MCOL"
3600,3650,3530,3630,1289500,"2022-01-28","MCOL"
3630,3650,3560,3630,498100,"2022-01-31","MCOL"
3620,3650,3590,3650,539000,"2022-02-02","MCOL"
3650,3690,3560,3690,1366000,"2022-02-03","MCOL"
3690,3750,3600,3620,3237900,"2022-02-04","MCOL"
3610,3670,3520,3560,2376800,"2022-02-07","MCOL"
3530,3580,3520,3520,664000,"2022-02-08","MCOL"
3520,3630,3480,3550,1938700,"2022-02-09","MCOL"
3550,3640,3420,3490,1763000,"2022-02-10","MCOL"
3570,3600,3450,3550,2884400,"2022-02-11","MCOL"
3530,3590,3500,3540,1451200,"2022-02-14","MCOL"
3560,3600,3490,3550,1682200,"2022-02-15","MCOL"
3550,3560,3460,3560,2771900,"2022-02-16","MCOL"
3560,3650,3470,3480,2641700,"2022-02-17","MCOL"
3490,3600,3470,3510,1969800,"2022-02-18","MCOL"
3510,3560,3470,3520,1256300,"2022-02-21","MCOL"
3520,3580,3520,3540,836500,"2022-02-22","MCOL"
3540,3620,3510,3590,1894900,"2022-02-23","MCOL"
3600,3630,3560,3600,614000,"2022-02-24","MCOL"
3600,3700,3580,3580,496500,"2022-02-25","MCOL"
3580,3650,3570,3580,603200,"2022-03-01","MCOL"
3600,3700,3570,3600,2039200,"2022-03-02","MCOL"
3610,3680,3600,3620,2064700,"2022-03-04","MCOL"
3630,3660,3630,3660,1455800,"2022-03-07","MCOL"
3660,3700,3640,3690,640500,"2022-03-08","MCOL"
3690,3780,3560,3720,2105600,"2022-03-09","MCOL"
3750,3750,3580,3580,3392400,"2022-03-10","MCOL"
3580,3680,3580,3650,347200,"2022-03-11","MCOL"
3650,3650,3650,3650,0,"2022-03-14","MCOL"
3610,3680,3600,3640,304100,"2022-03-15","MCOL"
3640,3650,3600,3630,452000,"2022-03-16","MCOL"
3630,3660,3580,3580,446500,"2022-03-17","MCOL"
3590,3620,3560,3600,594500,"2022-03-18","MCOL"
3580,3640,3580,3600,262000,"2022-03-21","MCOL"
3600,3650,3590,3630,690400,"2022-03-22","MCOL"
3630,3650,3580,3600,793200,"2022-03-23","MCOL"
3600,3640,3560,3620,2183200,"2022-03-24","MCOL"
3620,3640,3580,3620,384900,"2022-03-25","MCOL"
3620,3670,3600,3650,842500,"2022-03-28","MCOL"
3650,4000,3630,3900,5467300,"2022-03-29","MCOL"
3920,4160,3910,4090,3996800,"2022-03-30","MCOL"
4120,4160,4020,4050,910600,"2022-03-31","MCOL"
4100,4110,4050,4110,791400,"2022-04-01","MCOL"
4150,4600,4150,4590,2138700,"2022-04-04","MCOL"
4600,4630,4510,4570,2156000,"2022-04-05","MCOL"
4600,4630,4560,4580,626300,"2022-04-06","MCOL"
