"Open","High","Low","Close","Volume","Date","Emiten"
168,168,168,168,55249600,"2022-08-10","MEDS"
226,226,157,186,317716000,"2022-08-11","MEDS"
188,195,173,192,49840200,"2022-08-12","MEDS"
194,258,188,258,182428500,"2022-08-15","MEDS"
270,316,240,284,266788800,"2022-08-16","MEDS"
288,346,270,342,149165100,"2022-08-18","MEDS"
350,426,344,426,139502700,"2022-08-19","MEDS"
440,515,398,476,210900300,"2022-08-22","MEDS"
480,520,444,444,104808500,"2022-08-23","MEDS"
444,454,414,414,32131600,"2022-08-24","MEDS"
398,408,386,386,8723000,"2022-08-25","MEDS"
380,458,360,430,175003000,"2022-08-26","MEDS"
434,440,400,400,84454900,"2022-08-29","MEDS"
400,402,372,372,46278500,"2022-08-30","MEDS"
368,376,346,346,44951900,"2022-08-31","MEDS"
342,354,322,322,23033700,"2022-09-01","MEDS"
322,332,300,300,35686300,"2022-09-02","MEDS"
284,300,280,280,16012300,"2022-09-05","MEDS"
264,312,262,282,156891300,"2022-09-06","MEDS"
276,292,272,274,27096600,"2022-09-07","MEDS"
264,286,256,278,60085100,"2022-09-08","MEDS"
280,282,266,268,22933100,"2022-09-09","MEDS"
268,270,250,252,10237700,"2022-09-12","MEDS"
252,296,252,284,87183500,"2022-09-13","MEDS"
286,308,274,290,70639000,"2022-09-14","MEDS"
292,296,270,282,72545100,"2022-09-15","MEDS"
280,292,276,276,14342800,"2022-09-16","MEDS"
276,286,262,286,21066700,"2022-09-19","MEDS"
286,312,280,304,162468700,"2022-09-20","MEDS"
308,318,294,304,117127800,"2022-09-21","MEDS"
304,308,284,288,60068800,"2022-09-22","MEDS"
288,314,288,310,57289200,"2022-09-23","MEDS"
310,314,290,290,44189400,"2022-09-26","MEDS"
288,292,270,270,45888900,"2022-09-27","MEDS"
270,284,252,252,60910900,"2022-09-28","MEDS"
250,254,236,236,11163300,"2022-09-29","MEDS"
220,236,220,220,16756600,"2022-09-30","MEDS"
218,220,206,206,11130400,"2022-10-03","MEDS"
206,238,202,210,42049900,"2022-10-04","MEDS"
216,224,204,212,20983400,"2022-10-05","MEDS"
212,218,208,210,9119400,"2022-10-06","MEDS"
210,214,206,208,5915100,"2022-10-07","MEDS"
208,232,202,232,34052000,"2022-10-10","MEDS"
232,246,216,216,84865900,"2022-10-11","MEDS"
202,216,202,202,33558700,"2022-10-12","MEDS"
200,204,189,193,7410200,"2022-10-13","MEDS"
190,218,190,208,75219200,"2022-10-14","MEDS"
208,220,195,208,66218500,"2022-10-17","MEDS"
208,216,194,197,63557600,"2022-10-18","MEDS"
197,210,190,199,16500700,"2022-10-19","MEDS"
199,206,186,196,16291700,"2022-10-20","MEDS"
197,200,183,184,87723700,"2022-10-21","MEDS"
184,200,180,182,42130400,"2022-10-24","MEDS"
182,189,170,171,53097700,"2022-10-25","MEDS"
174,181,168,173,14283900,"2022-10-26","MEDS"
174,182,173,174,17023700,"2022-10-27","MEDS"
180,182,172,174,10096700,"2022-10-28","MEDS"
174,178,172,173,5050800,"2022-10-31","MEDS"
173,179,161,161,26784500,"2022-11-01","MEDS"
161,171,158,162,15818000,"2022-11-02","MEDS"
163,165,159,161,8727300,"2022-11-03","MEDS"
153,173,153,171,15027000,"2022-11-04","MEDS"
171,175,160,160,39046100,"2022-11-07","MEDS"
161,166,150,159,16406200,"2022-11-08","MEDS"
161,174,158,174,17690300,"2022-11-09","MEDS"
173,196,170,191,110548600,"2022-11-10","MEDS"
192,195,180,181,27578500,"2022-11-11","MEDS"
182,193,174,193,65655000,"2022-11-14","MEDS"
196,196,180,180,37252600,"2022-11-15","MEDS"
182,188,168,175,40836600,"2022-11-16","MEDS"
181,183,172,183,23220200,"2022-11-17","MEDS"
184,193,183,191,24312700,"2022-11-18","MEDS"
192,193,183,190,30085000,"2022-11-21","MEDS"
190,191,186,188,8158500,"2022-11-22","MEDS"
188,191,183,184,40575600,"2022-11-23","MEDS"
184,188,180,184,12030400,"2022-11-24","MEDS"
183,214,183,202,69266700,"2022-11-25","MEDS"
202,210,200,202,22262600,"2022-11-28","MEDS"
204,204,193,200,11833800,"2022-11-29","MEDS"
200,210,193,206,41705800,"2022-11-30","MEDS"
208,212,199,208,43866600,"2022-12-01","MEDS"
208,230,200,214,50224200,"2022-12-02","MEDS"
218,218,202,214,13190000,"2022-12-05","MEDS"
214,220,204,218,18153100,"2022-12-06","MEDS"
218,222,204,210,56185200,"2022-12-07","MEDS"
210,216,202,204,13590400,"2022-12-08","MEDS"
206,208,190,190,16695200,"2022-12-09","MEDS"
190,190,177,177,25009400,"2022-12-12","MEDS"
175,184,165,166,33763500,"2022-12-13","MEDS"
166,173,163,166,53610000,"2022-12-14","MEDS"
168,173,163,168,48526200,"2022-12-15","MEDS"
168,170,159,160,54171600,"2022-12-16","MEDS"
160,166,153,155,65485100,"2022-12-19","MEDS"
152,159,152,154,47060300,"2022-12-20","MEDS"
154,156,146,150,54306700,"2022-12-21","MEDS"
154,157,145,148,46671900,"2022-12-22","MEDS"
150,158,148,149,34956100,"2022-12-23","MEDS"
151,159,144,147,42592100,"2022-12-26","MEDS"
152,157,140,145,36475800,"2022-12-27","MEDS"
146,155,141,143,39993300,"2022-12-28","MEDS"
145,153,136,137,19587600,"2022-12-29","MEDS"
139,139,130,134,5014100,"2022-12-30","MEDS"
134,134,126,133,8829900,"2023-01-02","MEDS"
125,136,125,133,12813100,"2023-01-03","MEDS"
133,140,128,135,17104900,"2023-01-04","MEDS"
136,138,128,130,12795400,"2023-01-05","MEDS"
133,133,125,131,11793300,"2023-01-06","MEDS"
131,133,127,131,20310400,"2023-01-09","MEDS"
131,132,125,125,5336200,"2023-01-10","MEDS"
125,127,117,119,12911900,"2023-01-11","MEDS"
118,119,111,111,18509600,"2023-01-12","MEDS"
105,112,104,105,21612200,"2023-01-13","MEDS"
99,106,98,98,9586400,"2023-01-16","MEDS"
98,100,92,99,33459800,"2023-01-17","MEDS"
95,105,95,100,30004000,"2023-01-18","MEDS"
103,105,98,99,17423300,"2023-01-19","MEDS"
104,104,95,100,28674400,"2023-01-20","MEDS"
101,103,95,95,26008700,"2023-01-24","MEDS"
95,97,91,92,22419800,"2023-01-25","MEDS"
91,95,91,94,9346300,"2023-01-26","MEDS"
88,98,88,97,12173900,"2023-01-27","MEDS"
98,98,96,98,12705400,"2023-01-30","MEDS"
98,114,97,104,44745600,"2023-01-31","MEDS"
104,109,102,109,16607800,"2023-02-01","MEDS"
111,111,107,107,11471600,"2023-02-02","MEDS"
108,137,107,124,128181700,"2023-02-03","MEDS"
128,140,124,132,76153300,"2023-02-06","MEDS"
134,135,130,132,23574200,"2023-02-07","MEDS"
134,134,131,133,10068300,"2023-02-08","MEDS"
134,135,124,125,30636700,"2023-02-09","MEDS"
128,130,118,130,114830700,"2023-02-10","MEDS"
130,148,130,148,71834700,"2023-02-13","MEDS"
149,183,148,181,209430700,"2023-02-14","MEDS"
181,220,181,210,201743600,"2023-02-15","MEDS"
212,214,196,196,21304500,"2023-02-16","MEDS"
186,193,183,183,13487400,"2023-02-17","MEDS"
184,184,171,171,7804000,"2023-02-20","MEDS"
170,170,160,160,31438800,"2023-02-21","MEDS"
150,186,150,186,268856500,"2023-02-22","MEDS"
186,188,173,173,60009300,"2023-02-23","MEDS"
170,173,161,161,10452500,"2023-02-24","MEDS"
158,165,150,161,70576200,"2023-02-27","MEDS"
160,164,155,156,40717400,"2023-02-28","MEDS"
157,175,157,165,127245500,"2023-03-01","MEDS"
166,169,161,164,67089200,"2023-03-02","MEDS"
164,171,164,168,58597500,"2023-03-03","MEDS"
168,173,167,170,64454200,"2023-03-06","MEDS"
170,174,159,159,29827900,"2023-03-07","MEDS"
150,164,148,162,47859700,"2023-03-08","MEDS"
163,171,162,165,59632100,"2023-03-09","MEDS"
163,172,155,167,42410500,"2023-03-10","MEDS"
168,173,162,166,43046300,"2023-03-13","MEDS"
165,173,162,166,38351800,"2023-03-14","MEDS"
166,178,155,156,159378700,"2023-03-15","MEDS"
153,161,149,158,29357500,"2023-03-16","MEDS"
158,161,156,158,17149000,"2023-03-17","MEDS"
159,159,152,152,20734900,"2023-03-20","MEDS"
152,155,142,142,7612800,"2023-03-21","MEDS"
141,143,133,143,26862500,"2023-03-24","MEDS"
134,151,134,140,19688400,"2023-03-27","MEDS"
140,143,131,131,27617500,"2023-03-28","MEDS"
131,132,122,122,34520700,"2023-03-29","MEDS"
114,125,114,119,21622300,"2023-03-30","MEDS"
115,124,115,121,9770700,"2023-03-31","MEDS"
118,122,118,118,22485700,"2023-04-03","MEDS"
117,124,116,120,29189800,"2023-04-04","MEDS"
122,122,112,112,21912900,"2023-04-05","MEDS"
112,113,108,108,9843900,"2023-04-06","MEDS"
108,122,108,119,43774100,"2023-04-10","MEDS"
119,121,111,115,22365100,"2023-04-11","MEDS"
115,116,110,114,11665700,"2023-04-12","MEDS"
114,116,109,111,24853500,"2023-04-13","MEDS"
111,114,109,112,14861300,"2023-04-14","MEDS"
113,120,111,113,38501000,"2023-04-17","MEDS"
113,117,111,114,25767900,"2023-04-18","MEDS"
114,115,107,110,22947100,"2023-04-26","MEDS"
110,122,103,104,72737500,"2023-04-27","MEDS"
104,112,101,111,32343700,"2023-04-28","MEDS"
112,115,104,105,27508100,"2023-05-02","MEDS"
106,116,103,105,93255300,"2023-05-03","MEDS"
106,107,102,102,12385700,"2023-05-04","MEDS"
103,108,95,95,67217600,"2023-05-05","MEDS"
95,98,92,93,30946500,"2023-05-08","MEDS"
93,116,87,95,269311200,"2023-05-09","MEDS"
