"Open","High","Low","Close","Volume","Date","Emiten"
2000,2000,2000,2000,0,"2007-01-02","MERK"
2000,2000,2000,2000,0,"2007-01-03","MERK"
2000,2000,2000,2000,0,"2007-01-04","MERK"
2000,2000,2000,2000,0,"2007-01-05","MERK"
2000,2000,2000,2000,60,"2007-01-08","MERK"
2000,2000,2000,2000,10000,"2007-01-09","MERK"
1905,1905,1905,1905,130000,"2007-01-10","MERK"
1905,1905,1905,1905,60,"2007-01-11","MERK"
1905,1905,1905,1905,10000,"2007-01-12","MERK"
1905,1905,1905,1905,0,"2007-01-15","MERK"
1905,1905,1905,1905,40,"2007-01-16","MERK"
1905,1905,1905,1905,0,"2007-01-17","MERK"
2000,2000,2000,2000,30000,"2007-01-18","MERK"
2000,2000,2000,2000,60,"2007-01-19","MERK"
2000,2000,2000,2000,60,"2007-01-22","MERK"
2000,2000,2000,2000,20,"2007-01-23","MERK"
2125,2150,2080,2125,150000,"2007-01-24","MERK"
2125,2125,2125,2125,180000,"2007-01-25","MERK"
2115,2115,2100,2115,1e+05,"2007-01-26","MERK"
2115,2115,2115,2115,60,"2007-01-29","MERK"
2115,2115,2115,2115,40,"2007-01-30","MERK"
2120,2120,2115,2120,40000,"2007-01-31","MERK"
2175,2175,2120,2175,230000,"2007-02-01","MERK"
2175,2175,2175,2175,60,"2007-02-02","MERK"
2175,2175,2175,2175,60,"2007-02-05","MERK"
2180,2180,2180,2180,1e+05,"2007-02-06","MERK"
2187.5,2187.5,2187.5,2187.5,10000,"2007-02-07","MERK"
2180,2180,2180,2180,10000,"2007-02-08","MERK"
2180,2180,2180,2180,40,"2007-02-09","MERK"
2180,2180,2180,2180,40,"2007-02-12","MERK"
2180,2180,2180,2180,60000,"2007-02-13","MERK"
2180,2180,2180,2180,60,"2007-02-14","MERK"
2180,2180,2180,2180,60,"2007-02-15","MERK"
2180,2180,2180,2180,0,"2007-02-16","MERK"
2180,2180,2180,2180,60,"2007-02-19","MERK"
2180,2180,2180,2180,0,"2007-02-20","MERK"
2180,2180,2180,2180,0,"2007-02-21","MERK"
2180,2180,2180,2180,0,"2007-02-22","MERK"
2180,2180,2180,2180,0,"2007-02-23","MERK"
2180,2180,2180,2180,0,"2007-02-26","MERK"
2180,2180,2180,2180,60,"2007-02-27","MERK"
2197.5,2197.5,2180,2197.5,80000,"2007-02-28","MERK"
2197.5,2197.5,2197.5,2197.5,60,"2007-03-01","MERK"
2197.5,2197.5,2197.5,2197.5,0,"2007-03-02","MERK"
2197.5,2197.5,2197.5,2197.5,60,"2007-03-05","MERK"
2200,2225,2200,2200,70000,"2007-03-06","MERK"
2200,2200,2200,2200,60,"2007-03-07","MERK"
2235,2240,2235,2235,80000,"2007-03-08","MERK"
2235,2235,2235,2235,20,"2007-03-09","MERK"
2235,2235,2235,2235,60,"2007-03-12","MERK"
2235,2235,2235,2235,60,"2007-03-13","MERK"
2255,2255,2255,2255,10000,"2007-03-14","MERK"
2255,2255,2255,2255,0,"2007-03-15","MERK"
2255,2255,2255,2255,0,"2007-03-16","MERK"
2375,2375,2350,2375,20000,"2007-03-20","MERK"
2375,2375,2375,2375,60,"2007-03-21","MERK"
2375,2375,2375,2375,60,"2007-03-22","MERK"
2440,2450,2400,2440,50000,"2007-03-23","MERK"
2440,2440,2440,2440,60,"2007-03-26","MERK"
2440,2440,2440,2440,40,"2007-03-27","MERK"
2440,2440,2440,2440,40,"2007-03-28","MERK"
2440,2440,2440,2440,40,"2007-03-29","MERK"
2440,2440,2440,2440,60,"2007-03-30","MERK"
2450,2450,2450,2450,30000,"2007-04-02","MERK"
2450,2450,2450,2450,60,"2007-04-03","MERK"
2550,2550,2450,2550,170000,"2007-04-04","MERK"
2600,2600,2550,2600,1e+05,"2007-04-05","MERK"
2600,2600,2600,2600,10000,"2007-04-09","MERK"
2600,2600,2600,2600,60,"2007-04-10","MERK"
2600,2600,2600,2600,40,"2007-04-11","MERK"
2600,2600,2600,2600,40,"2007-04-12","MERK"
2600,2600,2600,2600,40,"2007-04-13","MERK"
2600,2600,2600,2600,60,"2007-04-16","MERK"
2625,2625,2600,2625,2140000,"2007-04-17","MERK"
2625,2625,2625,2625,60,"2007-04-18","MERK"
2650,2650,2650,2650,50000,"2007-04-19","MERK"
2650,2650,2650,2650,0,"2007-04-20","MERK"
2650,2650,2650,2650,60,"2007-04-23","MERK"
2650,2650,2650,2650,60,"2007-04-24","MERK"
2700,2700,2700,2700,10000,"2007-04-25","MERK"
2700,2700,2700,2700,60,"2007-04-26","MERK"
2700,2700,2700,2700,0,"2007-04-27","MERK"
2700,2700,2700,2700,40,"2007-04-30","MERK"
2700,2700,2700,2700,60,"2007-05-01","MERK"
2697.5,2700,2697.5,2697.5,20000,"2007-05-02","MERK"
2697.5,2697.5,2697.5,2697.5,60,"2007-05-03","MERK"
2685,2685,2685,2685,10000,"2007-05-04","MERK"
2600,2600,2600,2600,2e+05,"2007-05-07","MERK"
2600,2600,2600,2600,10000,"2007-05-08","MERK"
2600,2600,2600,2600,0,"2007-05-09","MERK"
2600,2600,2600,2600,60,"2007-05-10","MERK"
2610,2650,2610,2610,50000,"2007-05-11","MERK"
2610,2610,2610,2610,60,"2007-05-14","MERK"
