"Open","High","Low","Close","Volume","Date","Emiten"
100,100,100,100,100,"2014-09-29","MGNA"
100,100,100,100,6300,"2014-09-30","MGNA"
99,102,95,99,20400,"2014-10-01","MGNA"
98,98,91,98,3400,"2014-10-02","MGNA"
100,100,90,100,16700,"2014-10-03","MGNA"
91,102,91,91,400,"2014-10-06","MGNA"
100,100,91,100,700,"2014-10-07","MGNA"
100,100,100,100,100,"2014-10-08","MGNA"
95,102,92,95,11800,"2014-10-09","MGNA"
100,101,91,100,10300,"2014-10-10","MGNA"
100,100,100,100,0,"2014-10-13","MGNA"
105,105,99,105,18500,"2014-10-14","MGNA"
101,101,93,101,200,"2014-10-15","MGNA"
100,100,88,100,82800,"2014-10-16","MGNA"
105,108,95,105,223000,"2014-10-17","MGNA"
100,105,100,100,119700,"2014-10-20","MGNA"
100,100,100,100,10000,"2014-10-21","MGNA"
95,105,95,95,200,"2014-10-22","MGNA"
105,105,105,105,200,"2014-10-23","MGNA"
105,105,105,105,0,"2014-10-24","MGNA"
91,91,91,91,28000,"2014-10-27","MGNA"
105,112,105,105,700,"2014-10-28","MGNA"
105,105,105,105,0,"2014-10-29","MGNA"
107,107,90,107,27400,"2014-10-30","MGNA"
107,107,107,107,0,"2014-10-31","MGNA"
103,103,103,103,100,"2014-11-03","MGNA"
102,102,91,102,300,"2014-11-04","MGNA"
93,94,88,93,65900,"2014-11-05","MGNA"
96,96,90,96,11500,"2014-11-06","MGNA"
98,98,98,98,700,"2014-11-07","MGNA"
89,98,89,89,1200,"2014-11-10","MGNA"
98,98,98,98,600,"2014-11-11","MGNA"
97,97,92,97,300,"2014-11-12","MGNA"
98,98,98,98,0,"2014-11-13","MGNA"
98,98,98,98,100,"2014-11-14","MGNA"
98,89,89,89,20000,"2014-11-17","MGNA"
96,96,89,96,1900,"2014-11-18","MGNA"
96,96,96,96,100,"2014-11-19","MGNA"
92,92,90,92,7000,"2014-11-20","MGNA"
90,90,90,90,1700,"2014-11-21","MGNA"
97,99,91,97,400,"2014-11-24","MGNA"
97,97,97,97,0,"2014-11-25","MGNA"
99,99,97,99,1000,"2014-11-26","MGNA"
100,101,89,100,500,"2014-11-27","MGNA"
90,99,90,90,1200,"2014-11-28","MGNA"
100,100,97,97,45100,"2014-12-01","MGNA"
94,98,89,98,145200,"2014-12-02","MGNA"
98,98,98,98,0,"2014-12-03","MGNA"
93,93,89,90,43500,"2014-12-04","MGNA"
93,93,90,90,23100,"2014-12-05","MGNA"
95,95,89,90,9700,"2014-12-08","MGNA"
88,88,88,88,20000,"2014-12-09","MGNA"
95,99,88,88,1800,"2014-12-10","MGNA"
94,95,89,94,22400,"2014-12-11","MGNA"
94,95,94,95,700,"2014-12-12","MGNA"
88,88,88,88,62100,"2014-12-15","MGNA"
88,88,86,88,106500,"2014-12-16","MGNA"
99,99,94,94,85500,"2014-12-17","MGNA"
95,95,89,89,2200,"2014-12-18","MGNA"
90,102,90,93,2600,"2014-12-19","MGNA"
91,94,89,94,800,"2014-12-22","MGNA"
99,99,99,99,100,"2014-12-23","MGNA"
88,95,88,94,3300,"2014-12-24","MGNA"
99,99,99,99,100,"2014-12-29","MGNA"
95,95,90,90,10700,"2014-12-30","MGNA"
90,90,90,90,0,"2015-01-02","MGNA"
95,95,95,95,200,"2015-01-05","MGNA"
90,90,90,90,1400,"2015-01-06","MGNA"
95,95,87,87,15800,"2015-01-07","MGNA"
88,90,86,90,45200,"2015-01-08","MGNA"
90,90,90,90,0,"2015-01-09","MGNA"
86,87,86,87,43300,"2015-01-12","MGNA"
90,90,90,90,100,"2015-01-13","MGNA"
88,88,87,87,12300,"2015-01-14","MGNA"
90,95,83,90,770800,"2015-01-15","MGNA"
90,99,63,80,5489800,"2015-01-16","MGNA"
81,99,80,95,1742600,"2015-01-19","MGNA"
93,93,85,92,1362700,"2015-01-20","MGNA"
92,92,91,91,184800,"2015-01-21","MGNA"
90,91,89,89,155900,"2015-01-22","MGNA"
89,90,89,89,168100,"2015-01-23","MGNA"
90,90,88,89,192300,"2015-01-26","MGNA"
88,88,88,88,3000,"2015-01-27","MGNA"
89,89,89,89,150100,"2015-01-28","MGNA"
88,88,87,87,309600,"2015-01-29","MGNA"
87,87,87,87,20100,"2015-01-30","MGNA"
87,87,86,86,70200,"2015-02-02","MGNA"
86,86,86,86,10000,"2015-02-03","MGNA"
86,86,86,86,37200,"2015-02-04","MGNA"
86,86,86,86,1e+05,"2015-02-05","MGNA"
86,86,86,86,0,"2015-02-06","MGNA"
86,86,86,86,40000,"2015-02-09","MGNA"
86,86,86,86,0,"2015-02-10","MGNA"
86,86,86,86,0,"2015-02-11","MGNA"
86,86,86,86,0,"2015-02-12","MGNA"
86,86,86,86,0,"2015-02-13","MGNA"
86,86,84,84,10000,"2015-02-16","MGNA"
86,86,86,86,100,"2015-02-17","MGNA"
84,84,84,84,1100,"2015-02-18","MGNA"
84,84,84,84,0,"2015-02-20","MGNA"
84,84,84,84,0,"2015-02-23","MGNA"
84,84,84,84,0,"2015-02-24","MGNA"
84,84,84,84,0,"2015-02-25","MGNA"
84,84,84,84,25200,"2015-02-26","MGNA"
87,87,87,87,80100,"2015-02-27","MGNA"
87,99,87,93,3795500,"2015-03-02","MGNA"
93,99,93,93,2141900,"2015-03-03","MGNA"
93,93,91,91,461300,"2015-03-04","MGNA"
92,94,92,92,706000,"2015-03-05","MGNA"
92,93,92,92,218100,"2015-03-06","MGNA"
92,92,92,92,21700,"2015-03-09","MGNA"
92,92,92,92,160900,"2015-03-10","MGNA"
92,92,92,92,77800,"2015-03-11","MGNA"
92,92,92,92,55300,"2015-03-12","MGNA"
