"Open","High","Low","Close","Volume","Date","Emiten"
48,48,48,48,5434500,"2017-05-02","MINA"
51.2000007629395,60,51.2000007629395,60,12190500,"2017-05-03","MINA"
64,74.8000030517578,64,74.8000030517578,22941500,"2017-05-04","MINA"
76.4000015258789,93.1999969482422,76.4000015258789,93.1999969482422,5111500,"2017-05-05","MINA"
100,116,90,116,237868500,"2017-05-08","MINA"
116,116,116,116,0,"2017-05-09","MINA"
120,140,88.4000015258789,116,34470500,"2017-05-10","MINA"
116,118,100,108,4767500,"2017-05-12","MINA"
108,112,101,105,15899500,"2017-05-15","MINA"
105,130,102,129,24291500,"2017-05-16","MINA"
129,150,128,136,176684000,"2017-05-17","MINA"
136,147,129,132,165685000,"2017-05-18","MINA"
132,151,132,149,28379500,"2017-05-19","MINA"
152,170,152,165,247368000,"2017-05-22","MINA"
165,167,158,161,52533500,"2017-05-23","MINA"
162,169,162,166,168478000,"2017-05-24","MINA"
167,167,162,164,34043500,"2017-05-26","MINA"
164,164,150,160,249655500,"2017-05-29","MINA"
159,162,159,160,28035500,"2017-05-30","MINA"
160,162,158,159,39865000,"2017-05-31","MINA"
159,159,159,159,0,"2017-06-01","MINA"
158,172,152,155,96277500,"2017-06-02","MINA"
155,155,140,146,158852000,"2017-06-05","MINA"
149,182,141,181,63181000,"2017-06-06","MINA"
180,180,159,162,5980500,"2017-06-07","MINA"
160,173,150,166,135159000,"2017-06-08","MINA"
166,179,159,162,66484500,"2017-06-09","MINA"
162,193,154,189,189179000,"2017-06-12","MINA"
186,236,173,236,62267500,"2017-06-13","MINA"
243,287,206,287,44734500,"2017-06-14","MINA"
280,340,268,279,111586500,"2017-06-15","MINA"
279,316,279,292,78421000,"2017-06-16","MINA"
292,292,250,271,36321000,"2017-06-19","MINA"
260,305,260,286,35244500,"2017-06-20","MINA"
286,315,282,311,62049500,"2017-06-21","MINA"
311,311,296,297,1255500,"2017-06-22","MINA"
297,297,297,297,0,"2017-06-23","MINA"
297,297,297,297,0,"2017-06-26","MINA"
297,297,297,297,0,"2017-06-27","MINA"
297,297,297,297,0,"2017-06-28","MINA"
297,297,297,297,0,"2017-06-29","MINA"
297,297,297,297,0,"2017-06-30","MINA"
296,302,290,297,54355500,"2017-07-03","MINA"
293,367,293,344,23012500,"2017-07-04","MINA"
344,344,344,344,0,"2017-07-05","MINA"
344,344,344,344,0,"2017-07-06","MINA"
344,344,344,344,0,"2017-07-07","MINA"
344,344,344,344,0,"2017-07-10","MINA"
310,322,304,310,1200000,"2017-07-11","MINA"
304,315,300,301,260500,"2017-07-12","MINA"
300,300,288,290,1056000,"2017-07-13","MINA"
290,322,281,317,8112500,"2017-07-14","MINA"
313,314,307,307,13712000,"2017-07-17","MINA"
297,311,297,302,261500,"2017-07-18","MINA"
297,300,296,296,298000,"2017-07-19","MINA"
290,305,290,300,3524500,"2017-07-20","MINA"
300,300,297,297,254000,"2017-07-21","MINA"
293,313,290,302,26188000,"2017-07-24","MINA"
302,302,295,300,1925000,"2017-07-25","MINA"
300,300,295,297,387500,"2017-07-26","MINA"
297,329,297,326,15293500,"2017-07-27","MINA"
328,329,316,316,1268500,"2017-07-28","MINA"
318,330,312,318,17979500,"2017-07-31","MINA"
313,320,312,312,626500,"2017-08-01","MINA"
356,370,314,356,30362500,"2017-08-02","MINA"
357,400,356,386,29767500,"2017-08-03","MINA"
386,392,377,387,20220000,"2017-08-04","MINA"
398,398,380,381,12918000,"2017-08-07","MINA"
381,396,379,391,11185500,"2017-08-08","MINA"
387,392,377,380,3948500,"2017-08-09","MINA"
382,382,370,370,2911000,"2017-08-10","MINA"
370,375,365,365,1998500,"2017-08-11","MINA"
364,364,358,362,16415500,"2017-08-14","MINA"
363,364,359,364,283000,"2017-08-15","MINA"
362,365,360,361,330000,"2017-08-16","MINA"
361,361,361,361,0,"2017-08-17","MINA"
361,361,358,361,978500,"2017-08-18","MINA"
360,361,359,360,206000,"2017-08-21","MINA"
360,364,358,359,12633500,"2017-08-22","MINA"
359,380,359,379,14058000,"2017-08-23","MINA"
379,389,378,380,8393500,"2017-08-24","MINA"
380,380,285,335,100370000,"2017-08-25","MINA"
335,336,328,332,2508000,"2017-08-28","MINA"
333,360,332,350,24243500,"2017-08-29","MINA"
353,356,347,356,3398000,"2017-08-30","MINA"
356,380,348,348,16256000,"2017-08-31","MINA"
348,348,348,348,0,"2017-09-01","MINA"
360,394,360,379,11978000,"2017-09-04","MINA"
380,393,376,388,11743500,"2017-09-05","MINA"
387,396,386,392,15955000,"2017-09-06","MINA"
392,460,380,416,17140000,"2017-09-07","MINA"
416,442,416,416,14959000,"2017-09-08","MINA"
416,416,406,416,1207000,"2017-09-11","MINA"
416,452,410,428,6061500,"2017-09-12","MINA"
426,426,418,420,16121000,"2017-09-13","MINA"
420,436,418,430,1766000,"2017-09-14","MINA"
430,430,424,430,273000,"2017-09-15","MINA"
430,430,424,430,345000,"2017-09-18","MINA"
430,430,424,428,178500,"2017-09-19","MINA"
428,428,424,424,617000,"2017-09-20","MINA"
424,424,424,424,0,"2017-09-21","MINA"
424,424,424,424,191000,"2017-09-22","MINA"
424,424,422,424,571500,"2017-09-25","MINA"
424,456,424,442,4303000,"2017-09-26","MINA"
440,442,438,438,264000,"2017-09-27","MINA"
438,438,436,438,334500,"2017-09-28","MINA"
438,438,434,438,440000,"2017-09-29","MINA"
438,438,436,438,423500,"2017-10-02","MINA"
436,438,434,438,177000,"2017-10-03","MINA"
438,438,436,438,289500,"2017-10-04","MINA"
438,438,432,438,686500,"2017-10-05","MINA"
438,438,438,438,197500,"2017-10-06","MINA"
438,438,436,436,305500,"2017-10-09","MINA"
434,482,434,464,7667500,"2017-10-10","MINA"
464,464,448,448,1133500,"2017-10-11","MINA"
446,448,446,448,99000,"2017-10-12","MINA"
446,448,446,448,28000,"2017-10-13","MINA"
448,448,442,446,291500,"2017-10-16","MINA"
446,448,442,442,257000,"2017-10-17","MINA"
444,444,440,442,161000,"2017-10-18","MINA"
440,440,440,440,19000,"2017-10-19","MINA"
442,442,440,442,85500,"2017-10-20","MINA"
444,444,440,444,12500,"2017-10-23","MINA"
444,520,406,490,17769500,"2017-10-24","MINA"
490,500,470,490,3656500,"2017-10-25","MINA"
490,510,486,500,2321500,"2017-10-26","MINA"
500,500,492,496,322500,"2017-10-27","MINA"
492,504,492,500,1225500,"2017-10-30","MINA"
500,502,496,502,165000,"2017-10-31","MINA"
500,500,498,498,40000,"2017-11-01","MINA"
500,500,486,486,1015500,"2017-11-02","MINA"
486,486,484,484,67500,"2017-11-03","MINA"
484,498,434,458,7345000,"2017-11-06","MINA"
450,458,444,452,207000,"2017-11-07","MINA"
452,460,444,460,57000,"2017-11-08","MINA"
460,460,460,460,0,"2017-11-09","MINA"
440,444,440,442,136000,"2017-11-10","MINA"
442,442,442,442,209000,"2017-11-13","MINA"
442,466,420,430,5880000,"2017-11-14","MINA"
426,430,426,430,310500,"2017-11-15","MINA"
430,430,430,430,17500,"2017-11-16","MINA"
426,426,420,420,473500,"2017-11-17","MINA"
422,422,385,400,8656500,"2017-11-20","MINA"
398,399,391,391,663500,"2017-11-21","MINA"
392,392,392,392,15000,"2017-11-22","MINA"
390,390,355,374,6607000,"2017-11-23","MINA"
375,400,375,392,9389000,"2017-11-24","MINA"
393,404,393,397,2684000,"2017-11-27","MINA"
392,424,391,408,10246500,"2017-11-28","MINA"
410,410,399,404,1668500,"2017-11-29","MINA"
404,424,404,410,2870000,"2017-11-30","MINA"
410,410,410,410,0,"2017-12-01","MINA"
408,408,400,408,11446500,"2017-12-04","MINA"
406,420,406,412,1717500,"2017-12-05","MINA"
412,430,408,416,2689500,"2017-12-06","MINA"
416,416,412,416,192500,"2017-12-07","MINA"
416,416,412,412,109000,"2017-12-08","MINA"
412,414,408,412,528500,"2017-12-11","MINA"
410,436,410,414,3047500,"2017-12-12","MINA"
412,420,412,420,1068000,"2017-12-13","MINA"
420,420,420,420,0,"2017-12-14","MINA"
418,420,418,420,3500,"2017-12-15","MINA"
420,420,420,420,19300000,"2017-12-18","MINA"
422,422,408,412,18544500,"2017-12-19","MINA"
410,410,408,410,17541000,"2017-12-20","MINA"
410,410,393,396,5744500,"2017-12-21","MINA"
392,392,378,380,1822500,"2017-12-22","MINA"
380,380,380,380,0,"2017-12-25","MINA"
380,380,380,380,0,"2017-12-26","MINA"
382,382,382,382,11911500,"2017-12-27","MINA"
378,389,378,389,2716500,"2017-12-28","MINA"
390,392,380,392,401000,"2017-12-29","MINA"
392,392,392,392,0,"2018-01-01","MINA"
390,390,389,389,3310500,"2018-01-02","MINA"
375,379,366,368,533000,"2018-01-03","MINA"
368,368,368,368,0,"2018-01-04","MINA"
360,380,360,380,35500,"2018-01-05","MINA"
360,380,360,380,76500,"2018-01-08","MINA"
375,375,375,375,15000,"2018-01-09","MINA"
380,396,380,387,2725000,"2018-01-10","MINA"
387,387,378,378,93500,"2018-01-11","MINA"
370,370,369,369,140000,"2018-01-12","MINA"
362,384,362,379,859000,"2018-01-15","MINA"
379,379,362,364,22465500,"2018-01-16","MINA"
364,365,362,362,22193500,"2018-01-17","MINA"
362,362,362,362,6500,"2018-01-18","MINA"
364,364,360,360,42475500,"2018-01-19","MINA"
362,362,360,362,76848500,"2018-01-22","MINA"
362,362,358,361,30955000,"2018-01-23","MINA"
362,376,362,374,40005500,"2018-01-24","MINA"
380,380,369,369,30767500,"2018-01-25","MINA"
370,370,360,360,36908500,"2018-01-26","MINA"
362,362,359,359,13886000,"2018-01-29","MINA"
358,358,349,349,38945000,"2018-01-30","MINA"
350,350,339,346,15184000,"2018-01-31","MINA"
346,364,336,350,43184000,"2018-02-01","MINA"
352,354,350,352,14034500,"2018-02-02","MINA"
345,440,345,440,32447000,"2018-02-05","MINA"
450,450,380,380,153000,"2018-02-06","MINA"
380,382,376,376,44239000,"2018-02-07","MINA"
374,374,370,370,8017000,"2018-02-08","MINA"
368,372,368,372,8757000,"2018-02-09","MINA"
372,372,372,372,0,"2018-02-12","MINA"
