"Open","High","Low","Close","Volume","Date","Emiten"
50,68,50,68,1388000,"2015-10-26","MKNT"
74,85,74,85,6562000,"2015-10-27","MKNT"
94,106,91,106,10435500,"2015-10-28","MKNT"
110,131,95.4000015258789,100,32026000,"2015-10-29","MKNT"
100,102,90.5999984741211,100,106884500,"2015-10-30","MKNT"
98,101,94,100,152045000,"2015-11-02","MKNT"
100,106,96,106,219734000,"2015-11-03","MKNT"
112,112,101,110,140400500,"2015-11-04","MKNT"
110,110,101,102,203424000,"2015-11-05","MKNT"
100,106,96.1999969482422,101,176948000,"2015-11-06","MKNT"
100,100,95.4000015258789,96.1999969482422,711000,"2015-11-09","MKNT"
96.1999969482422,99,94.1999969482422,99,698500,"2015-11-10","MKNT"
99,99,97,99,163000,"2015-11-11","MKNT"
98.8000030517578,98.8000030517578,96.5999984741211,96.5999984741211,71000,"2015-11-12","MKNT"
95,96,93,93,128500,"2015-11-13","MKNT"
89,92,88,92,98500,"2015-11-16","MKNT"
95,100,93,100,749000,"2015-11-17","MKNT"
97,97,95.4000015258789,95.5999984741211,152500,"2015-11-18","MKNT"
97,99.1999969482422,97,98.5999984741211,133500,"2015-11-19","MKNT"
98.5999984741211,99,98.5999984741211,98.5999984741211,43500,"2015-11-20","MKNT"
99,100,98.8000030517578,99.5999984741211,218000,"2015-11-23","MKNT"
96.1999969482422,97.8000030517578,95,97.8000030517578,34500,"2015-11-24","MKNT"
99,99.4000015258789,95.1999969482422,97.8000030517578,15500,"2015-11-25","MKNT"
98.8000030517578,99,95.4000015258789,96,17500,"2015-11-26","MKNT"
99,99,96,98.8000030517578,8000,"2015-11-27","MKNT"
98.8000030517578,98.8000030517578,98.4000015258789,98.8000030517578,7500,"2015-11-30","MKNT"
95,98.5999984741211,95,98.5999984741211,37000,"2015-12-01","MKNT"
97.8000030517578,98,97.8000030517578,98,1000,"2015-12-02","MKNT"
92,92,88.1999969482422,88.4000015258789,171500,"2015-12-03","MKNT"
90,90,90,90,3500,"2015-12-04","MKNT"
93,93,91,91,7000,"2015-12-07","MKNT"
90,90,85,89,145500,"2015-12-08","MKNT"
89,89,89,89,0,"2015-12-09","MKNT"
89,91.1999969482422,81,82,141500,"2015-12-10","MKNT"
86,87,79,87,27000,"2015-12-11","MKNT"
80,85.8000030517578,80,85.5999984741211,5000,"2015-12-14","MKNT"
86,86.4000015258789,81,81,56500,"2015-12-15","MKNT"
81,83,78,81,20000,"2015-12-16","MKNT"
81,82,80,82,25500,"2015-12-17","MKNT"
82.8000030517578,82.8000030517578,80,80,17000,"2015-12-18","MKNT"
80,80,74,80,57000,"2015-12-21","MKNT"
82,82,76,80,57500,"2015-12-22","MKNT"
84,84,84,84,15000,"2015-12-23","MKNT"
85,90,78,84,569500,"2015-12-28","MKNT"
80,95,80,95,2149500,"2015-12-29","MKNT"
96,102,92,102,884500,"2015-12-30","MKNT"
102,102,92,100,46500,"2016-01-04","MKNT"
100,102,96,100,61500,"2016-01-05","MKNT"
102,102,102,102,63500,"2016-01-06","MKNT"
102,102,100,100,24000,"2016-01-07","MKNT"
100,100,100,100,22500,"2016-01-08","MKNT"
100,100,96,100,236000,"2016-01-11","MKNT"
100,100,100,100,63500,"2016-01-12","MKNT"
100,100,96,96,47000,"2016-01-13","MKNT"
98,100,98,99,59000,"2016-01-14","MKNT"
100,107,100,107,202000,"2016-01-15","MKNT"
107,107,100,107,63500,"2016-01-18","MKNT"
114,114,108,108,52500,"2016-01-19","MKNT"
109,109,106,106,25500,"2016-01-20","MKNT"
108,108,107,108,11500,"2016-01-21","MKNT"
108,110,101,104,22000,"2016-01-22","MKNT"
104,104,104,104,5000,"2016-01-25","MKNT"
104,104,96,101,71000,"2016-01-26","MKNT"
101,101,94,101,15000,"2016-01-27","MKNT"
101,101,101,101,12000,"2016-01-28","MKNT"
101,103,100,102,27000,"2016-01-29","MKNT"
102,102,100,102,20000,"2016-02-01","MKNT"
