"Open","High","Low","Close","Volume","Date","Emiten"
600,720,600,720,7190000,"2013-07-08","MLPT"
750,780,640,720,14711000,"2013-07-09","MLPT"
720,750,700,720,3500000,"2013-07-10","MLPT"
720,720,690,720,1470000,"2013-07-11","MLPT"
700,710,690,710,1378500,"2013-07-12","MLPT"
700,700,670,690,1844500,"2013-07-15","MLPT"
680,680,650,660,864500,"2013-07-16","MLPT"
630,640,600,610,1346500,"2013-07-17","MLPT"
610,610,590,610,416000,"2013-07-18","MLPT"
570,680,570,640,4236500,"2013-07-19","MLPT"
650,650,610,630,2400000,"2013-07-22","MLPT"
640,640,630,630,2379500,"2013-07-23","MLPT"
630,640,600,620,2908500,"2013-07-24","MLPT"
630,630,610,630,3374000,"2013-07-25","MLPT"
630,630,610,630,3436000,"2013-07-26","MLPT"
610,630,600,630,4284000,"2013-07-29","MLPT"
610,620,600,620,156500,"2013-07-30","MLPT"
620,640,620,630,3907000,"2013-07-31","MLPT"
630,630,630,630,3907000,"2013-08-01","MLPT"
630,640,630,630,2500000,"2013-08-02","MLPT"
630,630,630,630,3959500,"2013-08-12","MLPT"
620,620,620,620,29500,"2013-08-13","MLPT"
620,630,620,620,11632500,"2013-08-14","MLPT"
620,630,620,630,10104500,"2013-08-15","MLPT"
630,640,630,640,13515500,"2013-08-16","MLPT"
620,620,540,620,59500,"2013-08-19","MLPT"
600,620,600,620,20000,"2013-08-20","MLPT"
620,650,620,640,17718500,"2013-08-21","MLPT"
640,640,640,640,5040500,"2013-08-22","MLPT"
640,640,630,640,5114000,"2013-08-23","MLPT"
630,640,630,640,305500,"2013-08-26","MLPT"
630,640,630,630,5141000,"2013-08-27","MLPT"
630,640,630,640,5428500,"2013-08-28","MLPT"
640,650,610,650,7023500,"2013-08-29","MLPT"
650,680,650,650,11870500,"2013-08-30","MLPT"
650,650,640,650,5148000,"2013-09-02","MLPT"
660,670,660,660,10032500,"2013-09-03","MLPT"
650,660,650,650,5265000,"2013-09-04","MLPT"
660,680,660,680,10950500,"2013-09-05","MLPT"
650,700,630,690,8087000,"2013-09-06","MLPT"
690,710,630,710,11655000,"2013-09-09","MLPT"
710,750,700,750,5926000,"2013-09-10","MLPT"
730,750,720,750,5216000,"2013-09-11","MLPT"
750,750,740,740,2635000,"2013-09-12","MLPT"
740,740,740,740,5197500,"2013-09-13","MLPT"
740,750,740,740,7571500,"2013-09-16","MLPT"
740,740,730,740,5368500,"2013-09-17","MLPT"
740,740,730,730,4127500,"2013-09-18","MLPT"
740,740,730,730,3735500,"2013-09-19","MLPT"
740,740,710,720,40000,"2013-09-20","MLPT"
730,730,720,730,3645500,"2013-09-23","MLPT"
730,730,720,730,5152500,"2013-09-24","MLPT"
730,730,730,730,6142500,"2013-09-25","MLPT"
730,730,700,730,3675500,"2013-09-26","MLPT"
730,730,730,730,5212500,"2013-09-27","MLPT"
730,730,730,730,2500,"2013-09-30","MLPT"
730,730,730,730,10500,"2013-10-01","MLPT"
730,730,730,730,7500,"2013-10-02","MLPT"
720,730,710,730,13000,"2013-10-03","MLPT"
720,730,720,730,16000,"2013-10-04","MLPT"
730,730,730,730,16000,"2013-10-07","MLPT"
730,730,730,730,16000,"2013-10-08","MLPT"
720,730,720,730,10000,"2013-10-09","MLPT"
730,740,730,730,10080500,"2013-10-10","MLPT"
730,730,720,730,5592000,"2013-10-11","MLPT"
730,730,730,730,5146500,"2013-10-16","MLPT"
740,740,740,740,5563000,"2013-10-17","MLPT"
740,740,730,740,3384000,"2013-10-18","MLPT"
740,740,730,740,5743500,"2013-10-21","MLPT"
740,740,740,740,5743500,"2013-10-22","MLPT"
730,740,730,740,50500,"2013-10-23","MLPT"
730,740,730,740,25500,"2013-10-24","MLPT"
730,740,730,740,180000,"2013-10-25","MLPT"
740,740,740,740,180000,"2013-10-28","MLPT"
730,740,730,740,10192500,"2013-10-29","MLPT"
740,740,740,740,7760000,"2013-10-30","MLPT"
740,740,740,740,87500,"2013-10-31","MLPT"
