"Open","High","Low","Close","Volume","Date","Emiten"
494,494,494,494,14638600,"2022-08-08","MORA"
590,615,550,615,164677600,"2022-08-09","MORA"
765,765,575,575,73913200,"2022-08-10","MORA"
535,625,535,590,122859000,"2022-08-11","MORA"
595,610,570,580,16137900,"2022-08-12","MORA"
590,590,540,570,39906000,"2022-08-15","MORA"
570,590,550,565,24732800,"2022-08-16","MORA"
565,580,530,570,49841600,"2022-08-18","MORA"
575,600,560,580,28668100,"2022-08-19","MORA"
580,595,545,565,17870000,"2022-08-22","MORA"
570,580,550,555,14261900,"2022-08-23","MORA"
560,565,550,565,4725200,"2022-08-24","MORA"
565,570,555,565,10029800,"2022-08-25","MORA"
565,680,555,665,118225300,"2022-08-26","MORA"
660,695,625,650,97618700,"2022-08-29","MORA"
655,660,620,630,21135400,"2022-08-30","MORA"
625,665,625,655,20369500,"2022-08-31","MORA"
670,670,635,635,11877800,"2022-09-01","MORA"
670,670,625,625,13621500,"2022-09-02","MORA"
615,625,590,595,16279300,"2022-09-05","MORA"
595,605,570,585,24555500,"2022-09-06","MORA"
580,595,565,585,16012600,"2022-09-07","MORA"
585,600,575,585,8099300,"2022-09-08","MORA"
585,590,575,580,4938200,"2022-09-09","MORA"
590,610,580,595,8433100,"2022-09-12","MORA"
595,615,590,590,4520600,"2022-09-13","MORA"
590,590,575,585,5165000,"2022-09-14","MORA"
590,595,570,575,12709100,"2022-09-15","MORA"
575,580,560,570,22213200,"2022-09-16","MORA"
570,585,545,560,12251300,"2022-09-19","MORA"
560,580,550,555,23051100,"2022-09-20","MORA"
555,565,550,550,7002200,"2022-09-21","MORA"
550,575,540,570,18077400,"2022-09-22","MORA"
570,590,560,575,8896900,"2022-09-23","MORA"
575,580,560,565,8622200,"2022-09-26","MORA"
570,575,560,565,2346400,"2022-09-27","MORA"
565,570,555,555,2250300,"2022-09-28","MORA"
560,575,550,550,6949900,"2022-09-29","MORA"
555,560,545,555,3562200,"2022-09-30","MORA"
555,560,545,560,2002400,"2022-10-03","MORA"
560,570,555,565,4633000,"2022-10-04","MORA"
565,590,565,575,8686200,"2022-10-05","MORA"
575,605,575,585,10428600,"2022-10-06","MORA"
600,600,570,570,2658000,"2022-10-07","MORA"
565,580,560,570,2160700,"2022-10-10","MORA"
575,585,565,570,3604800,"2022-10-11","MORA"
575,585,560,570,4916600,"2022-10-12","MORA"
570,580,565,575,3680600,"2022-10-13","MORA"
575,590,570,570,4248000,"2022-10-14","MORA"
570,575,560,565,1526800,"2022-10-17","MORA"
565,570,555,565,1826400,"2022-10-18","MORA"
570,580,565,575,2467800,"2022-10-19","MORA"
575,580,565,575,928000,"2022-10-20","MORA"
580,585,570,575,3390200,"2022-10-21","MORA"
575,585,565,575,2824500,"2022-10-24","MORA"
580,580,555,560,4089500,"2022-10-25","MORA"
560,580,550,555,14693600,"2022-10-26","MORA"
555,575,555,560,4473000,"2022-10-27","MORA"
560,565,555,560,7006700,"2022-10-28","MORA"
560,565,555,555,5252700,"2022-10-31","MORA"
560,590,555,580,12447300,"2022-11-01","MORA"
585,590,575,585,2667600,"2022-11-02","MORA"
570,590,570,580,4605700,"2022-11-03","MORA"
600,600,575,575,4004100,"2022-11-04","MORA"
570,575,560,575,1368400,"2022-11-07","MORA"
575,580,570,580,1061600,"2022-11-08","MORA"
580,580,565,570,3768100,"2022-11-09","MORA"
570,570,560,570,2802700,"2022-11-10","MORA"
570,575,560,565,1797800,"2022-11-11","MORA"
570,575,565,565,4887700,"2022-11-14","MORA"
565,575,555,565,1605400,"2022-11-15","MORA"
565,565,555,560,1495800,"2022-11-16","MORA"
565,580,560,560,1564300,"2022-11-17","MORA"
560,565,555,560,1542300,"2022-11-18","MORA"
560,565,560,565,713900,"2022-11-21","MORA"
560,575,560,565,3535700,"2022-11-22","MORA"
565,575,560,565,1545700,"2022-11-23","MORA"
565,570,555,565,1205500,"2022-11-24","MORA"
565,565,555,560,1865800,"2022-11-25","MORA"
560,570,540,555,8706200,"2022-11-28","MORA"
555,565,555,560,1586200,"2022-11-29","MORA"
560,570,555,560,4980200,"2022-11-30","MORA"
560,565,555,555,196400,"2022-12-01","MORA"
555,565,555,560,304500,"2022-12-02","MORA"
560,565,555,560,3096400,"2022-12-05","MORA"
560,560,555,555,3988900,"2022-12-06","MORA"
555,575,555,565,5637100,"2022-12-07","MORA"
570,570,555,565,761600,"2022-12-08","MORA"
565,570,560,560,2764900,"2022-12-09","MORA"
560,565,555,560,311500,"2022-12-12","MORA"
560,565,555,560,683600,"2022-12-13","MORA"
560,570,560,560,4242500,"2022-12-14","MORA"
565,570,560,560,1845800,"2022-12-15","MORA"
560,565,555,565,144300,"2022-12-16","MORA"
565,570,560,565,337000,"2022-12-19","MORA"
565,570,560,560,261500,"2022-12-20","MORA"
560,565,555,565,1391700,"2022-12-21","MORA"
560,565,555,565,431300,"2022-12-22","MORA"
