"Open","High","Low","Close","Volume","Date","Emiten"
1550,1570,1430,1460,3,"2013-05-29","MPMX"
1450,1600,1430,1480,88187500,"2013-05-30","MPMX"
1490,1500,1450,1460,7299500,"2013-05-31","MPMX"
1460,1460,1360,1370,3,"2013-06-03","MPMX"
1380,1380,1250,1330,20529000,"2013-06-04","MPMX"
1300,1460,1280,1420,3,"2013-06-05","MPMX"
1420,1420,1340,1340,3,"2013-06-07","MPMX"
1350,1390,1320,1330,4432000,"2013-06-10","MPMX"
1310,1320,1200,1200,3,"2013-06-11","MPMX"
1180,1200,1060,1130,23065000,"2013-06-12","MPMX"
1130,1130,1050,1090,20486500,"2013-06-13","MPMX"
1100,1190,1100,1160,3,"2013-06-14","MPMX"
1150,1170,1080,1080,3,"2013-06-17","MPMX"
1080,1150,1080,1100,11895500,"2013-06-18","MPMX"
1110,1210,1110,1170,3,"2013-06-19","MPMX"
1090,1160,1090,1090,14916500,"2013-06-20","MPMX"
1070,1100,1040,1070,9878500,"2013-06-21","MPMX"
1060,1070,1040,1040,3201000,"2013-06-24","MPMX"
1050,1060,1020,1030,3493000,"2013-06-25","MPMX"
1050,1090,1020,1070,8230000,"2013-06-26","MPMX"
1090,1110,1060,1090,4096500,"2013-06-27","MPMX"
1090,1140,1090,1140,4970500,"2013-06-28","MPMX"
1120,1140,1120,1130,1669500,"2013-07-01","MPMX"
1140,1190,1140,1150,12585500,"2013-07-02","MPMX"
1150,1190,1140,1150,9965000,"2013-07-03","MPMX"
1150,1170,1150,1150,1772000,"2013-07-04","MPMX"
1170,1180,1140,1150,5895000,"2013-07-05","MPMX"
1150,1150,1120,1140,9733000,"2013-07-08","MPMX"
1130,1170,1120,1150,19825500,"2013-07-09","MPMX"
1160,1160,1110,1120,4032500,"2013-07-10","MPMX"
1130,1150,1120,1150,4816500,"2013-07-11","MPMX"
1130,1220,1130,1190,7083000,"2013-07-12","MPMX"
1190,1220,1180,1200,2859500,"2013-07-15","MPMX"
1210,1270,1200,1240,5868500,"2013-07-16","MPMX"
1250,1290,1240,1250,2804500,"2013-07-17","MPMX"
1270,1310,1240,1310,8473000,"2013-07-18","MPMX"
1290,1350,1270,1320,11087000,"2013-07-19","MPMX"
1350,1360,1320,1340,4435500,"2013-07-22","MPMX"
1350,1350,1300,1330,10594000,"2013-07-23","MPMX"
1330,1330,1290,1300,9307500,"2013-07-24","MPMX"
1300,1310,1280,1290,1751000,"2013-07-25","MPMX"
1280,1290,1270,1270,3184500,"2013-07-26","MPMX"
1260,1270,1220,1220,4899000,"2013-07-29","MPMX"
1220,1230,1180,1190,18984500,"2013-07-30","MPMX"
1200,1230,1150,1210,5761500,"2013-07-31","MPMX"
1230,1310,1200,1260,7217000,"2013-08-01","MPMX"
1280,1290,1270,1280,1605000,"2013-08-02","MPMX"
1270,1280,1250,1270,3516500,"2013-08-12","MPMX"
1270,1310,1260,1310,509000,"2013-08-13","MPMX"
1310,1340,1290,1330,3817500,"2013-08-14","MPMX"
1330,1350,1300,1350,4645000,"2013-08-15","MPMX"
1320,1320,1280,1280,2768500,"2013-08-16","MPMX"
1280,1280,1170,1170,4812500,"2013-08-19","MPMX"
1160,1160,1020,1060,26597500,"2013-08-20","MPMX"
1070,1100,1050,1050,23992500,"2013-08-21","MPMX"
1040,1040,980,1000,7302000,"2013-08-22","MPMX"
1020,1030,1000,1010,9896500,"2013-08-23","MPMX"
1030,1040,1010,1030,7186000,"2013-08-26","MPMX"
1010,1030,950,950,4102500,"2013-08-27","MPMX"
910,940,850,910,11001000,"2013-08-28","MPMX"
930,1010,930,1010,7724000,"2013-08-29","MPMX"
1020,1060,1020,1050,5651000,"2013-08-30","MPMX"
1050,1070,1040,1060,4837500,"2013-09-02","MPMX"
1060,1170,1060,1130,3365500,"2013-09-03","MPMX"
1120,1160,1090,1150,3648000,"2013-09-04","MPMX"
1160,1200,1120,1150,12811500,"2013-09-05","MPMX"
1150,1160,1130,1150,13872000,"2013-09-06","MPMX"
1150,1170,1140,1170,4266500,"2013-09-09","MPMX"
1170,1260,1150,1250,11087000,"2013-09-10","MPMX"
1230,1260,1190,1240,3205500,"2013-09-11","MPMX"
1250,1270,1200,1230,3711500,"2013-09-12","MPMX"
1220,1220,1200,1200,176500,"2013-09-13","MPMX"
1210,1230,1190,1190,341500,"2013-09-16","MPMX"
1200,1250,1190,1210,3628000,"2013-09-17","MPMX"
1220,1260,1210,1210,12962000,"2013-09-18","MPMX"
1240,1270,1230,1240,20654000,"2013-09-19","MPMX"
1250,1310,1240,1280,13853000,"2013-09-20","MPMX"
1270,1280,1250,1260,504000,"2013-09-23","MPMX"
1260,1270,1240,1250,2928500,"2013-09-24","MPMX"
1260,1260,1230,1250,3848000,"2013-09-25","MPMX"
1270,1270,1250,1260,2591500,"2013-09-26","MPMX"
1260,1270,1250,1270,3244500,"2013-09-27","MPMX"
1260,1280,1240,1240,3844000,"2013-09-30","MPMX"
1240,1290,1240,1270,5355000,"2013-10-01","MPMX"
1270,1280,1270,1270,3194000,"2013-10-02","MPMX"
1280,1300,1270,1300,689500,"2013-10-03","MPMX"
1300,1310,1280,1300,3987000,"2013-10-04","MPMX"
1310,1320,1290,1310,3057500,"2013-10-07","MPMX"
1300,1320,1300,1300,1098000,"2013-10-08","MPMX"
1300,1300,1280,1280,99500,"2013-10-09","MPMX"
1290,1330,1290,1330,3994000,"2013-10-10","MPMX"
1340,1340,1320,1330,3221500,"2013-10-11","MPMX"
1310,1330,1300,1300,333000,"2013-10-16","MPMX"
