"Open","High","Low","Close","Volume","Date","Emiten"
820,980,820,980,14779500,"2007-01-02","MPPA"
980,990,870,930,6487000,"2007-01-03","MPPA"
920,990,900,960,6217000,"2007-01-04","MPPA"
850,850,740,750,2199000,"2007-01-05","MPPA"
750,760,730,750,1514500,"2007-01-08","MPPA"
730,750,730,730,1556000,"2007-01-09","MPPA"
750,750,710,730,2740000,"2007-01-10","MPPA"
730,730,680,680,3646000,"2007-01-11","MPPA"
680,680,590,620,7968500,"2007-01-12","MPPA"
650,700,650,690,3760000,"2007-01-15","MPPA"
670,700,660,670,2667000,"2007-01-16","MPPA"
670,670,660,670,2222500,"2007-01-17","MPPA"
660,680,630,660,7043500,"2007-01-18","MPPA"
670,780,650,730,29057500,"2007-01-19","MPPA"
760,810,740,760,45609500,"2007-01-22","MPPA"
730,760,720,730,24441500,"2007-01-23","MPPA"
730,780,720,780,44542000,"2007-01-24","MPPA"
780,790,730,730,30933500,"2007-01-25","MPPA"
740,740,700,740,23949000,"2007-01-26","MPPA"
740,740,730,740,23493000,"2007-01-29","MPPA"
740,760,720,740,38980000,"2007-01-30","MPPA"
710,750,710,710,12589500,"2007-01-31","MPPA"
740,740,720,740,17876000,"2007-02-01","MPPA"
720,740,740,720,8756000,"2007-02-02","MPPA"
720,730,710,720,5204000,"2007-02-05","MPPA"
740,740,720,740,11684500,"2007-02-06","MPPA"
750,760,730,750,35278000,"2007-02-07","MPPA"
780,780,750,780,35882000,"2007-02-08","MPPA"
780,790,770,780,19368500,"2007-02-09","MPPA"
750,770,740,750,7790500,"2007-02-12","MPPA"
740,750,740,740,2959500,"2007-02-13","MPPA"
750,750,740,750,4013500,"2007-02-14","MPPA"
760,760,740,760,5851000,"2007-02-15","MPPA"
750,750,720,720,4237000,"2007-02-16","MPPA"
710,740,710,710,8476500,"2007-02-19","MPPA"
710,720,710,710,2441500,"2007-02-20","MPPA"
720,740,720,720,13379500,"2007-02-21","MPPA"
710,730,710,710,8202000,"2007-02-22","MPPA"
720,730,700,720,9454500,"2007-02-23","MPPA"
730,730,710,730,6754500,"2007-02-26","MPPA"
720,730,700,720,9052000,"2007-02-27","MPPA"
700,700,650,700,21385500,"2007-02-28","MPPA"
690,710,690,690,6733500,"2007-03-01","MPPA"
680,690,680,680,1212500,"2007-03-02","MPPA"
660,690,650,660,12048500,"2007-03-05","MPPA"
670,670,670,670,4514500,"2007-03-06","MPPA"
670,690,670,670,4001000,"2007-03-07","MPPA"
710,720,680,710,12456000,"2007-03-08","MPPA"
690,720,690,690,3381500,"2007-03-09","MPPA"
710,710,690,710,4219500,"2007-03-12","MPPA"
690,710,690,690,5588000,"2007-03-13","MPPA"
690,690,670,690,3209000,"2007-03-14","MPPA"
690,700,680,690,887500,"2007-03-15","MPPA"
700,700,690,700,1507000,"2007-03-16","MPPA"
680,700,680,680,2631000,"2007-03-20","MPPA"
700,700,680,700,3783000,"2007-03-21","MPPA"
720,720,690,720,9580000,"2007-03-22","MPPA"
700,720,700,700,1413000,"2007-03-23","MPPA"
700,700,700,700,249000,"2007-03-26","MPPA"
700,710,690,700,214500,"2007-03-27","MPPA"
690,690,680,690,883500,"2007-03-28","MPPA"
700,700,690,700,1016000,"2007-03-29","MPPA"
690,690,690,690,1684000,"2007-03-30","MPPA"
690,690,680,690,230500,"2007-04-02","MPPA"
700,700,680,700,4983500,"2007-04-03","MPPA"
680,700,680,680,5077000,"2007-04-04","MPPA"
700,700,680,700,3147000,"2007-04-05","MPPA"
700,710,690,700,1024000,"2007-04-09","MPPA"
690,700,690,690,721500,"2007-04-10","MPPA"
690,690,680,690,4937000,"2007-04-11","MPPA"
680,680,670,680,1805000,"2007-04-12","MPPA"
680,680,670,680,1135000,"2007-04-13","MPPA"
670,680,670,670,1673500,"2007-04-16","MPPA"
690,710,680,690,17811000,"2007-04-17","MPPA"
680,700,680,680,1572500,"2007-04-18","MPPA"
670,690,670,670,5754500,"2007-04-19","MPPA"
680,690,680,690,2079000,"2007-04-20","MPPA"
680,690,680,680,3549000,"2007-04-23","MPPA"
680,680,670,680,5234000,"2007-04-24","MPPA"
690,690,680,690,2605500,"2007-04-25","MPPA"
720,720,690,720,29932000,"2007-04-26","MPPA"
700,730,700,700,6970500,"2007-04-27","MPPA"
710,740,700,710,9053000,"2007-04-30","MPPA"
700,720,700,700,11433500,"2007-05-01","MPPA"
700,720,690,700,7359500,"2007-05-02","MPPA"
710,710,700,710,3551500,"2007-05-03","MPPA"
690,710,690,690,6173000,"2007-05-04","MPPA"
690,700,690,690,5812000,"2007-05-07","MPPA"
680,700,680,680,4568000,"2007-05-08","MPPA"
710,710,690,710,6699000,"2007-05-09","MPPA"
700,710,700,700,6027000,"2007-05-10","MPPA"
730,770,700,730,33422500,"2007-05-11","MPPA"
740,750,730,740,13871000,"2007-05-14","MPPA"
760,760,730,760,11925500,"2007-05-15","MPPA"
750,760,740,750,3388000,"2007-05-16","MPPA"
740,750,740,740,3175500,"2007-05-21","MPPA"
750,770,740,750,6492000,"2007-05-22","MPPA"
750,760,740,750,6748000,"2007-05-23","MPPA"
