"Open","High","Low","Close","Volume","Date","Emiten"
1690,1690,1390,1450,186085200,"2023-11-08","MSTI"
1445,1465,1325,1370,63438200,"2023-11-09","MSTI"
1375,1430,1360,1370,14815900,"2023-11-10","MSTI"
1350,1410,1350,1360,14834800,"2023-11-13","MSTI"
1355,1400,1355,1385,13875400,"2023-11-14","MSTI"
1390,1395,1360,1365,7972100,"2023-11-15","MSTI"
1370,1375,1350,1360,11483200,"2023-11-16","MSTI"
1325,1370,1325,1360,4888500,"2023-11-17","MSTI"
1360,1360,1345,1360,8113600,"2023-11-20","MSTI"
1360,1385,1350,1360,4854500,"2023-11-21","MSTI"
1360,1385,1350,1360,2980100,"2023-11-22","MSTI"
1355,1430,1350,1400,12081300,"2023-11-23","MSTI"
1425,1425,1370,1390,4834400,"2023-11-24","MSTI"
1370,1405,1370,1390,2539400,"2023-11-27","MSTI"
1390,1390,1370,1370,2200600,"2023-11-28","MSTI"
1370,1380,1365,1370,1464300,"2023-11-29","MSTI"
1370,1375,1355,1370,2663600,"2023-11-30","MSTI"
1365,1370,1355,1370,1953100,"2023-12-01","MSTI"
1370,1375,1355,1360,4794800,"2023-12-04","MSTI"
1360,1370,1355,1360,1584700,"2023-12-05","MSTI"
1360,1365,1350,1360,4467300,"2023-12-06","MSTI"
1355,1370,1355,1360,3159800,"2023-12-07","MSTI"
1360,1360,1355,1360,1923400,"2023-12-08","MSTI"
1360,1370,1355,1360,2502800,"2023-12-11","MSTI"
1355,1360,1355,1360,2553800,"2023-12-12","MSTI"
1360,1380,1355,1365,1304100,"2023-12-13","MSTI"
1360,1360,1350,1355,4841500,"2023-12-14","MSTI"
1315,1360,1315,1355,3036800,"2023-12-15","MSTI"
1355,1355,1340,1350,3274200,"2023-12-18","MSTI"
1350,1355,1335,1350,2033700,"2023-12-19","MSTI"
1350,1355,1335,1350,2500300,"2023-12-20","MSTI"
1340,1350,1250,1350,2048100,"2023-12-21","MSTI"
1350,1350,1330,1350,1497800,"2023-12-22","MSTI"
1345,1350,1330,1350,1328300,"2023-12-27","MSTI"
1345,1350,1325,1350,1940300,"2023-12-28","MSTI"
1345,1400,1340,1400,7978700,"2023-12-29","MSTI"
1380,1380,1350,1350,484300,"2024-01-02","MSTI"
1350,1350,1330,1345,443100,"2024-01-03","MSTI"
1345,1355,1335,1350,399400,"2024-01-04","MSTI"
1345,1345,1335,1345,593500,"2024-01-05","MSTI"
1345,1345,1325,1345,1138200,"2024-01-08","MSTI"
1335,1350,1330,1345,1368500,"2024-01-09","MSTI"
1345,1360,1345,1345,776300,"2024-01-10","MSTI"
1350,1355,1340,1345,348300,"2024-01-11","MSTI"
1345,1350,1335,1350,761400,"2024-01-12","MSTI"
1350,1350,1350,1350,0,"2024-01-15","MSTI"
1335,1345,1335,1345,292100,"2024-01-16","MSTI"
1340,1345,1330,1340,358300,"2024-01-17","MSTI"
1335,1345,1325,1345,463900,"2024-01-18","MSTI"
1335,1340,1330,1340,732100,"2024-01-19","MSTI"
1330,1340,1320,1340,700300,"2024-01-22","MSTI"
1330,1340,1325,1340,762000,"2024-01-23","MSTI"
1335,1340,1330,1340,449500,"2024-01-24","MSTI"
1330,1340,1330,1340,1260400,"2024-01-25","MSTI"
1330,1340,1330,1340,356200,"2024-01-26","MSTI"
1335,1340,1330,1340,205500,"2024-01-29","MSTI"
1330,1340,1330,1340,1033100,"2024-01-30","MSTI"
1330,1335,1325,1330,961400,"2024-01-31","MSTI"
1330,1330,1315,1330,2019300,"2024-02-01","MSTI"
1325,1325,1310,1320,708400,"2024-02-02","MSTI"
1310,1320,1290,1320,4098400,"2024-02-05","MSTI"
1305,1310,1285,1300,1604400,"2024-02-06","MSTI"
1300,1305,1280,1300,1740200,"2024-02-07","MSTI"
1295,1320,1280,1320,661300,"2024-02-12","MSTI"
1290,1320,1290,1320,430300,"2024-02-13","MSTI"
1320,1320,1295,1305,671000,"2024-02-15","MSTI"
1290,1300,1260,1300,3631700,"2024-02-16","MSTI"
1300,1300,1270,1290,1312400,"2024-02-19","MSTI"
1285,1295,1265,1275,1446200,"2024-02-20","MSTI"
1275,1370,1275,1350,1504800,"2024-02-21","MSTI"
1350,1350,1310,1345,697100,"2024-02-22","MSTI"
1340,1345,1325,1345,449100,"2024-02-23","MSTI"
1345,1350,1315,1340,630000,"2024-02-26","MSTI"
1340,1340,1320,1335,204400,"2024-02-27","MSTI"
1325,1335,1315,1335,158000,"2024-02-28","MSTI"
1325,1335,1310,1335,1049700,"2024-02-29","MSTI"
1335,1335,1300,1310,1311400,"2024-03-01","MSTI"
1305,1305,1285,1300,612700,"2024-03-04","MSTI"
1285,1300,1285,1300,129400,"2024-03-05","MSTI"
1290,1300,1280,1300,1157700,"2024-03-06","MSTI"
1300,1300,1285,1295,1159000,"2024-03-07","MSTI"
1290,1300,1275,1290,1734600,"2024-03-08","MSTI"
1285,1290,1275,1285,1180500,"2024-03-13","MSTI"
1275,1290,1260,1280,1532100,"2024-03-14","MSTI"
1275,1285,1255,1280,1039800,"2024-03-15","MSTI"
1280,1280,1265,1280,328100,"2024-03-18","MSTI"
1275,1275,1225,1225,1011700,"2024-03-19","MSTI"
1225,1225,1085,1085,1240500,"2024-03-20","MSTI"
1110,1290,1095,1180,2263700,"2024-03-21","MSTI"
1225,1280,1180,1195,1711100,"2024-03-22","MSTI"
