"Open","High","Low","Close","Volume","Date","Emiten"
850,890,765,765,1379410300,"2021-11-22","MTEL"
765,790,760,775,497260000,"2021-11-23","MTEL"
780,785,765,775,269760400,"2021-11-24","MTEL"
775,780,770,775,131942800,"2021-11-25","MTEL"
775,775,765,770,98346300,"2021-11-26","MTEL"
765,770,750,760,126503200,"2021-11-29","MTEL"
760,805,755,780,306016200,"2021-11-30","MTEL"
785,790,770,780,50883200,"2021-12-01","MTEL"
780,790,770,785,49569700,"2021-12-02","MTEL"
785,795,775,785,54024000,"2021-12-03","MTEL"
785,785,775,785,25862800,"2021-12-06","MTEL"
785,795,780,795,99777200,"2021-12-07","MTEL"
795,795,785,795,42915100,"2021-12-08","MTEL"
795,795,785,795,30357500,"2021-12-09","MTEL"
795,795,780,785,82727200,"2021-12-10","MTEL"
785,790,780,785,42801900,"2021-12-13","MTEL"
780,790,770,775,67906800,"2021-12-14","MTEL"
770,785,765,775,72906100,"2021-12-15","MTEL"
775,780,760,765,76073400,"2021-12-16","MTEL"
765,785,755,785,87426200,"2021-12-17","MTEL"
780,780,765,770,39615600,"2021-12-20","MTEL"
770,775,765,770,47408900,"2021-12-21","MTEL"
770,780,765,775,70001300,"2021-12-22","MTEL"
775,780,770,775,85786100,"2021-12-23","MTEL"
775,785,775,785,45723600,"2021-12-24","MTEL"
785,795,785,795,106296500,"2021-12-27","MTEL"
800,810,795,805,219672100,"2021-12-28","MTEL"
805,825,800,820,222367500,"2021-12-29","MTEL"
820,835,820,830,340331600,"2021-12-30","MTEL"
835,835,810,820,64750200,"2022-01-03","MTEL"
820,820,810,820,54034000,"2022-01-04","MTEL"
820,830,815,820,79520700,"2022-01-05","MTEL"
815,820,805,815,56391700,"2022-01-06","MTEL"
815,820,810,815,35138300,"2022-01-07","MTEL"
815,820,800,810,49061600,"2022-01-10","MTEL"
810,815,800,800,62083900,"2022-01-11","MTEL"
795,810,790,795,57950000,"2022-01-12","MTEL"
795,810,795,800,26417400,"2022-01-13","MTEL"
800,805,800,800,15841500,"2022-01-14","MTEL"
805,805,790,795,16626200,"2022-01-17","MTEL"
795,795,780,790,37610200,"2022-01-18","MTEL"
790,790,775,785,58191200,"2022-01-19","MTEL"
785,790,780,785,13243500,"2022-01-20","MTEL"
790,795,780,795,18104900,"2022-01-21","MTEL"
795,800,775,775,47295700,"2022-01-24","MTEL"
775,795,775,790,30603600,"2022-01-25","MTEL"
790,805,780,805,44327900,"2022-01-26","MTEL"
805,805,790,790,15154400,"2022-01-27","MTEL"
790,800,790,790,6566300,"2022-01-28","MTEL"
790,795,785,790,9362000,"2022-01-31","MTEL"
790,800,790,790,27749800,"2022-02-02","MTEL"
790,795,780,790,16421100,"2022-02-03","MTEL"
790,800,785,790,22555600,"2022-02-04","MTEL"
790,795,780,780,23207600,"2022-02-07","MTEL"
780,795,780,780,23446800,"2022-02-08","MTEL"
785,790,780,785,20991600,"2022-02-09","MTEL"
785,795,780,780,53019600,"2022-02-10","MTEL"
780,790,780,785,26370700,"2022-02-11","MTEL"
790,790,775,780,17537000,"2022-02-14","MTEL"
780,785,775,780,31375800,"2022-02-15","MTEL"
780,780,775,775,28089400,"2022-02-16","MTEL"
775,780,765,765,30287900,"2022-02-17","MTEL"
765,770,760,770,31460200,"2022-02-18","MTEL"
770,775,760,760,28349100,"2022-02-21","MTEL"
760,765,760,765,30823300,"2022-02-22","MTEL"
765,775,760,770,26574000,"2022-02-23","MTEL"
770,775,760,765,44911100,"2022-02-24","MTEL"
765,775,760,775,28663700,"2022-02-25","MTEL"
775,780,770,780,15256700,"2022-03-01","MTEL"
790,790,770,780,22994700,"2022-03-02","MTEL"
780,785,770,770,13733900,"2022-03-04","MTEL"
790,790,760,775,36259100,"2022-03-07","MTEL"
800,800,765,775,27207900,"2022-03-08","MTEL"
765,780,765,780,22746200,"2022-03-09","MTEL"
790,790,770,785,25720300,"2022-03-10","MTEL"
785,830,775,800,144760100,"2022-03-11","MTEL"
815,815,800,815,98048300,"2022-03-14","MTEL"
825,825,805,810,79298900,"2022-03-15","MTEL"
810,825,795,800,65950800,"2022-03-16","MTEL"
795,805,790,795,23805400,"2022-03-17","MTEL"
740,800,740,800,180883100,"2022-03-18","MTEL"
760,800,760,785,43860400,"2022-03-21","MTEL"
795,800,770,795,93422100,"2022-03-22","MTEL"
800,800,785,795,23429100,"2022-03-23","MTEL"
795,795,755,760,201389800,"2022-03-24","MTEL"
765,770,760,760,52985600,"2022-03-25","MTEL"
765,775,755,770,50720900,"2022-03-28","MTEL"
775,775,765,765,30780900,"2022-03-29","MTEL"
765,770,765,770,40475400,"2022-03-30","MTEL"
770,775,765,770,12431300,"2022-03-31","MTEL"
765,770,760,760,46173300,"2022-04-01","MTEL"
765,780,765,775,38424200,"2022-04-04","MTEL"
775,780,770,775,43176100,"2022-04-05","MTEL"
775,775,760,765,46599100,"2022-04-06","MTEL"
765,770,760,760,39140600,"2022-04-07","MTEL"
760,765,760,760,46196100,"2022-04-08","MTEL"
760,765,750,750,53647800,"2022-04-11","MTEL"
755,760,745,745,38916100,"2022-04-12","MTEL"
745,755,745,750,39226900,"2022-04-13","MTEL"
750,770,745,765,55242800,"2022-04-14","MTEL"
765,770,755,765,31985000,"2022-04-18","MTEL"
765,775,760,775,23920200,"2022-04-19","MTEL"
775,785,765,785,56811100,"2022-04-20","MTEL"
785,800,770,800,70325100,"2022-04-21","MTEL"
800,805,780,800,66422600,"2022-04-22","MTEL"
795,795,775,775,41983400,"2022-04-25","MTEL"
775,780,755,760,70306400,"2022-04-26","MTEL"
760,765,750,750,59262100,"2022-04-27","MTEL"
750,770,750,765,38350000,"2022-04-28","MTEL"
770,770,750,755,42327500,"2022-05-09","MTEL"
755,765,745,765,67634500,"2022-05-10","MTEL"
760,770,750,760,73351100,"2022-05-11","MTEL"
760,765,750,750,52976400,"2022-05-12","MTEL"
750,750,735,735,48262700,"2022-05-13","MTEL"
740,740,685,685,122815600,"2022-05-17","MTEL"
690,695,665,665,82482500,"2022-05-18","MTEL"
660,665,640,665,117523200,"2022-05-19","MTEL"
665,685,660,685,61779900,"2022-05-20","MTEL"
685,695,670,680,65295600,"2022-05-23","MTEL"
680,680,665,670,45506500,"2022-05-24","MTEL"
670,680,660,665,62584000,"2022-05-25","MTEL"
670,675,665,665,42096200,"2022-05-27","MTEL"
665,685,665,675,41981800,"2022-05-30","MTEL"
675,690,675,685,38244200,"2022-05-31","MTEL"
690,735,685,710,175241900,"2022-06-02","MTEL"
720,735,715,725,91503800,"2022-06-03","MTEL"
725,735,725,725,51838900,"2022-06-06","MTEL"
725,745,725,735,46695600,"2022-06-07","MTEL"
735,745,720,725,53162500,"2022-06-08","MTEL"
725,735,710,710,47879900,"2022-06-09","MTEL"
710,715,695,705,54799400,"2022-06-10","MTEL"
705,705,690,705,69659300,"2022-06-13","MTEL"
705,705,690,705,54938400,"2022-06-14","MTEL"
700,705,690,700,68741500,"2022-06-15","MTEL"
700,720,695,710,110148700,"2022-06-16","MTEL"
700,715,690,715,819276400,"2022-06-17","MTEL"
720,725,705,715,23262800,"2022-06-20","MTEL"
715,715,705,710,13330300,"2022-06-21","MTEL"
710,720,700,710,18968100,"2022-06-22","MTEL"
710,710,700,705,11096200,"2022-06-23","MTEL"
705,710,700,710,6606500,"2022-06-24","MTEL"
710,710,700,705,19248600,"2022-06-27","MTEL"
705,705,695,700,36780600,"2022-06-28","MTEL"
700,700,690,695,24833300,"2022-06-29","MTEL"
695,700,685,700,47161600,"2022-06-30","MTEL"
695,705,690,695,25294000,"2022-07-01","MTEL"
695,700,680,695,17749600,"2022-07-04","MTEL"
695,700,690,700,9037800,"2022-07-05","MTEL"
700,730,690,720,105349900,"2022-07-06","MTEL"
720,725,705,715,32000600,"2022-07-07","MTEL"
715,730,715,725,40483800,"2022-07-08","MTEL"
725,730,720,730,11940500,"2022-07-11","MTEL"
730,735,715,715,13416800,"2022-07-12","MTEL"
720,725,715,720,17288300,"2022-07-13","MTEL"
725,725,715,725,10389000,"2022-07-14","MTEL"
720,725,715,715,12197600,"2022-07-15","MTEL"
715,725,715,715,8903100,"2022-07-18","MTEL"
715,730,715,725,12362300,"2022-07-19","MTEL"
725,730,720,725,27427900,"2022-07-20","MTEL"
725,730,725,725,6123900,"2022-07-21","MTEL"
725,730,720,730,14916200,"2022-07-22","MTEL"
725,730,720,725,20990300,"2022-07-25","MTEL"
