"Open","High","Low","Close","Volume","Date","Emiten"
1600,1600,1600,1600,7236800,"2022-04-20","MTMH"
1800,1955,1490,1695,112442800,"2022-04-21","MTMH"
1695,1840,1595,1625,36782700,"2022-04-22","MTMH"
1600,1630,1570,1595,32265800,"2022-04-25","MTMH"
1595,1595,1540,1545,29116100,"2022-04-26","MTMH"
1545,1585,1515,1580,35964200,"2022-04-27","MTMH"
1580,1620,1575,1620,32650900,"2022-04-28","MTMH"
1615,1620,1575,1580,31930400,"2022-05-09","MTMH"
1575,1580,1555,1580,36049300,"2022-05-10","MTMH"
1580,1600,1570,1580,32444200,"2022-05-11","MTMH"
1580,1585,1570,1580,17035100,"2022-05-12","MTMH"
1580,1585,1570,1575,16575100,"2022-05-13","MTMH"
1575,1600,1575,1595,16109900,"2022-05-17","MTMH"
1595,1620,1590,1620,17740000,"2022-05-18","MTMH"
1615,1635,1610,1630,18002600,"2022-05-19","MTMH"
1640,1710,1640,1705,20372700,"2022-05-20","MTMH"
1705,1775,1700,1770,17259900,"2022-05-23","MTMH"
1720,1900,1720,1900,19764200,"2022-05-24","MTMH"
1900,1935,1875,1915,11911800,"2022-05-25","MTMH"
1915,2030,1915,2030,15845700,"2022-05-27","MTMH"
2030,2060,1990,2040,10754900,"2022-05-30","MTMH"
2040,2210,2040,2210,12518700,"2022-05-31","MTMH"
2220,2480,2210,2430,11403700,"2022-06-02","MTMH"
2440,2600,2350,2460,9816100,"2022-06-03","MTMH"
2460,2470,2350,2350,9870100,"2022-06-06","MTMH"
2360,2460,2280,2440,13859400,"2022-06-07","MTMH"
2460,2590,2460,2520,12207500,"2022-06-08","MTMH"
2520,2580,2500,2540,10273100,"2022-06-09","MTMH"
2530,2540,2440,2500,8500400,"2022-06-10","MTMH"
2490,2500,2370,2400,8421500,"2022-06-13","MTMH"
2380,2410,2270,2400,9023900,"2022-06-14","MTMH"
2410,2430,2380,2430,10180500,"2022-06-15","MTMH"
2420,2520,2420,2470,8345500,"2022-06-16","MTMH"
2470,2500,2460,2480,9024300,"2022-06-17","MTMH"
2480,2500,2460,2480,8707000,"2022-06-20","MTMH"
2480,2620,2480,2620,11948600,"2022-06-21","MTMH"
2630,2680,2620,2620,8853900,"2022-06-22","MTMH"
2640,2660,2600,2640,8473700,"2022-06-23","MTMH"
2640,2680,2630,2640,9960300,"2022-06-24","MTMH"
2640,2680,2630,2640,8507300,"2022-06-27","MTMH"
2640,2670,2480,2480,9700500,"2022-06-28","MTMH"
2480,2550,2430,2510,11402000,"2022-06-29","MTMH"
2500,2510,2370,2450,8547200,"2022-06-30","MTMH"
2440,2530,2430,2470,8761700,"2022-07-01","MTMH"
2470,2470,2350,2350,7442700,"2022-07-04","MTMH"
2350,2420,2340,2400,8406900,"2022-07-05","MTMH"
2400,2430,2390,2410,8754600,"2022-07-06","MTMH"
2410,2550,2410,2540,9170200,"2022-07-07","MTMH"
2540,2640,2540,2610,10846500,"2022-07-08","MTMH"
2610,2740,2600,2730,10226400,"2022-07-11","MTMH"
2730,2740,2660,2690,7507500,"2022-07-12","MTMH"
2690,2720,2670,2690,7676700,"2022-07-13","MTMH"
2680,2710,2650,2690,7857600,"2022-07-14","MTMH"
2690,2690,2610,2650,7964700,"2022-07-15","MTMH"
2650,2650,2500,2540,6066700,"2022-07-18","MTMH"
2540,2580,2520,2570,9203900,"2022-07-19","MTMH"
2580,2710,2580,2660,10219300,"2022-07-20","MTMH"
2660,2700,2660,2680,7559500,"2022-07-21","MTMH"
2680,2710,2680,2690,7643400,"2022-07-22","MTMH"
2690,2720,2680,2700,7952000,"2022-07-25","MTMH"
2700,2720,2690,2700,7643900,"2022-07-26","MTMH"
2700,2750,2700,2700,7667600,"2022-07-27","MTMH"
2700,2770,2690,2720,7514700,"2022-07-28","MTMH"
2720,2720,2690,2690,7810800,"2022-07-29","MTMH"
2690,2690,2570,2630,8222500,"2022-08-01","MTMH"
