"Open","High","Low","Close","Volume","Date","Emiten"
145,145,145,145,29380200,"2023-08-09","MUTU"
165,187,138,146,986580300,"2023-08-10","MUTU"
139,148,127,130,137791700,"2023-08-11","MUTU"
118,133,118,125,45367000,"2023-08-14","MUTU"
125,137,125,133,60979000,"2023-08-15","MUTU"
133,136,127,127,41608000,"2023-08-16","MUTU"
119,131,119,127,30626500,"2023-08-18","MUTU"
127,161,127,161,381905600,"2023-08-21","MUTU"
171,180,138,139,502300700,"2023-08-22","MUTU"
131,154,131,153,215409600,"2023-08-23","MUTU"
157,168,150,166,203785200,"2023-08-24","MUTU"
170,178,160,164,192307300,"2023-08-25","MUTU"
165,175,165,175,72010000,"2023-08-28","MUTU"
176,177,162,166,101767300,"2023-08-29","MUTU"
168,177,165,169,129423800,"2023-08-30","MUTU"
169,204,167,195,669133900,"2023-08-31","MUTU"
197,208,187,189,547390500,"2023-09-01","MUTU"
188,198,179,190,408586700,"2023-09-04","MUTU"
190,191,175,181,245651400,"2023-09-05","MUTU"
178,188,176,181,119049000,"2023-09-06","MUTU"
181,186,176,176,143934900,"2023-09-07","MUTU"
176,185,175,183,175458400,"2023-09-08","MUTU"
183,187,181,183,148320300,"2023-09-11","MUTU"
183,187,177,177,143254300,"2023-09-12","MUTU"
177,180,170,172,151344600,"2023-09-13","MUTU"
172,174,166,173,79715100,"2023-09-14","MUTU"
173,174,168,170,40801400,"2023-09-15","MUTU"
170,170,159,167,106455000,"2023-09-18","MUTU"
168,177,166,172,166455600,"2023-09-19","MUTU"
173,183,172,181,156543200,"2023-09-20","MUTU"
183,197,178,196,213305600,"2023-09-21","MUTU"
200,214,186,191,310006500,"2023-09-22","MUTU"
193,202,187,192,139894200,"2023-09-25","MUTU"
196,198,166,169,236228800,"2023-09-26","MUTU"
170,178,165,174,80600800,"2023-09-27","MUTU"
174,176,167,168,47201300,"2023-09-29","MUTU"
170,170,161,161,32759500,"2023-10-02","MUTU"
156,166,151,151,63625900,"2023-10-03","MUTU"
137,163,137,151,159758100,"2023-10-04","MUTU"
151,157,151,153,48326300,"2023-10-05","MUTU"
154,155,144,150,61615800,"2023-10-06","MUTU"
134,150,134,147,11407600,"2023-10-09","MUTU"
148,148,144,146,14841000,"2023-10-10","MUTU"
148,148,144,144,9210900,"2023-10-11","MUTU"
143,149,112,117,231169600,"2023-10-12","MUTU"
101,122,101,112,60475300,"2023-10-13","MUTU"
96,118,96,112,70608600,"2023-10-16","MUTU"
117,122,112,119,59257300,"2023-10-17","MUTU"
120,123,112,114,28445400,"2023-10-18","MUTU"
106,115,106,113,13947900,"2023-10-19","MUTU"
113,114,108,110,20316800,"2023-10-20","MUTU"
102,114,102,110,15656400,"2023-10-23","MUTU"
110,116,109,111,23144000,"2023-10-24","MUTU"
114,122,111,120,121190900,"2023-10-25","MUTU"
121,122,111,111,63976600,"2023-10-26","MUTU"
111,117,111,112,27875000,"2023-10-27","MUTU"
114,115,108,111,25282200,"2023-10-30","MUTU"
103,114,103,113,14169600,"2023-10-31","MUTU"
114,114,106,108,18911500,"2023-11-01","MUTU"
109,112,108,111,12031500,"2023-11-02","MUTU"
111,112,109,110,9716100,"2023-11-03","MUTU"
110,111,109,110,13991500,"2023-11-06","MUTU"
102,111,100,109,7489100,"2023-11-07","MUTU"
101,109,101,107,7163600,"2023-11-08","MUTU"
107,117,107,114,44132800,"2023-11-09","MUTU"
114,115,110,111,18123700,"2023-11-10","MUTU"
112,113,107,108,15995200,"2023-11-13","MUTU"
109,109,107,108,8255600,"2023-11-14","MUTU"
107,108,104,107,7279800,"2023-11-15","MUTU"
107,108,104,105,10787300,"2023-11-16","MUTU"
105,105,99,102,16952500,"2023-11-17","MUTU"
100,106,100,104,6431000,"2023-11-20","MUTU"
100,107,100,104,6953900,"2023-11-21","MUTU"
104,106,103,104,6163200,"2023-11-22","MUTU"
103,105,100,104,30882600,"2023-11-23","MUTU"
102,104,101,102,9935400,"2023-11-24","MUTU"
102,104,101,102,10913800,"2023-11-27","MUTU"
102,104,101,103,4806000,"2023-11-28","MUTU"
103,104,101,102,7272400,"2023-11-29","MUTU"
102,103,100,102,6991500,"2023-11-30","MUTU"
101,103,97,101,12262600,"2023-12-01","MUTU"
66,99,66,95,19819900,"2023-12-04","MUTU"
87,96,87,91,16241000,"2023-12-05","MUTU"
91,107,90,106,74126100,"2023-12-06","MUTU"
109,109,95,98,57437000,"2023-12-07","MUTU"
98,105,96,101,23951400,"2023-12-08","MUTU"
92,101,92,99,25090600,"2023-12-11","MUTU"
100,100,97,98,10646700,"2023-12-12","MUTU"
98,104,96,98,23535300,"2023-12-13","MUTU"
99,100,97,100,7105400,"2023-12-14","MUTU"
100,101,97,99,6331300,"2023-12-15","MUTU"
79,100,79,98,5614100,"2023-12-18","MUTU"
98,101,96,99,13410100,"2023-12-19","MUTU"
99,101,98,99,6632900,"2023-12-20","MUTU"
99,100,98,100,7150500,"2023-12-21","MUTU"
100,101,98,100,8199600,"2023-12-22","MUTU"
100,103,99,102,10928600,"2023-12-27","MUTU"
102,103,99,102,6384100,"2023-12-28","MUTU"
102,110,100,110,33580400,"2023-12-29","MUTU"
110,116,104,106,34030000,"2024-01-02","MUTU"
106,108,103,104,7294200,"2024-01-03","MUTU"
103,106,103,104,5272700,"2024-01-04","MUTU"
104,106,102,104,2797800,"2024-01-05","MUTU"
105,106,104,106,3397600,"2024-01-08","MUTU"
106,106,100,102,8694000,"2024-01-09","MUTU"
92,103,92,100,6831700,"2024-01-10","MUTU"
100,101,94,94,29359000,"2024-01-11","MUTU"
74,98,74,97,5671200,"2024-01-12","MUTU"
97,97,97,97,0,"2024-01-15","MUTU"
95,98,94,96,1962200,"2024-01-16","MUTU"
97,97,95,96,2952800,"2024-01-17","MUTU"
96,98,96,98,2813400,"2024-01-18","MUTU"
98,99,95,97,960600,"2024-01-19","MUTU"
100,100,93,96,4209200,"2024-01-22","MUTU"
88,96,88,95,2205300,"2024-01-23","MUTU"
95,95,92,93,3549300,"2024-01-24","MUTU"
85,94,85,90,4353000,"2024-01-25","MUTU"
85,91,85,90,4614000,"2024-01-26","MUTU"
90,92,89,90,1849500,"2024-01-29","MUTU"
90,92,89,90,685100,"2024-01-30","MUTU"
89,91,88,89,1507100,"2024-01-31","MUTU"
85,90,85,88,2634300,"2024-02-01","MUTU"
84,90,84,89,1279100,"2024-02-02","MUTU"
89,89,87,88,727700,"2024-02-05","MUTU"
81,89,81,87,797800,"2024-02-06","MUTU"
84,94,84,90,3326900,"2024-02-07","MUTU"
90,93,90,92,1961100,"2024-02-12","MUTU"
92,93,90,92,1678600,"2024-02-13","MUTU"
92,93,90,93,2052800,"2024-02-15","MUTU"
93,93,90,91,2372100,"2024-02-16","MUTU"
91,91,89,91,1411400,"2024-02-19","MUTU"
91,91,89,90,1608200,"2024-02-20","MUTU"
90,90,87,89,1856900,"2024-02-21","MUTU"
82,90,82,88,1991300,"2024-02-22","MUTU"
89,89,87,88,1117200,"2024-02-23","MUTU"
88,90,87,90,1022100,"2024-02-26","MUTU"
90,91,87,89,2650900,"2024-02-27","MUTU"
89,89,85,88,3746200,"2024-02-28","MUTU"
90,91,85,86,7085300,"2024-02-29","MUTU"
86,108,86,103,213483400,"2024-03-01","MUTU"
105,105,89,91,42691600,"2024-03-04","MUTU"
91,98,86,90,37790900,"2024-03-05","MUTU"
91,91,88,88,7253500,"2024-03-06","MUTU"
88,94,88,91,13117400,"2024-03-07","MUTU"
