"Open","High","Low","Close","Volume","Date","Emiten"
156,208,150,208,105451400,"2021-12-13","NASI"
228,260,228,244,228710700,"2021-12-14","NASI"
248,248,228,228,41196100,"2021-12-15","NASI"
220,230,214,214,14599000,"2021-12-16","NASI"
214,236,210,216,10447900,"2021-12-17","NASI"
218,226,214,220,6586000,"2021-12-20","NASI"
220,224,216,220,5300100,"2021-12-21","NASI"
222,226,220,222,2058400,"2021-12-22","NASI"
222,224,210,220,3220700,"2021-12-23","NASI"
222,224,218,220,1034000,"2021-12-24","NASI"
220,224,216,220,1507600,"2021-12-27","NASI"
220,256,218,230,11784400,"2021-12-28","NASI"
230,234,220,224,2325900,"2021-12-29","NASI"
224,228,222,224,1068800,"2021-12-30","NASI"
226,250,226,236,10962300,"2022-01-03","NASI"
236,256,230,256,5592300,"2022-01-04","NASI"
260,316,252,298,17316800,"2022-01-05","NASI"
300,334,280,312,16471400,"2022-01-06","NASI"
316,390,314,356,75484800,"2022-01-07","NASI"
356,414,356,400,77773000,"2022-01-10","NASI"
400,400,372,372,4831200,"2022-01-11","NASI"
346,402,346,394,78051300,"2022-01-12","NASI"
394,410,378,390,22261900,"2022-01-13","NASI"
390,400,374,378,11926200,"2022-01-14","NASI"
378,398,378,384,12552300,"2022-01-17","NASI"
388,390,360,380,7985800,"2022-01-18","NASI"
380,390,372,386,6489500,"2022-01-19","NASI"
388,434,378,428,59739700,"2022-01-20","NASI"
430,440,404,410,26828400,"2022-01-21","NASI"
410,422,400,408,10770500,"2022-01-24","NASI"
408,432,406,430,28009300,"2022-01-25","NASI"
430,462,420,458,43291100,"2022-01-26","NASI"
460,462,426,426,27068400,"2022-01-27","NASI"
426,448,398,442,22302300,"2022-01-28","NASI"
442,470,434,448,20965800,"2022-01-31","NASI"
448,550,448,530,50211000,"2022-02-02","NASI"
530,555,494,500,23240900,"2022-02-03","NASI"
500,515,486,515,11225200,"2022-02-04","NASI"
520,575,515,540,25019400,"2022-02-07","NASI"
530,540,505,505,16059600,"2022-02-08","NASI"
505,515,476,510,10901500,"2022-02-09","NASI"
515,520,476,476,9693800,"2022-02-10","NASI"
458,494,444,484,27393300,"2022-02-11","NASI"
486,550,482,500,54411000,"2022-02-14","NASI"
500,510,474,486,14402400,"2022-02-15","NASI"
486,530,452,452,67549000,"2022-02-16","NASI"
450,450,422,422,3849100,"2022-02-17","NASI"
520,520,394,394,37195600,"2022-02-18","NASI"
394,402,368,396,26911500,"2022-02-21","NASI"
396,412,372,410,23586600,"2022-02-22","NASI"
412,426,382,382,46706700,"2022-02-23","NASI"
412,412,356,356,34139500,"2022-02-24","NASI"
396,396,332,332,3337800,"2022-02-25","NASI"
332,332,310,312,10541400,"2022-03-01","NASI"
314,326,294,310,7278000,"2022-03-02","NASI"
310,382,310,382,105870600,"2022-03-04","NASI"
382,442,356,416,115155100,"2022-03-07","NASI"
416,432,388,400,76303100,"2022-03-08","NASI"
400,412,372,376,50807100,"2022-03-09","NASI"
370,376,350,350,59274600,"2022-03-10","NASI"
350,350,326,326,6251100,"2022-03-11","NASI"
326,338,304,318,4520000,"2022-03-14","NASI"
320,332,310,316,3184100,"2022-03-15","NASI"
318,342,318,326,10415200,"2022-03-16","NASI"
328,336,318,320,3919300,"2022-03-17","NASI"
322,328,306,316,2238400,"2022-03-18","NASI"
318,328,316,322,2243600,"2022-03-21","NASI"
324,334,322,322,2555200,"2022-03-22","NASI"
324,330,322,328,1301700,"2022-03-23","NASI"
330,334,326,330,2025400,"2022-03-24","NASI"
332,354,328,342,7741600,"2022-03-25","NASI"
346,410,346,400,49393100,"2022-03-28","NASI"
408,424,378,404,50606600,"2022-03-29","NASI"
410,424,390,394,35803600,"2022-03-30","NASI"
396,412,368,368,47551200,"2022-03-31","NASI"
360,384,344,368,24608400,"2022-04-01","NASI"
372,386,368,384,31897900,"2022-04-04","NASI"
386,402,358,358,94609000,"2022-04-05","NASI"
356,356,334,334,54006400,"2022-04-06","NASI"
312,326,312,320,15217600,"2022-04-07","NASI"
320,332,316,324,23828900,"2022-04-08","NASI"
328,338,316,338,22621000,"2022-04-11","NASI"
342,350,326,330,28465500,"2022-04-12","NASI"
332,364,330,360,52521900,"2022-04-13","NASI"
362,364,336,336,91253500,"2022-04-14","NASI"
326,330,314,320,16730200,"2022-04-18","NASI"
318,324,314,320,8314900,"2022-04-19","NASI"
320,322,298,298,30057200,"2022-04-20","NASI"
298,312,278,306,25498000,"2022-04-21","NASI"
310,316,300,314,27244600,"2022-04-22","NASI"
316,326,308,322,32905600,"2022-04-25","NASI"
328,328,300,300,49219300,"2022-04-26","NASI"
300,300,280,280,11575100,"2022-04-27","NASI"
280,280,262,262,1258000,"2022-04-28","NASI"
250,256,244,244,1172600,"2022-05-09","NASI"
228,274,228,260,50105200,"2022-05-10","NASI"
262,282,252,270,18301300,"2022-05-11","NASI"
270,272,252,252,4752200,"2022-05-12","NASI"
244,254,236,252,7476700,"2022-05-13","NASI"
252,264,246,262,15706100,"2022-05-17","NASI"
262,288,260,286,53103700,"2022-05-18","NASI"
286,288,266,282,25156600,"2022-05-19","NASI"
284,300,282,298,55931900,"2022-05-20","NASI"
300,304,288,296,49629300,"2022-05-23","NASI"
296,310,294,308,67175700,"2022-05-24","NASI"
308,316,306,314,58299200,"2022-05-25","NASI"
316,326,312,312,63552900,"2022-05-27","NASI"
320,330,300,328,88835000,"2022-05-30","NASI"
332,336,310,332,48554800,"2022-05-31","NASI"
332,334,312,322,21442700,"2022-06-02","NASI"
322,330,306,314,34659400,"2022-06-03","NASI"
314,326,314,322,34613500,"2022-06-06","NASI"
326,340,322,340,52374400,"2022-06-07","NASI"
344,354,340,352,57337100,"2022-06-08","NASI"
352,358,328,328,41673000,"2022-06-09","NASI"
318,354,306,352,64809700,"2022-06-10","NASI"
354,360,328,328,31354100,"2022-06-13","NASI"
328,328,306,306,5539500,"2022-06-14","NASI"
304,310,286,308,29687400,"2022-06-15","NASI"
310,312,288,288,14968300,"2022-06-16","NASI"
274,292,268,288,15796300,"2022-06-17","NASI"
294,308,268,292,47144600,"2022-06-20","NASI"
292,302,272,272,46596600,"2022-06-21","NASI"
254,254,254,254,10867700,"2022-06-22","NASI"
254,254,238,238,31357000,"2022-06-23","NASI"
222,256,222,222,101695700,"2022-06-24","NASI"
222,222,210,212,5032800,"2022-06-27","NASI"
216,220,200,204,17653500,"2022-06-28","NASI"
204,208,194,206,6150900,"2022-06-29","NASI"
206,224,206,214,51745900,"2022-06-30","NASI"
216,218,200,200,19497900,"2022-07-01","NASI"
200,208,186,194,15567000,"2022-07-04","NASI"
196,210,195,210,32062900,"2022-07-05","NASI"
212,220,206,210,27165800,"2022-07-06","NASI"
210,224,210,212,51098100,"2022-07-07","NASI"
214,220,212,214,20364100,"2022-07-08","NASI"
214,226,214,220,48168100,"2022-07-11","NASI"
220,226,220,222,27297700,"2022-07-12","NASI"
222,228,222,226,29016000,"2022-07-13","NASI"
226,234,224,230,24976300,"2022-07-14","NASI"
232,232,224,226,17329700,"2022-07-15","NASI"
