"Open","High","Low","Close","Volume","Date","Emiten"
2770,2770,2770,2770,7399400,"2018-07-12","NFCX"
2900,3190,2650,3100,31695600,"2018-07-13","NFCX"
3110,3200,2950,3090,10813600,"2018-07-16","NFCX"
3070,3090,2960,2980,4662400,"2018-07-17","NFCX"
2980,3110,2900,2960,3923700,"2018-07-18","NFCX"
2960,3010,2900,2970,3115100,"2018-07-19","NFCX"
2970,3000,2960,2970,4159600,"2018-07-20","NFCX"
2970,2980,2920,2960,2498300,"2018-07-23","NFCX"
2950,2980,2880,2880,2115400,"2018-07-24","NFCX"
2880,2890,2790,2850,3850400,"2018-07-25","NFCX"
2840,2980,2840,2940,5861100,"2018-07-26","NFCX"
2980,2980,2870,2870,2329200,"2018-07-27","NFCX"
2860,2920,2810,2830,4202700,"2018-07-30","NFCX"
2820,2820,2720,2780,2874600,"2018-07-31","NFCX"
2760,2780,2720,2770,2558000,"2018-08-01","NFCX"
2770,2770,2690,2730,2761900,"2018-08-02","NFCX"
2730,2760,2710,2750,2519900,"2018-08-03","NFCX"
2740,2770,2670,2740,2601900,"2018-08-06","NFCX"
2740,2750,2680,2720,2803200,"2018-08-07","NFCX"
2720,2720,2660,2700,2885600,"2018-08-08","NFCX"
2670,2700,2620,2690,2962300,"2018-08-09","NFCX"
2690,2780,2680,2750,3209300,"2018-08-10","NFCX"
2750,2750,2700,2700,2338400,"2018-08-13","NFCX"
2690,2850,2680,2770,6588300,"2018-08-14","NFCX"
2790,2850,2750,2840,6919900,"2018-08-15","NFCX"
2870,2870,2780,2790,2537900,"2018-08-16","NFCX"
2790,2790,2790,2790,0,"2018-08-17","NFCX"
2750,2840,2720,2810,3508000,"2018-08-20","NFCX"
2810,2890,2810,2860,3925500,"2018-08-21","NFCX"
2860,2860,2860,2860,0,"2018-08-22","NFCX"
2860,2930,2790,2800,2769400,"2018-08-23","NFCX"
2820,2930,2740,2930,1931900,"2018-08-24","NFCX"
2960,3010,2950,2950,3126100,"2018-08-27","NFCX"
2970,3040,2910,2910,2355900,"2018-08-28","NFCX"
2910,2910,2840,2900,2257300,"2018-08-29","NFCX"
2900,2970,2880,2880,2367200,"2018-08-30","NFCX"
2880,2940,2860,2940,2539500,"2018-08-31","NFCX"
2940,2960,2850,2890,2144900,"2018-09-03","NFCX"
2890,2910,2800,2800,2531300,"2018-09-04","NFCX"
2780,2780,2570,2570,2781000,"2018-09-05","NFCX"
2570,2710,2570,2660,2581000,"2018-09-06","NFCX"
2710,2750,2650,2670,2389200,"2018-09-07","NFCX"
2620,2780,2620,2710,2562800,"2018-09-10","NFCX"
2710,2710,2710,2710,0,"2018-09-11","NFCX"
2710,2770,2690,2690,2404300,"2018-09-12","NFCX"
2700,2740,2690,2700,2305000,"2018-09-13","NFCX"
2710,2760,2710,2740,2305900,"2018-09-14","NFCX"
2740,2770,2720,2750,2605300,"2018-09-17","NFCX"
2740,2760,2720,2750,2398700,"2018-09-18","NFCX"
2750,2780,2750,2750,6398000,"2018-09-19","NFCX"
2760,2790,2710,2750,3078600,"2018-09-20","NFCX"
2750,2770,2700,2710,2594400,"2018-09-21","NFCX"
2720,2730,2630,2650,2318900,"2018-09-24","NFCX"
2670,2670,2500,2510,2717000,"2018-09-25","NFCX"
2500,2510,2470,2480,2819300,"2018-09-26","NFCX"
2480,2490,2440,2440,2545000,"2018-09-27","NFCX"
2440,2580,2440,2480,2769300,"2018-09-28","NFCX"
2480,2500,2400,2400,2730700,"2018-10-01","NFCX"
2420,2420,2350,2380,2699300,"2018-10-02","NFCX"
2380,2400,2300,2310,2744300,"2018-10-03","NFCX"
2300,2310,2150,2220,4883900,"2018-10-04","NFCX"
2220,2240,2220,2230,2940700,"2018-10-05","NFCX"
2220,2240,2200,2220,2380100,"2018-10-08","NFCX"
2200,2470,2190,2290,2997400,"2018-10-09","NFCX"
2290,2470,2260,2440,3690000,"2018-10-10","NFCX"
2340,2430,2300,2380,2406800,"2018-10-11","NFCX"
2430,2430,2380,2380,2130100,"2018-10-12","NFCX"
2380,2390,2300,2360,2188100,"2018-10-15","NFCX"
2350,2410,2320,2360,2949700,"2018-10-16","NFCX"
2360,2400,2320,2390,3333400,"2018-10-17","NFCX"
2390,2400,2310,2340,2554700,"2018-10-18","NFCX"
2340,2390,2340,2390,2627800,"2018-10-19","NFCX"
2390,2400,2360,2390,2111400,"2018-10-22","NFCX"
2390,2470,2390,2450,4400700,"2018-10-23","NFCX"
2450,2460,2360,2400,2945400,"2018-10-24","NFCX"
2380,2410,2380,2400,1883300,"2018-10-25","NFCX"
2450,2470,2400,2430,2559900,"2018-10-26","NFCX"
2460,2460,2410,2430,2075400,"2018-10-29","NFCX"
2430,2440,2420,2440,2056000,"2018-10-30","NFCX"
2440,2510,2440,2500,3851900,"2018-10-31","NFCX"
2510,2530,2490,2500,2497400,"2018-11-01","NFCX"
2500,2520,2450,2450,2646600,"2018-11-02","NFCX"
2450,2490,2410,2410,1906800,"2018-11-05","NFCX"
2410,2450,2360,2400,2204800,"2018-11-06","NFCX"
2500,2500,2390,2400,1973800,"2018-11-07","NFCX"
2400,2520,2400,2490,3753600,"2018-11-08","NFCX"
2490,2520,2420,2500,3743500,"2018-11-09","NFCX"
2500,2500,2400,2490,2123700,"2018-11-12","NFCX"
2470,2510,2420,2500,2190600,"2018-11-13","NFCX"
2510,2590,2480,2500,2610600,"2018-11-14","NFCX"
2490,2510,2480,2490,2603500,"2018-11-15","NFCX"
2490,2540,2470,2540,3582300,"2018-11-16","NFCX"
2540,2640,2540,2600,2500300,"2018-11-19","NFCX"
2600,2600,2600,2600,0,"2018-11-20","NFCX"
2590,2590,2500,2580,1907000,"2018-11-21","NFCX"
2580,2670,2550,2630,2367400,"2018-11-22","NFCX"
2640,2680,2500,2630,2301300,"2018-11-23","NFCX"
2640,2640,2550,2620,2063100,"2018-11-26","NFCX"
2620,2620,2550,2590,2378900,"2018-11-27","NFCX"
2600,2610,2550,2550,1844600,"2018-11-28","NFCX"
2540,2540,2450,2540,2005000,"2018-11-29","NFCX"
2540,2550,2470,2480,1850300,"2018-11-30","NFCX"
2490,2490,2400,2400,1820200,"2018-12-03","NFCX"
2400,2410,2290,2380,2152000,"2018-12-04","NFCX"
2380,2390,2290,2390,1772400,"2018-12-05","NFCX"
2380,2390,2310,2340,1822600,"2018-12-06","NFCX"
2330,2330,2280,2330,1789100,"2018-12-07","NFCX"
2340,2340,2250,2320,2001100,"2018-12-10","NFCX"
2320,2320,2250,2300,1878900,"2018-12-11","NFCX"
2300,2310,2280,2310,1868100,"2018-12-12","NFCX"
2320,2330,2290,2310,1894600,"2018-12-13","NFCX"
2330,2350,2250,2250,1995000,"2018-12-14","NFCX"
2240,2290,2190,2190,2068400,"2018-12-17","NFCX"
2190,2230,2070,2230,2859400,"2018-12-18","NFCX"
2220,2330,2170,2260,2050300,"2018-12-19","NFCX"
2260,2350,2250,2250,10892000,"2018-12-20","NFCX"
2330,2330,2220,2320,1840600,"2018-12-21","NFCX"
2320,2320,2320,2320,0,"2018-12-24","NFCX"
2320,2320,2320,2320,0,"2018-12-25","NFCX"
2320,2360,2200,2360,2132600,"2018-12-26","NFCX"
2360,2370,2290,2310,2258400,"2018-12-27","NFCX"
2310,2320,2280,2280,1877200,"2018-12-28","NFCX"
2280,2280,2280,2280,0,"2018-12-31","NFCX"
2280,2280,2280,2280,0,"2019-01-01","NFCX"
2290,2300,2210,2230,1802100,"2019-01-02","NFCX"
2260,2260,2100,2130,1858700,"2019-01-03","NFCX"
2130,2130,2010,2080,2364200,"2019-01-04","NFCX"
2080,2080,2030,2030,1908300,"2019-01-07","NFCX"
2020,2030,1900,1985,1948400,"2019-01-08","NFCX"
1985,2000,1965,1985,2172700,"2019-01-09","NFCX"
1985,2250,1925,2210,2562000,"2019-01-10","NFCX"
2220,2240,2050,2200,2325500,"2019-01-11","NFCX"
2200,2200,2140,2190,1859300,"2019-01-14","NFCX"
2190,2190,2140,2190,1857500,"2019-01-15","NFCX"
2190,2190,2110,2180,1861300,"2019-01-16","NFCX"
2080,2170,2060,2160,1986500,"2019-01-17","NFCX"
2150,2150,2020,2100,1505400,"2019-01-18","NFCX"
2090,2090,2000,2030,804200,"2019-01-21","NFCX"
2020,2070,2020,2060,2215800,"2019-01-22","NFCX"
2060,2100,2050,2050,482700,"2019-01-23","NFCX"
2090,2140,2050,2080,301100,"2019-01-24","NFCX"
2070,2120,2010,2100,580200,"2019-01-25","NFCX"
2100,2160,2100,2120,327900,"2019-01-28","NFCX"
2160,2160,2060,2120,278600,"2019-01-29","NFCX"
2120,2120,2080,2110,223700,"2019-01-30","NFCX"
2090,2120,2070,2100,24500,"2019-01-31","NFCX"
2100,2100,2100,2100,0,"2019-02-01","NFCX"
2120,2150,2120,2150,58900,"2019-02-04","NFCX"
2150,2150,2150,2150,0,"2019-02-05","NFCX"
2100,2160,2090,2140,20400,"2019-02-06","NFCX"
2080,2120,2080,2080,21100,"2019-02-07","NFCX"
2120,2200,2120,2120,17800,"2019-02-08","NFCX"
2190,2190,2140,2140,11200,"2019-02-11","NFCX"
2150,2150,2070,2070,20600,"2019-02-12","NFCX"
2100,2100,2090,2090,13500,"2019-02-13","NFCX"
2170,2170,2150,2160,87300,"2019-02-14","NFCX"
2160,2190,2160,2160,14500,"2019-02-15","NFCX"
2200,2260,2200,2260,174000,"2019-02-18","NFCX"
2260,2270,2240,2260,250800,"2019-02-19","NFCX"
2260,2260,2260,2260,0,"2019-02-20","NFCX"
2290,2300,2290,2290,10000,"2019-02-21","NFCX"
2250,2290,2250,2280,75800,"2019-02-22","NFCX"
2300,2300,2300,2300,7400,"2019-02-25","NFCX"
2300,2430,2250,2430,2145100,"2019-02-26","NFCX"
2430,2440,2350,2400,785600,"2019-02-27","NFCX"
2400,2480,2400,2430,1294300,"2019-02-28","NFCX"
2430,2640,2430,2520,1794400,"2019-03-01","NFCX"
2520,2690,2520,2600,3189500,"2019-03-04","NFCX"
2600,2640,2540,2560,1026400,"2019-03-05","NFCX"
2560,2630,2550,2610,1923600,"2019-03-06","NFCX"
2610,2610,2610,2610,0,"2019-03-07","NFCX"
2580,2600,2530,2540,628700,"2019-03-08","NFCX"
