"Open","High","Low","Close","Volume","Date","Emiten"
300,390,300,300,208354496,"2009-12-14","NIKL"
285,315,275,285,38787000,"2009-12-15","NIKL"
270,285,255,270,33963000,"2009-12-16","NIKL"
290,315,260,290,137556496,"2009-12-17","NIKL"
285,300,270,285,42569500,"2009-12-21","NIKL"
275,290,270,275,20374000,"2009-12-22","NIKL"
270,275,265,270,6269000,"2009-12-23","NIKL"
270,270,270,270,0,"2009-12-28","NIKL"
270,275,260,270,20045000,"2009-12-29","NIKL"
265,270,260,265,5842500,"2009-12-30","NIKL"
280,290,270,280,33362000,"2010-01-04","NIKL"
275,285,275,275,13173500,"2010-01-05","NIKL"
280,280,270,280,6704000,"2010-01-06","NIKL"
280,290,275,280,19072500,"2010-01-07","NIKL"
280,285,275,280,4879000,"2010-01-08","NIKL"
275,280,275,275,4440000,"2010-01-11","NIKL"
285,290,275,285,23242500,"2010-01-12","NIKL"
280,280,275,280,4259000,"2010-01-13","NIKL"
280,285,275,280,6822500,"2010-01-14","NIKL"
280,280,270,280,9313500,"2010-01-15","NIKL"
280,280,280,280,0,"2010-01-18","NIKL"
275,280,270,275,3214500,"2010-01-19","NIKL"
270,280,270,270,4822000,"2010-01-20","NIKL"
270,270,265,270,3234500,"2010-01-21","NIKL"
265,270,260,265,2907500,"2010-01-22","NIKL"
265,270,260,265,2322000,"2010-01-25","NIKL"
265,265,265,265,0,"2010-01-26","NIKL"
255,260,250,255,4364500,"2010-01-27","NIKL"
260,260,255,260,2203000,"2010-01-28","NIKL"
255,265,240,255,25938500,"2010-01-29","NIKL"
250,260,245,250,6902000,"2010-02-01","NIKL"
250,265,250,250,1987500,"2010-02-02","NIKL"
255,255,250,255,1825000,"2010-02-03","NIKL"
255,255,250,255,1835500,"2010-02-04","NIKL"
245,250,240,245,3043000,"2010-02-05","NIKL"
240,245,235,240,3014000,"2010-02-08","NIKL"
240,245,235,240,3016000,"2010-02-09","NIKL"
240,245,240,240,1981500,"2010-02-10","NIKL"
245,250,235,245,6841500,"2010-02-11","NIKL"
240,245,240,240,1486000,"2010-02-12","NIKL"
240,240,240,240,1120500,"2010-02-15","NIKL"
245,245,235,245,1662500,"2010-02-16","NIKL"
240,245,240,240,1999000,"2010-02-17","NIKL"
240,250,240,240,12784000,"2010-02-18","NIKL"
235,245,235,235,2052500,"2010-02-19","NIKL"
240,245,240,240,534000,"2010-02-22","NIKL"
240,245,235,240,2654500,"2010-02-23","NIKL"
240,240,235,240,1110000,"2010-02-24","NIKL"
235,240,235,235,1314000,"2010-02-25","NIKL"
240,240,235,240,2575000,"2010-03-01","NIKL"
235,240,235,235,998500,"2010-03-02","NIKL"
235,240,230,235,2256000,"2010-03-03","NIKL"
235,240,230,235,2532500,"2010-03-04","NIKL"
230,240,230,230,2340000,"2010-03-05","NIKL"
285,285,230,285,89760000,"2010-03-08","NIKL"
255,295,255,255,59350500,"2010-03-09","NIKL"
260,270,255,260,11897500,"2010-03-10","NIKL"
260,265,255,260,11978500,"2010-03-11","NIKL"
260,260,255,260,1272500,"2010-03-12","NIKL"
260,260,255,260,1607500,"2010-03-15","NIKL"
265,265,255,265,11694000,"2010-03-17","NIKL"
260,260,255,260,2978000,"2010-03-18","NIKL"
265,275,260,265,18157000,"2010-03-19","NIKL"
260,265,255,260,8671500,"2010-03-22","NIKL"
270,275,260,270,26868000,"2010-03-23","NIKL"
300,310,265,300,117092496,"2010-03-24","NIKL"
290,300,285,290,25883000,"2010-03-25","NIKL"
285,305,280,285,37566000,"2010-03-26","NIKL"
305,305,285,305,40298500,"2010-03-29","NIKL"
295,310,290,295,17950000,"2010-03-30","NIKL"
295,295,290,295,9885000,"2010-03-31","NIKL"
295,300,285,295,7068500,"2010-04-01","NIKL"
295,295,295,295,0,"2010-04-05","NIKL"
295,300,290,295,6429000,"2010-04-06","NIKL"
310,335,290,310,68106000,"2010-04-07","NIKL"
295,320,295,295,30925000,"2010-04-08","NIKL"
310,315,300,310,19483000,"2010-04-09","NIKL"
320,330,310,320,35533500,"2010-04-12","NIKL"
320,325,315,320,7390500,"2010-04-13","NIKL"
330,345,320,330,64222500,"2010-04-14","NIKL"
340,350,325,340,53113000,"2010-04-15","NIKL"
335,345,330,335,15496500,"2010-04-16","NIKL"
315,330,305,315,38554500,"2010-04-19","NIKL"
330,335,320,330,36509000,"2010-04-20","NIKL"
320,335,320,320,9905500,"2010-04-21","NIKL"
325,335,320,325,11980500,"2010-04-22","NIKL"
340,350,330,340,76205500,"2010-04-23","NIKL"
340,350,340,340,25496500,"2010-04-26","NIKL"
345,360,340,345,76738000,"2010-04-27","NIKL"
340,345,335,340,12307500,"2010-04-28","NIKL"
340,345,335,340,10684500,"2010-04-29","NIKL"
340,345,335,340,10811500,"2010-04-30","NIKL"
330,340,320,330,11173000,"2010-05-03","NIKL"
315,330,310,315,31715000,"2010-05-04","NIKL"
300,310,295,300,21776500,"2010-05-05","NIKL"
300,300,280,300,17554500,"2010-05-06","NIKL"
285,295,280,285,7961500,"2010-05-07","NIKL"
285,285,285,285,8151500,"2010-05-10","NIKL"
295,305,290,295,7693000,"2010-05-11","NIKL"
295,300,290,295,3734500,"2010-05-12","NIKL"
295,300,290,295,2489500,"2010-05-14","NIKL"
285,290,280,285,4208500,"2010-05-17","NIKL"
285,290,280,285,6146000,"2010-05-18","NIKL"
265,285,260,265,8026000,"2010-05-19","NIKL"
275,280,260,275,9226500,"2010-05-20","NIKL"
265,265,255,265,6499000,"2010-05-21","NIKL"
255,270,250,255,5184000,"2010-05-24","NIKL"
235,255,230,235,8723000,"2010-05-25","NIKL"
265,265,240,265,9732000,"2010-05-26","NIKL"
270,275,250,270,7321000,"2010-05-27","NIKL"
270,275,270,270,3905000,"2010-05-31","NIKL"
265,270,260,265,3471000,"2010-06-01","NIKL"
265,265,260,265,888500,"2010-06-02","NIKL"
275,275,270,275,2494500,"2010-06-03","NIKL"
270,275,265,270,861500,"2010-06-04","NIKL"
265,265,260,265,2481500,"2010-06-07","NIKL"
270,270,265,270,1637500,"2010-06-08","NIKL"
275,275,265,275,2229500,"2010-06-09","NIKL"
280,285,270,280,6429000,"2010-06-10","NIKL"
290,295,280,290,10052500,"2010-06-11","NIKL"
305,310,295,305,19784000,"2010-06-14","NIKL"
290,300,290,290,4344500,"2010-06-15","NIKL"
305,305,295,305,11718500,"2010-06-16","NIKL"
300,310,295,300,16756500,"2010-06-17","NIKL"
300,300,295,300,1883500,"2010-06-18","NIKL"
300,310,295,300,14230000,"2010-06-21","NIKL"
295,305,295,295,2708000,"2010-06-22","NIKL"
300,300,290,300,1648500,"2010-06-23","NIKL"
295,300,290,295,3186500,"2010-06-24","NIKL"
300,300,290,300,770500,"2010-06-25","NIKL"
295,305,295,295,2224000,"2010-06-28","NIKL"
290,300,290,290,4575500,"2010-06-29","NIKL"
295,295,285,295,1400500,"2010-06-30","NIKL"
290,290,280,290,1327500,"2010-07-01","NIKL"
290,290,285,290,686000,"2010-07-02","NIKL"
295,295,285,295,745000,"2010-07-05","NIKL"
305,305,290,305,3648000,"2010-07-06","NIKL"
290,305,290,290,6235000,"2010-07-07","NIKL"
290,300,290,290,1851500,"2010-07-08","NIKL"
290,300,290,290,5416000,"2010-07-09","NIKL"
300,300,295,300,1344500,"2010-07-12","NIKL"
290,295,290,290,1755500,"2010-07-13","NIKL"
295,300,290,295,3558500,"2010-07-14","NIKL"
290,295,290,290,4078500,"2010-07-15","NIKL"
295,295,290,295,2227000,"2010-07-16","NIKL"
295,295,290,295,1372000,"2010-07-19","NIKL"
295,295,290,295,1223000,"2010-07-20","NIKL"
295,300,290,295,2344500,"2010-07-21","NIKL"
290,300,290,290,3018000,"2010-07-22","NIKL"
305,305,295,305,21666000,"2010-07-23","NIKL"
305,310,300,305,13198500,"2010-07-26","NIKL"
315,320,305,315,43953000,"2010-07-27","NIKL"
310,315,305,310,9386500,"2010-07-28","NIKL"
325,325,305,325,37735000,"2010-07-29","NIKL"
315,330,310,315,17872500,"2010-07-30","NIKL"
320,320,310,320,7434000,"2010-08-02","NIKL"
300,320,295,300,8961500,"2010-08-03","NIKL"
300,305,295,300,12624000,"2010-08-04","NIKL"
310,315,300,310,18753500,"2010-08-05","NIKL"
315,320,305,315,13887500,"2010-08-06","NIKL"
315,315,310,315,5869500,"2010-08-09","NIKL"
310,320,305,310,6269000,"2010-08-10","NIKL"
310,310,305,310,2866500,"2010-08-11","NIKL"
300,305,295,300,7402500,"2010-08-12","NIKL"
310,310,300,310,10020000,"2010-08-13","NIKL"
305,310,300,305,3740000,"2010-08-16","NIKL"
310,310,305,310,4274500,"2010-08-18","NIKL"
310,310,300,310,5074500,"2010-08-19","NIKL"
310,310,305,310,2459000,"2010-08-20","NIKL"
305,310,305,305,4507500,"2010-08-23","NIKL"
305,310,300,305,3347500,"2010-08-24","NIKL"
305,310,300,305,3140000,"2010-08-25","NIKL"
310,320,305,310,24163000,"2010-08-26","NIKL"
315,320,305,315,11920500,"2010-08-27","NIKL"
315,320,310,315,12987500,"2010-08-30","NIKL"
310,315,305,310,8662500,"2010-08-31","NIKL"
305,315,305,305,26729000,"2010-09-01","NIKL"
310,310,305,310,3587000,"2010-09-02","NIKL"
310,310,305,310,696500,"2010-09-03","NIKL"
305,315,305,305,6110500,"2010-09-06","NIKL"
305,310,305,305,2953000,"2010-09-07","NIKL"
305,305,305,305,0,"2010-09-15","NIKL"
320,320,315,320,29752000,"2010-09-16","NIKL"
330,335,315,330,52993500,"2010-09-17","NIKL"
355,355,330,355,88495000,"2010-09-20","NIKL"
350,360,340,350,58965000,"2010-09-21","NIKL"
345,355,340,345,35255500,"2010-09-22","NIKL"
350,360,335,350,78116500,"2010-09-23","NIKL"
355,355,350,355,19827000,"2010-09-24","NIKL"
365,375,350,365,120689000,"2010-09-27","NIKL"
355,375,355,355,42644500,"2010-09-28","NIKL"
360,365,355,360,12863000,"2010-09-29","NIKL"
380,385,355,380,140060500,"2010-09-30","NIKL"
385,390,380,385,88066500,"2010-10-01","NIKL"
375,390,370,375,35713000,"2010-10-04","NIKL"
375,375,365,375,7685500,"2010-10-05","NIKL"
370,385,365,370,11528500,"2010-10-06","NIKL"
360,375,350,360,37508000,"2010-10-07","NIKL"
360,365,355,360,3850500,"2010-10-08","NIKL"
365,370,360,365,9238500,"2010-10-11","NIKL"
370,380,365,370,17313000,"2010-10-12","NIKL"
385,385,365,385,26664000,"2010-10-13","NIKL"
380,390,375,380,28911500,"2010-10-14","NIKL"
380,385,370,380,3727000,"2010-10-15","NIKL"
375,380,370,375,11285500,"2010-10-18","NIKL"
375,380,370,375,4491000,"2010-10-19","NIKL"
380,380,360,380,12337000,"2010-10-20","NIKL"
420,420,380,420,250923500,"2010-10-21","NIKL"
435,450,420,435,240956000,"2010-10-22","NIKL"
425,445,420,425,39334000,"2010-10-25","NIKL"
420,430,410,420,25965500,"2010-10-26","NIKL"
420,430,410,420,56864000,"2010-10-27","NIKL"
435,440,420,435,74500000,"2010-10-28","NIKL"
430,435,425,430,9971000,"2010-10-29","NIKL"
430,430,420,430,15459000,"2010-11-01","NIKL"
425,430,420,425,18793500,"2010-11-02","NIKL"
425,425,420,425,25037000,"2010-11-03","NIKL"
435,435,420,435,15879500,"2010-11-04","NIKL"
455,475,435,455,298574500,"2010-11-05","NIKL"
495,495,455,495,184171500,"2010-11-08","NIKL"
510,530,495,510,402941000,"2010-11-09","NIKL"
480,520,460,480,141310000,"2010-11-10","NIKL"
450,480,445,450,182210500,"2010-11-11","NIKL"
465,465,445,465,109189000,"2010-11-12","NIKL"
440,480,435,440,216353500,"2010-11-15","NIKL"
430,450,430,430,27906000,"2010-11-16","NIKL"
440,445,430,440,21701500,"2010-11-18","NIKL"
435,445,430,435,11478000,"2010-11-19","NIKL"
440,440,430,440,8605500,"2010-11-22","NIKL"
435,440,430,435,25957500,"2010-11-23","NIKL"
450,465,425,450,254451500,"2010-11-24","NIKL"
445,455,440,445,34452500,"2010-11-25","NIKL"
435,450,430,435,13016000,"2010-11-26","NIKL"
430,435,425,430,7942500,"2010-11-29","NIKL"
410,430,405,410,18121000,"2010-11-30","NIKL"
430,435,405,430,31224000,"2010-12-01","NIKL"
430,435,420,430,24041000,"2010-12-02","NIKL"
425,440,420,425,9404000,"2010-12-03","NIKL"
420,435,415,420,5760000,"2010-12-06","NIKL"
420,425,410,420,10678500,"2010-12-08","NIKL"
425,425,415,425,7667000,"2010-12-09","NIKL"
425,425,405,425,5821500,"2010-12-10","NIKL"
465,465,420,465,70544500,"2010-12-13","NIKL"
450,475,445,450,132002000,"2010-12-14","NIKL"
430,455,430,430,16071000,"2010-12-15","NIKL"
425,440,425,425,30268500,"2010-12-16","NIKL"
430,435,420,430,13290000,"2010-12-17","NIKL"
420,430,420,420,5426000,"2010-12-20","NIKL"
425,430,420,425,4450000,"2010-12-21","NIKL"
430,445,425,430,34507500,"2010-12-22","NIKL"
425,435,420,425,4946500,"2010-12-23","NIKL"
420,430,420,420,3841500,"2010-12-27","NIKL"
425,430,415,425,5959500,"2010-12-28","NIKL"
435,435,425,435,9391000,"2010-12-29","NIKL"
430,440,425,430,5265000,"2010-12-30","NIKL"
430,440,425,430,9760000,"2011-01-03","NIKL"
440,445,430,440,18270500,"2011-01-04","NIKL"
440,440,430,440,2080000,"2011-01-05","NIKL"
435,440,430,435,3567000,"2011-01-06","NIKL"
435,435,430,435,27842000,"2011-01-07","NIKL"
430,435,420,430,27398500,"2011-01-10","NIKL"
420,445,415,420,93581500,"2011-01-11","NIKL"
420,425,410,420,27188500,"2011-01-12","NIKL"
415,425,410,415,11654000,"2011-01-13","NIKL"
410,415,405,410,14893000,"2011-01-14","NIKL"
405,415,400,405,16626000,"2011-01-17","NIKL"
405,410,400,405,2745500,"2011-01-18","NIKL"
400,410,400,400,2289000,"2011-01-19","NIKL"
385,405,380,385,9630000,"2011-01-20","NIKL"
380,385,370,380,5657500,"2011-01-21","NIKL"
365,385,365,365,7326000,"2011-01-24","NIKL"
380,380,365,380,5229500,"2011-01-25","NIKL"
420,420,375,420,51166000,"2011-01-26","NIKL"
410,430,400,410,77837000,"2011-01-27","NIKL"
395,410,390,395,6632000,"2011-01-28","NIKL"
385,390,380,385,4168500,"2011-01-31","NIKL"
385,395,385,385,2231500,"2011-02-01","NIKL"
385,390,385,385,2205500,"2011-02-02","NIKL"
395,395,385,395,2369500,"2011-02-04","NIKL"
385,400,385,385,3064500,"2011-02-07","NIKL"
380,395,380,380,3228500,"2011-02-08","NIKL"
370,385,370,370,5800000,"2011-02-09","NIKL"
370,370,360,370,2430500,"2011-02-10","NIKL"
370,375,365,370,1818500,"2011-02-11","NIKL"
370,375,365,370,3094500,"2011-02-14","NIKL"
365,375,365,365,2617500,"2011-02-16","NIKL"
375,380,365,375,5101000,"2011-02-17","NIKL"
375,380,370,375,4367000,"2011-02-18","NIKL"
365,375,365,365,2863000,"2011-02-21","NIKL"
370,370,360,370,1732000,"2011-02-22","NIKL"
370,370,365,370,1213000,"2011-02-23","NIKL"
360,370,355,360,3595000,"2011-02-24","NIKL"
365,365,360,365,1322000,"2011-02-25","NIKL"
370,370,360,370,1994000,"2011-02-28","NIKL"
370,375,365,370,5585000,"2011-03-01","NIKL"
370,370,365,370,1794000,"2011-03-02","NIKL"
370,380,365,370,14301500,"2011-03-03","NIKL"
375,385,370,375,9160500,"2011-03-04","NIKL"
370,375,370,370,2112500,"2011-03-07","NIKL"
390,400,370,390,43669000,"2011-03-08","NIKL"
380,395,380,380,21941000,"2011-03-09","NIKL"
370,385,370,370,4892500,"2011-03-10","NIKL"
370,380,365,370,5955500,"2011-03-11","NIKL"
370,380,365,370,9108000,"2011-03-14","NIKL"
375,375,365,375,11250500,"2011-03-15","NIKL"
385,385,370,385,12448000,"2011-03-16","NIKL"
415,415,375,415,54439000,"2011-03-17","NIKL"
390,425,390,390,133736500,"2011-03-18","NIKL"
390,400,385,390,4413500,"2011-03-21","NIKL"
380,395,380,380,1778000,"2011-03-22","NIKL"
380,390,375,380,3703500,"2011-03-23","NIKL"
390,400,385,390,12612000,"2011-03-24","NIKL"
395,400,390,395,3946500,"2011-03-25","NIKL"
395,395,390,395,2433500,"2011-03-28","NIKL"
390,395,385,390,5102500,"2011-03-29","NIKL"
395,405,390,395,11530000,"2011-03-30","NIKL"
395,400,390,395,5331000,"2011-03-31","NIKL"
390,400,390,390,2522000,"2011-04-01","NIKL"
390,395,385,390,2594500,"2011-04-04","NIKL"
390,395,385,390,2244000,"2011-04-05","NIKL"
390,395,385,390,4271500,"2011-04-06","NIKL"
390,395,385,390,2071000,"2011-04-07","NIKL"
440,440,390,440,144366000,"2011-04-08","NIKL"
415,455,415,415,369222500,"2011-04-11","NIKL"
415,420,410,415,6801000,"2011-04-12","NIKL"
415,420,405,415,7548500,"2011-04-13","NIKL"
