"Open","High","Low","Close","Volume","Date","Emiten"
336,336,296,336,175431500,"2021-09-06","OILS"
350,420,344,420,207772100,"2021-09-07","OILS"
430,525,430,525,170055600,"2021-09-08","OILS"
560,655,535,655,75743800,"2021-09-09","OILS"
700,765,610,610,74566300,"2021-09-10","OILS"
570,570,570,570,1003900,"2021-09-13","OILS"
535,535,535,535,1512100,"2021-09-14","OILS"
498,498,498,498,2974100,"2021-09-15","OILS"
498,505,464,464,43825400,"2021-09-16","OILS"
432,530,432,432,375639600,"2021-09-17","OILS"
430,454,402,402,34926500,"2021-09-20","OILS"
410,468,390,426,233735100,"2021-09-21","OILS"
428,450,408,410,65644300,"2021-09-22","OILS"
410,414,382,386,27551800,"2021-09-23","OILS"
386,390,360,360,20400000,"2021-09-24","OILS"
360,360,336,338,33484800,"2021-09-27","OILS"
338,356,318,340,30811300,"2021-09-28","OILS"
340,340,318,320,6757100,"2021-09-29","OILS"
318,320,302,304,7631100,"2021-09-30","OILS"
304,380,302,380,114042600,"2021-10-01","OILS"
400,410,354,354,40865400,"2021-10-04","OILS"
330,346,330,330,20099500,"2021-10-05","OILS"
320,346,310,314,38059300,"2021-10-06","OILS"
316,328,308,310,8517200,"2021-10-07","OILS"
312,338,310,318,22092300,"2021-10-08","OILS"
322,324,312,320,6643400,"2021-10-11","OILS"
320,320,310,310,4404000,"2021-10-12","OILS"
310,316,304,304,5711900,"2021-10-13","OILS"
304,308,294,296,7685900,"2021-10-14","OILS"
296,316,296,300,12903700,"2021-10-15","OILS"
300,306,296,298,3840800,"2021-10-18","OILS"
298,300,290,296,4195400,"2021-10-19","OILS"
296,298,288,292,3921800,"2021-10-21","OILS"
288,296,282,290,3255100,"2021-10-22","OILS"
290,290,282,286,2335800,"2021-10-25","OILS"
286,288,276,278,3145400,"2021-10-26","OILS"
278,308,268,278,23342100,"2021-10-27","OILS"
278,284,268,270,3529000,"2021-10-28","OILS"
272,286,270,276,4373800,"2021-10-29","OILS"
