"Open","High","Low","Close","Volume","Date","Emiten"
254,254,210,252,1191179900,"2022-11-08","OMED"
238,266,238,252,546815200,"2022-11-09","OMED"
252,252,240,246,220275900,"2022-11-10","OMED"
246,260,242,252,248027400,"2022-11-11","OMED"
252,260,248,258,240345100,"2022-11-14","OMED"
256,264,254,264,240539400,"2022-11-15","OMED"
266,272,258,262,295752700,"2022-11-16","OMED"
262,272,258,272,240228700,"2022-11-17","OMED"
274,280,268,270,230530700,"2022-11-18","OMED"
270,272,260,264,254080700,"2022-11-21","OMED"
262,266,260,260,189010400,"2022-11-22","OMED"
260,264,258,264,100471100,"2022-11-23","OMED"
266,268,262,268,102546000,"2022-11-24","OMED"
270,274,266,270,188262200,"2022-11-25","OMED"
270,270,258,258,154743100,"2022-11-28","OMED"
254,268,250,260,95873900,"2022-11-29","OMED"
260,262,252,256,118259300,"2022-11-30","OMED"
256,262,250,254,95318400,"2022-12-01","OMED"
254,254,250,254,61196900,"2022-12-02","OMED"
252,258,248,250,90669400,"2022-12-05","OMED"
250,252,234,234,103045600,"2022-12-06","OMED"
232,238,218,238,86339800,"2022-12-07","OMED"
238,238,222,222,52444000,"2022-12-08","OMED"
210,222,208,218,182042700,"2022-12-09","OMED"
214,218,210,216,101725300,"2022-12-12","OMED"
216,218,206,206,60157600,"2022-12-13","OMED"
196,216,196,214,172021000,"2022-12-14","OMED"
214,230,212,230,283964600,"2022-12-15","OMED"
230,232,222,224,79116400,"2022-12-16","OMED"
224,226,218,220,58074700,"2022-12-19","OMED"
220,224,216,218,43190200,"2022-12-20","OMED"
218,220,212,212,60058400,"2022-12-21","OMED"
212,214,208,208,53897200,"2022-12-22","OMED"
208,218,206,216,146485800,"2022-12-23","OMED"
216,222,214,218,116083100,"2022-12-26","OMED"
218,220,214,218,73931500,"2022-12-27","OMED"
218,218,212,214,72633100,"2022-12-28","OMED"
214,216,210,214,40317000,"2022-12-29","OMED"
214,216,210,212,73027700,"2022-12-30","OMED"
214,214,210,214,40693400,"2023-01-02","OMED"
212,222,212,220,147456500,"2023-01-03","OMED"
220,226,218,220,118469300,"2023-01-04","OMED"
222,222,208,216,129336400,"2023-01-05","OMED"
216,220,208,220,197515600,"2023-01-06","OMED"
220,226,218,222,144880800,"2023-01-09","OMED"
224,224,218,220,109873500,"2023-01-10","OMED"
220,224,218,220,91825400,"2023-01-11","OMED"
220,226,216,224,172889500,"2023-01-12","OMED"
224,226,222,226,107385300,"2023-01-13","OMED"
226,232,224,232,188147600,"2023-01-16","OMED"
234,238,222,222,150059000,"2023-01-17","OMED"
222,226,214,214,73367400,"2023-01-18","OMED"
214,218,212,214,61524600,"2023-01-19","OMED"
214,216,208,212,101639600,"2023-01-20","OMED"
212,214,208,212,104739900,"2023-01-24","OMED"
212,212,206,208,190199400,"2023-01-25","OMED"
210,210,206,210,107566100,"2023-01-26","OMED"
210,212,206,208,99533200,"2023-01-27","OMED"
208,210,206,208,79724400,"2023-01-30","OMED"
208,210,206,210,77997800,"2023-01-31","OMED"
210,212,206,210,94611200,"2023-02-01","OMED"
210,212,206,210,66641000,"2023-02-02","OMED"
210,212,206,208,77722400,"2023-02-03","OMED"
210,210,206,208,51177900,"2023-02-06","OMED"
208,210,206,210,47261700,"2023-02-07","OMED"
210,212,206,212,137014600,"2023-02-08","OMED"
210,214,210,212,89664100,"2023-02-09","OMED"
212,212,208,212,87640200,"2023-02-10","OMED"
212,214,210,214,80182200,"2023-02-13","OMED"
214,218,212,218,172180100,"2023-02-14","OMED"
218,220,212,214,85260500,"2023-02-15","OMED"
216,216,210,214,52497800,"2023-02-16","OMED"
214,218,212,214,45203500,"2023-02-17","OMED"
212,216,212,214,70837700,"2023-02-20","OMED"
214,216,212,212,57132900,"2023-02-21","OMED"
212,212,206,208,116599700,"2023-02-22","OMED"
208,208,204,204,73378400,"2023-02-23","OMED"
204,206,195,206,146735500,"2023-02-24","OMED"
206,206,199,199,45391100,"2023-02-27","OMED"
199,202,196,196,47845000,"2023-02-28","OMED"
196,200,196,198,47671100,"2023-03-01","OMED"
198,202,197,200,55317500,"2023-03-02","OMED"
200,204,200,202,50994100,"2023-03-03","OMED"
206,206,200,206,62910200,"2023-03-06","OMED"
206,208,202,204,44616400,"2023-03-07","OMED"
204,206,200,204,47882800,"2023-03-08","OMED"
204,204,202,204,48222400,"2023-03-09","OMED"
204,210,200,210,71855700,"2023-03-10","OMED"
210,210,202,204,44899800,"2023-03-13","OMED"
204,204,200,200,42734400,"2023-03-14","OMED"
202,204,200,202,39569600,"2023-03-15","OMED"
204,204,197,199,41472900,"2023-03-16","OMED"
200,202,199,202,25486800,"2023-03-17","OMED"
202,202,196,197,44130700,"2023-03-20","OMED"
197,200,195,200,48036500,"2023-03-21","OMED"
200,202,199,202,45440700,"2023-03-24","OMED"
202,202,199,200,51266100,"2023-03-27","OMED"
200,202,199,202,47327600,"2023-03-28","OMED"
202,202,197,198,35760700,"2023-03-29","OMED"
198,199,197,197,32228300,"2023-03-30","OMED"
198,200,197,198,37427600,"2023-03-31","OMED"
198,202,198,200,31220600,"2023-04-03","OMED"
200,200,198,200,21591200,"2023-04-04","OMED"
200,200,198,198,15536200,"2023-04-05","OMED"
198,199,197,197,14711900,"2023-04-06","OMED"
197,198,196,198,16684000,"2023-04-10","OMED"
198,200,197,197,12867500,"2023-04-11","OMED"
197,198,195,196,17334500,"2023-04-12","OMED"
187,198,187,196,14903300,"2023-04-13","OMED"
196,198,196,196,13420100,"2023-04-14","OMED"
196,200,196,200,15493300,"2023-04-17","OMED"
198,200,196,200,17206400,"2023-04-18","OMED"
200,200,197,198,16093200,"2023-04-26","OMED"
198,198,196,197,16004600,"2023-04-27","OMED"
197,198,195,198,16580700,"2023-04-28","OMED"
197,198,195,196,12696700,"2023-05-02","OMED"
197,197,195,195,12656700,"2023-05-03","OMED"
196,197,195,195,15548200,"2023-05-04","OMED"
