"Open","High","Low","Close","Volume","Date","Emiten"
212.5,223.75,207.5,220,61150400,"2017-12-13","PBID"
220,225,213.75,213.75,6119200,"2017-12-14","PBID"
213.75,215,212.5,212.5,2142800,"2017-12-15","PBID"
212.5,213.75,211.25,211.25,5984400,"2017-12-18","PBID"
212.5,213.75,211.25,213.75,2027600,"2017-12-19","PBID"
213.75,215,212.5,215,3118800,"2017-12-20","PBID"
215,217.5,215,216.25,2667200,"2017-12-21","PBID"
215,216.25,215,216.25,625600,"2017-12-22","PBID"
216.25,216.25,216.25,216.25,0,"2017-12-25","PBID"
216.25,216.25,216.25,216.25,0,"2017-12-26","PBID"
215,216.25,213.75,216.25,1682000,"2017-12-27","PBID"
216.25,216.25,212.5,216.25,2444800,"2017-12-28","PBID"
216.25,218.75,215,218.75,4884400,"2017-12-29","PBID"
218.75,218.75,218.75,218.75,0,"2018-01-01","PBID"
220,225,218.75,223.75,1153200,"2018-01-02","PBID"
223.75,225,222.5,225,1900400,"2018-01-03","PBID"
225,232.5,225,230,762800,"2018-01-04","PBID"
227.5,237.5,226.25,237.5,2928000,"2018-01-05","PBID"
235,247.5,230,238.75,1530800,"2018-01-08","PBID"
235,236.25,227.5,236.25,1999200,"2018-01-09","PBID"
230,233.75,228.75,232.5,892800,"2018-01-10","PBID"
231.25,232.5,227.5,232.5,1007600,"2018-01-11","PBID"
230,230,227.5,227.5,558400,"2018-01-12","PBID"
228.75,237.5,221.25,228.75,4163600,"2018-01-15","PBID"
227.5,232.5,225,232.5,1336400,"2018-01-16","PBID"
232.5,236.25,231.25,233.75,2058800,"2018-01-17","PBID"
235,236.25,231.25,233.75,2227600,"2018-01-18","PBID"
232.5,233.75,231.25,233.75,2556000,"2018-01-19","PBID"
233.75,237.5,231.25,237.5,4986400,"2018-01-22","PBID"
236.25,236.25,233.75,236.25,3465600,"2018-01-23","PBID"
236.25,236.25,233.75,235,3515600,"2018-01-24","PBID"
235,237.5,233.75,237.5,3048800,"2018-01-25","PBID"
237.5,237.5,233.75,233.75,1796000,"2018-01-26","PBID"
233.75,235,233.75,233.75,362400,"2018-01-29","PBID"
