"Open","High","Low","Close","Volume","Date","Emiten"
1800,1800,1800,1800,35600,"2018-12-26","PEHA"
2250,2250,2250,2250,521600,"2018-12-27","PEHA"
2790,2810,2790,2810,339200,"2018-12-28","PEHA"
2810,2810,2810,2810,0,"2018-12-31","PEHA"
2810,2810,2810,2810,0,"2019-01-01","PEHA"
3510,3510,3130,3510,1107300,"2019-01-02","PEHA"
3650,3650,2900,2970,472200,"2019-01-03","PEHA"
2970,2970,2500,2700,412500,"2019-01-04","PEHA"
2680,2700,2600,2610,73800,"2019-01-07","PEHA"
2510,2550,2500,2510,140500,"2019-01-08","PEHA"
2500,2620,2500,2510,39100,"2019-01-09","PEHA"
2520,2600,2500,2510,44600,"2019-01-10","PEHA"
2510,2520,2510,2510,12300,"2019-01-11","PEHA"
2530,2540,2510,2510,19600,"2019-01-14","PEHA"
2520,2800,2510,2670,47200,"2019-01-15","PEHA"
2670,2680,2550,2550,31700,"2019-01-16","PEHA"
2600,2600,2540,2540,4200,"2019-01-17","PEHA"
2540,2570,2510,2560,9200,"2019-01-18","PEHA"
2560,2610,2520,2550,18300,"2019-01-21","PEHA"
2520,2550,2500,2540,133900,"2019-01-22","PEHA"
2540,2540,2520,2520,90800,"2019-01-23","PEHA"
2530,2530,2520,2520,40500,"2019-01-24","PEHA"
2520,2540,2520,2530,8100,"2019-01-25","PEHA"
2630,2630,2520,2550,52200,"2019-01-28","PEHA"
2550,2550,2450,2450,8100,"2019-01-29","PEHA"
2500,2500,2400,2400,5600,"2019-01-30","PEHA"
2400,2400,2300,2300,58700,"2019-01-31","PEHA"
2300,2300,2290,2300,32200,"2019-02-01","PEHA"
2310,2320,2310,2310,28100,"2019-02-04","PEHA"
2310,2310,2310,2310,0,"2019-02-05","PEHA"
2310,2310,2200,2200,80100,"2019-02-06","PEHA"
2250,2290,2200,2200,47900,"2019-02-07","PEHA"
2200,2200,2180,2200,1300,"2019-02-08","PEHA"
2200,2520,2100,2500,35400,"2019-02-11","PEHA"
2420,2420,2150,2150,31500,"2019-02-12","PEHA"
