"Open","High","Low","Close","Volume","Date","Emiten"
200,200,190,200,66020200,"2023-01-24","PEVE"
250,270,208,244,556672100,"2023-01-25","PEVE"
248,266,228,230,109291900,"2023-01-26","PEVE"
230,242,214,230,33422400,"2023-01-27","PEVE"
230,234,218,220,14253400,"2023-01-30","PEVE"
218,222,206,206,13760200,"2023-01-31","PEVE"
195,220,195,206,23668300,"2023-02-01","PEVE"
204,214,204,210,10890800,"2023-02-02","PEVE"
210,224,206,220,26039300,"2023-02-03","PEVE"
222,228,212,212,11446100,"2023-02-06","PEVE"
210,216,206,208,6278800,"2023-02-07","PEVE"
210,210,204,204,3959600,"2023-02-08","PEVE"
204,208,197,200,5139100,"2023-02-09","PEVE"
202,206,198,200,4305200,"2023-02-10","PEVE"
200,204,199,199,1992600,"2023-02-13","PEVE"
199,216,199,208,14267200,"2023-02-14","PEVE"
208,210,204,206,3077900,"2023-02-15","PEVE"
206,208,200,202,3584400,"2023-02-16","PEVE"
202,204,199,199,2791800,"2023-02-17","PEVE"
199,204,198,202,4461200,"2023-02-20","PEVE"
202,204,200,200,1893100,"2023-02-21","PEVE"
200,202,198,199,2125900,"2023-02-22","PEVE"
199,200,196,196,2492900,"2023-02-23","PEVE"
196,200,195,197,2624100,"2023-02-24","PEVE"
197,198,195,196,1147000,"2023-02-27","PEVE"
196,198,184,195,5965900,"2023-02-28","PEVE"
195,196,182,184,3626600,"2023-03-01","PEVE"
183,189,182,185,2525100,"2023-03-02","PEVE"
185,194,183,191,2799800,"2023-03-03","PEVE"
191,193,182,185,3220900,"2023-03-06","PEVE"
185,186,181,183,1651700,"2023-03-07","PEVE"
183,184,173,173,8369800,"2023-03-08","PEVE"
173,174,165,170,12999500,"2023-03-09","PEVE"
170,170,165,166,12081400,"2023-03-10","PEVE"
165,168,160,162,16208800,"2023-03-13","PEVE"
160,162,151,153,4603700,"2023-03-14","PEVE"
154,164,154,156,2091500,"2023-03-15","PEVE"
158,158,150,154,1578100,"2023-03-16","PEVE"
153,155,150,155,949500,"2023-03-17","PEVE"
155,156,151,153,801300,"2023-03-20","PEVE"
153,175,153,162,23015500,"2023-03-21","PEVE"
164,170,164,170,5516100,"2023-03-24","PEVE"
174,174,168,170,1597200,"2023-03-27","PEVE"
171,172,166,169,1803400,"2023-03-28","PEVE"
169,170,165,166,1809600,"2023-03-29","PEVE"
167,167,163,164,1165600,"2023-03-30","PEVE"
165,165,160,161,1388200,"2023-03-31","PEVE"
159,161,155,157,19699100,"2023-04-03","PEVE"
157,202,156,182,95713600,"2023-04-04","PEVE"
184,186,170,173,9818400,"2023-04-05","PEVE"
175,212,174,181,81041800,"2023-04-06","PEVE"
182,186,172,178,7444700,"2023-04-10","PEVE"
180,193,174,179,26063900,"2023-04-11","PEVE"
180,187,175,178,9493200,"2023-04-12","PEVE"
178,180,172,172,3535800,"2023-04-13","PEVE"
172,173,161,162,49618900,"2023-04-14","PEVE"
163,177,162,164,54342000,"2023-04-17","PEVE"
165,177,164,168,9761500,"2023-04-18","PEVE"
169,174,169,171,2094100,"2023-04-26","PEVE"
171,173,167,171,2026600,"2023-04-27","PEVE"
172,173,164,171,1773600,"2023-04-28","PEVE"
171,171,164,166,2785200,"2023-05-02","PEVE"
166,177,164,172,4515700,"2023-05-03","PEVE"
173,176,170,171,1959100,"2023-05-04","PEVE"
172,173,168,170,1315500,"2023-05-05","PEVE"
172,173,169,170,2398000,"2023-05-08","PEVE"
170,179,169,174,3064800,"2023-05-09","PEVE"
175,186,174,186,8579200,"2023-05-10","PEVE"
186,193,181,182,7500700,"2023-05-11","PEVE"
182,182,174,174,2024000,"2023-05-12","PEVE"
176,179,170,174,2277300,"2023-05-15","PEVE"
174,179,174,174,2138900,"2023-05-16","PEVE"
177,177,173,173,875400,"2023-05-17","PEVE"
173,177,172,174,1019700,"2023-05-19","PEVE"
174,176,170,171,1260200,"2023-05-22","PEVE"
171,172,167,171,1906400,"2023-05-23","PEVE"
171,177,171,173,1499800,"2023-05-24","PEVE"
172,173,169,171,649800,"2023-05-25","PEVE"
168,171,165,169,1346800,"2023-05-26","PEVE"
170,171,167,167,517900,"2023-05-29","PEVE"
167,172,165,167,947900,"2023-05-30","PEVE"
167,168,164,165,881000,"2023-05-31","PEVE"
165,167,163,165,405400,"2023-06-05","PEVE"
163,167,163,166,320400,"2023-06-06","PEVE"
165,167,163,166,584000,"2023-06-07","PEVE"
166,167,163,166,279000,"2023-06-08","PEVE"
166,167,165,167,489500,"2023-06-09","PEVE"
167,170,166,169,872400,"2023-06-12","PEVE"
169,179,167,177,4481800,"2023-06-13","PEVE"
178,182,174,174,3131400,"2023-06-14","PEVE"
173,174,169,170,1617100,"2023-06-15","PEVE"
170,170,167,167,1247000,"2023-06-16","PEVE"
167,170,166,167,562600,"2023-06-19","PEVE"
167,169,166,169,686300,"2023-06-20","PEVE"
169,170,166,168,668700,"2023-06-21","PEVE"
169,169,166,168,232600,"2023-06-22","PEVE"
168,172,166,171,903300,"2023-06-23","PEVE"
172,172,169,171,362400,"2023-06-26","PEVE"
171,174,171,172,1159900,"2023-06-27","PEVE"
173,176,171,175,1675500,"2023-07-03","PEVE"
175,176,173,173,769800,"2023-07-04","PEVE"
172,174,169,170,1709700,"2023-07-05","PEVE"
170,174,169,170,2034200,"2023-07-06","PEVE"
