"Open","High","Low","Close","Volume","Date","Emiten"
2340,2340,2310,2340,20,"2007-01-02","PGAS"
2300,2340,2290,2300,20,"2007-01-03","PGAS"
2220,2300,2200,2220,20,"2007-01-04","PGAS"
2150,2200,2130,2150,20,"2007-01-05","PGAS"
2170,2170,2090,2170,20,"2007-01-08","PGAS"
2130,2220,2110,2130,20,"2007-01-09","PGAS"
2020,2020,2020,2020,20,"2007-01-10","PGAS"
2050,2070,1920,1930,194685000,"2007-01-11","PGAS"
1840,1840,1480,1480,930802500,"2007-01-12","PGAS"
1480,1480,1480,1480,0,"2007-01-15","PGAS"
1560,1740,1560,1710,737865000,"2007-01-16","PGAS"
1670,1720,1640,1670,20,"2007-01-17","PGAS"
1670,1680,1650,1670,20,"2007-01-18","PGAS"
1640,1670,1630,1640,20,"2007-01-19","PGAS"
1670,1680,1640,1670,20,"2007-01-22","PGAS"
1670,1770,1660,1770,174075000,"2007-01-23","PGAS"
1820,1870,1800,1820,20,"2007-01-24","PGAS"
1800,1830,1780,1800,20,"2007-01-25","PGAS"
1790,1800,1760,1790,20,"2007-01-26","PGAS"
1840,1860,1800,1840,20,"2007-01-29","PGAS"
1890,1900,1840,1890,20,"2007-01-30","PGAS"
1880,1900,1870,1880,81425000,"2007-01-31","PGAS"
1910,1920,1890,1910,20,"2007-02-01","PGAS"
1910,1930,1810,1840,47950000,"2007-02-02","PGAS"
1800,1830,1790,1800,20,"2007-02-05","PGAS"
1810,1820,1770,1810,20,"2007-02-06","PGAS"
1830,1850,1800,1830,20,"2007-02-07","PGAS"
1810,1820,1800,1810,16327500,"2007-02-08","PGAS"
1820,1850,1800,1820,31570000,"2007-02-09","PGAS"
1830,1850,1800,1830,20,"2007-02-12","PGAS"
1800,1830,1790,1800,20,"2007-02-13","PGAS"
1770,1830,1760,1770,20,"2007-02-14","PGAS"
1770,1800,1750,1770,79285000,"2007-02-15","PGAS"
1750,1770,1740,1750,20,"2007-02-16","PGAS"
1780,1800,1750,1780,20,"2007-02-19","PGAS"
1790,1800,1780,1790,20,"2007-02-20","PGAS"
1790,1820,1780,1790,46830000,"2007-02-21","PGAS"
1840,1860,1800,1840,20,"2007-02-22","PGAS"
1880,1890,1820,1880,20,"2007-02-23","PGAS"
1890,1920,1870,1890,52982500,"2007-02-26","PGAS"
1840,1900,1820,1840,20,"2007-02-27","PGAS"
1690,1800,1680,1790,96967500,"2007-02-28","PGAS"
1780,1830,1750,1780,20,"2007-03-01","PGAS"
1780,1780,1760,1780,20,"2007-03-02","PGAS"
1700,1770,1690,1700,20,"2007-03-05","PGAS"
1750,1750,1710,1750,20,"2007-03-06","PGAS"
1750,1780,1740,1750,34137500,"2007-03-07","PGAS"
1830,1830,1750,1830,20,"2007-03-08","PGAS"
1830,1860,1810,1830,20,"2007-03-09","PGAS"
1860,1880,1850,1860,68285000,"2007-03-12","PGAS"
1880,1900,1860,1880,20,"2007-03-13","PGAS"
1830,1850,1800,1830,66085000,"2007-03-14","PGAS"
