"Open","High","Low","Close","Volume","Date","Emiten"
135,141,135,141,20506300,"2023-04-10","PIPA"
190,190,190,190,18194100,"2023-04-11","PIPA"
220,256,184,193,562146100,"2023-04-12","PIPA"
194,208,180,180,153264300,"2023-04-13","PIPA"
180,185,168,168,79290300,"2023-04-14","PIPA"
168,172,157,157,27040500,"2023-04-17","PIPA"
147,162,147,147,109314900,"2023-04-18","PIPA"
147,149,137,142,65276100,"2023-04-26","PIPA"
134,146,133,133,51807600,"2023-04-27","PIPA"
136,136,124,124,51750900,"2023-04-28","PIPA"
116,126,116,119,55397800,"2023-05-02","PIPA"
120,142,120,137,368506800,"2023-05-03","PIPA"
138,139,128,128,52443300,"2023-05-04","PIPA"
127,127,120,120,9356400,"2023-05-05","PIPA"
113,116,112,112,5133600,"2023-05-08","PIPA"
105,113,105,106,75791800,"2023-05-09","PIPA"
106,110,99,99,56193500,"2023-05-10","PIPA"
93,99,93,93,19693000,"2023-05-11","PIPA"
102,102,87,87,8665200,"2023-05-12","PIPA"
81,81,81,81,2925700,"2023-05-15","PIPA"
76,76,76,76,4615400,"2023-05-16","PIPA"
71,71,71,71,3158300,"2023-05-17","PIPA"
67,67,67,67,2302100,"2023-05-19","PIPA"
63,71,63,71,46712800,"2023-05-22","PIPA"
83,83,67,67,158834400,"2023-05-23","PIPA"
63,68,63,64,30746300,"2023-05-24","PIPA"
60,64,60,61,21341400,"2023-05-25","PIPA"
61,65,58,62,30325200,"2023-05-26","PIPA"
65,65,59,59,15646900,"2023-05-29","PIPA"
59,64,58,59,29837300,"2023-05-30","PIPA"
59,60,55,56,35627400,"2023-05-31","PIPA"
56,56,51,52,15986400,"2023-06-05","PIPA"
52,54,52,54,14193600,"2023-06-06","PIPA"
54,55,52,53,7715300,"2023-06-07","PIPA"
53,54,53,53,4558200,"2023-06-08","PIPA"
53,54,53,53,4468800,"2023-06-09","PIPA"
54,57,53,56,12197000,"2023-06-12","PIPA"
57,57,55,55,4830500,"2023-06-13","PIPA"
55,56,55,55,6603000,"2023-06-14","PIPA"
56,58,55,55,15154900,"2023-06-15","PIPA"
