"Open","High","Low","Close","Volume","Date","Emiten"
2450,2450,2350,2450,2013200,"2019-01-10","POLI"
2550,2650,1840,1840,2072500,"2019-01-11","POLI"
1800,1800,1550,1575,259800,"2019-01-14","POLI"
1555,1615,1410,1445,139200,"2019-01-15","POLI"
1440,1485,1400,1440,52000,"2019-01-16","POLI"
1465,1475,1415,1420,37900,"2019-01-17","POLI"
1420,1470,1400,1400,95900,"2019-01-18","POLI"
1400,1435,1400,1400,30700,"2019-01-21","POLI"
1405,1425,1355,1355,16400,"2019-01-22","POLI"
1355,1385,1300,1310,23600,"2019-01-23","POLI"
1300,1495,1255,1390,28200,"2019-01-24","POLI"
1400,1405,1375,1375,7000,"2019-01-25","POLI"
1350,1420,1320,1370,9300,"2019-01-28","POLI"
1370,1395,1320,1380,33200,"2019-01-29","POLI"
1380,1400,1335,1335,25800,"2019-01-30","POLI"
1335,1390,1335,1375,7800,"2019-01-31","POLI"
1360,1395,1335,1335,10800,"2019-02-01","POLI"
1370,1370,1280,1335,21800,"2019-02-04","POLI"
1335,1335,1335,1335,0,"2019-02-05","POLI"
1295,1335,1275,1295,4300,"2019-02-06","POLI"
1290,1335,1290,1330,12400,"2019-02-07","POLI"
1295,1330,1290,1325,16800,"2019-02-08","POLI"
1325,1325,1295,1325,8200,"2019-02-11","POLI"
1300,1315,1285,1310,18500,"2019-02-12","POLI"
1280,1295,1195,1195,43200,"2019-02-13","POLI"
1200,1235,1130,1215,2900,"2019-02-14","POLI"
1165,1215,1165,1205,3000,"2019-02-15","POLI"
1200,1205,1170,1205,9000,"2019-02-18","POLI"
1195,1195,1130,1155,8300,"2019-02-19","POLI"
1130,1170,1120,1165,43500,"2019-02-20","POLI"
1165,1165,1050,1160,21800,"2019-02-21","POLI"
1150,1155,1045,1055,32200,"2019-02-22","POLI"
1050,1100,1050,1055,7400,"2019-02-25","POLI"
1055,1225,1050,1210,29800,"2019-02-26","POLI"
1115,1190,1070,1175,21700,"2019-02-27","POLI"
1175,1175,1175,1175,0,"2019-02-28","POLI"
1170,1170,1165,1165,400,"2019-03-01","POLI"
1160,1160,1140,1150,2300,"2019-03-04","POLI"
1140,1160,1025,1145,13700,"2019-03-05","POLI"
1145,1145,1145,1145,0,"2019-03-06","POLI"
