"Open","High","Low","Close","Volume","Date","Emiten"
1500,1645,1500,1540,184679300,"2016-06-14","POWR"
1550,1595,1540,1545,19681600,"2016-06-15","POWR"
1545,1550,1530,1530,11536200,"2016-06-16","POWR"
1530,1550,1525,1530,10124300,"2016-06-17","POWR"
1530,1540,1520,1530,24799400,"2016-06-20","POWR"
1535,1535,1525,1525,5239400,"2016-06-21","POWR"
1525,1530,1515,1525,4482300,"2016-06-22","POWR"
1525,1530,1510,1520,4678100,"2016-06-23","POWR"
1520,1530,1495,1500,24271200,"2016-06-24","POWR"
1500,1510,1495,1495,5710800,"2016-06-27","POWR"
1495,1505,1450,1465,7400800,"2016-06-28","POWR"
1465,1485,1455,1460,16165000,"2016-06-29","POWR"
1465,1500,1455,1500,6635400,"2016-06-30","POWR"
1500,1510,1485,1485,2873300,"2016-07-01","POWR"
1480,1480,1410,1435,3904400,"2016-07-11","POWR"
1425,1440,1405,1440,11371800,"2016-07-12","POWR"
1430,1435,1420,1430,1193100,"2016-07-13","POWR"
1425,1440,1405,1440,2721700,"2016-07-14","POWR"
1440,1450,1430,1445,308000,"2016-07-15","POWR"
1455,1460,1425,1440,2316100,"2016-07-18","POWR"
1440,1450,1395,1450,4779400,"2016-07-19","POWR"
1445,1445,1435,1440,1448600,"2016-07-20","POWR"
1410,1460,1410,1460,962400,"2016-07-21","POWR"
1455,1455,1415,1415,3099700,"2016-07-22","POWR"
1425,1440,1415,1430,3766400,"2016-07-25","POWR"
1430,1460,1425,1455,9826000,"2016-07-26","POWR"
1455,1460,1420,1445,16465400,"2016-07-27","POWR"
1445,1480,1425,1480,5762500,"2016-07-28","POWR"
1465,1500,1455,1500,3956800,"2016-07-29","POWR"
1500,1500,1480,1495,2558100,"2016-08-01","POWR"
1495,1505,1485,1505,8159100,"2016-08-02","POWR"
1500,1505,1495,1500,5267000,"2016-08-03","POWR"
1520,1520,1495,1520,2128900,"2016-08-04","POWR"
1525,1800,1525,1645,8915200,"2016-08-05","POWR"
1655,1690,1590,1590,4568000,"2016-08-08","POWR"
1590,1610,1575,1590,5067300,"2016-08-09","POWR"
1625,1625,1580,1595,2497900,"2016-08-10","POWR"
1590,1595,1570,1595,973400,"2016-08-11","POWR"
1615,1615,1575,1595,467700,"2016-08-12","POWR"
1595,1595,1515,1570,718600,"2016-08-15","POWR"
1530,1565,1530,1565,240500,"2016-08-16","POWR"
1540,1575,1520,1575,1128900,"2016-08-18","POWR"
1575,1590,1475,1520,2055400,"2016-08-19","POWR"
1520,1520,1500,1500,1167900,"2016-08-22","POWR"
1500,1510,1485,1510,586300,"2016-08-23","POWR"
1500,1525,1475,1525,482000,"2016-08-24","POWR"
1500,1525,1500,1525,198100,"2016-08-25","POWR"
1500,1520,1500,1520,133300,"2016-08-26","POWR"
1520,1525,1450,1450,541600,"2016-08-29","POWR"
1455,1510,1455,1500,577000,"2016-08-30","POWR"
1490,1530,1480,1500,1591500,"2016-08-31","POWR"
1500,1500,1470,1485,125200,"2016-09-01","POWR"
1485,1485,1450,1465,122100,"2016-09-02","POWR"
1465,1485,1465,1465,15000,"2016-09-05","POWR"
1455,1460,1430,1455,558700,"2016-09-06","POWR"
1435,1460,1435,1455,28900,"2016-09-07","POWR"
1460,1475,1455,1455,165700,"2016-09-08","POWR"
1455,1455,1440,1450,150000,"2016-09-09","POWR"
1450,1460,1430,1440,560400,"2016-09-13","POWR"
1440,1460,1435,1440,2991000,"2016-09-14","POWR"
1490,1490,1425,1430,152500,"2016-09-15","POWR"
1430,1480,1430,1470,1926900,"2016-09-16","POWR"
1470,1505,1470,1495,326200,"2016-09-19","POWR"
1495,1500,1490,1495,152700,"2016-09-20","POWR"
1495,1510,1450,1495,1610100,"2016-09-21","POWR"
1495,1520,1465,1495,1535000,"2016-09-22","POWR"
1500,1500,1480,1500,6136900,"2016-09-23","POWR"
1500,1535,1490,1510,6398700,"2016-09-26","POWR"
1510,1545,1490,1545,2061900,"2016-09-27","POWR"
1530,1550,1525,1525,2289600,"2016-09-28","POWR"
1525,1525,1490,1515,2197100,"2016-09-29","POWR"
1515,1515,1480,1490,1448600,"2016-09-30","POWR"
1500,1510,1485,1505,879200,"2016-10-03","POWR"
1505,1530,1500,1505,2733900,"2016-10-04","POWR"
1500,1510,1495,1500,2623300,"2016-10-05","POWR"
1520,1530,1495,1500,6122400,"2016-10-06","POWR"
1500,1515,1495,1500,663300,"2016-10-07","POWR"
1500,1500,1485,1490,7214400,"2016-10-10","POWR"
1490,1495,1480,1490,12331900,"2016-10-11","POWR"
1500,1500,1480,1490,1383200,"2016-10-12","POWR"
1500,1500,1450,1450,518800,"2016-10-13","POWR"
1450,1490,1420,1420,422400,"2016-10-14","POWR"
1460,1485,1435,1450,693900,"2016-10-17","POWR"
1455,1460,1450,1460,1626000,"2016-10-18","POWR"
1460,1495,1425,1465,2465300,"2016-10-19","POWR"
1465,1470,1450,1465,1034200,"2016-10-20","POWR"
1455,1455,1445,1445,1553200,"2016-10-21","POWR"
1445,1455,1445,1450,749200,"2016-10-24","POWR"
1420,1465,1420,1440,576800,"2016-10-25","POWR"
1410,1440,1410,1420,537000,"2016-10-26","POWR"
1425,1425,1410,1415,1429800,"2016-10-27","POWR"
1400,1435,1385,1385,408300,"2016-10-28","POWR"
1335,1500,1335,1500,1354400,"2016-10-31","POWR"
1500,1510,1435,1510,1543000,"2016-11-01","POWR"
1510,1510,1445,1500,901000,"2016-11-02","POWR"
1500,1500,1450,1450,374500,"2016-11-03","POWR"
1450,1450,1405,1415,372400,"2016-11-04","POWR"
1415,1420,1405,1405,273500,"2016-11-07","POWR"
1420,1450,1410,1410,23800,"2016-11-08","POWR"
1410,1415,1400,1400,252900,"2016-11-09","POWR"
1405,1405,1400,1400,115400,"2016-11-10","POWR"
1400,1400,1350,1350,308200,"2016-11-11","POWR"
1350,1355,1300,1315,1555800,"2016-11-14","POWR"
1315,1350,1280,1285,276000,"2016-11-15","POWR"
1285,1305,1285,1295,51800,"2016-11-16","POWR"
1300,1395,1285,1395,563800,"2016-11-17","POWR"
1355,1375,1320,1335,220800,"2016-11-18","POWR"
1335,1370,1320,1370,130900,"2016-11-21","POWR"
1350,1350,1325,1340,157800,"2016-11-22","POWR"
1340,1345,1325,1345,335800,"2016-11-23","POWR"
1330,1350,1330,1330,360900,"2016-11-24","POWR"
1330,1330,1310,1310,117600,"2016-11-25","POWR"
1310,1480,1220,1480,505700,"2016-11-28","POWR"
1470,1470,1410,1420,1137800,"2016-11-29","POWR"
1430,1500,1410,1500,1477200,"2016-11-30","POWR"
1500,1500,1420,1480,59000,"2016-12-01","POWR"
1440,1475,1440,1475,61400,"2016-12-02","POWR"
1415,1470,1400,1470,134300,"2016-12-05","POWR"
1420,1465,1390,1430,599600,"2016-12-06","POWR"
1400,1450,1365,1450,535700,"2016-12-07","POWR"
1450,1450,1380,1425,772800,"2016-12-08","POWR"
1395,1450,1395,1450,227200,"2016-12-09","POWR"
1450,1450,1390,1435,304500,"2016-12-13","POWR"
1405,1420,1365,1400,731500,"2016-12-14","POWR"
1370,1395,1305,1395,805200,"2016-12-15","POWR"
1395,1395,1305,1340,991600,"2016-12-16","POWR"
