"Open","High","Low","Close","Volume","Date","Emiten"
6500,6525,6450,6500,554200,"2016-12-09","PRDA"
6500,6500,6100,6100,73000,"2016-12-13","PRDA"
6350,6350,5500,5825,648400,"2016-12-14","PRDA"
5825,5825,5400,5475,858700,"2016-12-15","PRDA"
5475,5475,5250,5250,440600,"2016-12-16","PRDA"
5200,5225,5025,5150,65400,"2016-12-19","PRDA"
5150,5200,5000,5150,163200,"2016-12-20","PRDA"
5150,5150,5075,5125,9400,"2016-12-21","PRDA"
5200,5200,5000,5100,59500,"2016-12-22","PRDA"
5350,5350,5025,5100,153400,"2016-12-23","PRDA"
5000,5275,5000,5250,78500,"2016-12-27","PRDA"
5300,5475,5200,5450,74500,"2016-12-28","PRDA"
5450,5600,5350,5600,48500,"2016-12-29","PRDA"
5800,5825,5450,5800,32000,"2016-12-30","PRDA"
5800,5800,5800,5800,0,"2017-01-02","PRDA"
5500,5700,5500,5700,2300,"2017-01-03","PRDA"
5700,5700,5500,5500,10600,"2017-01-04","PRDA"
5525,5725,5500,5725,9200,"2017-01-05","PRDA"
5725,5725,5725,5725,21600,"2017-01-06","PRDA"
5725,5950,5600,5725,35900,"2017-01-09","PRDA"
5725,5725,5650,5650,49900,"2017-01-10","PRDA"
5650,5650,5600,5650,23000,"2017-01-11","PRDA"
5650,5725,5500,5725,41900,"2017-01-12","PRDA"
5725,5725,5600,5725,19600,"2017-01-13","PRDA"
5725,5725,5500,5725,21200,"2017-01-16","PRDA"
5725,5725,5500,5700,25600,"2017-01-17","PRDA"
5700,5700,5525,5525,400,"2017-01-18","PRDA"
5625,5775,5400,5400,233400,"2017-01-19","PRDA"
5600,5700,5500,5500,370500,"2017-01-20","PRDA"
5500,5525,5450,5500,36400,"2017-01-23","PRDA"
5500,5625,5500,5625,1900,"2017-01-24","PRDA"
5650,5650,5450,5600,47600,"2017-01-25","PRDA"
5600,5650,5500,5650,2300,"2017-01-26","PRDA"
5650,5650,5650,5650,0,"2017-01-27","PRDA"
5625,5625,5375,5625,4200,"2017-01-30","PRDA"
5625,5650,5400,5625,30500,"2017-01-31","PRDA"
5625,5625,5350,5500,30600,"2017-02-01","PRDA"
5350,5625,5300,5525,9200,"2017-02-02","PRDA"
5525,5600,5425,5525,14500,"2017-02-03","PRDA"
5575,5600,5450,5600,5900,"2017-02-06","PRDA"
5525,5525,5500,5500,3700,"2017-02-07","PRDA"
5350,5600,5350,5600,5800,"2017-02-08","PRDA"
5600,5600,5400,5450,23300,"2017-02-09","PRDA"
5450,5450,5275,5350,15400,"2017-02-10","PRDA"
5350,5350,5350,5350,17600,"2017-02-13","PRDA"
5350,5425,5350,5400,22200,"2017-02-14","PRDA"
5400,5400,5400,5400,0,"2017-02-15","PRDA"
5400,5400,5300,5375,5700,"2017-02-16","PRDA"
5375,5400,5350,5400,3300,"2017-02-17","PRDA"
5200,5400,5200,5400,2200,"2017-02-20","PRDA"
5375,5375,5350,5375,2400,"2017-02-21","PRDA"
5300,5300,5300,5300,1000,"2017-02-22","PRDA"
5300,5300,5025,5075,14100,"2017-02-23","PRDA"
5100,5275,4980,4980,46500,"2017-02-24","PRDA"
4980,5000,4900,4900,12900,"2017-02-27","PRDA"
4900,5000,4800,5000,13800,"2017-02-28","PRDA"
5000,5000,5000,5000,2500,"2017-03-01","PRDA"
4770,4930,4760,4760,134800,"2017-03-02","PRDA"
4750,4760,4700,4760,12400,"2017-03-03","PRDA"
4760,4780,4700,4700,1200,"2017-03-06","PRDA"
4700,4720,4570,4700,96000,"2017-03-07","PRDA"
4700,4800,4700,4800,188300,"2017-03-08","PRDA"
4690,4800,4690,4690,45400,"2017-03-09","PRDA"
4790,4790,4700,4700,12300,"2017-03-10","PRDA"
4700,4700,4700,4700,1100,"2017-03-13","PRDA"
4700,4740,4600,4700,85500,"2017-03-14","PRDA"
4700,4730,4700,4700,2700,"2017-03-15","PRDA"
4550,4770,4550,4700,10100,"2017-03-16","PRDA"
4700,4900,4700,4800,96000,"2017-03-17","PRDA"
4800,4800,4700,4800,5800,"2017-03-20","PRDA"
4750,4800,4700,4800,222600,"2017-03-21","PRDA"
4800,4800,4770,4790,127700,"2017-03-22","PRDA"
4890,4990,4800,4800,6000,"2017-03-23","PRDA"
4800,4800,4800,4800,0,"2017-03-24","PRDA"
4800,4800,4800,4800,18800,"2017-03-27","PRDA"
4900,4940,4700,4880,10600,"2017-03-29","PRDA"
4800,4800,4800,4800,2900,"2017-03-30","PRDA"
4790,5050,4710,5050,51500,"2017-03-31","PRDA"
4900,4970,4800,4970,5000,"2017-04-03","PRDA"
4970,4970,4750,4970,15000,"2017-04-04","PRDA"
NA,NA,NA,NA,NA,"2017-04-05","PRDA"
4820,4890,4700,4700,123300,"2017-04-06","PRDA"
4700,4800,4700,4700,1400,"2017-04-07","PRDA"
4700,4780,4650,4690,60800,"2017-04-10","PRDA"
4690,4720,4600,4720,1900,"2017-04-11","PRDA"
4660,4690,4580,4600,22500,"2017-04-12","PRDA"
4600,4610,4480,4610,33400,"2017-04-13","PRDA"
4610,4610,4520,4610,300,"2017-04-17","PRDA"
4610,4610,4610,4610,0,"2017-04-18","PRDA"
4610,4610,4610,4610,0,"2017-04-19","PRDA"
4610,4610,4610,4610,100,"2017-04-20","PRDA"
4600,4610,4520,4610,800,"2017-04-21","PRDA"
4610,4610,4600,4600,400,"2017-04-25","PRDA"
4600,4600,4520,4600,1200,"2017-04-26","PRDA"
4600,4600,4510,4600,5200,"2017-04-27","PRDA"
4600,4630,4600,4610,18200,"2017-04-28","PRDA"
4610,4610,4610,4610,0,"2017-05-02","PRDA"
4610,4610,4610,4610,400,"2017-05-03","PRDA"
4500,4640,4420,4420,61800,"2017-05-04","PRDA"
4420,4420,4300,4300,48200,"2017-05-05","PRDA"
4400,4580,4400,4500,24100,"2017-05-08","PRDA"
4500,4500,4500,4500,1100,"2017-05-09","PRDA"
4490,4490,4350,4380,3800,"2017-05-10","PRDA"
4380,4390,4300,4390,4100,"2017-05-12","PRDA"
4290,4290,4250,4290,1200,"2017-05-15","PRDA"
4280,4280,4000,4050,16100,"2017-05-16","PRDA"
4050,4070,3900,4000,26800,"2017-05-17","PRDA"
3990,3990,3900,3990,11400,"2017-05-18","PRDA"
3990,4150,3890,4150,39100,"2017-05-19","PRDA"
4150,4150,4030,4030,27300,"2017-05-22","PRDA"
4030,4060,3920,4030,22000,"2017-05-23","PRDA"
4030,4140,4030,4030,11500,"2017-05-24","PRDA"
4030,4040,3990,4030,39400,"2017-05-26","PRDA"
4030,4090,4030,4030,20800,"2017-05-29","PRDA"
4000,4030,3980,4030,24500,"2017-05-30","PRDA"
4030,4030,4000,4030,99000,"2017-05-31","PRDA"
4030,4030,4030,4030,0,"2017-06-01","PRDA"
3950,3960,3900,3940,7400,"2017-06-02","PRDA"
3950,3950,3900,3900,3500,"2017-06-05","PRDA"
4000,4090,3950,4090,900,"2017-06-06","PRDA"
4090,4200,4090,4200,400,"2017-06-07","PRDA"
4100,4100,4050,4050,38000,"2017-06-08","PRDA"
