"Open","High","Low","Close","Volume","Date","Emiten"
880,915,860,860,21800900,"2018-05-17","PRIM"
860,870,810,815,28726100,"2018-05-18","PRIM"
800,815,770,780,18043600,"2018-05-21","PRIM"
785,785,765,780,4437000,"2018-05-22","PRIM"
780,780,765,770,3363900,"2018-05-23","PRIM"
770,800,750,795,7816400,"2018-05-24","PRIM"
790,830,780,810,3671300,"2018-05-25","PRIM"
810,935,810,890,11134300,"2018-05-28","PRIM"
890,890,890,890,0,"2018-05-29","PRIM"
890,945,875,935,5824800,"2018-05-30","PRIM"
945,1165,935,1165,10931600,"2018-05-31","PRIM"
1165,1165,1165,1165,0,"2018-06-01","PRIM"
1190,1190,950,1045,11081900,"2018-06-04","PRIM"
1055,1165,1055,1140,5278700,"2018-06-05","PRIM"
1140,1165,1110,1165,1428200,"2018-06-06","PRIM"
1175,1240,1165,1240,3096100,"2018-06-07","PRIM"
1255,1270,1240,1255,1817800,"2018-06-08","PRIM"
1255,1255,1255,1255,0,"2018-06-11","PRIM"
1255,1255,1255,1255,0,"2018-06-12","PRIM"
1255,1255,1255,1255,0,"2018-06-13","PRIM"
1255,1255,1255,1255,0,"2018-06-14","PRIM"
1255,1255,1255,1255,0,"2018-06-15","PRIM"
1255,1255,1255,1255,0,"2018-06-18","PRIM"
1255,1255,1255,1255,0,"2018-06-19","PRIM"
1250,1250,1225,1235,1491500,"2018-06-20","PRIM"
1240,1245,1235,1235,260400,"2018-06-21","PRIM"
1235,1235,1210,1210,591600,"2018-06-22","PRIM"
1200,1200,1185,1190,1175900,"2018-06-25","PRIM"
1185,1195,1170,1190,161900,"2018-06-26","PRIM"
1185,1190,1185,1185,117700,"2018-06-27","PRIM"
1180,1185,1180,1185,36900,"2018-06-28","PRIM"
1185,1190,1175,1175,43900,"2018-06-29","PRIM"
1165,1170,1165,1165,41900,"2018-07-02","PRIM"
1160,1160,1050,1130,3448800,"2018-07-03","PRIM"
1135,1135,1100,1115,624600,"2018-07-04","PRIM"
1095,1105,1090,1105,293600,"2018-07-05","PRIM"
1090,1305,1090,1260,2370700,"2018-07-06","PRIM"
1270,1575,1235,1425,3680000,"2018-07-09","PRIM"
1425,1595,1425,1500,3483400,"2018-07-10","PRIM"
1505,1565,1500,1530,2402400,"2018-07-11","PRIM"
1500,1550,1480,1520,1432600,"2018-07-12","PRIM"
1515,1525,1480,1480,560800,"2018-07-13","PRIM"
1480,1540,1475,1515,1602000,"2018-07-16","PRIM"
1515,1560,1515,1515,2332300,"2018-07-17","PRIM"
1515,1535,1470,1520,2663700,"2018-07-18","PRIM"
1510,1510,1470,1495,953200,"2018-07-19","PRIM"
1470,1480,1470,1480,25200,"2018-07-20","PRIM"
1460,1495,1460,1490,231000,"2018-07-23","PRIM"
1490,1495,1480,1485,140200,"2018-07-24","PRIM"
1490,1755,1490,1565,4755100,"2018-07-25","PRIM"
1565,1585,1495,1530,2032500,"2018-07-26","PRIM"
1530,1630,1510,1540,2590200,"2018-07-27","PRIM"
1540,1540,1500,1500,283800,"2018-07-30","PRIM"
1500,1580,1480,1535,1642200,"2018-07-31","PRIM"
1550,1680,1520,1640,2440900,"2018-08-01","PRIM"
1650,1680,1625,1640,1319900,"2018-08-02","PRIM"
1640,1650,1600,1600,246300,"2018-08-03","PRIM"
1610,1610,1560,1585,446300,"2018-08-06","PRIM"
1575,1585,1565,1585,119100,"2018-08-07","PRIM"
1585,1585,1570,1585,45700,"2018-08-08","PRIM"
1595,1595,1550,1570,267800,"2018-08-09","PRIM"
1555,1555,1535,1550,262900,"2018-08-10","PRIM"
1555,1565,1510,1535,361600,"2018-08-13","PRIM"
1510,1510,1505,1510,83000,"2018-08-14","PRIM"
1510,1520,1500,1500,11900,"2018-08-15","PRIM"
1475,1480,1460,1480,82800,"2018-08-16","PRIM"
1480,1480,1480,1480,0,"2018-08-17","PRIM"
1480,1480,1445,1450,33100,"2018-08-20","PRIM"
1415,1420,1385,1400,538700,"2018-08-21","PRIM"
1400,1400,1400,1400,0,"2018-08-22","PRIM"
1400,1400,1345,1355,350800,"2018-08-23","PRIM"
1320,1330,1315,1320,145800,"2018-08-24","PRIM"
1310,1310,1285,1310,68300,"2018-08-27","PRIM"
1310,1315,1270,1270,129600,"2018-08-28","PRIM"
1240,1240,1225,1225,145300,"2018-08-29","PRIM"
1225,1225,1190,1190,47400,"2018-08-30","PRIM"
1160,1185,1155,1175,60500,"2018-08-31","PRIM"
1175,1175,1175,1175,3100,"2018-09-03","PRIM"
1140,1185,1140,1145,13100,"2018-09-04","PRIM"
1110,1125,1110,1110,48500,"2018-09-05","PRIM"
1110,1110,1110,1110,2900,"2018-09-06","PRIM"
1110,1110,1110,1110,0,"2018-09-07","PRIM"
1110,1120,1110,1120,8200,"2018-09-10","PRIM"
1120,1120,1120,1120,0,"2018-09-11","PRIM"
1130,1130,1125,1130,33700,"2018-09-12","PRIM"
1095,1140,1095,1140,13600,"2018-09-13","PRIM"
1150,1155,1150,1155,71600,"2018-09-14","PRIM"
1165,1175,1165,1175,143000,"2018-09-17","PRIM"
1185,1185,1175,1185,37700,"2018-09-18","PRIM"
1180,1220,1180,1220,321700,"2018-09-19","PRIM"
1230,1240,1190,1230,312400,"2018-09-20","PRIM"
1240,1240,1185,1185,392400,"2018-09-21","PRIM"
1195,1195,1160,1185,18500,"2018-09-24","PRIM"
1165,1195,1160,1190,66300,"2018-09-25","PRIM"
1195,1195,1170,1195,5700,"2018-09-26","PRIM"
1170,1195,1170,1195,3900,"2018-09-27","PRIM"
1205,1205,1205,1205,4300,"2018-09-28","PRIM"
1215,1215,1215,1215,2100,"2018-10-01","PRIM"
1225,1225,1190,1200,16400,"2018-10-02","PRIM"
1210,1210,1175,1175,7200,"2018-10-03","PRIM"
1175,1175,1150,1175,1500,"2018-10-04","PRIM"
1185,1185,1185,1185,200,"2018-10-05","PRIM"
1195,1195,1160,1185,400,"2018-10-08","PRIM"
1190,1195,1185,1185,1500,"2018-10-09","PRIM"
1185,1185,1185,1185,0,"2018-10-10","PRIM"
