"Open","High","Low","Close","Volume","Adjusted","Date","Emiten"
715,715,705,715,20,348.017578,"2007-01-02","PTBA"
730,735,710,730,20,355.318665,"2007-01-03","PTBA"
700,730,700,700,20,340.716461,"2007-01-04","PTBA"
700,705,690,700,58877500,340.716461,"2007-01-05","PTBA"
690,700,690,690,20,335.849121,"2007-01-08","PTBA"
680,705,665,680,20,330.98175,"2007-01-09","PTBA"
670,670,620,630,196510000,306.644867,"2007-01-10","PTBA"
640,645,610,610,82377500,296.910065,"2007-01-11","PTBA"
625,625,545,555,186625000,270.139526,"2007-01-12","PTBA"
565,620,565,615,220197500,299.343842,"2007-01-15","PTBA"
625,630,605,625,20,304.211121,"2007-01-16","PTBA"
615,625,610,615,20,299.343842,"2007-01-17","PTBA"
630,640,620,630,20,306.644867,"2007-01-18","PTBA"
625,640,620,625,41430000,304.211121,"2007-01-19","PTBA"
630,645,630,630,34062500,306.644867,"2007-01-22","PTBA"
630,635,625,630,30367500,306.644867,"2007-01-23","PTBA"
635,640,630,635,31835000,309.078522,"2007-01-24","PTBA"
635,635,620,625,35617500,304.211121,"2007-01-25","PTBA"
615,625,605,625,18390000,304.211121,"2007-01-26","PTBA"
625,630,620,625,13577500,304.211121,"2007-01-29","PTBA"
625,640,620,625,20,304.211121,"2007-01-30","PTBA"
625,630,620,625,20,304.211121,"2007-01-31","PTBA"
630,630,620,630,17845000,306.644867,"2007-02-01","PTBA"
625,630,630,625,20,304.211121,"2007-02-02","PTBA"
615,620,610,615,20,299.343842,"2007-02-05","PTBA"
620,620,610,620,14260000,301.777435,"2007-02-06","PTBA"
620,620,615,620,10747500,301.777435,"2007-02-07","PTBA"
610,615,605,610,20,296.910065,"2007-02-08","PTBA"
605,610,600,600,11415000,292.042694,"2007-02-09","PTBA"
590,605,590,590,20,287.175293,"2007-02-12","PTBA"
600,600,590,600,20,292.042694,"2007-02-13","PTBA"
585,610,585,585,20,284.741577,"2007-02-14","PTBA"
605,605,595,605,20,294.476471,"2007-02-15","PTBA"
605,630,605,615,165500000,299.343842,"2007-02-16","PTBA"
615,620,610,615,20,299.343842,"2007-02-19","PTBA"
625,625,615,625,20,304.211121,"2007-02-20","PTBA"
650,655,625,650,20,316.379608,"2007-02-21","PTBA"
650,670,645,650,20,316.379608,"2007-02-22","PTBA"
660,660,640,660,20,321.246979,"2007-02-23","PTBA"
685,685,655,685,20,333.415436,"2007-02-26","PTBA"
680,700,675,680,20,330.98175,"2007-02-27","PTBA"
600,660,600,660,229087500,321.246979,"2007-02-28","PTBA"
655,680,650,655,20,318.813324,"2007-03-01","PTBA"
650,670,650,650,20,316.379608,"2007-03-02","PTBA"
610,650,610,610,20,296.910065,"2007-03-05","PTBA"
630,635,615,630,20,306.644867,"2007-03-06","PTBA"
630,640,625,630,20,306.644867,"2007-03-07","PTBA"
630,650,630,635,44710000,309.078522,"2007-03-08","PTBA"
640,645,635,640,83945000,311.512146,"2007-03-09","PTBA"
655,660,645,655,20,318.813324,"2007-03-12","PTBA"
660,670,650,660,80085000,321.246979,"2007-03-13","PTBA"
645,650,635,645,20,313.945923,"2007-03-14","PTBA"
655,660,650,655,20,318.813324,"2007-03-15","PTBA"
665,675,650,665,20,323.680725,"2007-03-16","PTBA"
660,675,655,660,20,321.246979,"2007-03-20","PTBA"
655,660,650,655,20,318.813324,"2007-03-21","PTBA"
655,665,655,655,20,318.813324,"2007-03-22","PTBA"
655,660,655,655,20,318.813324,"2007-03-23","PTBA"
660,660,650,660,20,321.246979,"2007-03-26","PTBA"
670,675,660,670,20,326.114349,"2007-03-27","PTBA"
675,690,670,675,20,328.548004,"2007-03-28","PTBA"
695,695,670,695,20,338.282745,"2007-03-29","PTBA"
690,705,685,690,20,335.849121,"2007-03-30","PTBA"
695,695,685,695,20,338.282745,"2007-04-02","PTBA"
695,700,690,695,146895000,338.282745,"2007-04-03","PTBA"
715,725,690,715,20,348.017578,"2007-04-04","PTBA"
710,715,700,710,20,345.583862,"2007-04-05","PTBA"
710,715,705,710,53615000,345.583862,"2007-04-09","PTBA"
705,715,700,705,20,343.150116,"2007-04-10","PTBA"
720,730,705,720,20,350.451233,"2007-04-11","PTBA"
720,730,710,720,20,350.451233,"2007-04-12","PTBA"
730,735,720,730,20,355.318665,"2007-04-13","PTBA"
745,750,735,745,20,362.61969,"2007-04-16","PTBA"
740,750,730,740,20,360.186035,"2007-04-17","PTBA"
725,740,725,725,20,352.884918,"2007-04-18","PTBA"
720,725,710,720,128942500,350.451233,"2007-04-19","PTBA"
725,740,720,735,113067500,357.75235,"2007-04-20","PTBA"
745,755,740,745,163890000,362.61969,"2007-04-23","PTBA"
760,780,740,760,20,369.920807,"2007-04-24","PTBA"
780,790,775,780,20,379.655548,"2007-04-25","PTBA"
805,810,785,805,20,391.823975,"2007-04-26","PTBA"
795,800,785,795,20,386.956573,"2007-04-27","PTBA"
780,795,775,780,20,379.655548,"2007-04-30","PTBA"
790,790,775,790,20,384.522949,"2007-05-01","PTBA"
795,855,795,855,394750000,416.160797,"2007-05-02","PTBA"
880,890,865,880,20,428.329254,"2007-05-03","PTBA"
860,890,855,860,20,418.594482,"2007-05-04","PTBA"
845,870,845,845,20,411.293518,"2007-05-07","PTBA"
835,850,830,835,20,406.426147,"2007-05-08","PTBA"
840,845,830,840,20,408.859741,"2007-05-09","PTBA"
840,845,830,840,35022500,408.859741,"2007-05-10","PTBA"
835,835,820,835,20,406.426147,"2007-05-11","PTBA"
875,880,845,875,20,425.895599,"2007-05-14","PTBA"
870,880,865,870,20,423.461884,"2007-05-15","PTBA"
900,905,865,900,20,438.064056,"2007-05-16","PTBA"
910,970,905,970,303777500,472.135651,"2007-05-21","PTBA"
980,1010,975,980,209082500,477.003021,"2007-05-22","PTBA"
950,985,950,950,20,462.400909,"2007-05-23","PTBA"
915,955,910,915,20,445.365082,"2007-05-24","PTBA"
920,935,890,920,20,447.798798,"2007-05-25","PTBA"
970,975,940,970,20,472.135651,"2007-05-28","PTBA"
985,990,975,985,20,479.436737,"2007-05-29","PTBA"
985,990,960,985,20,489.920593,"2007-05-30","PTBA"
995,1050,995,1050,212165000,522.250305,"2007-05-31","PTBA"
1060,1140,1060,1120,237207500,557.067017,"2007-06-04","PTBA"
1110,1160,1080,1110,20,552.093323,"2007-06-05","PTBA"
1080,1290,1080,1290,239545000,641.621887,"2007-06-06","PTBA"
1260,1420,1230,1260,20,626.700439,"2007-06-07","PTBA"
1200,1350,1200,1290,205250000,641.621887,"2007-06-08","PTBA"
