"Open","High","Low","Close","Volume","Date","Emiten"
975,975,975,975,2045200,"2020-02-07","PTPW"
1185,1205,960,965,4278100,"2020-02-10","PTPW"
975,975,850,915,1092200,"2020-02-11","PTPW"
915,950,905,910,561500,"2020-02-12","PTPW"
910,910,890,890,294800,"2020-02-13","PTPW"
900,905,885,885,244900,"2020-02-14","PTPW"
885,885,860,860,513800,"2020-02-17","PTPW"
890,900,880,880,61400,"2020-02-18","PTPW"
880,900,880,880,31600,"2020-02-19","PTPW"
880,920,875,875,13700,"2020-02-20","PTPW"
875,875,870,875,42200,"2020-02-21","PTPW"
870,875,870,875,16100,"2020-02-24","PTPW"
870,870,870,870,8900,"2020-02-25","PTPW"
860,870,860,865,136300,"2020-02-26","PTPW"
865,870,865,870,28400,"2020-02-27","PTPW"
780,785,780,780,400,"2020-02-28","PTPW"
755,755,705,710,29700,"2020-03-02","PTPW"
710,720,710,715,7300,"2020-03-03","PTPW"
700,705,700,700,3000,"2020-03-04","PTPW"
705,710,705,710,363800,"2020-03-05","PTPW"
710,710,710,710,0,"2020-03-06","PTPW"
710,870,710,835,19800,"2020-03-09","PTPW"
835,835,760,795,101700,"2020-03-10","PTPW"
795,795,795,795,3000,"2020-03-11","PTPW"
795,800,790,795,12000,"2020-03-12","PTPW"
750,750,740,740,22700,"2020-03-13","PTPW"
690,690,690,690,900,"2020-03-16","PTPW"
650,650,650,650,1600,"2020-03-17","PTPW"
650,650,650,650,0,"2020-03-18","PTPW"
610,645,610,640,27300,"2020-03-19","PTPW"
610,660,600,660,2100,"2020-03-20","PTPW"
700,700,620,650,29000,"2020-03-23","PTPW"
650,650,650,650,800,"2020-03-24","PTPW"
650,650,650,650,0,"2020-03-26","PTPW"
700,700,650,650,400,"2020-03-27","PTPW"
610,610,605,605,82200,"2020-03-30","PTPW"
605,605,605,605,0,"2020-03-31","PTPW"
605,610,605,605,14600,"2020-04-01","PTPW"
605,605,605,605,1300,"2020-04-02","PTPW"
605,605,605,605,0,"2020-04-03","PTPW"
605,605,570,605,20800,"2020-04-06","PTPW"
605,605,605,605,0,"2020-04-07","PTPW"
605,605,605,605,300,"2020-04-08","PTPW"
605,610,605,610,1300,"2020-04-09","PTPW"
605,610,605,610,19500,"2020-04-13","PTPW"
610,610,610,610,0,"2020-04-14","PTPW"
605,605,605,605,1600,"2020-04-15","PTPW"
605,750,605,750,300,"2020-04-16","PTPW"
755,775,700,750,2205200,"2020-04-17","PTPW"
750,750,700,700,4400,"2020-04-20","PTPW"
700,700,700,700,300,"2020-04-21","PTPW"
700,700,665,700,2600300,"2020-04-22","PTPW"
690,690,690,690,2400,"2020-04-23","PTPW"
655,660,655,660,2600000,"2020-04-24","PTPW"
625,625,625,625,200,"2020-04-27","PTPW"
655,700,650,650,1565300,"2020-04-28","PTPW"
650,665,650,665,2390900,"2020-04-29","PTPW"
665,765,650,755,8885400,"2020-04-30","PTPW"
755,785,740,770,6712200,"2020-05-04","PTPW"
770,810,770,780,5956300,"2020-05-05","PTPW"
780,815,780,800,3988500,"2020-05-06","PTPW"
800,800,785,785,2066000,"2020-05-08","PTPW"
780,900,780,870,11292900,"2020-05-11","PTPW"
870,870,850,850,1660000,"2020-05-12","PTPW"
850,850,825,825,2135600,"2020-05-13","PTPW"
825,825,805,810,1535400,"2020-05-14","PTPW"
805,805,790,790,1729200,"2020-05-15","PTPW"
790,810,785,805,2768900,"2020-05-18","PTPW"
805,820,800,810,2854600,"2020-05-19","PTPW"
805,810,785,785,2149000,"2020-05-20","PTPW"
780,800,775,775,2299500,"2020-05-26","PTPW"
775,790,770,775,2001300,"2020-05-27","PTPW"
770,785,770,785,1204700,"2020-05-28","PTPW"
785,815,780,815,2951800,"2020-05-29","PTPW"
