"Open","High","Low","Close","Volume","Date","Emiten"
136,170,136,170,102116400,"2022-08-05","RAFI"
202,228,159,159,394239500,"2022-08-08","RAFI"
155,155,148,151,112500300,"2022-08-09","RAFI"
151,181,150,168,409527800,"2022-08-10","RAFI"
169,181,168,175,309445600,"2022-08-11","RAFI"
177,196,175,192,444856000,"2022-08-12","RAFI"
194,258,193,258,813168100,"2022-08-15","RAFI"
298,298,240,240,311469700,"2022-08-16","RAFI"
224,230,224,224,223328300,"2022-08-18","RAFI"
220,220,210,210,295407500,"2022-08-19","RAFI"
208,246,206,236,460325600,"2022-08-22","RAFI"
236,252,220,220,226996400,"2022-08-23","RAFI"
220,220,206,208,77416200,"2022-08-24","RAFI"
208,226,208,224,236406000,"2022-08-25","RAFI"
228,228,212,214,98641500,"2022-08-26","RAFI"
214,238,210,236,233116600,"2022-08-29","RAFI"
238,246,220,220,253632000,"2022-08-30","RAFI"
224,224,210,220,106879700,"2022-08-31","RAFI"
220,228,216,226,234636000,"2022-09-01","RAFI"
228,238,226,232,257005100,"2022-09-02","RAFI"
232,248,230,248,268154400,"2022-09-05","RAFI"
252,286,232,232,403064800,"2022-09-06","RAFI"
216,228,216,220,182314600,"2022-09-07","RAFI"
228,234,218,224,274132700,"2022-09-08","RAFI"
224,230,220,228,83556300,"2022-09-09","RAFI"
234,234,220,222,64260400,"2022-09-12","RAFI"
222,228,218,224,115622100,"2022-09-13","RAFI"
226,226,214,216,26768800,"2022-09-14","RAFI"
218,232,214,224,166452400,"2022-09-15","RAFI"
224,226,210,210,278297800,"2022-09-16","RAFI"
204,210,200,206,41510300,"2022-09-19","RAFI"
208,212,200,208,54327500,"2022-09-20","RAFI"
208,216,204,212,87153300,"2022-09-21","RAFI"
214,224,210,214,240685100,"2022-09-22","RAFI"
214,222,206,214,115304100,"2022-09-23","RAFI"
202,266,202,262,321817000,"2022-09-26","RAFI"
262,290,244,244,264241800,"2022-09-27","RAFI"
234,244,228,232,66052200,"2022-09-28","RAFI"
