"Open","High","Low","Close","Volume","Date","Emiten"
670,700,520,670,83815500,"2012-06-07","RANC"
610,670,600,610,13837500,"2012-06-08","RANC"
630,640,610,630,4962000,"2012-06-11","RANC"
620,620,600,620,3549000,"2012-06-12","RANC"
670,690,620,670,13681500,"2012-06-13","RANC"
640,700,640,640,6602000,"2012-06-14","RANC"
640,660,630,640,748500,"2012-06-15","RANC"
640,670,640,640,2534500,"2012-06-18","RANC"
650,650,630,650,1568500,"2012-06-19","RANC"
650,650,630,650,1653000,"2012-06-20","RANC"
650,660,630,650,2449500,"2012-06-21","RANC"
650,650,630,650,408500,"2012-06-22","RANC"
640,640,630,630,296500,"2012-06-25","RANC"
630,630,620,630,347500,"2012-06-26","RANC"
630,640,620,640,984500,"2012-06-27","RANC"
640,630,620,620,598000,"2012-06-28","RANC"
620,650,620,650,1663000,"2012-06-29","RANC"
650,650,640,650,474500,"2012-07-02","RANC"
710,710,640,710,14017500,"2012-07-03","RANC"
710,740,710,710,4401500,"2012-07-04","RANC"
730,740,690,730,2949000,"2012-07-05","RANC"
820,850,720,820,8669500,"2012-07-06","RANC"
780,820,760,780,2578500,"2012-07-09","RANC"
770,800,760,770,4033000,"2012-07-10","RANC"
770,780,740,770,1767500,"2012-07-11","RANC"
760,770,730,760,2811500,"2012-07-12","RANC"
760,770,740,760,2692000,"2012-07-13","RANC"
790,810,760,790,19749000,"2012-07-16","RANC"
830,850,790,830,20981000,"2012-07-17","RANC"
830,840,810,830,5849500,"2012-07-18","RANC"
800,880,800,800,13626000,"2012-07-19","RANC"
800,820,770,800,6176500,"2012-07-20","RANC"
760,790,760,760,2413500,"2012-07-23","RANC"
790,800,740,790,5041000,"2012-07-24","RANC"
800,820,780,800,7685000,"2012-07-25","RANC"
780,800,770,780,2614500,"2012-07-26","RANC"
770,800,770,770,2431000,"2012-07-27","RANC"
780,790,770,780,1177500,"2012-07-30","RANC"
770,800,770,770,1580500,"2012-07-31","RANC"
770,780,760,770,2578500,"2012-08-01","RANC"
720,770,720,720,4025000,"2012-08-02","RANC"
740,760,710,740,2444500,"2012-08-03","RANC"
740,770,730,740,5015000,"2012-08-06","RANC"
760,760,740,760,2913000,"2012-08-07","RANC"
830,830,770,830,15484500,"2012-08-08","RANC"
890,900,830,890,35234500,"2012-08-09","RANC"
890,930,880,890,23398500,"2012-08-10","RANC"
880,910,870,880,4573000,"2012-08-13","RANC"
880,880,850,880,2855500,"2012-08-14","RANC"
880,900,850,880,7479000,"2012-08-15","RANC"
890,920,880,890,3543500,"2012-08-16","RANC"
890,920,880,890,4610500,"2012-08-23","RANC"
900,910,880,900,18316000,"2012-08-24","RANC"
890,920,890,890,1970000,"2012-08-27","RANC"
850,880,850,850,5181000,"2012-08-28","RANC"
820,870,790,820,9904500,"2012-08-29","RANC"
800,810,790,800,1521500,"2012-08-30","RANC"
880,880,800,880,21236000,"2012-08-31","RANC"
880,880,860,880,2668000,"2012-09-03","RANC"
870,870,850,870,1495000,"2012-09-04","RANC"
860,870,840,860,990500,"2012-09-05","RANC"
860,870,850,860,429500,"2012-09-06","RANC"
850,880,850,850,1323500,"2012-09-07","RANC"
830,850,810,830,1293500,"2012-09-10","RANC"
840,840,810,840,3211500,"2012-09-11","RANC"
850,860,830,850,3047500,"2012-09-12","RANC"
840,860,840,840,3085000,"2012-09-13","RANC"
850,870,840,850,3217500,"2012-09-14","RANC"
850,860,840,850,1711500,"2012-09-17","RANC"
820,860,820,820,2210000,"2012-09-18","RANC"
830,850,820,830,1492000,"2012-09-19","RANC"
830,840,830,830,1068000,"2012-09-20","RANC"
830,840,820,830,1758500,"2012-09-21","RANC"
810,830,810,810,2079000,"2012-09-24","RANC"
830,840,820,830,1459000,"2012-09-25","RANC"
830,860,820,830,4956000,"2012-09-26","RANC"
840,840,830,840,1678500,"2012-09-27","RANC"
840,860,840,840,1727500,"2012-09-28","RANC"
830,840,830,830,221000,"2012-10-01","RANC"
820,840,820,820,1178000,"2012-10-02","RANC"
840,870,830,840,4011500,"2012-10-03","RANC"
850,860,840,850,1700500,"2012-10-04","RANC"
860,860,850,860,3937000,"2012-10-05","RANC"
840,860,830,840,1340000,"2012-10-08","RANC"
840,840,830,840,333500,"2012-10-09","RANC"
830,840,820,830,1714000,"2012-10-10","RANC"
830,830,820,830,2333000,"2012-10-11","RANC"
830,840,830,830,1795000,"2012-10-12","RANC"
870,870,830,870,8294500,"2012-10-15","RANC"
860,890,860,860,2410000,"2012-10-16","RANC"
880,890,860,880,4506000,"2012-10-17","RANC"
870,900,870,870,3512000,"2012-10-18","RANC"
860,890,860,860,466500,"2012-10-19","RANC"
850,860,840,850,671500,"2012-10-22","RANC"
860,870,850,860,1817500,"2012-10-23","RANC"
860,860,850,860,545000,"2012-10-24","RANC"
850,860,840,850,1493000,"2012-10-25","RANC"
850,860,840,850,153000,"2012-10-29","RANC"
860,860,840,860,381000,"2012-10-30","RANC"
840,850,830,840,1751000,"2012-10-31","RANC"
810,840,810,810,3202500,"2012-11-01","RANC"
830,830,810,830,780500,"2012-11-02","RANC"
830,840,810,830,5337500,"2012-11-05","RANC"
830,840,830,830,1159000,"2012-11-06","RANC"
880,890,840,880,10724000,"2012-11-07","RANC"
860,880,860,860,1445000,"2012-11-08","RANC"
870,880,860,870,947000,"2012-11-09","RANC"
860,880,860,860,2959500,"2012-11-12","RANC"
880,900,850,880,8656000,"2012-11-13","RANC"
880,910,880,880,8044000,"2012-11-14","RANC"
880,890,870,880,1520500,"2012-11-19","RANC"
870,880,860,870,2699500,"2012-11-20","RANC"
860,870,850,860,4874000,"2012-11-21","RANC"
840,860,830,840,3156500,"2012-11-22","RANC"
840,850,830,840,1578500,"2012-11-23","RANC"
840,850,840,840,1902500,"2012-11-26","RANC"
830,840,830,830,341000,"2012-11-27","RANC"
820,840,790,820,8238500,"2012-11-28","RANC"
810,830,800,810,3964500,"2012-11-29","RANC"
800,820,790,800,2691500,"2012-11-30","RANC"
790,800,790,790,1195500,"2012-12-03","RANC"
770,790,760,770,4598500,"2012-12-04","RANC"
840,850,760,840,8178000,"2012-12-05","RANC"
840,840,830,840,1893000,"2012-12-06","RANC"
820,830,810,820,489000,"2012-12-07","RANC"
820,830,810,820,97500,"2012-12-10","RANC"
790,830,780,790,2970500,"2012-12-11","RANC"
790,810,790,790,985500,"2012-12-12","RANC"
790,800,780,790,1032000,"2012-12-13","RANC"
790,790,790,790,237500,"2012-12-14","RANC"
770,800,770,770,3634500,"2012-12-17","RANC"
770,780,770,770,2014500,"2012-12-18","RANC"
770,810,760,770,4065500,"2012-12-19","RANC"
760,770,760,760,1096000,"2012-12-20","RANC"
760,770,760,760,1205500,"2012-12-21","RANC"
780,780,760,780,3,"2012-12-26","RANC"
780,790,770,780,1167000,"2012-12-27","RANC"
800,820,770,800,3452000,"2012-12-28","RANC"
780,820,780,780,737500,"2013-01-02","RANC"
780,790,780,780,403000,"2013-01-03","RANC"
770,790,770,770,380500,"2013-01-04","RANC"
780,780,770,780,693000,"2013-01-07","RANC"
780,780,760,780,1092000,"2013-01-08","RANC"
770,770,770,770,1765000,"2013-01-09","RANC"
760,780,750,760,2497000,"2013-01-10","RANC"
