"Open","High","Low","Close","Volume","Date","Emiten"
560,560,560,560,7057100,"2023-07-31","RMKO"
700,700,515,530,640931100,"2023-08-01","RMKO"
525,540,492,496,50745800,"2023-08-02","RMKO"
496,565,488,535,91854200,"2023-08-03","RMKO"
545,565,525,545,62327600,"2023-08-04","RMKO"
550,550,494,510,69680000,"2023-08-07","RMKO"
515,520,496,496,38613400,"2023-08-08","RMKO"
494,505,466,468,67338400,"2023-08-09","RMKO"
476,480,456,458,15846300,"2023-08-10","RMKO"
460,468,456,458,4354400,"2023-08-11","RMKO"
458,468,450,456,6811000,"2023-08-14","RMKO"
456,492,454,486,24098000,"2023-08-15","RMKO"
486,492,478,480,7838600,"2023-08-16","RMKO"
480,480,464,464,5421200,"2023-08-18","RMKO"
462,468,452,458,9806100,"2023-08-21","RMKO"
460,472,460,460,5084000,"2023-08-22","RMKO"
460,464,450,454,7381200,"2023-08-23","RMKO"
456,458,444,444,7985100,"2023-08-24","RMKO"
446,446,410,418,14669000,"2023-08-25","RMKO"
420,424,378,384,15276300,"2023-08-28","RMKO"
368,378,328,330,53094000,"2023-08-29","RMKO"
298,374,298,374,31354300,"2023-08-30","RMKO"
382,382,338,338,19413100,"2023-08-31","RMKO"
338,348,332,338,2852400,"2023-09-01","RMKO"
340,352,338,338,2982700,"2023-09-04","RMKO"
340,348,332,340,2268500,"2023-09-05","RMKO"
344,358,340,342,3453200,"2023-09-06","RMKO"
340,348,340,346,1727900,"2023-09-07","RMKO"
346,348,340,344,2267400,"2023-09-08","RMKO"
344,344,338,340,2144800,"2023-09-11","RMKO"
340,342,330,338,2858500,"2023-09-12","RMKO"
338,340,330,332,2610800,"2023-09-13","RMKO"
334,334,314,320,4801700,"2023-09-14","RMKO"
322,346,320,330,4814400,"2023-09-15","RMKO"
328,338,320,320,2432400,"2023-09-18","RMKO"
320,328,312,312,2644600,"2023-09-19","RMKO"
314,318,296,312,9681800,"2023-09-20","RMKO"
312,312,300,300,2009500,"2023-09-21","RMKO"
302,308,296,296,2063900,"2023-09-22","RMKO"
298,306,290,296,1751400,"2023-09-25","RMKO"
296,296,270,270,3769600,"2023-09-26","RMKO"
270,290,250,280,4884600,"2023-09-27","RMKO"
284,326,284,302,19738000,"2023-09-29","RMKO"
304,306,286,304,3343700,"2023-10-02","RMKO"
304,310,290,306,4132500,"2023-10-03","RMKO"
306,310,292,308,2347000,"2023-10-04","RMKO"
306,308,296,300,2370800,"2023-10-05","RMKO"
300,306,294,296,1450300,"2023-10-06","RMKO"
294,296,288,290,1322900,"2023-10-09","RMKO"
290,306,288,296,4261300,"2023-10-10","RMKO"
296,300,294,298,452000,"2023-10-11","RMKO"
298,298,280,284,3546900,"2023-10-12","RMKO"
270,290,270,286,566800,"2023-10-13","RMKO"
268,294,268,284,1081700,"2023-10-16","RMKO"
272,288,272,282,542000,"2023-10-17","RMKO"
270,292,270,284,955100,"2023-10-18","RMKO"
