"Open","High","Low","Close","Volume","Date","Emiten"
520,520,500,520,7696500,"2007-01-02","RUIS"
530,540,510,530,8594500,"2007-01-03","RUIS"
520,540,520,520,10524000,"2007-01-04","RUIS"
520,520,510,520,10287000,"2007-01-05","RUIS"
510,520,510,510,10080000,"2007-01-08","RUIS"
510,520,510,510,10099000,"2007-01-09","RUIS"
500,40,37,500,7699000,"2007-01-10","RUIS"
500,510,490,500,10481000,"2007-01-11","RUIS"
490,500,480,490,8965000,"2007-01-12","RUIS"
500,505,495,500,10689500,"2007-01-15","RUIS"
510,510,500,510,10466500,"2007-01-16","RUIS"
510,510,500,510,10508500,"2007-01-17","RUIS"
510,510,500,510,10405000,"2007-01-18","RUIS"
520,520,510,520,9827000,"2007-01-19","RUIS"
520,530,510,520,6734500,"2007-01-22","RUIS"
520,520,510,520,9234000,"2007-01-23","RUIS"
510,520,510,510,10332500,"2007-01-24","RUIS"
500,510,500,500,10936000,"2007-01-25","RUIS"
500,500,490,500,7057000,"2007-01-26","RUIS"
500,500,500,500,0,"2007-01-29","RUIS"
510,510,510,510,7665000,"2007-01-30","RUIS"
500,520,500,500,9579500,"2007-01-31","RUIS"
510,510,500,510,9224500,"2007-02-01","RUIS"
510,510,510,510,4185500,"2007-02-02","RUIS"
500,500,500,500,3016000,"2007-02-05","RUIS"
500,510,500,500,4194500,"2007-02-06","RUIS"
510,510,500,510,6116500,"2007-02-07","RUIS"
500,510,490,500,4130000,"2007-02-08","RUIS"
500,500,490,500,5555000,"2007-02-09","RUIS"
500,500,500,500,6351500,"2007-02-12","RUIS"
500,500,500,500,7777500,"2007-02-13","RUIS"
500,530,500,500,10310500,"2007-02-14","RUIS"
500,510,500,500,2205000,"2007-02-15","RUIS"
500,500,500,500,4592500,"2007-02-16","RUIS"
500,500,500,500,5267500,"2007-02-19","RUIS"
500,500,490,500,2310000,"2007-02-20","RUIS"
500,500,500,500,127500,"2007-02-21","RUIS"
500,500,490,500,1920000,"2007-02-22","RUIS"
500,500,490,500,1737000,"2007-02-23","RUIS"
500,500,490,500,1037500,"2007-02-26","RUIS"
480,500,480,480,1585000,"2007-02-27","RUIS"
480,480,460,480,80000,"2007-02-28","RUIS"
480,485,480,480,4338000,"2007-03-01","RUIS"
480,480,480,480,5082000,"2007-03-02","RUIS"
470,475,470,470,2001500,"2007-03-05","RUIS"
465,475,465,465,1756500,"2007-03-06","RUIS"
470,470,465,470,2982500,"2007-03-07","RUIS"
475,475,470,475,2954000,"2007-03-08","RUIS"
470,475,470,470,4123500,"2007-03-09","RUIS"
475,475,470,475,2241500,"2007-03-12","RUIS"
475,475,470,475,4262500,"2007-03-13","RUIS"
465,465,465,465,4115000,"2007-03-14","RUIS"
465,465,465,465,4227500,"2007-03-15","RUIS"
460,465,460,460,1360500,"2007-03-16","RUIS"
460,465,460,460,1450000,"2007-03-20","RUIS"
460,460,460,460,535000,"2007-03-21","RUIS"
450,460,450,450,495000,"2007-03-22","RUIS"
455,455,455,455,2276000,"2007-03-23","RUIS"
465,465,450,465,1067000,"2007-03-26","RUIS"
465,465,465,465,1068500,"2007-03-27","RUIS"
465,465,455,465,595000,"2007-03-28","RUIS"
475,475,465,475,747500,"2007-03-29","RUIS"
475,480,475,475,1841000,"2007-03-30","RUIS"
475,480,475,475,1668000,"2007-04-02","RUIS"
490,490,475,490,6692000,"2007-04-03","RUIS"
490,495,490,490,2574500,"2007-04-04","RUIS"
490,490,485,490,637500,"2007-04-05","RUIS"
490,490,485,490,539000,"2007-04-09","RUIS"
490,490,485,490,428500,"2007-04-10","RUIS"
490,490,485,490,1529500,"2007-04-11","RUIS"
490,490,485,490,462500,"2007-04-12","RUIS"
475,490,475,475,215000,"2007-04-13","RUIS"
475,480,475,475,780000,"2007-04-16","RUIS"
475,475,475,475,430000,"2007-04-17","RUIS"
485,485,475,485,917000,"2007-04-18","RUIS"
480,485,475,480,1551500,"2007-04-19","RUIS"
480,480,480,480,0,"2007-04-20","RUIS"
485,490,485,485,1639500,"2007-04-23","RUIS"
480,485,480,480,1376500,"2007-04-24","RUIS"
480,480,475,480,1450000,"2007-04-25","RUIS"
480,480,480,480,1907500,"2007-04-26","RUIS"
475,480,475,475,1574500,"2007-04-27","RUIS"
475,485,475,475,2828000,"2007-04-30","RUIS"
480,480,465,480,2187500,"2007-05-01","RUIS"
480,480,475,480,3407500,"2007-05-02","RUIS"
510,520,480,510,12892000,"2007-05-03","RUIS"
540,570,510,540,11819000,"2007-05-04","RUIS"
540,570,540,540,9786500,"2007-05-07","RUIS"
540,550,530,540,6410000,"2007-05-08","RUIS"
550,560,520,550,7940500,"2007-05-09","RUIS"
540,550,510,540,3457500,"2007-05-10","RUIS"
