"Open","High","Low","Close","Volume","Date","Emiten"
81,81,81,81,90000,"2020-03-31","SAMF"
109,109,109,109,350000,"2020-04-01","SAMF"
136,136,136,136,828200,"2020-04-02","SAMF"
170,170,170,170,97000,"2020-04-03","SAMF"
210,212,180,200,10314400,"2020-04-06","SAMF"
202,209,193,202,2293200,"2020-04-07","SAMF"
202,202,188,188,1397600,"2020-04-08","SAMF"
188,188,175,182,1984800,"2020-04-09","SAMF"
187,187,179,182,524400,"2020-04-13","SAMF"
180,184,179,184,798000,"2020-04-14","SAMF"
185,186,181,185,1581600,"2020-04-15","SAMF"
183,185,179,183,1472600,"2020-04-16","SAMF"
185,187,182,186,1237400,"2020-04-17","SAMF"
186,191,183,183,1686800,"2020-04-20","SAMF"
181,187,181,185,1377800,"2020-04-21","SAMF"
183,207,183,189,3188600,"2020-04-22","SAMF"
189,192,186,189,461000,"2020-04-23","SAMF"
187,187,180,181,502000,"2020-04-24","SAMF"
181,191,181,191,1065400,"2020-04-27","SAMF"
190,191,188,191,101800,"2020-04-28","SAMF"
191,192,190,191,86800,"2020-04-29","SAMF"
192,202,187,200,2780800,"2020-04-30","SAMF"
199,200,194,200,372200,"2020-05-04","SAMF"
200,201,197,198,131400,"2020-05-05","SAMF"
198,201,198,201,45000,"2020-05-06","SAMF"
200,200,200,200,12200,"2020-05-08","SAMF"
200,212,200,212,1789400,"2020-05-11","SAMF"
211,213,205,211,1579600,"2020-05-12","SAMF"
205,213,205,213,227600,"2020-05-13","SAMF"
210,212,206,212,37200,"2020-05-14","SAMF"
210,212,199,199,2074400,"2020-05-15","SAMF"
199,203,199,203,56400,"2020-05-18","SAMF"
202,206,202,206,150400,"2020-05-19","SAMF"
206,206,198,206,84200,"2020-05-20","SAMF"
206,210,205,209,882800,"2020-05-26","SAMF"
208,208,203,204,931200,"2020-05-27","SAMF"
205,208,204,206,813000,"2020-05-28","SAMF"
206,208,205,206,791200,"2020-05-29","SAMF"
205,207,205,206,971200,"2020-06-02","SAMF"
205,207,203,205,590800,"2020-06-03","SAMF"
205,206,198,201,946200,"2020-06-04","SAMF"
201,201,199,200,438000,"2020-06-05","SAMF"
201,201,199,199,403000,"2020-06-08","SAMF"
199,199,198,199,184800,"2020-06-09","SAMF"
199,199,198,199,174600,"2020-06-10","SAMF"
199,199,197,197,232400,"2020-06-11","SAMF"
199,199,193,194,472200,"2020-06-12","SAMF"
194,195,191,192,178800,"2020-06-15","SAMF"
192,194,191,194,32600,"2020-06-16","SAMF"
194,194,190,190,199800,"2020-06-17","SAMF"
192,192,190,191,45000,"2020-06-18","SAMF"
191,191,190,191,14400,"2020-06-19","SAMF"
192,193,190,190,53400,"2020-06-22","SAMF"
190,190,182,182,218400,"2020-06-23","SAMF"
182,182,182,182,24200,"2020-06-24","SAMF"
182,182,179,179,47800,"2020-06-25","SAMF"
178,178,170,170,301600,"2020-06-26","SAMF"
170,174,167,174,579400,"2020-06-29","SAMF"
174,177,174,174,583400,"2020-06-30","SAMF"
174,186,174,186,681000,"2020-07-01","SAMF"
186,215,178,207,9012600,"2020-07-02","SAMF"
207,207,193,193,293400,"2020-07-03","SAMF"
193,195,188,193,177200,"2020-07-06","SAMF"
191,191,183,185,65000,"2020-07-07","SAMF"
175,194,175,193,47200,"2020-07-08","SAMF"
190,190,190,190,2400,"2020-07-09","SAMF"
190,190,185,190,3000,"2020-07-10","SAMF"
190,190,186,188,9800,"2020-07-13","SAMF"
198,198,187,194,32800,"2020-07-14","SAMF"
204,204,181,181,183800,"2020-07-15","SAMF"
191,191,181,190,19000,"2020-07-16","SAMF"
200,200,191,191,4400,"2020-07-17","SAMF"
201,201,185,185,16000,"2020-07-20","SAMF"
195,195,176,183,43000,"2020-07-21","SAMF"
193,193,180,180,106800,"2020-07-22","SAMF"
190,190,181,189,235600,"2020-07-23","SAMF"
199,199,184,190,2200,"2020-07-24","SAMF"
200,200,187,187,7600,"2020-07-27","SAMF"
190,190,180,180,31600,"2020-07-28","SAMF"
190,190,178,178,92000,"2020-07-29","SAMF"
188,188,178,179,5800,"2020-07-30","SAMF"
189,189,177,178,18600,"2020-08-03","SAMF"
188,188,176,188,39400,"2020-08-04","SAMF"
190,190,179,179,120600,"2020-08-05","SAMF"
189,189,178,181,23000,"2020-08-06","SAMF"
190,190,175,179,120200,"2020-08-07","SAMF"
189,189,177,178,57200,"2020-08-10","SAMF"
188,188,177,178,50800,"2020-08-11","SAMF"
179,179,178,178,32200,"2020-08-12","SAMF"
178,179,177,179,58400,"2020-08-13","SAMF"
183,183,178,180,48600,"2020-08-14","SAMF"
183,183,178,179,41400,"2020-08-18","SAMF"
181,181,177,178,65800,"2020-08-19","SAMF"
180,180,178,178,86800,"2020-08-24","SAMF"
178,180,178,180,77600,"2020-08-25","SAMF"
179,181,179,181,42400,"2020-08-26","SAMF"
181,183,181,183,40600,"2020-08-27","SAMF"
183,187,183,184,33000,"2020-08-28","SAMF"
184,200,184,198,149800,"2020-08-31","SAMF"
191,245,191,228,168800,"2020-09-01","SAMF"
228,228,213,213,27600,"2020-09-02","SAMF"
223,223,199,199,189600,"2020-09-03","SAMF"
199,210,196,196,40600,"2020-09-04","SAMF"
206,206,191,194,186400,"2020-09-07","SAMF"
204,204,196,196,3200,"2020-09-08","SAMF"
206,206,195,195,29400,"2020-09-09","SAMF"
191,191,188,188,46000,"2020-09-10","SAMF"
198,199,193,199,118000,"2020-09-11","SAMF"
209,209,194,198,5600,"2020-09-14","SAMF"
208,208,194,195,7400,"2020-09-15","SAMF"
205,205,193,193,5200,"2020-09-16","SAMF"
203,203,191,191,41600,"2020-09-17","SAMF"
201,201,191,192,20600,"2020-09-18","SAMF"
202,202,191,192,2800,"2020-09-21","SAMF"
202,202,191,191,16000,"2020-09-22","SAMF"
201,201,191,193,13200,"2020-09-23","SAMF"
193,193,191,191,9600,"2020-09-24","SAMF"
201,201,192,193,14200,"2020-09-25","SAMF"
203,203,191,191,32000,"2020-09-28","SAMF"
201,201,190,190,16400,"2020-09-29","SAMF"
200,200,191,192,4200,"2020-09-30","SAMF"
202,202,187,191,304000,"2020-10-01","SAMF"
201,201,183,190,249600,"2020-10-02","SAMF"
194,194,190,190,1000,"2020-10-05","SAMF"
200,200,191,191,600,"2020-10-06","SAMF"
201,201,190,190,2000,"2020-10-07","SAMF"
194,194,190,191,2600,"2020-10-08","SAMF"
193,193,191,191,3400,"2020-10-09","SAMF"
200,200,191,192,4400,"2020-10-12","SAMF"
202,202,191,192,4000,"2020-10-13","SAMF"
191,192,191,192,5600,"2020-10-14","SAMF"
192,193,191,191,13200,"2020-10-15","SAMF"
192,192,190,190,4200,"2020-10-16","SAMF"
190,191,190,191,1200,"2020-10-19","SAMF"
191,191,190,190,13400,"2020-10-20","SAMF"
190,190,189,189,7200,"2020-10-21","SAMF"
189,189,188,188,2000,"2020-10-22","SAMF"
189,189,189,189,400,"2020-10-23","SAMF"
190,190,190,190,5000,"2020-10-26","SAMF"
190,190,190,190,2200,"2020-10-27","SAMF"
190,190,190,190,0,"2020-11-02","SAMF"
190,192,189,192,10800,"2020-11-03","SAMF"
192,192,192,192,1200,"2020-11-04","SAMF"
192,192,192,192,200,"2020-11-05","SAMF"
191,194,191,194,6400,"2020-11-06","SAMF"
194,194,192,194,40400,"2020-11-09","SAMF"
192,195,192,195,2800,"2020-11-10","SAMF"
195,196,193,196,20400,"2020-11-11","SAMF"
195,196,195,196,5400,"2020-11-12","SAMF"
195,196,195,196,13400,"2020-11-13","SAMF"
196,196,195,195,5200,"2020-11-16","SAMF"
195,196,195,196,7800,"2020-11-17","SAMF"
195,196,195,196,2600,"2020-11-18","SAMF"
195,196,195,196,6000,"2020-11-19","SAMF"
195,196,195,196,4800,"2020-11-20","SAMF"
196,200,196,200,88200,"2020-11-23","SAMF"
200,201,199,200,123000,"2020-11-24","SAMF"
200,202,200,202,61600,"2020-11-25","SAMF"
202,202,200,200,28200,"2020-11-26","SAMF"
200,200,200,200,3400,"2020-11-27","SAMF"
200,202,199,199,30800,"2020-11-30","SAMF"
198,200,197,200,21600,"2020-12-01","SAMF"
200,200,198,199,47000,"2020-12-02","SAMF"
198,199,197,199,2400,"2020-12-03","SAMF"
200,200,200,200,400,"2020-12-04","SAMF"
