"Open","High","Low","Close","Volume","Date","Emiten"
148,148,148,148,100,"2020-09-07","SCNP"
199,199,199,199,3506100,"2020-09-08","SCNP"
228,268,228,268,12495800,"2020-09-09","SCNP"
298,330,250,250,16347000,"2020-09-10","SCNP"
236,236,234,234,1247500,"2020-09-11","SCNP"
234,234,218,222,4204300,"2020-09-14","SCNP"
222,240,220,220,2246800,"2020-09-15","SCNP"
206,242,206,230,1115500,"2020-09-16","SCNP"
236,244,236,244,329500,"2020-09-17","SCNP"
240,248,240,248,220200,"2020-09-18","SCNP"
250,250,232,232,832700,"2020-09-21","SCNP"
218,244,216,240,682500,"2020-09-22","SCNP"
240,242,240,240,264800,"2020-09-23","SCNP"
242,246,238,240,180200,"2020-09-24","SCNP"
228,246,226,244,252500,"2020-09-25","SCNP"
244,248,234,236,564600,"2020-09-28","SCNP"
238,238,224,236,73700,"2020-09-29","SCNP"
228,238,226,228,46100,"2020-09-30","SCNP"
246,246,224,240,45800,"2020-10-01","SCNP"
240,240,228,228,268800,"2020-10-02","SCNP"
228,230,224,230,54300,"2020-10-05","SCNP"
230,234,222,230,137700,"2020-10-06","SCNP"
228,232,222,222,106400,"2020-10-07","SCNP"
216,228,210,210,102400,"2020-10-08","SCNP"
226,228,210,222,44200,"2020-10-09","SCNP"
228,230,220,226,122300,"2020-10-12","SCNP"
222,230,222,230,62800,"2020-10-13","SCNP"
230,234,222,228,124400,"2020-10-14","SCNP"
228,228,216,228,33100,"2020-10-15","SCNP"
220,228,216,218,81400,"2020-10-16","SCNP"
218,226,218,220,326100,"2020-10-19","SCNP"
220,220,210,218,202900,"2020-10-20","SCNP"
220,228,204,204,272300,"2020-10-21","SCNP"
204,224,204,220,20300,"2020-10-22","SCNP"
220,226,208,226,111400,"2020-10-23","SCNP"
226,226,218,226,33600,"2020-10-26","SCNP"
224,228,224,228,56600,"2020-10-27","SCNP"
228,228,224,224,24900,"2020-11-02","SCNP"
224,226,222,224,87700,"2020-11-03","SCNP"
224,228,224,228,33800,"2020-11-04","SCNP"
230,240,230,230,167000,"2020-11-05","SCNP"
238,238,230,234,189900,"2020-11-06","SCNP"
232,238,230,238,414800,"2020-11-09","SCNP"
234,236,234,234,28600,"2020-11-10","SCNP"
234,248,234,244,652000,"2020-11-11","SCNP"
244,244,238,238,1500,"2020-11-12","SCNP"
240,240,238,240,133700,"2020-11-13","SCNP"
240,240,238,238,195300,"2020-11-16","SCNP"
236,244,236,236,76500,"2020-11-17","SCNP"
240,240,236,236,61400,"2020-11-18","SCNP"
236,236,236,236,3400,"2020-11-19","SCNP"
244,258,244,246,252300,"2020-11-20","SCNP"
252,252,246,248,488600,"2020-11-23","SCNP"
250,260,250,258,402000,"2020-11-24","SCNP"
258,258,246,248,149900,"2020-11-25","SCNP"
248,248,246,248,69100,"2020-11-26","SCNP"
250,254,250,250,43900,"2020-11-27","SCNP"
254,268,240,248,630900,"2020-11-30","SCNP"
260,262,248,260,227500,"2020-12-01","SCNP"
270,270,250,260,84300,"2020-12-02","SCNP"
258,260,258,260,38800,"2020-12-03","SCNP"
258,260,248,248,15700,"2020-12-04","SCNP"
248,258,248,248,87200,"2020-12-07","SCNP"
248,258,248,250,13900,"2020-12-08","SCNP"
248,270,248,270,19700,"2020-12-10","SCNP"
258,260,252,252,14900,"2020-12-11","SCNP"
252,258,248,250,239200,"2020-12-14","SCNP"
