"Open","High","Low","Close","Volume","Date","Emiten"
310,310,310,310,0,"2007-01-02","SHID"
330,330,300,300,21000,"2007-01-03","SHID"
315,315,255,280,280000,"2007-01-04","SHID"
280,280,280,280,1,"2007-01-05","SHID"
280,280,280,280,31000,"2007-01-08","SHID"
280,295,270,280,229500,"2007-01-09","SHID"
275,280,260,260,290500,"2007-01-10","SHID"
280,285,270,280,287500,"2007-01-11","SHID"
280,280,270,280,72500,"2007-01-12","SHID"
275,280,275,275,73500,"2007-01-15","SHID"
275,275,275,275,3,"2007-01-16","SHID"
280,280,280,280,500,"2007-01-17","SHID"
265,280,265,280,66500,"2007-01-18","SHID"
280,280,280,280,10500,"2007-01-19","SHID"
260,260,260,260,500,"2007-01-22","SHID"
285,285,275,285,137000,"2007-01-23","SHID"
285,290,280,280,58500,"2007-01-24","SHID"
270,285,270,285,10500,"2007-01-25","SHID"
285,285,285,285,2,"2007-01-26","SHID"
285,285,280,285,67500,"2007-01-29","SHID"
295,295,290,295,350500,"2007-01-30","SHID"
290,290,280,290,74500,"2007-01-31","SHID"
295,300,290,295,114500,"2007-02-01","SHID"
295,300,295,295,31000,"2007-02-02","SHID"
295,295,295,295,2,"2007-02-05","SHID"
295,295,295,295,2,"2007-02-06","SHID"
300,300,295,300,22000,"2007-02-07","SHID"
300,300,300,300,2,"2007-02-08","SHID"
265,270,265,270,1000,"2007-02-09","SHID"
330,330,330,330,2000,"2007-02-12","SHID"
270,290,270,290,21000,"2007-02-13","SHID"
295,295,295,295,1000,"2007-02-14","SHID"
280,295,280,295,29500,"2007-02-15","SHID"
295,295,295,295,0,"2007-02-16","SHID"
300,310,300,300,289000,"2007-02-19","SHID"
295,300,290,295,60500,"2007-02-20","SHID"
315,335,300,315,1326500,"2007-02-21","SHID"
310,310,305,310,54000,"2007-02-22","SHID"
310,310,310,310,2,"2007-02-23","SHID"
310,310,310,310,0,"2007-02-26","SHID"
285,285,285,285,52000,"2007-02-27","SHID"
280,290,275,280,230000,"2007-02-28","SHID"
300,300,285,300,174500,"2007-03-01","SHID"
300,315,290,300,311000,"2007-03-02","SHID"
280,280,280,280,35000,"2007-03-05","SHID"
280,325,275,310,60500,"2007-03-06","SHID"
310,330,305,310,1104000,"2007-03-07","SHID"
310,310,300,310,81000,"2007-03-08","SHID"
310,310,310,310,3,"2007-03-09","SHID"
310,310,300,310,25500,"2007-03-12","SHID"
300,340,300,325,2003500,"2007-03-13","SHID"
315,325,305,315,270000,"2007-03-14","SHID"
320,320,305,320,160500,"2007-03-15","SHID"
320,320,305,320,100500,"2007-03-16","SHID"
325,330,310,325,367500,"2007-03-20","SHID"
345,350,330,345,1260500,"2007-03-21","SHID"
340,350,330,340,369000,"2007-03-22","SHID"
325,340,325,325,45000,"2007-03-23","SHID"
325,335,320,325,42000,"2007-03-26","SHID"
335,335,310,335,40500,"2007-03-27","SHID"
330,330,320,330,227500,"2007-03-28","SHID"
330,330,330,330,3,"2007-03-29","SHID"
340,340,340,340,10000,"2007-03-30","SHID"
330,330,320,330,253000,"2007-04-02","SHID"
315,345,315,345,75000,"2007-04-03","SHID"
345,355,340,345,1349000,"2007-04-04","SHID"
330,330,310,330,194500,"2007-04-05","SHID"
335,335,330,335,3500,"2007-04-09","SHID"
325,335,320,325,416000,"2007-04-10","SHID"
320,320,310,320,509000,"2007-04-11","SHID"
315,325,315,325,65000,"2007-04-12","SHID"
310,310,310,310,10000,"2007-04-13","SHID"
310,310,310,310,1000,"2007-04-16","SHID"
310,310,310,310,0,"2007-04-17","SHID"
325,330,310,325,147500,"2007-04-18","SHID"
310,315,305,310,246500,"2007-04-19","SHID"
310,315,310,315,65500,"2007-04-20","SHID"
315,315,315,315,3,"2007-04-23","SHID"
315,320,315,315,41000,"2007-04-24","SHID"
315,325,310,315,205500,"2007-04-25","SHID"
305,310,305,305,270000,"2007-04-26","SHID"
300,315,270,300,37500,"2007-04-27","SHID"
305,315,305,305,22500,"2007-04-30","SHID"
315,315,305,315,80000,"2007-05-01","SHID"
330,330,330,330,1000,"2007-05-02","SHID"
330,330,300,300,1500,"2007-05-03","SHID"
300,325,300,325,104500,"2007-05-04","SHID"
310,325,310,310,55000,"2007-05-07","SHID"
310,310,310,310,3,"2007-05-08","SHID"
310,325,305,310,43500,"2007-05-09","SHID"
315,315,295,315,25000,"2007-05-10","SHID"
315,315,315,315,2,"2007-05-11","SHID"
320,320,300,300,33000,"2007-05-14","SHID"
300,300,300,300,3,"2007-05-15","SHID"
295,295,290,295,37500,"2007-05-16","SHID"
295,295,295,295,500,"2007-05-21","SHID"
300,300,295,300,35500,"2007-05-22","SHID"
300,300,285,300,42500,"2007-05-23","SHID"
290,315,290,315,52500,"2007-05-24","SHID"
315,315,315,315,2,"2007-05-25","SHID"
315,315,290,315,23500,"2007-05-28","SHID"
290,290,290,290,42500,"2007-05-29","SHID"
290,300,290,290,68000,"2007-05-30","SHID"
300,300,300,300,15000,"2007-05-31","SHID"
295,300,290,295,52500,"2007-06-04","SHID"
310,310,310,310,500,"2007-06-05","SHID"
300,300,300,300,50000,"2007-06-06","SHID"
305,310,295,305,222500,"2007-06-07","SHID"
295,295,295,295,145000,"2007-06-08","SHID"
305,305,300,305,2e+05,"2007-06-11","SHID"
305,405,305,400,4852500,"2007-06-12","SHID"
400,475,400,475,3491000,"2007-06-13","SHID"
490,515,405,420,25825000,"2007-06-14","SHID"
400,400,350,350,136000,"2007-06-15","SHID"
