"Open","High","Low","Close","Volume","Date","Emiten"
286,286,244,254,496776500,"2022-04-08","SICO"
252,260,238,238,12259700,"2022-04-11","SICO"
222,224,222,222,3206600,"2022-04-12","SICO"
208,214,208,208,61117300,"2022-04-13","SICO"
194,202,194,194,40966000,"2022-04-14","SICO"
184,185,181,181,8087300,"2022-04-18","SICO"
181,185,169,177,118736400,"2022-04-19","SICO"
178,180,165,165,41110500,"2022-04-20","SICO"
166,166,154,154,18270500,"2022-04-21","SICO"
154,154,144,144,16356700,"2022-04-22","SICO"
136,144,134,134,19832000,"2022-04-25","SICO"
134,180,128,180,222991700,"2022-04-26","SICO"
240,240,168,168,8617100,"2022-04-27","SICO"
168,168,157,157,2246200,"2022-04-28","SICO"
177,177,147,147,3152600,"2022-05-09","SICO"
137,147,137,137,19936200,"2022-05-10","SICO"
128,143,128,128,37429200,"2022-05-11","SICO"
128,128,120,120,11660600,"2022-05-12","SICO"
122,137,115,123,25189700,"2022-05-13","SICO"
140,140,119,123,7847200,"2022-05-17","SICO"
125,129,120,121,8498700,"2022-05-18","SICO"
125,125,117,119,7677100,"2022-05-19","SICO"
125,155,118,143,137418200,"2022-05-20","SICO"
135,148,133,133,28905200,"2022-05-23","SICO"
124,140,124,130,23442900,"2022-05-24","SICO"
123,132,123,126,6024800,"2022-05-25","SICO"
127,135,124,125,8178700,"2022-05-27","SICO"
120,136,120,128,7924300,"2022-05-30","SICO"
123,141,123,131,29075700,"2022-05-31","SICO"
135,137,132,132,7029700,"2022-06-02","SICO"
124,135,124,128,4838000,"2022-06-03","SICO"
128,134,127,129,7763800,"2022-06-06","SICO"
129,154,129,138,136683600,"2022-06-07","SICO"
139,149,131,134,38723600,"2022-06-08","SICO"
126,156,126,151,89888600,"2022-06-09","SICO"
152,162,141,143,109964000,"2022-06-10","SICO"
145,145,133,133,11963300,"2022-06-13","SICO"
125,164,125,160,251876200,"2022-06-14","SICO"
161,167,149,149,94837200,"2022-06-15","SICO"
139,165,139,160,160781600,"2022-06-16","SICO"
154,159,151,151,20608800,"2022-06-17","SICO"
152,184,151,179,247843500,"2022-06-20","SICO"
180,183,167,167,60371100,"2022-06-21","SICO"
169,192,156,186,363274700,"2022-06-22","SICO"
186,197,173,176,215847900,"2022-06-23","SICO"
177,186,164,166,100810700,"2022-06-24","SICO"
166,170,160,164,21625900,"2022-06-27","SICO"
165,176,164,169,53500800,"2022-06-28","SICO"
171,172,164,166,19127900,"2022-06-29","SICO"
168,168,155,156,15738900,"2022-06-30","SICO"
156,159,146,146,24132500,"2022-07-01","SICO"
147,148,136,142,14340500,"2022-07-04","SICO"
136,152,136,144,21679800,"2022-07-05","SICO"
138,148,138,140,7439800,"2022-07-06","SICO"
133,144,132,138,9428200,"2022-07-07","SICO"
136,160,136,148,90951200,"2022-07-08","SICO"
150,150,142,145,7949500,"2022-07-11","SICO"
143,152,143,145,20908800,"2022-07-12","SICO"
146,163,144,152,100884500,"2022-07-13","SICO"
142,154,142,147,9813000,"2022-07-14","SICO"
148,154,145,146,15961400,"2022-07-15","SICO"
139,150,139,147,7913400,"2022-07-18","SICO"
145,150,145,148,5621100,"2022-07-19","SICO"
148,149,146,146,4560800,"2022-07-20","SICO"
147,150,145,147,5187900,"2022-07-21","SICO"
140,150,140,150,5599700,"2022-07-22","SICO"
151,153,146,147,4762800,"2022-07-25","SICO"
147,149,146,147,4514900,"2022-07-26","SICO"
146,148,145,146,4269100,"2022-07-27","SICO"
144,147,143,145,3463200,"2022-07-28","SICO"
145,148,145,146,3709900,"2022-07-29","SICO"
146,149,145,147,4449000,"2022-08-01","SICO"
148,154,146,146,22064700,"2022-08-02","SICO"
137,146,137,140,6008600,"2022-08-03","SICO"
135,142,135,138,3171300,"2022-08-04","SICO"
138,141,137,139,2814900,"2022-08-05","SICO"
139,141,137,140,1600200,"2022-08-08","SICO"
141,143,138,139,3210600,"2022-08-09","SICO"
140,141,137,139,4291400,"2022-08-10","SICO"
140,140,137,139,1601300,"2022-08-11","SICO"
139,140,137,140,1774500,"2022-08-12","SICO"
140,143,139,141,3601400,"2022-08-15","SICO"
142,143,140,142,3969100,"2022-08-16","SICO"
144,144,141,144,4646300,"2022-08-18","SICO"
144,153,141,141,29451700,"2022-08-19","SICO"
134,143,134,142,4941400,"2022-08-22","SICO"
134,173,134,165,164655800,"2022-08-23","SICO"
165,169,154,154,48501400,"2022-08-24","SICO"
155,155,145,150,28564600,"2022-08-25","SICO"
151,159,150,154,31677800,"2022-08-26","SICO"
154,157,146,148,14129800,"2022-08-29","SICO"
148,171,147,170,103400300,"2022-08-30","SICO"
169,204,159,204,233351900,"2022-08-31","SICO"
