"Open","High","Low","Close","Volume","Date","Emiten"
1250,1260,1150,1250,491764500,"2011-06-09","SIMP"
1250,1260,1220,1250,95365000,"2011-06-10","SIMP"
1210,1250,1200,1210,57948000,"2011-06-13","SIMP"
1220,1220,1200,1220,33131500,"2011-06-14","SIMP"
1220,1230,1210,1220,69050500,"2011-06-15","SIMP"
1190,1210,1180,1190,33376000,"2011-06-16","SIMP"
1160,1200,1150,1160,57089500,"2011-06-17","SIMP"
1170,1170,1160,1170,8089000,"2011-06-20","SIMP"
1200,1200,1170,1200,19877000,"2011-06-21","SIMP"
1200,1210,1180,1200,39712500,"2011-06-22","SIMP"
1190,1190,1180,1190,19951500,"2011-06-23","SIMP"
1200,1200,1180,1200,26852000,"2011-06-24","SIMP"
1180,1190,1170,1180,2515500,"2011-06-27","SIMP"
1180,1180,1180,1180,0,"2011-06-28","SIMP"
1180,1200,1180,1180,35473500,"2011-06-30","SIMP"
1180,1200,1180,1180,4190000,"2011-07-01","SIMP"
1180,1180,1180,1180,0,"2011-07-04","SIMP"
1200,1220,1190,1200,17487000,"2011-07-05","SIMP"
1200,1200,1190,1200,3410500,"2011-07-06","SIMP"
1200,1210,1190,1200,11885000,"2011-07-07","SIMP"
1220,1230,1190,1220,27881000,"2011-07-08","SIMP"
1220,1240,1200,1220,24376000,"2011-07-11","SIMP"
1190,1210,1190,1190,9104500,"2011-07-12","SIMP"
1210,1220,1190,1210,2214000,"2011-07-13","SIMP"
1210,1220,1200,1210,11982500,"2011-07-14","SIMP"
1240,1240,1210,1240,27522500,"2011-07-15","SIMP"
1280,1290,1230,1280,62069500,"2011-07-18","SIMP"
1290,1300,1270,1290,35342000,"2011-07-19","SIMP"
1270,1300,1270,1270,9551000,"2011-07-20","SIMP"
1270,1270,1260,1270,9475500,"2011-07-21","SIMP"
1270,1290,1260,1270,22071000,"2011-07-22","SIMP"
1260,1270,1250,1260,11583500,"2011-07-25","SIMP"
1280,1280,1250,1280,12722000,"2011-07-26","SIMP"
1280,1290,1270,1280,18440000,"2011-07-27","SIMP"
1340,1340,1260,1340,79559000,"2011-07-28","SIMP"
1420,1420,1310,1420,101779000,"2011-07-29","SIMP"
1420,1460,1400,1420,43664000,"2011-08-01","SIMP"
1390,1420,1360,1390,43054000,"2011-08-02","SIMP"
1380,1380,1350,1380,17537500,"2011-08-03","SIMP"
1370,1400,1350,1370,19920500,"2011-08-04","SIMP"
1240,1340,1220,1240,75075500,"2011-08-05","SIMP"
1200,1230,1130,1200,67990000,"2011-08-08","SIMP"
1190,1230,1190,1190,3,"2011-08-09","SIMP"
1230,1250,1210,1230,71691500,"2011-08-10","SIMP"
1210,1240,1200,1210,37222000,"2011-08-11","SIMP"
1270,1320,1230,1270,80991000,"2011-08-12","SIMP"
1270,1310,1260,1270,29881500,"2011-08-15","SIMP"
1260,1280,1250,1260,11729500,"2011-08-16","SIMP"
1280,1280,1250,1280,21401000,"2011-08-18","SIMP"
1260,1270,1240,1260,24353000,"2011-08-19","SIMP"
1260,1280,1230,1260,19366500,"2011-08-22","SIMP"
1270,1270,1250,1270,7426000,"2011-08-23","SIMP"
1230,1280,1220,1230,13433000,"2011-08-24","SIMP"
1250,1260,1240,1250,10752500,"2011-08-25","SIMP"
1250,1250,1210,1250,11926000,"2011-08-26","SIMP"
1260,1270,1240,1260,10729500,"2011-09-05","SIMP"
1260,1260,1240,1260,11254000,"2011-09-06","SIMP"
1290,1290,1250,1290,13658500,"2011-09-07","SIMP"
1340,1350,1270,1340,55411500,"2011-09-08","SIMP"
1310,1350,1300,1310,20935500,"2011-09-09","SIMP"
1280,1300,1260,1280,8878500,"2011-09-12","SIMP"
1270,1290,1260,1270,4122000,"2011-09-13","SIMP"
1270,1280,1240,1270,8912500,"2011-09-14","SIMP"
1250,1270,1210,1250,28678000,"2011-09-15","SIMP"
1270,1270,1230,1270,15951500,"2011-09-16","SIMP"
1230,1260,1220,1230,3184000,"2011-09-19","SIMP"
1240,1250,1210,1240,4137500,"2011-09-20","SIMP"
1220,1250,1210,1220,5373500,"2011-09-21","SIMP"
1130,1210,1120,1130,8180000,"2011-09-22","SIMP"
1130,1140,1050,1130,41880000,"2011-09-23","SIMP"
1050,1170,1020,1050,33087500,"2011-09-26","SIMP"
1160,1180,1060,1160,16498500,"2011-09-27","SIMP"
1130,1160,1120,1130,6453000,"2011-09-28","SIMP"
1140,1150,1100,1140,6917000,"2011-09-29","SIMP"
1140,1150,1130,1140,16189000,"2011-09-30","SIMP"
1070,1120,1050,1070,17695000,"2011-10-03","SIMP"
1060,1080,1030,1060,12512500,"2011-10-04","SIMP"
1070,1080,1070,1070,3617500,"2011-10-05","SIMP"
1130,1130,1090,1130,11798000,"2011-10-06","SIMP"
1110,1140,1100,1110,8358500,"2011-10-07","SIMP"
1120,1120,1100,1120,521500,"2011-10-10","SIMP"
1120,1160,1120,1120,10966500,"2011-10-11","SIMP"
1140,1150,1110,1140,7968500,"2011-10-12","SIMP"
1160,1190,1140,1160,15564000,"2011-10-13","SIMP"
1170,1170,1140,1170,5453000,"2011-10-14","SIMP"
1190,1190,1160,1190,6299500,"2011-10-17","SIMP"
1120,1160,1100,1120,18252500,"2011-10-18","SIMP"
1120,1140,1110,1120,6548500,"2011-10-19","SIMP"
1100,1110,1060,1100,4518000,"2011-10-20","SIMP"
1110,1110,1090,1110,3327500,"2011-10-21","SIMP"
1160,1170,1120,1160,18513000,"2011-10-24","SIMP"
1160,1180,1150,1160,10449000,"2011-10-25","SIMP"
1170,1180,1110,1170,5592000,"2011-10-26","SIMP"
1260,1270,1160,1260,43841500,"2011-10-27","SIMP"
1200,1290,1190,1200,21655500,"2011-10-28","SIMP"
1210,1220,1190,1210,11094000,"2011-10-31","SIMP"
1150,1210,1140,1150,9482500,"2011-11-01","SIMP"
1190,1190,1120,1190,6904000,"2011-11-02","SIMP"
1150,1170,1140,1150,2983500,"2011-11-03","SIMP"
1180,1200,1170,1180,6069500,"2011-11-04","SIMP"
1180,1190,1160,1180,2735500,"2011-11-07","SIMP"
1170,1190,1170,1170,1233500,"2011-11-08","SIMP"
1200,1210,1180,1200,8546000,"2011-11-09","SIMP"
1180,1180,1150,1180,6595000,"2011-11-10","SIMP"
1190,1190,1170,1190,6832500,"2011-11-11","SIMP"
1210,1220,1200,1210,11849500,"2011-11-14","SIMP"
1200,1210,1190,1200,2875000,"2011-11-15","SIMP"
1190,1200,1170,1190,5868000,"2011-11-16","SIMP"
1180,1180,1170,1180,1431000,"2011-11-17","SIMP"
1170,1190,1160,1170,3128000,"2011-11-18","SIMP"
1170,1200,1160,1170,2798000,"2011-11-21","SIMP"
1190,1190,1160,1190,2222500,"2011-11-22","SIMP"
1160,1180,1150,1160,3179000,"2011-11-23","SIMP"
1140,1160,1130,1140,2509500,"2011-11-24","SIMP"
1110,1140,1110,1110,1797500,"2011-11-25","SIMP"
