"Open","High","Low","Close","Volume","Date","Emiten"
3700,3700,3700,3700,3e+05,"2007-01-02","SMAR"
3900,3900,3775,3900,321500,"2007-01-03","SMAR"
3950,3950,3700,3700,750000,"2007-01-04","SMAR"
3650,3800,3650,3650,2506500,"2007-01-05","SMAR"
3700,3700,3650,3700,856500,"2007-01-08","SMAR"
3650,3700,3650,3650,1526000,"2007-01-09","SMAR"
3700,3700,3700,3700,85000,"2007-01-10","SMAR"
3700,3800,3675,3700,913000,"2007-01-11","SMAR"
3600,3600,3500,3600,151000,"2007-01-12","SMAR"
3700,3700,3700,3700,1702000,"2007-01-15","SMAR"
3650,3700,3650,3650,1131000,"2007-01-16","SMAR"
3650,3700,3650,3650,652500,"2007-01-17","SMAR"
3700,3700,3675,3700,1700500,"2007-01-18","SMAR"
3700,3700,3650,3700,1924000,"2007-01-19","SMAR"
3700,3700,3700,3700,3,"2007-01-22","SMAR"
3650,3700,3650,3650,1351000,"2007-01-23","SMAR"
3700,3750,3700,3700,759000,"2007-01-24","SMAR"
3700,3700,3675,3700,718000,"2007-01-25","SMAR"
3700,3700,3700,3700,3,"2007-01-26","SMAR"
3675,3675,3650,3675,1375000,"2007-01-29","SMAR"
3625,3650,3625,3625,1302500,"2007-01-30","SMAR"
3600,3675,3600,3600,1005000,"2007-01-31","SMAR"
3650,3650,3600,3650,2488000,"2007-02-01","SMAR"
3650,3650,3650,3650,3,"2007-02-02","SMAR"
3600,3675,3550,3600,808000,"2007-02-05","SMAR"
3550,3575,3550,3550,1805500,"2007-02-06","SMAR"
3650,3650,3600,3650,1284500,"2007-02-07","SMAR"
3675,3675,3650,3675,1096000,"2007-02-08","SMAR"
3675,3675,3675,3675,2451000,"2007-02-09","SMAR"
3675,3700,3675,3675,1439500,"2007-02-12","SMAR"
3600,3725,3600,3600,2678500,"2007-02-13","SMAR"
3700,3700,3650,3700,2780000,"2007-02-14","SMAR"
3725,3725,3725,3725,250000,"2007-02-15","SMAR"
3700,3725,3650,3700,2138000,"2007-02-16","SMAR"
3700,3750,3700,3700,383500,"2007-02-19","SMAR"
3675,3750,3675,3675,503000,"2007-02-20","SMAR"
3675,3675,3625,3675,1893000,"2007-02-21","SMAR"
3650,3675,3650,3650,1002500,"2007-02-22","SMAR"
3700,3700,3675,3700,1051000,"2007-02-23","SMAR"
3650,3700,3650,3650,898000,"2007-02-26","SMAR"
3650,3650,3650,3650,3,"2007-02-27","SMAR"
3650,3650,3600,3650,1773000,"2007-02-28","SMAR"
