"Open","High","Low","Close","Volume","Date","Emiten"
195,210,195,210,15500,"2007-01-02","SMDM"
215,215,205,215,204500,"2007-01-03","SMDM"
210,210,210,210,10000,"2007-01-04","SMDM"
215,220,205,215,95000,"2007-01-05","SMDM"
215,225,210,215,157500,"2007-01-08","SMDM"
205,215,205,205,646500,"2007-01-09","SMDM"
205,205,195,205,351000,"2007-01-10","SMDM"
205,205,205,205,0,"2007-01-11","SMDM"
190,195,190,190,80000,"2007-01-12","SMDM"
195,200,195,195,9000,"2007-01-15","SMDM"
195,195,195,195,1,"2007-01-16","SMDM"
195,195,195,195,0,"2007-01-17","SMDM"
195,195,195,195,500,"2007-01-18","SMDM"
195,195,195,195,0,"2007-01-19","SMDM"
200,200,200,200,7500,"2007-01-22","SMDM"
200,200,200,200,2,"2007-01-23","SMDM"
200,200,200,200,5000,"2007-01-24","SMDM"
195,195,190,190,50000,"2007-01-25","SMDM"
190,190,190,190,0,"2007-01-26","SMDM"
190,190,190,190,0,"2007-01-29","SMDM"
190,190,190,190,3,"2007-01-30","SMDM"
190,190,190,190,2,"2007-01-31","SMDM"
190,190,190,190,2,"2007-02-01","SMDM"
190,190,190,190,1,"2007-02-02","SMDM"
190,190,190,190,2,"2007-02-05","SMDM"
195,195,195,195,12500,"2007-02-06","SMDM"
195,195,195,195,1,"2007-02-07","SMDM"
195,195,195,195,1,"2007-02-08","SMDM"
195,195,195,195,10000,"2007-02-09","SMDM"
195,195,195,195,1,"2007-02-12","SMDM"
195,195,195,195,500,"2007-02-13","SMDM"
190,190,190,190,15000,"2007-02-14","SMDM"
190,190,190,190,168000,"2007-02-15","SMDM"
195,230,195,230,1919500,"2007-02-16","SMDM"
230,260,230,230,3860000,"2007-02-19","SMDM"
220,240,220,220,281000,"2007-02-20","SMDM"
220,230,215,220,505000,"2007-02-21","SMDM"
220,240,220,240,1282000,"2007-02-22","SMDM"
255,260,240,255,902000,"2007-02-23","SMDM"
260,275,240,245,6409500,"2007-02-26","SMDM"
245,250,235,245,2257500,"2007-02-27","SMDM"
245,245,245,245,0,"2007-02-28","SMDM"
235,235,235,235,10000,"2007-03-01","SMDM"
235,235,235,235,2,"2007-03-02","SMDM"
215,215,200,200,415000,"2007-03-05","SMDM"
215,220,205,215,783500,"2007-03-06","SMDM"
225,225,225,225,500,"2007-03-07","SMDM"
220,220,220,220,25000,"2007-03-08","SMDM"
215,215,215,215,12500,"2007-03-09","SMDM"
225,225,205,210,260000,"2007-03-12","SMDM"
210,210,205,210,125000,"2007-03-13","SMDM"
210,210,210,210,0,"2007-03-14","SMDM"
215,220,210,215,38000,"2007-03-15","SMDM"
200,210,200,200,1e+05,"2007-03-16","SMDM"
200,200,200,200,3,"2007-03-20","SMDM"
210,215,205,210,167500,"2007-03-21","SMDM"
215,240,210,215,830500,"2007-03-22","SMDM"
205,205,205,205,10000,"2007-03-23","SMDM"
210,210,210,210,10000,"2007-03-26","SMDM"
215,225,205,215,976500,"2007-03-27","SMDM"
215,215,215,215,12500,"2007-03-28","SMDM"
215,215,210,215,35000,"2007-03-29","SMDM"
210,210,210,210,65000,"2007-03-30","SMDM"
205,205,205,205,10000,"2007-04-02","SMDM"
205,205,205,205,2,"2007-04-03","SMDM"
205,205,205,205,35000,"2007-04-04","SMDM"
210,210,210,210,12500,"2007-04-05","SMDM"
205,205,205,205,60000,"2007-04-09","SMDM"
205,205,205,205,20000,"2007-04-10","SMDM"
215,215,210,215,252500,"2007-04-11","SMDM"
210,210,205,210,107500,"2007-04-12","SMDM"
210,210,210,210,0,"2007-04-13","SMDM"
220,220,215,220,297000,"2007-04-16","SMDM"
215,215,215,215,125000,"2007-04-17","SMDM"
220,225,220,220,42500,"2007-04-18","SMDM"
220,220,220,220,2,"2007-04-19","SMDM"
215,215,215,215,125000,"2007-04-20","SMDM"
215,225,215,215,392500,"2007-04-23","SMDM"
225,230,220,225,654500,"2007-04-24","SMDM"
230,240,230,230,1742500,"2007-04-25","SMDM"
235,240,230,235,167500,"2007-04-26","SMDM"
230,230,225,230,210000,"2007-04-27","SMDM"
225,225,225,225,239000,"2007-04-30","SMDM"
225,225,225,225,20000,"2007-05-01","SMDM"
215,225,215,215,60000,"2007-05-02","SMDM"
220,220,220,220,35000,"2007-05-03","SMDM"
220,220,215,220,120000,"2007-05-04","SMDM"
230,245,230,230,688000,"2007-05-07","SMDM"
245,310,240,300,21048500,"2007-05-08","SMDM"
300,360,270,270,31974000,"2007-05-09","SMDM"
260,275,240,240,774500,"2007-05-10","SMDM"
230,255,230,230,807000,"2007-05-11","SMDM"
250,255,235,235,471500,"2007-05-14","SMDM"
220,230,205,220,315000,"2007-05-15","SMDM"
220,225,220,220,57500,"2007-05-16","SMDM"
220,220,220,220,20000,"2007-05-21","SMDM"
220,225,215,220,25000,"2007-05-22","SMDM"
225,245,225,240,338500,"2007-05-23","SMDM"
230,230,225,230,272500,"2007-05-24","SMDM"
225,225,225,225,25000,"2007-05-25","SMDM"
230,235,225,230,282500,"2007-05-28","SMDM"
235,235,230,235,197000,"2007-05-29","SMDM"
225,225,225,225,17500,"2007-05-30","SMDM"
225,225,220,225,288500,"2007-05-31","SMDM"
230,245,220,230,201000,"2007-06-04","SMDM"
225,265,225,250,820000,"2007-06-05","SMDM"
265,265,250,265,619500,"2007-06-06","SMDM"
260,260,250,260,241000,"2007-06-07","SMDM"
240,245,240,240,75000,"2007-06-08","SMDM"
245,270,245,245,337000,"2007-06-11","SMDM"
250,255,240,250,235000,"2007-06-12","SMDM"
245,245,230,230,115500,"2007-06-13","SMDM"
240,300,240,290,1457000,"2007-06-14","SMDM"
290,290,255,270,159000,"2007-06-15","SMDM"
250,250,250,250,20000,"2007-06-18","SMDM"
270,270,270,270,5000,"2007-06-19","SMDM"
270,270,270,270,2,"2007-06-20","SMDM"
270,270,270,270,2,"2007-06-21","SMDM"
270,270,270,270,2,"2007-06-22","SMDM"
230,260,230,255,52000,"2007-06-25","SMDM"
265,265,245,245,32000,"2007-06-26","SMDM"
245,245,245,245,1,"2007-06-27","SMDM"
245,245,245,245,1,"2007-06-28","SMDM"
245,240,240,240,2500,"2007-06-29","SMDM"
235,240,235,235,5000,"2007-07-02","SMDM"
240,250,235,240,14500,"2007-07-03","SMDM"
235,250,235,250,7500,"2007-07-04","SMDM"
250,275,240,245,47500,"2007-07-05","SMDM"
240,260,240,240,145000,"2007-07-06","SMDM"
240,250,240,240,17500,"2007-07-09","SMDM"
240,245,240,240,212500,"2007-07-10","SMDM"
245,265,245,260,683000,"2007-07-11","SMDM"
260,260,250,260,75500,"2007-07-12","SMDM"
245,255,240,245,370000,"2007-07-13","SMDM"
240,245,235,240,3366000,"2007-07-16","SMDM"
240,245,240,240,463500,"2007-07-17","SMDM"
240,240,235,240,2320500,"2007-07-18","SMDM"
240,260,235,240,4074500,"2007-07-19","SMDM"
240,265,240,240,621000,"2007-07-20","SMDM"
250,250,240,240,41000,"2007-07-23","SMDM"
240,250,240,250,4367000,"2007-07-24","SMDM"
255,260,240,245,850000,"2007-07-25","SMDM"
240,245,240,245,2e+05,"2007-07-26","SMDM"
240,245,235,245,710500,"2007-07-27","SMDM"
235,245,235,235,27000,"2007-07-30","SMDM"
225,240,225,230,1193000,"2007-07-31","SMDM"
215,225,215,215,1501500,"2007-08-01","SMDM"
215,215,215,215,72500,"2007-08-02","SMDM"
230,240,210,230,1126500,"2007-08-03","SMDM"
215,220,215,215,87500,"2007-08-06","SMDM"
210,210,205,210,60500,"2007-08-07","SMDM"
220,220,210,220,114000,"2007-08-08","SMDM"
220,225,215,215,220000,"2007-08-09","SMDM"
215,215,215,215,50000,"2007-08-10","SMDM"
220,220,210,220,3,"2007-08-13","SMDM"
215,215,205,210,464500,"2007-08-14","SMDM"
205,205,190,200,4e+05,"2007-08-15","SMDM"
190,200,170,200,210000,"2007-08-16","SMDM"
195,195,180,195,59500,"2007-08-20","SMDM"
195,195,195,195,2,"2007-08-21","SMDM"
200,215,200,215,101000,"2007-08-22","SMDM"
220,220,195,200,251500,"2007-08-23","SMDM"
200,200,200,200,5000,"2007-08-24","SMDM"
215,215,215,215,500,"2007-08-27","SMDM"
215,215,215,215,2,"2007-08-28","SMDM"
200,200,200,200,12500,"2007-08-29","SMDM"
205,210,200,205,218500,"2007-08-30","SMDM"
205,205,205,205,50000,"2007-08-31","SMDM"
205,205,205,205,2,"2007-09-03","SMDM"
205,205,205,205,3,"2007-09-04","SMDM"
210,210,205,210,30000,"2007-09-05","SMDM"
215,215,190,215,71000,"2007-09-06","SMDM"
210,215,205,210,120000,"2007-09-07","SMDM"
160,215,160,215,1000,"2007-09-10","SMDM"
205,210,200,205,258500,"2007-09-11","SMDM"
200,200,200,200,70500,"2007-09-12","SMDM"
200,200,200,200,75000,"2007-09-13","SMDM"
190,225,190,215,1393500,"2007-09-14","SMDM"
210,230,210,225,864000,"2007-09-17","SMDM"
215,230,210,215,766500,"2007-09-18","SMDM"
220,225,210,220,1357000,"2007-09-19","SMDM"
235,235,220,220,191500,"2007-09-20","SMDM"
215,215,215,215,3000,"2007-09-21","SMDM"
220,235,220,235,427500,"2007-09-24","SMDM"
235,265,235,265,1866500,"2007-09-25","SMDM"
280,280,255,255,487500,"2007-09-26","SMDM"
265,265,255,265,52500,"2007-09-27","SMDM"
260,265,255,260,637500,"2007-09-28","SMDM"
255,265,250,265,235500,"2007-10-01","SMDM"
265,265,255,265,91000,"2007-10-02","SMDM"
250,250,250,250,40500,"2007-10-03","SMDM"
265,265,265,265,7000,"2007-10-04","SMDM"
265,265,265,265,2,"2007-10-05","SMDM"
265,265,265,265,2,"2007-10-08","SMDM"
265,265,265,265,2,"2007-10-09","SMDM"
265,265,265,265,2,"2007-10-10","SMDM"
260,265,260,260,3e+05,"2007-10-11","SMDM"
260,260,260,260,2,"2007-10-17","SMDM"
270,270,240,260,11000,"2007-10-18","SMDM"
310,310,310,310,500,"2007-10-19","SMDM"
310,310,310,310,0,"2007-10-22","SMDM"
320,320,265,265,144000,"2007-10-23","SMDM"
290,305,265,290,2500,"2007-10-24","SMDM"
265,295,255,260,593000,"2007-10-25","SMDM"
260,265,250,260,594500,"2007-10-26","SMDM"
255,265,255,255,14000,"2007-10-29","SMDM"
255,260,250,255,157000,"2007-10-30","SMDM"
255,255,255,255,2,"2007-10-31","SMDM"
255,260,210,255,182500,"2007-11-01","SMDM"
255,255,255,255,2,"2007-11-02","SMDM"
255,255,255,255,0,"2007-11-05","SMDM"
255,255,255,255,2,"2007-11-06","SMDM"
255,255,255,255,500,"2007-11-07","SMDM"
255,255,255,255,2,"2007-11-08","SMDM"
255,255,255,255,2,"2007-11-09","SMDM"
255,255,255,255,0,"2007-11-12","SMDM"
275,275,275,275,500,"2007-11-13","SMDM"
275,275,275,275,0,"2007-11-14","SMDM"
275,275,265,275,1000,"2007-11-15","SMDM"
275,275,275,275,0,"2007-11-16","SMDM"
275,275,275,275,2,"2007-11-19","SMDM"
275,300,200,290,51000,"2007-11-20","SMDM"
290,290,290,290,0,"2007-11-21","SMDM"
280,280,280,280,2500,"2007-11-22","SMDM"
280,280,280,280,0,"2007-11-23","SMDM"
280,280,280,280,0,"2007-11-26","SMDM"
280,280,280,280,0,"2007-11-27","SMDM"
290,290,290,290,500,"2007-11-28","SMDM"
290,290,290,290,0,"2007-11-29","SMDM"
290,290,290,290,0,"2007-11-30","SMDM"
200,220,200,215,157500,"2007-12-03","SMDM"
225,225,225,225,25000,"2007-12-04","SMDM"
225,225,225,225,2,"2007-12-05","SMDM"
225,225,225,225,0,"2007-12-06","SMDM"
190,225,160,225,13500,"2007-12-07","SMDM"
225,225,225,225,0,"2007-12-10","SMDM"
260,260,205,205,64000,"2007-12-11","SMDM"
205,205,205,205,0,"2007-12-12","SMDM"
210,210,210,210,1000,"2007-12-13","SMDM"
205,255,205,255,7000,"2007-12-14","SMDM"
255,255,255,255,2,"2007-12-17","SMDM"
210,255,210,255,6000,"2007-12-18","SMDM"
255,255,255,255,0,"2007-12-19","SMDM"
255,255,255,255,0,"2007-12-26","SMDM"
255,255,255,255,2,"2007-12-27","SMDM"
205,240,205,240,10500,"2007-12-28","SMDM"
240,240,240,240,0,"2007-12-31","SMDM"
240,240,240,240,2,"2008-01-02","SMDM"
240,240,240,240,2,"2008-01-03","SMDM"
240,240,240,240,0,"2008-01-04","SMDM"
240,240,240,240,2,"2008-01-07","SMDM"
240,240,240,240,0,"2008-01-08","SMDM"
220,220,220,220,1000,"2008-01-09","SMDM"
220,220,220,220,2,"2008-01-14","SMDM"
220,220,220,220,2,"2008-01-15","SMDM"
220,220,220,220,2,"2008-01-16","SMDM"
220,220,220,220,2,"2008-01-17","SMDM"
220,220,220,220,2,"2008-01-18","SMDM"
220,220,220,220,2,"2008-01-21","SMDM"
220,220,220,220,2,"2008-01-22","SMDM"
160,200,160,200,2000,"2008-01-23","SMDM"
200,200,200,200,0,"2008-01-24","SMDM"
175,210,175,210,3e+05,"2008-01-25","SMDM"
210,210,210,210,2,"2008-01-28","SMDM"
210,210,210,210,2,"2008-01-29","SMDM"
210,210,210,210,2,"2008-01-30","SMDM"
175,210,175,210,10000,"2008-01-31","SMDM"
200,200,200,200,12500,"2008-02-01","SMDM"
200,200,200,200,2,"2008-02-04","SMDM"
205,210,205,205,4000,"2008-02-05","SMDM"
205,205,205,205,2,"2008-02-06","SMDM"
205,205,205,205,2,"2008-02-11","SMDM"
160,190,160,190,20000,"2008-02-12","SMDM"
175,175,170,175,50000,"2008-02-13","SMDM"
175,175,175,175,2,"2008-02-14","SMDM"
175,175,175,175,10000,"2008-02-15","SMDM"
175,175,175,175,0,"2008-02-18","SMDM"
175,175,175,175,0,"2008-02-19","SMDM"
175,175,175,175,10000,"2008-02-20","SMDM"
175,175,175,175,0,"2008-02-21","SMDM"
175,175,175,175,0,"2008-02-22","SMDM"
175,175,175,175,0,"2008-02-25","SMDM"
205,205,175,180,52000,"2008-02-26","SMDM"
175,175,155,175,30500,"2008-02-27","SMDM"
175,175,160,160,195500,"2008-02-28","SMDM"
160,160,160,160,1,"2008-02-29","SMDM"
175,175,175,175,5000,"2008-03-03","SMDM"
175,175,175,175,2,"2008-03-04","SMDM"
155,155,155,155,1500,"2008-03-05","SMDM"
155,155,155,155,0,"2008-03-06","SMDM"
155,155,155,155,0,"2008-03-10","SMDM"
182,182,182,182,15000,"2008-03-11","SMDM"
185,185,185,185,1000,"2008-03-12","SMDM"
150,150,150,150,70000,"2008-03-13","SMDM"
150,150,150,150,2,"2008-03-14","SMDM"
150,150,150,150,0,"2008-03-17","SMDM"
150,150,150,150,0,"2008-03-18","SMDM"
150,150,150,150,0,"2008-03-19","SMDM"
150,150,150,150,0,"2008-03-24","SMDM"
150,150,150,150,0,"2008-03-25","SMDM"
150,150,150,150,0,"2008-03-26","SMDM"
150,150,150,150,0,"2008-03-27","SMDM"
150,150,150,150,0,"2008-03-28","SMDM"
150,150,150,150,0,"2008-03-31","SMDM"
150,150,150,150,0,"2008-04-01","SMDM"
150,150,150,150,2,"2008-04-02","SMDM"
150,150,150,150,0,"2008-04-03","SMDM"
150,150,150,150,0,"2008-04-04","SMDM"
150,150,150,150,0,"2008-04-07","SMDM"
145,145,145,145,5000,"2008-04-08","SMDM"
145,145,145,145,2,"2008-04-09","SMDM"
145,145,145,145,2,"2008-04-10","SMDM"
160,160,160,160,1000,"2008-04-11","SMDM"
160,160,160,160,0,"2008-04-14","SMDM"
160,160,160,160,0,"2008-04-15","SMDM"
160,160,160,160,0,"2008-04-16","SMDM"
160,160,160,160,0,"2008-04-17","SMDM"
160,160,160,160,0,"2008-04-18","SMDM"
160,160,160,160,0,"2008-04-21","SMDM"
160,160,160,160,0,"2008-04-22","SMDM"
160,160,160,160,0,"2008-04-23","SMDM"
160,160,160,160,0,"2008-04-24","SMDM"
160,160,160,160,0,"2008-04-25","SMDM"
160,160,160,160,0,"2008-04-28","SMDM"
160,160,160,160,0,"2008-04-29","SMDM"
160,160,160,160,0,"2008-04-30","SMDM"
165,170,165,165,12500,"2008-05-05","SMDM"
175,175,175,175,500,"2008-05-06","SMDM"
175,175,175,175,0,"2008-05-07","SMDM"
175,175,175,175,0,"2008-05-08","SMDM"
175,175,175,175,0,"2008-05-09","SMDM"
162,162,162,162,20000,"2008-05-12","SMDM"
179,179,179,179,500,"2008-05-13","SMDM"
185,185,185,185,500,"2008-05-14","SMDM"
