"Open","High","Low","Close","Volume","Date","Emiten"
227,227,227,227,49000,"2020-09-08","SOHO"
283,283,283,283,117000,"2020-09-09","SOHO"
300,353,300,353,4201000,"2020-09-10","SOHO"
372,441,329,441,15582000,"2020-09-11","SOHO"
442,550,442,550,6663000,"2020-09-14","SOHO"
560,660,560,660,4255000,"2020-09-15","SOHO"
672.5,790,670,790,1482000,"2020-09-16","SOHO"
800,947.5,800,947.5,2529000,"2020-09-17","SOHO"
985,1135,985,1135,1270000,"2020-09-18","SOHO"
1222.5,1360,1222.5,1360,511000,"2020-09-21","SOHO"
1360,1360,1360,1360,0,"2020-09-22","SOHO"
1400,1630,1265,1265,3193000,"2020-09-23","SOHO"
1250,1250,1177.5,1177.5,79000,"2020-09-24","SOHO"
1097.5,1097.5,1097.5,1097.5,90000,"2020-09-25","SOHO"
1022.5,1022.5,1022.5,1022.5,40000,"2020-09-28","SOHO"
952.5,952.5,952.5,952.5,21000,"2020-09-29","SOHO"
952.5,952.5,887.5,887.5,38000,"2020-09-30","SOHO"
827.5,827.5,827.5,827.5,542000,"2020-10-01","SOHO"
800,800,770,770,91000,"2020-10-02","SOHO"
717.5,815,717.5,717.5,8500000,"2020-10-05","SOHO"
677.5,682.5,667.5,667.5,1461000,"2020-10-06","SOHO"
622.5,622.5,622.5,622.5,131000,"2020-10-07","SOHO"
580,725,580,595,15029000,"2020-10-08","SOHO"
595,635,580,600,2320000,"2020-10-09","SOHO"
602.5,612.5,565,577.5,966000,"2020-10-12","SOHO"
570,592.5,537.5,590,1843000,"2020-10-13","SOHO"
580,617.5,565,597.5,1283000,"2020-10-14","SOHO"
600,610,590,595,328000,"2020-10-15","SOHO"
595,595,570,570,872000,"2020-10-16","SOHO"
572.5,590,562.5,565,343000,"2020-10-19","SOHO"
565,570,555,555,312000,"2020-10-20","SOHO"
555,555,530,542.5,252000,"2020-10-21","SOHO"
540,540,505,510,680000,"2020-10-22","SOHO"
510,510,475,479,395000,"2020-10-23","SOHO"
479,485,470,485,179000,"2020-10-26","SOHO"
485,605,485,605,1264000,"2020-10-27","SOHO"
615,680,565,580,1401000,"2020-11-02","SOHO"
580,585,540,552.5,385000,"2020-11-03","SOHO"
570,585,532.5,552.5,281000,"2020-11-04","SOHO"
552.5,580,552.5,580,114000,"2020-11-05","SOHO"
580,580,562.5,567.5,95000,"2020-11-06","SOHO"
577.5,595,575,580,217000,"2020-11-09","SOHO"
595,600,570,572.5,259000,"2020-11-10","SOHO"
577.5,577.5,565,567.5,303000,"2020-11-11","SOHO"
570,575,560,562.5,141000,"2020-11-12","SOHO"
562.5,567.5,550,562.5,79000,"2020-11-13","SOHO"
562.5,577.5,560,575,127000,"2020-11-16","SOHO"
