"Open","High","Low","Close","Volume","Date","Emiten"
72.5,72.5,72.5,72.5,20000,"2007-01-02","SONA"
73,74.5,73,73,1e+05,"2007-01-03","SONA"
72.5,72.5,72.5,72.5,150000,"2007-01-04","SONA"
74.5,74.5,72.5,74.5,361000,"2007-01-05","SONA"
74.5,74.5,74.5,74.5,6,"2007-01-08","SONA"
73,73.5,73,73,373000,"2007-01-09","SONA"
75,75,75,75,5034000,"2007-01-10","SONA"
75,75,75,75,239000,"2007-01-11","SONA"
72.5,75,72.5,72.5,3226000,"2007-01-12","SONA"
72.5,72.5,72.5,72.5,0,"2007-01-15","SONA"
72.5,72.5,72.5,72.5,25000,"2007-01-16","SONA"
72.5,72.5,72.5,72.5,120000,"2007-01-17","SONA"
72.5,73,72.5,72.5,330000,"2007-01-18","SONA"
73,73,73,73,29000,"2007-01-19","SONA"
72.5,73,72.5,72.5,402000,"2007-01-22","SONA"
72.5,72.5,72.5,72.5,0,"2007-01-23","SONA"
72.5,72.5,72.5,72.5,25000,"2007-01-24","SONA"
72.5,72.5,72.5,72.5,244000,"2007-01-25","SONA"
72.5,72.5,72.5,72.5,50000,"2007-01-26","SONA"
72.5,72.5,72.5,72.5,25000,"2007-01-29","SONA"
72.5,72.5,72.5,72.5,20000,"2007-01-30","SONA"
72.5,72.5,72.5,72.5,402000,"2007-01-31","SONA"
73,73,72.5,73,275000,"2007-02-01","SONA"
76,73,76,76,378000,"2007-02-02","SONA"
77,77,76,77,8e+05,"2007-02-05","SONA"
76.5,77.5,76.5,76.5,140000,"2007-02-06","SONA"
80,81.5,79,80,4114000,"2007-02-07","SONA"
80,80.5,80,80,1008000,"2007-02-08","SONA"
80,80,80,80,2000,"2007-02-09","SONA"
80,80,80,80,210000,"2007-02-12","SONA"
80,80,80,80,6,"2007-02-13","SONA"
80,82.5,80,80,974000,"2007-02-14","SONA"
82.5,82.5,82.5,82.5,1367000,"2007-02-15","SONA"
82.5,82.5,82.5,82.5,123000,"2007-02-16","SONA"
82.5,90,82.5,90,1381000,"2007-02-19","SONA"
92.5,120,92.5,120,4696000,"2007-02-20","SONA"
130,130,102.5,105,8e+05,"2007-02-21","SONA"
100,100,72.5,100,396000,"2007-02-22","SONA"
100,102.5,100,100,440000,"2007-02-23","SONA"
100,100,100,100,11000,"2007-02-26","SONA"
95,97.5,95,95,60000,"2007-02-27","SONA"
95,95,95,95,6,"2007-02-28","SONA"
102.5,102.5,102.5,102.5,309000,"2007-03-01","SONA"
112.5,112.5,105,112.5,1706000,"2007-03-02","SONA"
110,110,110,110,180000,"2007-03-05","SONA"
115,115,112.5,115,481000,"2007-03-06","SONA"
