"Open","High","Low","Close","Volume","Date","Emiten"
1100,1100,910,910,15,"2013-06-26","SRTG"
900,955,890,930,33145000,"2013-06-27","SRTG"
930,940,915,915,8320000,"2013-06-28","SRTG"
915,940,910,915,4787500,"2013-07-01","SRTG"
925,930,920,920,5312500,"2013-07-02","SRTG"
925,925,905,910,5317500,"2013-07-03","SRTG"
910,915,910,915,1902500,"2013-07-04","SRTG"
920,935,920,930,3272500,"2013-07-05","SRTG"
930,930,930,930,4715000,"2013-07-08","SRTG"
930,935,930,930,1300000,"2013-07-09","SRTG"
930,930,930,930,2742500,"2013-07-10","SRTG"
935,935,930,930,512500,"2013-07-11","SRTG"
930,955,930,945,975000,"2013-07-12","SRTG"
940,945,940,945,1022500,"2013-07-15","SRTG"
950,950,935,940,222500,"2013-07-16","SRTG"
940,945,940,940,592500,"2013-07-17","SRTG"
940,940,940,940,745000,"2013-07-18","SRTG"
945,960,945,950,967500,"2013-07-19","SRTG"
960,965,955,960,1177500,"2013-07-22","SRTG"
965,965,960,960,220000,"2013-07-23","SRTG"
955,955,950,950,132500,"2013-07-24","SRTG"
955,990,955,980,2097500,"2013-07-25","SRTG"
975,975,960,960,717500,"2013-07-26","SRTG"
960,960,955,960,367500,"2013-07-29","SRTG"
960,960,960,960,482500,"2013-07-30","SRTG"
960,960,940,945,285000,"2013-07-31","SRTG"
945,945,920,920,60000,"2013-08-01","SRTG"
920,920,885,900,6e+05,"2013-08-02","SRTG"
935,935,935,935,2500,"2013-08-12","SRTG"
920,920,920,920,25000,"2013-08-13","SRTG"
905,910,905,910,87500,"2013-08-14","SRTG"
905,930,905,930,432500,"2013-08-15","SRTG"
930,930,930,930,432500,"2013-08-16","SRTG"
925,925,890,895,175000,"2013-08-19","SRTG"
885,885,880,880,495000,"2013-08-20","SRTG"
880,880,875,875,20000,"2013-08-21","SRTG"
865,920,860,920,5107500,"2013-08-22","SRTG"
875,920,870,920,5390000,"2013-08-23","SRTG"
915,920,915,920,5080000,"2013-08-26","SRTG"
875,920,870,920,7217500,"2013-08-27","SRTG"
920,920,920,920,7217500,"2013-08-28","SRTG"
920,920,920,920,185000,"2013-08-29","SRTG"
920,920,920,920,250000,"2013-08-30","SRTG"
930,930,900,900,7500,"2013-09-02","SRTG"
900,930,900,930,525000,"2013-09-03","SRTG"
930,930,930,930,525000,"2013-09-04","SRTG"
930,1000,915,1000,297500,"2013-09-05","SRTG"
930,930,930,930,2500,"2013-09-06","SRTG"
945,945,935,935,52500,"2013-09-09","SRTG"
950,950,905,915,32500,"2013-09-10","SRTG"
920,920,880,880,22500,"2013-09-11","SRTG"
930,940,930,940,45000,"2013-09-12","SRTG"
940,940,940,940,45000,"2013-09-13","SRTG"
940,940,940,940,45000,"2013-09-16","SRTG"
935,935,920,920,485000,"2013-09-17","SRTG"
920,920,920,920,485000,"2013-09-18","SRTG"
915,950,915,950,12500,"2013-09-19","SRTG"
950,950,950,950,12500,"2013-09-20","SRTG"
900,900,900,900,7500,"2013-09-23","SRTG"
900,940,900,940,30000,"2013-09-24","SRTG"
940,940,940,940,30000,"2013-09-25","SRTG"
940,940,920,940,172500,"2013-09-26","SRTG"
940,940,940,940,172500,"2013-09-27","SRTG"
940,940,940,940,172500,"2013-09-30","SRTG"
880,940,880,940,20000,"2013-10-01","SRTG"
940,950,940,950,5000,"2013-10-02","SRTG"
940,950,940,950,82500,"2013-10-03","SRTG"
950,950,950,950,242500,"2013-10-04","SRTG"
950,950,940,940,12500,"2013-10-07","SRTG"
940,940,940,940,12500,"2013-10-08","SRTG"
925,940,925,940,7500,"2013-10-09","SRTG"
920,930,895,930,250000,"2013-10-10","SRTG"
930,930,930,930,2500,"2013-10-11","SRTG"
900,900,880,880,25000,"2013-10-16","SRTG"
885,905,875,905,67500,"2013-10-17","SRTG"
920,920,920,920,5147500,"2013-10-18","SRTG"
920,920,920,920,5147500,"2013-10-21","SRTG"
920,920,920,920,5147500,"2013-10-22","SRTG"
920,960,920,960,250000,"2013-10-23","SRTG"
960,960,920,920,12500,"2013-10-24","SRTG"
920,920,920,920,12500,"2013-10-25","SRTG"
920,920,905,905,15000,"2013-10-28","SRTG"
910,920,910,910,25000,"2013-10-29","SRTG"
905,905,905,905,20000,"2013-10-30","SRTG"
900,900,900,900,15000,"2013-10-31","SRTG"
880,880,880,880,2500,"2013-11-01","SRTG"
880,880,880,880,25000,"2013-11-04","SRTG"
880,880,880,880,2500,"2013-11-06","SRTG"
880,880,880,880,2500,"2013-11-07","SRTG"
880,880,880,880,20000,"2013-11-08","SRTG"
880,880,880,880,20000,"2013-11-11","SRTG"
885,885,880,880,30000,"2013-11-12","SRTG"
875,875,840,840,35000,"2013-11-13","SRTG"
