"Open","High","Low","Close","Volume","Date","Emiten"
700,750,670,720,280200500,"2013-12-12","SSMS"
730,740,700,700,71166000,"2013-12-13","SSMS"
700,720,680,720,32743500,"2013-12-16","SSMS"
720,800,710,770,145790000,"2013-12-17","SSMS"
770,830,770,810,88462000,"2013-12-18","SSMS"
820,840,780,790,106936500,"2013-12-19","SSMS"
800,810,780,780,37771500,"2013-12-20","SSMS"
790,830,780,830,70467000,"2013-12-23","SSMS"
830,850,800,810,83356500,"2013-12-24","SSMS"
810,830,800,820,68422000,"2013-12-27","SSMS"
820,830,810,820,33671500,"2013-12-30","SSMS"
820,900,820,880,133425000,"2014-01-02","SSMS"
870,890,860,880,45928500,"2014-01-03","SSMS"
880,905,870,875,52612400,"2014-01-06","SSMS"
875,885,855,880,108282700,"2014-01-07","SSMS"
880,910,880,900,86192400,"2014-01-08","SSMS"
900,905,885,890,34172800,"2014-01-09","SSMS"
895,940,880,920,105303100,"2014-01-10","SSMS"
920,920,850,850,86728600,"2014-01-13","SSMS"
855,885,820,860,56018000,"2014-01-15","SSMS"
865,890,865,875,52698100,"2014-01-16","SSMS"
875,915,870,895,68205300,"2014-01-17","SSMS"
895,905,870,870,60812700,"2014-01-20","SSMS"
875,885,835,840,68023100,"2014-01-21","SSMS"
845,850,820,825,74671800,"2014-01-22","SSMS"
825,840,780,815,139569500,"2014-01-23","SSMS"
810,820,795,810,40832500,"2014-01-24","SSMS"
800,815,785,810,49286100,"2014-01-27","SSMS"
805,845,805,845,76428400,"2014-01-28","SSMS"
845,855,830,840,72960700,"2014-01-29","SSMS"
830,845,825,840,32847400,"2014-01-30","SSMS"
840,855,835,845,47249000,"2014-02-03","SSMS"
825,850,825,825,37047000,"2014-02-04","SSMS"
830,850,820,825,68643400,"2014-02-05","SSMS"
825,865,795,860,104645000,"2014-02-06","SSMS"
865,885,860,875,30489700,"2014-02-07","SSMS"
875,915,875,905,85131200,"2014-02-10","SSMS"
905,930,890,900,109617800,"2014-02-11","SSMS"
905,915,895,905,68021100,"2014-02-12","SSMS"
900,910,895,900,68674500,"2014-02-13","SSMS"
900,930,895,930,109732100,"2014-02-14","SSMS"
930,945,920,930,71964400,"2014-02-17","SSMS"
930,940,920,940,72301100,"2014-02-18","SSMS"
940,960,930,945,112254100,"2014-02-19","SSMS"
945,955,925,955,98422900,"2014-02-20","SSMS"
955,965,945,950,88523700,"2014-02-21","SSMS"
950,955,945,950,76146300,"2014-02-24","SSMS"
950,965,945,955,66265800,"2014-02-25","SSMS"
955,955,940,955,130450200,"2014-02-26","SSMS"
960,980,955,970,211173700,"2014-02-27","SSMS"
970,1000,965,995,225347700,"2014-02-28","SSMS"
995,1005,985,995,109739800,"2014-03-03","SSMS"
995,1005,970,985,145993200,"2014-03-04","SSMS"
990,1000,985,995,106977300,"2014-03-05","SSMS"
1000,1000,985,995,253876600,"2014-03-06","SSMS"
995,1025,985,1020,260464500,"2014-03-07","SSMS"
1015,1035,995,1005,209089700,"2014-03-10","SSMS"
1010,1045,1010,1040,264657700,"2014-03-11","SSMS"
1035,1050,1025,1035,128156800,"2014-03-12","SSMS"
1035,1040,1025,1030,120113900,"2014-03-13","SSMS"
1025,1065,1015,1065,254065600,"2014-03-14","SSMS"
1065,1105,1055,1085,155462592,"2014-03-17","SSMS"
1100,1100,1060,1065,97660700,"2014-03-18","SSMS"
1065,1085,1060,1070,106151000,"2014-03-19","SSMS"
1070,1070,1040,1055,66528400,"2014-03-20","SSMS"
1055,1065,1040,1045,42085100,"2014-03-21","SSMS"
1050,1065,1040,1055,126384900,"2014-03-24","SSMS"
1055,1055,1020,1045,84665000,"2014-03-25","SSMS"
