"Open","High","Low","Close","Volume","Date","Emiten"
206,270,204,216,419136400,"2022-07-07","SWID"
214,218,202,202,12942400,"2022-07-08","SWID"
188,188,188,188,740800,"2022-07-11","SWID"
175,175,175,175,885900,"2022-07-12","SWID"
163,163,163,163,1058800,"2022-07-13","SWID"
152,171,152,152,86787700,"2022-07-14","SWID"
142,150,142,142,32998500,"2022-07-15","SWID"
133,149,133,141,88796200,"2022-07-18","SWID"
137,190,137,190,327954600,"2022-07-19","SWID"
200,224,188,212,317300900,"2022-07-20","SWID"
212,222,198,198,91309700,"2022-07-21","SWID"
197,197,185,185,30529500,"2022-07-22","SWID"
185,208,173,185,179312500,"2022-07-25","SWID"
186,194,182,190,25832100,"2022-07-26","SWID"
190,194,177,178,40816500,"2022-07-27","SWID"
179,184,166,167,16711200,"2022-07-28","SWID"
167,169,156,157,13561800,"2022-07-29","SWID"
150,161,147,151,14998000,"2022-08-01","SWID"
151,153,145,146,5767700,"2022-08-02","SWID"
153,153,140,140,11275100,"2022-08-03","SWID"
140,155,135,154,51286100,"2022-08-04","SWID"
153,164,144,144,35420300,"2022-08-05","SWID"
135,146,135,143,8314700,"2022-08-08","SWID"
143,154,143,151,22234900,"2022-08-09","SWID"
154,156,141,141,36237300,"2022-08-10","SWID"
141,145,138,142,7579600,"2022-08-11","SWID"
143,144,140,142,4438100,"2022-08-12","SWID"
142,143,138,139,4037900,"2022-08-15","SWID"
139,142,139,139,4440800,"2022-08-16","SWID"
135,141,135,138,2920200,"2022-08-18","SWID"
138,151,137,144,38992600,"2022-08-19","SWID"
135,146,135,139,9352200,"2022-08-22","SWID"
140,146,139,141,15293500,"2022-08-23","SWID"
141,146,141,142,9980700,"2022-08-24","SWID"
148,148,138,138,9174200,"2022-08-25","SWID"
138,142,138,138,5579800,"2022-08-26","SWID"
130,141,130,135,3670800,"2022-08-29","SWID"
135,141,131,135,7072500,"2022-08-30","SWID"
128,141,128,141,6287200,"2022-08-31","SWID"
141,143,139,139,6075500,"2022-09-01","SWID"
135,141,135,136,2710600,"2022-09-02","SWID"
135,139,135,136,3643900,"2022-09-05","SWID"
128,141,128,137,7168800,"2022-09-06","SWID"
131,139,131,137,2368900,"2022-09-07","SWID"
132,138,132,136,1711300,"2022-09-08","SWID"
136,137,134,134,3234300,"2022-09-09","SWID"
132,138,132,135,2925100,"2022-09-12","SWID"
136,142,135,136,12536200,"2022-09-13","SWID"
138,144,136,143,19397400,"2022-09-14","SWID"
145,145,141,141,7930400,"2022-09-15","SWID"
141,141,138,138,5295700,"2022-09-16","SWID"
138,141,136,137,3010800,"2022-09-19","SWID"
137,139,134,136,2601500,"2022-09-20","SWID"
134,137,134,135,2393900,"2022-09-21","SWID"
134,138,134,135,2132700,"2022-09-22","SWID"
135,137,134,134,1508800,"2022-09-23","SWID"
132,135,132,132,3037200,"2022-09-26","SWID"
132,147,132,136,39380200,"2022-09-27","SWID"
136,138,133,133,4749900,"2022-09-28","SWID"
133,133,129,130,7707300,"2022-09-29","SWID"
130,130,121,124,6743300,"2022-09-30","SWID"
128,128,116,119,6812000,"2022-10-03","SWID"
125,125,119,120,2273900,"2022-10-04","SWID"
123,124,120,122,2203600,"2022-10-05","SWID"
123,127,122,123,3403900,"2022-10-06","SWID"
125,126,121,123,2182400,"2022-10-07","SWID"
125,125,122,123,1315200,"2022-10-10","SWID"
126,126,121,123,1187100,"2022-10-11","SWID"
126,126,119,120,1828600,"2022-10-12","SWID"
120,123,118,122,725600,"2022-10-13","SWID"
127,127,118,120,633300,"2022-10-14","SWID"
126,126,113,114,2582400,"2022-10-17","SWID"
120,120,112,114,984300,"2022-10-18","SWID"
115,115,107,111,2350000,"2022-10-19","SWID"
115,115,108,111,874400,"2022-10-20","SWID"
115,115,109,111,852400,"2022-10-21","SWID"
110,113,109,110,459800,"2022-10-24","SWID"
110,113,108,113,2970400,"2022-10-25","SWID"
130,130,116,118,19141000,"2022-10-26","SWID"
121,121,114,118,3281000,"2022-10-27","SWID"
123,123,115,116,1215300,"2022-10-28","SWID"
117,122,113,115,4584700,"2022-10-31","SWID"
120,135,115,119,64429100,"2022-11-01","SWID"
119,119,113,114,12050100,"2022-11-02","SWID"
125,125,112,115,3145600,"2022-11-03","SWID"
119,119,113,114,2762300,"2022-11-04","SWID"
118,118,112,113,2456000,"2022-11-07","SWID"
118,118,111,113,1906300,"2022-11-08","SWID"
119,119,112,113,1647800,"2022-11-09","SWID"
118,118,111,113,1770100,"2022-11-10","SWID"
118,118,111,112,3637900,"2022-11-11","SWID"
115,115,107,112,5545300,"2022-11-14","SWID"
112,115,111,112,1207200,"2022-11-15","SWID"
115,115,111,112,1288500,"2022-11-16","SWID"
115,115,111,112,1406000,"2022-11-17","SWID"
116,116,110,110,1344600,"2022-11-18","SWID"
111,114,109,111,1693900,"2022-11-21","SWID"
112,113,110,111,4274100,"2022-11-22","SWID"
113,113,111,111,5363800,"2022-11-23","SWID"
118,129,113,113,55982100,"2022-11-24","SWID"
107,115,107,108,7539800,"2022-11-25","SWID"
110,111,105,106,5882700,"2022-11-28","SWID"
106,111,105,107,4104000,"2022-11-29","SWID"
108,110,106,107,2263400,"2022-11-30","SWID"
107,109,106,108,1262700,"2022-12-01","SWID"
110,110,106,106,1048300,"2022-12-02","SWID"
108,108,103,105,2351300,"2022-12-05","SWID"
108,108,104,105,2102300,"2022-12-06","SWID"
105,110,98,98,20146400,"2022-12-07","SWID"
92,98,92,93,3633200,"2022-12-08","SWID"
92,102,90,93,13305500,"2022-12-09","SWID"
87,94,87,93,1291900,"2022-12-12","SWID"
93,95,92,93,1354500,"2022-12-13","SWID"
94,96,93,96,1249800,"2022-12-14","SWID"
96,97,93,96,1080000,"2022-12-15","SWID"
90,97,90,96,585800,"2022-12-16","SWID"
90,98,90,98,1830800,"2022-12-19","SWID"
99,100,95,97,5185800,"2022-12-20","SWID"
91,97,91,96,657100,"2022-12-21","SWID"
95,97,95,97,429700,"2022-12-22","SWID"
97,99,95,96,2440200,"2022-12-23","SWID"
101,128,93,109,126524800,"2022-12-26","SWID"
104,111,102,102,18104300,"2022-12-27","SWID"
100,122,100,109,78165300,"2022-12-28","SWID"
110,126,104,118,81131100,"2022-12-29","SWID"
110,130,110,118,76397400,"2022-12-30","SWID"
110,123,110,112,18897400,"2023-01-02","SWID"
113,122,113,115,15731400,"2023-01-03","SWID"
115,118,111,114,7768000,"2023-01-04","SWID"
114,116,107,107,6696000,"2023-01-05","SWID"
100,107,100,100,4834500,"2023-01-06","SWID"
93,106,93,99,4990100,"2023-01-09","SWID"
93,100,93,94,5846400,"2023-01-10","SWID"
95,95,89,91,3230200,"2023-01-11","SWID"
91,95,91,94,1462400,"2023-01-12","SWID"
94,96,92,94,1481900,"2023-01-13","SWID"
94,99,92,96,3029400,"2023-01-16","SWID"
96,97,94,94,1984900,"2023-01-17","SWID"
95,95,93,95,1966100,"2023-01-18","SWID"
95,96,93,94,1867300,"2023-01-19","SWID"
94,101,94,94,9028800,"2023-01-20","SWID"
95,95,92,94,2091600,"2023-01-24","SWID"
94,95,92,94,1481400,"2023-01-25","SWID"
94,95,93,95,452600,"2023-01-26","SWID"
95,95,93,95,609800,"2023-01-27","SWID"
95,96,94,95,915500,"2023-01-30","SWID"
96,96,93,94,819800,"2023-01-31","SWID"
94,95,92,95,1074400,"2023-02-01","SWID"
94,95,93,94,1172200,"2023-02-02","SWID"
94,95,92,93,928600,"2023-02-03","SWID"
93,93,91,91,1580700,"2023-02-06","SWID"
91,93,91,92,677800,"2023-02-07","SWID"
93,93,91,92,864800,"2023-02-08","SWID"
95,95,91,93,420200,"2023-02-09","SWID"
94,94,90,91,599100,"2023-02-10","SWID"
94,94,90,91,699300,"2023-02-13","SWID"
85,93,85,90,928900,"2023-02-14","SWID"
93,93,89,91,680600,"2023-02-15","SWID"
85,91,85,90,2600600,"2023-02-16","SWID"
93,93,88,89,1169400,"2023-02-17","SWID"
85,89,85,87,757100,"2023-02-20","SWID"
85,92,85,89,3054300,"2023-02-21","SWID"
93,93,87,89,653900,"2023-02-22","SWID"
83,92,83,90,2220200,"2023-02-23","SWID"
84,94,84,90,59700,"2023-02-24","SWID"
90,91,87,90,589200,"2023-02-27","SWID"
90,90,88,88,656400,"2023-02-28","SWID"
83,89,83,86,2048200,"2023-03-01","SWID"
91,91,84,85,851700,"2023-03-02","SWID"
80,91,80,87,1607200,"2023-03-03","SWID"
91,91,81,85,2089100,"2023-03-06","SWID"
80,87,80,85,527900,"2023-03-07","SWID"
80,86,80,83,1514300,"2023-03-08","SWID"
83,86,82,84,516200,"2023-03-09","SWID"
84,85,83,83,731600,"2023-03-10","SWID"
83,88,83,86,3241700,"2023-03-13","SWID"
87,96,84,86,19906400,"2023-03-14","SWID"
82,86,81,81,2769600,"2023-03-15","SWID"
82,84,80,81,973800,"2023-03-16","SWID"
81,83,76,76,2538800,"2023-03-17","SWID"
72,79,71,71,1903200,"2023-03-20","SWID"
72,75,70,72,518200,"2023-03-21","SWID"
67,72,67,70,230300,"2023-03-24","SWID"
66,71,66,70,158100,"2023-03-27","SWID"
66,73,66,71,368500,"2023-03-28","SWID"
67,80,67,77,3409600,"2023-03-29","SWID"
72,77,72,74,1159900,"2023-03-30","SWID"
70,84,70,79,3962400,"2023-03-31","SWID"
81,83,79,81,373900,"2023-04-03","SWID"
81,109,81,101,187500000,"2023-04-04","SWID"
95,102,94,94,4326500,"2023-04-05","SWID"
94,106,89,89,60661300,"2023-04-06","SWID"
