"Open","High","Low","Close","Volume","Date","Emiten"
400,473,400,411,16451600,"2014-01-17","TALF"
413,419,400,405,1641000,"2014-01-20","TALF"
405,409,405,405,683100,"2014-01-21","TALF"
405,407,405,405,672600,"2014-01-22","TALF"
405,405,405,405,540000,"2014-01-23","TALF"
410,410,405,410,293100,"2014-01-24","TALF"
406,406,400,405,1115800,"2014-01-27","TALF"
405,408,401,404,501300,"2014-01-28","TALF"
405,406,405,405,60000,"2014-01-29","TALF"
405,407,405,405,400500,"2014-01-30","TALF"
401,401,400,400,170500,"2014-02-03","TALF"
403,404,385,403,1761500,"2014-02-04","TALF"
396,403,395,403,100200,"2014-02-05","TALF"
400,400,400,400,200,"2014-02-06","TALF"
405,405,395,405,50200,"2014-02-07","TALF"
400,405,400,405,1e+05,"2014-02-10","TALF"
402,402,400,400,54200,"2014-02-11","TALF"
400,401,400,401,67800,"2014-02-12","TALF"
400,400,400,400,8200,"2014-02-13","TALF"
400,405,400,405,11100,"2014-02-14","TALF"
401,401,400,400,132200,"2014-02-17","TALF"
400,400,396,396,307700,"2014-02-18","TALF"
396,400,396,400,99100,"2014-02-19","TALF"
400,400,400,400,1e+05,"2014-02-20","TALF"
396,400,396,400,126500,"2014-02-21","TALF"
405,405,400,400,102400,"2014-02-24","TALF"
400,400,395,395,166400,"2014-02-25","TALF"
395,395,395,395,74500,"2014-02-26","TALF"
395,395,395,395,53700,"2014-02-27","TALF"
400,400,400,400,1e+05,"2014-02-28","TALF"
400,400,400,400,102000,"2014-03-03","TALF"
400,400,400,400,20000,"2014-03-04","TALF"
400,400,396,396,100100,"2014-03-05","TALF"
396,396,396,396,0,"2014-03-06","TALF"
400,405,398,405,480000,"2014-03-07","TALF"
400,410,400,405,19000,"2014-03-10","TALF"
400,400,396,396,100400,"2014-03-11","TALF"
400,405,400,405,122500,"2014-03-12","TALF"
400,400,400,400,125500,"2014-03-13","TALF"
400,400,400,400,190500,"2014-03-14","TALF"
400,400,400,400,200,"2014-03-17","TALF"
400,400,400,400,35400,"2014-03-18","TALF"
401,410,401,410,43300,"2014-03-19","TALF"
410,410,405,405,7000,"2014-03-20","TALF"
405,415,405,415,4700,"2014-03-21","TALF"
405,405,405,405,2400,"2014-03-24","TALF"
405,405,405,405,0,"2014-03-25","TALF"
405,405,405,405,0,"2014-03-26","TALF"
405,420,405,420,5000,"2014-03-27","TALF"
405,405,405,405,21500,"2014-03-28","TALF"
415,415,401,405,329100,"2014-04-01","TALF"
410,410,405,405,87500,"2014-04-02","TALF"
410,410,410,410,5000,"2014-04-03","TALF"
401,401,401,401,1100,"2014-04-04","TALF"
401,415,401,415,154400,"2014-04-07","TALF"
401,415,401,415,5100,"2014-04-08","TALF"
415,415,415,415,0,"2014-04-09","TALF"
410,440,410,440,6900,"2014-04-10","TALF"
410,420,410,411,106100,"2014-04-11","TALF"
415,428,415,428,25100,"2014-04-14","TALF"
428,428,428,428,0,"2014-04-15","TALF"
422,425,422,425,30000,"2014-04-16","TALF"
428,428,428,428,7600,"2014-04-17","TALF"
410,410,410,410,506000,"2014-04-21","TALF"
425,425,425,425,10000,"2014-04-22","TALF"
425,425,425,425,0,"2014-04-23","TALF"
410,425,410,425,1e+05,"2014-04-24","TALF"
428,430,428,430,25000,"2014-04-25","TALF"
410,410,401,410,56900,"2014-04-28","TALF"
410,410,410,410,1500,"2014-04-29","TALF"
420,440,420,440,145800,"2014-04-30","TALF"
440,450,440,450,198300,"2014-05-02","TALF"
450,450,450,450,223000,"2014-05-05","TALF"
440,470,440,455,332000,"2014-05-06","TALF"
460,475,450,470,187800,"2014-05-07","TALF"
465,465,455,459,205900,"2014-05-08","TALF"
450,465,450,465,185500,"2014-05-09","TALF"
465,465,460,460,40100,"2014-05-12","TALF"
460,485,460,475,315100,"2014-05-13","TALF"
470,489,470,487,452000,"2014-05-14","TALF"
480,480,480,480,218500,"2014-05-16","TALF"
485,487,480,485,498800,"2014-05-19","TALF"
480,480,480,480,110100,"2014-05-20","TALF"
475,475,475,475,48100,"2014-05-21","TALF"
470,470,470,470,50000,"2014-05-22","TALF"
490,490,480,490,170000,"2014-05-23","TALF"
500,500,490,500,262900,"2014-05-26","TALF"
510,510,495,510,370000,"2014-05-28","TALF"
495,500,495,495,55000,"2014-05-30","TALF"
510,510,500,510,239000,"2014-06-02","TALF"
500,500,500,500,53400,"2014-06-03","TALF"
500,500,500,500,61500,"2014-06-04","TALF"
500,500,500,500,106000,"2014-06-05","TALF"
495,500,495,495,110000,"2014-06-06","TALF"
490,495,490,490,20600,"2014-06-09","TALF"
500,500,490,500,58400,"2014-06-10","TALF"
500,500,495,500,35700,"2014-06-11","TALF"
500,500,500,500,60400,"2014-06-12","TALF"
495,495,495,495,49500,"2014-06-13","TALF"
490,495,490,490,223000,"2014-06-16","TALF"
495,495,490,495,290300,"2014-06-17","TALF"
495,495,495,495,15000,"2014-06-18","TALF"
495,495,495,495,140000,"2014-06-19","TALF"
495,500,495,495,20900,"2014-06-20","TALF"
495,495,495,495,34500,"2014-06-23","TALF"
490,490,490,490,50000,"2014-06-24","TALF"
490,490,490,490,50000,"2014-06-25","TALF"
500,500,490,500,268100,"2014-06-26","TALF"
500,500,495,500,177100,"2014-06-27","TALF"
495,500,495,495,35000,"2014-06-30","TALF"
499,499,495,499,110900,"2014-07-01","TALF"
499,499,498,499,45000,"2014-07-02","TALF"
495,499,495,495,72700,"2014-07-03","TALF"
499,499,490,499,101600,"2014-07-04","TALF"
499,499,490,499,302000,"2014-07-07","TALF"
490,495,490,490,12600,"2014-07-08","TALF"
490,490,490,490,0,"2014-07-09","TALF"
499,499,494,499,68800,"2014-07-10","TALF"
499,499,495,499,88400,"2014-07-11","TALF"
495,495,495,495,57000,"2014-07-14","TALF"
520,520,495,520,593300,"2014-07-15","TALF"
530,530,520,530,25600,"2014-07-16","TALF"
530,530,525,530,59000,"2014-07-17","TALF"
530,530,520,530,432400,"2014-07-18","TALF"
530,530,530,530,363000,"2014-07-21","TALF"
520,530,510,520,47400,"2014-07-22","TALF"
530,530,530,530,57900,"2014-07-23","TALF"
530,530,520,530,20300,"2014-07-24","TALF"
530,530,530,530,0,"2014-07-25","TALF"
530,530,530,530,17000,"2014-08-04","TALF"
520,520,500,520,111200,"2014-08-05","TALF"
520,520,470,520,133200,"2014-08-06","TALF"
530,530,520,530,22000,"2014-08-07","TALF"
520,520,520,520,25000,"2014-08-08","TALF"
530,540,520,530,175000,"2014-08-11","TALF"
520,530,520,520,190000,"2014-08-12","TALF"
530,530,520,530,93000,"2014-08-13","TALF"
540,540,530,540,155000,"2014-08-14","TALF"
550,550,540,550,151000,"2014-08-15","TALF"
550,550,550,550,65000,"2014-08-18","TALF"
560,560,560,560,222100,"2014-08-19","TALF"
560,560,555,560,77000,"2014-08-20","TALF"
560,560,555,560,50500,"2014-08-21","TALF"
560,560,555,560,40300,"2014-08-22","TALF"
555,560,555,555,90500,"2014-08-25","TALF"
550,560,550,550,254000,"2014-08-26","TALF"
560,560,560,560,65000,"2014-08-27","TALF"
560,560,550,560,128500,"2014-08-28","TALF"
560,560,560,560,47000,"2014-08-29","TALF"
560,560,555,560,57500,"2014-09-01","TALF"
560,560,555,560,217600,"2014-09-02","TALF"
560,560,560,560,137500,"2014-09-03","TALF"
560,560,550,560,145100,"2014-09-04","TALF"
560,560,560,560,46900,"2014-09-05","TALF"
565,565,560,565,121300,"2014-09-08","TALF"
560,565,560,560,47500,"2014-09-09","TALF"
550,560,550,550,58400,"2014-09-10","TALF"
560,560,560,560,92500,"2014-09-11","TALF"
560,560,560,560,57000,"2014-09-12","TALF"
560,560,560,560,65000,"2014-09-15","TALF"
560,560,560,560,75000,"2014-09-16","TALF"
560,560,560,560,71800,"2014-09-17","TALF"
560,560,560,560,20000,"2014-09-18","TALF"
570,570,560,570,107500,"2014-09-19","TALF"
550,560,550,550,126500,"2014-09-22","TALF"
540,560,540,540,171300,"2014-09-23","TALF"
540,550,540,540,134000,"2014-09-24","TALF"
550,550,550,550,94100,"2014-09-25","TALF"
540,550,540,540,149000,"2014-09-26","TALF"
540,550,540,540,98700,"2014-09-29","TALF"
540,540,540,540,38500,"2014-09-30","TALF"
540,540,540,540,109500,"2014-10-01","TALF"
530,530,530,530,58000,"2014-10-02","TALF"
540,540,530,540,68100,"2014-10-03","TALF"
540,540,540,540,85200,"2014-10-06","TALF"
550,550,540,550,130800,"2014-10-07","TALF"
540,540,540,540,71600,"2014-10-08","TALF"
550,550,550,550,177000,"2014-10-09","TALF"
540,540,540,540,89200,"2014-10-10","TALF"
540,540,530,540,71600,"2014-10-13","TALF"
540,540,540,540,80000,"2014-10-14","TALF"
540,540,540,540,83700,"2014-10-15","TALF"
540,540,540,540,352000,"2014-10-16","TALF"
520,520,520,520,1087300,"2014-10-17","TALF"
530,540,520,530,118100,"2014-10-20","TALF"
540,540,530,540,121800,"2014-10-21","TALF"
540,540,530,540,103400,"2014-10-22","TALF"
540,540,540,540,71700,"2014-10-23","TALF"
540,550,540,540,97400,"2014-10-24","TALF"
540,540,530,540,405600,"2014-10-27","TALF"
540,540,530,540,179800,"2014-10-28","TALF"
550,550,550,550,168300,"2014-10-29","TALF"
540,540,540,540,146900,"2014-10-30","TALF"
540,550,540,540,178300,"2014-10-31","TALF"
540,540,530,540,240100,"2014-11-03","TALF"
550,550,540,550,189900,"2014-11-04","TALF"
550,550,540,550,160700,"2014-11-05","TALF"
550,550,550,550,145100,"2014-11-06","TALF"
550,550,540,550,189000,"2014-11-07","TALF"
540,550,540,540,148800,"2014-11-10","TALF"
550,550,540,550,147100,"2014-11-11","TALF"
540,540,530,540,128000,"2014-11-12","TALF"
530,540,530,530,178700,"2014-11-13","TALF"
530,540,530,530,122800,"2014-11-14","TALF"
530,540,540,540,121300,"2014-11-17","TALF"
550,550,540,550,178800,"2014-11-18","TALF"
550,550,540,550,158600,"2014-11-19","TALF"
540,550,540,540,106800,"2014-11-20","TALF"
540,540,530,540,224600,"2014-11-21","TALF"
530,540,530,530,369100,"2014-11-24","TALF"
540,540,520,540,355800,"2014-11-25","TALF"
510,540,510,510,312800,"2014-11-26","TALF"
500,500,500,500,379400,"2014-11-27","TALF"
500,500,490,500,438600,"2014-11-28","TALF"
500,500,490,500,299600,"2014-12-01","TALF"
510,520,510,510,237400,"2014-12-02","TALF"
510,520,500,520,373400,"2014-12-03","TALF"
520,520,510,510,252400,"2014-12-04","TALF"
520,530,520,530,360200,"2014-12-05","TALF"
530,530,530,530,429400,"2014-12-08","TALF"
