"Open","High","Low","Close","Volume","Date","Emiten"
18.7000007629395,18.7000007629395,18.7000007629395,18.7000007629395,731000,"2017-05-10","TAMU"
25.2000007629395,25.2000007629395,25.2000007629395,25.2000007629395,28073000,"2017-05-12","TAMU"
25.2000007629395,31.3999996185303,25.2000007629395,31.3999996185303,84922000,"2017-05-15","TAMU"
33.5999984741211,39.2000007629395,33.5999984741211,39.2000007629395,8668000,"2017-05-16","TAMU"
41,49,41,49,3122000,"2017-05-17","TAMU"
55,61,55,61,31499000,"2017-05-18","TAMU"
61.5,76,61.5,70,38422000,"2017-05-19","TAMU"
70,70,70,70,0,"2017-05-22","TAMU"
70,76,64,72,24167000,"2017-05-23","TAMU"
72,74,71.5,73,8286000,"2017-05-24","TAMU"
72.5,74,72,74,9575000,"2017-05-26","TAMU"
72.5,79,72.5,79,17406000,"2017-05-29","TAMU"
77.5,80,77.5,79.5,5725000,"2017-05-30","TAMU"
79.5,82,78,81.5,8310000,"2017-05-31","TAMU"
81.5,81.5,81.5,81.5,0,"2017-06-01","TAMU"
80,81,80,80.5,1927000,"2017-06-02","TAMU"
81,84,81,83.5,4330000,"2017-06-05","TAMU"
83,84.5,83,84,3367000,"2017-06-06","TAMU"
83.5,84.5,83.5,84,1897000,"2017-06-07","TAMU"
84,87.5,83.5,87,6673000,"2017-06-08","TAMU"
86.5,91,86.5,91,6396000,"2017-06-09","TAMU"
90.5,95.5,90.5,95.5,6569000,"2017-06-12","TAMU"
95,119,94.5,119,19728000,"2017-06-13","TAMU"
118.5,148.5,114.5,147.5,22743000,"2017-06-14","TAMU"
147.5,159,136,136,34898000,"2017-06-15","TAMU"
136,152,136,139,21948000,"2017-06-16","TAMU"
136.5,141.5,136.5,139.5,12818000,"2017-06-19","TAMU"
139,139,136.5,138,17464000,"2017-06-20","TAMU"
138,141.5,137.5,137.5,3820000,"2017-06-21","TAMU"
138,139,137.5,137.5,3162000,"2017-06-22","TAMU"
137.5,137.5,137.5,137.5,0,"2017-06-23","TAMU"
137.5,137.5,137.5,137.5,0,"2017-06-26","TAMU"
137.5,137.5,137.5,137.5,0,"2017-06-27","TAMU"
137.5,137.5,137.5,137.5,0,"2017-06-28","TAMU"
137.5,137.5,137.5,137.5,0,"2017-06-29","TAMU"
137.5,137.5,137.5,137.5,0,"2017-06-30","TAMU"
